"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TRITURBINE","EQ","11-Sep-2018","        119.10","        119.00","        121.00","        117.15","        120.00","        120.00","        119.04","      16903","             2012068.50","        291","      11088","         65.60"
"TRITURBINE","EQ","12-Sep-2018","        120.00","        118.00","        120.55","        117.60","        118.50","        118.55","        118.36","       9910","             1172991.85","        173","       6140","         61.96"
"TRITURBINE","EQ","14-Sep-2018","        118.55","        117.25","        119.40","        117.25","        119.05","        119.05","        118.44","      57891","             6856464.50","        478","      49459","         85.43"
"TRITURBINE","EQ","17-Sep-2018","        119.05","        118.65","        119.65","        117.70","        119.05","        119.10","        118.97","      15482","             1841885.80","        144","      11437","         73.87"
"TRITURBINE","EQ","18-Sep-2018","        119.10","        118.70","        119.50","        118.00","        118.25","        118.00","        118.56","      10341","             1226013.70","        257","       9547","         92.32"
"TRITURBINE","EQ","19-Sep-2018","        118.00","        117.95","        118.40","        116.10","        116.80","        117.10","        117.54","      13532","             1590603.10","        338","       8851","         65.41"
"TRITURBINE","EQ","21-Sep-2018","        117.10","        117.05","        117.30","        105.55","        111.00","        109.75","        113.79","     125747","            14309004.05","        865","     108085","         85.95"
"TRITURBINE","EQ","24-Sep-2018","        109.75","        111.00","        112.00","        105.35","        112.00","        110.65","        109.08","      22533","             2457839.00","        438","      13962","         61.96"
"TRITURBINE","EQ","25-Sep-2018","        110.65","        110.05","        111.95","        106.80","        108.00","        108.10","        108.64","      14432","             1567917.00","        621","       9095","         63.02"
"TRITURBINE","EQ","26-Sep-2018","        108.10","        108.00","        111.00","        103.65","        111.00","        108.85","        106.85","     285735","            30531533.10","       3295","     268389","         93.93"
"TRITURBINE","EQ","27-Sep-2018","        108.85","        110.45","        110.45","        104.25","        104.50","        105.00","        106.03","      11925","             1264366.90","        412","       9494","         79.61"
"TRITURBINE","EQ","28-Sep-2018","        105.00","        106.00","        106.00","         97.60","        104.50","        103.30","        102.20","      97528","             9967311.20","       3942","      66655","         68.34"
"TRITURBINE","EQ","01-Oct-2018","        103.30","        101.55","        111.50","         94.85","        111.00","        104.80","         99.25","     486801","            48313279.35","       1775","     449632","         92.36"
"TRITURBINE","EQ","03-Oct-2018","        104.80","        105.70","        107.90","        103.65","        106.55","        107.00","        106.76","     120020","            12813271.45","       3200","     104690","         87.23"
"TRITURBINE","EQ","04-Oct-2018","        107.00","        108.45","        110.80","        100.05","        109.00","        109.65","        105.84","      44847","             4746706.05","       1069","      22845","         50.94"
"TRITURBINE","EQ","05-Oct-2018","        109.65","        111.25","        111.25","        103.00","        103.00","        105.70","        105.28","      28788","             3030859.10","        722","      17235","         59.87"
"TRITURBINE","EQ","08-Oct-2018","        105.70","        103.70","        105.00","         95.00","         97.00","         97.95","        100.23","      34110","             3418884.90","        560","      23790","         69.74"
"TRITURBINE","EQ","09-Oct-2018","         97.95","         97.55","        108.00","         97.05","        107.90","        103.00","        101.39","      46358","             4700030.95","       1044","      29696","         64.06"
"TRITURBINE","EQ","10-Oct-2018","        103.00","        104.35","        106.80","        101.15","        103.75","        104.00","        103.43","      23773","             2458885.65","        750","       9306","         39.15"
"TRITURBINE","EQ","11-Oct-2018","        104.00","        103.45","        103.45","         98.95","        101.15","        101.55","        100.75","      14633","             1474259.65","        410","       6340","         43.33"
"TRITURBINE","EQ","12-Oct-2018","        101.55","        103.30","        104.30","        100.60","        100.65","        101.55","        101.83","      30952","             3151990.00","        772","      17242","         55.71"
"TRITURBINE","EQ","15-Oct-2018","        101.55","        101.95","        103.70","        100.55","        102.10","        102.00","        101.89","      26628","             2713054.40","        675","      11202","         42.07"
"TRITURBINE","EQ","16-Oct-2018","        102.00","        102.95","        103.05","        101.00","        101.85","        102.20","        102.19","      15268","             1560296.80","        396","      12621","         82.66"
"TRITURBINE","EQ","17-Oct-2018","        102.20","        102.80","        102.90","         97.65","         98.15","         98.35","        100.42","      18327","             1840347.65","        536","      14160","         77.26"
"TRITURBINE","EQ","19-Oct-2018","         98.35","         98.50","         99.00","         96.70","         98.95","         97.90","         97.68","      24161","             2360105.75","        505","      18849","         78.01"
"TRITURBINE","EQ","22-Oct-2018","         97.90","         98.00","        101.90","         96.60","         99.75","         99.30","         99.01","      22010","             2179205.25","        606","      10500","         47.71"
"TRITURBINE","EQ","23-Oct-2018","         99.30","        100.00","        100.15","         97.45","         99.00","         98.65","         98.55","      11558","             1138991.75","        352","       6480","         56.07"
"TRITURBINE","EQ","24-Oct-2018","         98.65","         99.95","         99.95","         95.75","         96.40","         96.10","         97.39","      24733","             2408827.65","        611","      16957","         68.56"
"TRITURBINE","EQ","25-Oct-2018","         96.10","         95.00","         99.00","         93.75","         96.00","         96.20","         95.61","      23362","             2233616.50","        715","      11807","         50.54"
"TRITURBINE","EQ","26-Oct-2018","         96.20","         97.55","        101.00","         94.90","        101.00","         99.45","         98.03","      47259","             4632624.90","        664","      31169","         65.95"
"TRITURBINE","EQ","29-Oct-2018","         99.45","         99.50","         99.90","         96.70","         99.00","         99.20","         98.81","      29040","             2869455.90","        654","      22771","         78.41"
"TRITURBINE","EQ","30-Oct-2018","         99.20","        100.55","        103.00","         97.50","        102.55","        102.00","        100.38","      79305","             7960913.85","       1139","      38254","         48.24"
"TRITURBINE","EQ","31-Oct-2018","        102.00","        104.00","        104.00","         99.75","        100.20","        101.25","        100.94","      25926","             2616973.70","        551","      17748","         68.46"
"TRITURBINE","EQ","01-Nov-2018","        101.25","        102.05","        103.90","        101.65","        102.95","        102.35","        102.60","      24878","             2552425.50","        752","      18351","         73.76"
"TRITURBINE","EQ","02-Nov-2018","        102.35","        111.00","        114.90","        109.00","        112.00","        112.00","        111.54","     727853","            81184461.00","       9740","     484590","         66.58"
"TRITURBINE","EQ","05-Nov-2018","        112.00","        114.00","        114.85","        111.25","        112.85","        112.95","        112.98","     153806","            17376288.50","       3411","      85996","         55.91"
"TRITURBINE","EQ","06-Nov-2018","        112.95","        113.80","        113.80","        111.10","        112.50","        111.80","        112.04","      30338","             3399020.10","        879","      19441","         64.08"
"TRITURBINE","EQ","07-Nov-2018","        111.80","        112.90","        113.50","        112.00","        113.45","        112.75","        112.69","      14454","             1628790.40","        224","      10906","         75.45"
"TRITURBINE","EQ","09-Nov-2018","        112.75","        114.00","        114.00","        111.55","        113.50","        113.40","        112.78","      71157","             8025136.50","        807","      23964","         33.68"
"TRITURBINE","EQ","12-Nov-2018","        113.40","        112.25","        114.25","        111.05","        112.05","        111.85","        112.25","      42586","             4780399.05","        967","      29544","         69.37"
"TRITURBINE","EQ","13-Nov-2018","        111.85","        112.80","        112.95","        110.50","        111.80","        112.15","        111.43","      48919","             5450975.85","       1258","      33840","         69.18"
"TRITURBINE","EQ","14-Nov-2018","        112.15","        112.00","        113.50","        112.00","        113.45","        112.95","        112.74","      29345","             3308472.10","        809","      20122","         68.57"
"TRITURBINE","EQ","15-Nov-2018","        112.95","        113.25","        117.50","        112.25","        116.35","        116.85","        115.13","     409148","            47105229.30","       1939","     375516","         91.78"
"TRITURBINE","EQ","16-Nov-2018","        116.85","        117.95","        118.55","        114.15","        115.00","        115.05","        115.24","     159953","            18433154.00","       3832","     124301","         77.71"
"TRITURBINE","EQ","19-Nov-2018","        115.05","        116.50","        117.50","        115.05","        116.00","        115.95","        116.56","      29879","             3482688.95","        510","      16787","         56.18"
"TRITURBINE","EQ","20-Nov-2018","        115.95","        116.80","        116.80","        115.10","        115.80","        115.95","        115.70","      19297","             2232717.10","        519","      13356","         69.21"
"TRITURBINE","EQ","21-Nov-2018","        115.95","        116.30","        117.15","        115.05","        117.15","        116.75","        116.00","      18819","             2182933.80","        449","      12089","         64.24"
"TRITURBINE","EQ","22-Nov-2018","        116.75","        116.25","        116.95","        115.65","        116.20","        116.40","        116.17","       9702","             1127089.85","        196","       6313","         65.07"
"TRITURBINE","EQ","26-Nov-2018","        116.40","        115.25","        116.50","        115.00","        115.80","        115.20","        115.30","      27577","             3179649.60","        402","      20178","         73.17"
"TRITURBINE","EQ","27-Nov-2018","        115.20","        115.80","        116.00","        115.00","        115.25","        115.00","        115.03","      30432","             3500730.80","        708","      29552","         97.11"
"TRITURBINE","EQ","28-Nov-2018","        115.00","        115.45","        115.80","        114.90","        115.00","        115.10","        115.03","      28048","             3226418.95","        746","      25070","         89.38"
"TRITURBINE","EQ","29-Nov-2018","        115.10","        115.25","        116.40","        114.75","        115.25","        115.25","        115.17","      28103","             3236483.85","        440","      21676","         77.13"
