"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TTL","EQ","11-Sep-2018","         76.80","         76.60","         76.60","         74.60","         74.60","         75.00","         75.49","       5267","              397593.55","        111","       4522","         85.86"
"TTL","EQ","12-Sep-2018","         75.00","         76.00","         76.00","         74.05","         74.05","         74.35","         74.56","       9628","              717836.75","         89","       8913","         92.57"
"TTL","EQ","14-Sep-2018","         74.35","         75.00","         76.50","         74.75","         75.20","         75.50","         75.35","       4149","              312632.80","         79","       3035","         73.15"
"TTL","EQ","17-Sep-2018","         75.50","         76.50","         79.20","         75.00","         77.00","         77.05","         77.59","      16974","             1317096.90","        209","       3540","         20.86"
"TTL","EQ","18-Sep-2018","         77.05","         77.40","         77.95","         75.35","         76.00","         75.95","         76.07","       3215","              244553.80","         48","       2762","         85.91"
"TTL","EQ","19-Sep-2018","         75.95","         75.00","         78.50","         74.00","         74.60","         74.60","         74.84","       3443","              257684.40","        102","       1962","         56.99"
"TTL","EQ","21-Sep-2018","         74.60","         74.55","         74.65","         60.60","         70.70","         71.05","         71.61","      28687","             2054253.70","        165","      19436","         67.75"
"TTL","EQ","24-Sep-2018","         71.05","         76.70","         77.50","         65.65","         70.50","         70.25","         69.60","      17866","             1243524.70","        203","      13523","         75.69"
"TTL","EQ","25-Sep-2018","         70.25","         70.00","         72.90","         65.60","         66.25","         66.25","         68.78","       8361","              575052.80","        202","       5847","         69.93"
"TTL","EQ","26-Sep-2018","         66.25","         69.70","         69.70","         66.00","         67.00","         67.35","         67.49","       6255","              422141.55","        114","       3380","         54.04"
"TTL","EQ","27-Sep-2018","         67.35","         67.35","         69.45","         66.00","         66.50","         66.40","         66.86","       3564","              238276.20","         61","       2914","         81.76"
"TTL","EQ","28-Sep-2018","         66.40","         68.40","         68.50","         61.10","         63.50","         62.70","         63.55","       5602","              355995.55","        143","       3875","         69.17"
"TTL","EQ","01-Oct-2018","         62.70","         63.00","         64.15","         58.50","         62.25","         61.90","         60.76","       7657","              465242.85","        230","       4797","         62.65"
"TTL","EQ","03-Oct-2018","         61.90","         60.50","         63.00","         60.00","         62.85","         62.20","         61.65","       1118","               68923.10","         42","        772","         69.05"
"TTL","EQ","04-Oct-2018","         62.20","         60.30","         60.95","         59.00","         60.55","         60.35","         60.12","       4124","              247951.15","         68","       3169","         76.84"
"TTL","EQ","05-Oct-2018","         60.35","         61.40","         64.55","         57.90","         59.45","         58.65","         58.78","      18215","             1070728.10","        159","      14859","         81.58"
"TTL","EQ","08-Oct-2018","         58.65","         60.00","         60.70","         58.00","         58.05","         58.25","         58.45","      15607","              912287.00","         92","       4401","         28.20"
"TTL","EQ","09-Oct-2018","         58.25","         59.00","         61.80","         58.05","         58.30","         58.65","         58.81","      10416","              612567.65","        162","       5856","         56.22"
"TTL","EQ","10-Oct-2018","         58.65","         58.00","         61.00","         56.80","         57.60","         58.15","         58.41","      35138","             2052379.70","        288","      23900","         68.02"
"TTL","EQ","11-Oct-2018","         58.15","         55.00","         57.70","         53.65","         54.75","         54.15","         55.31","       9510","              526009.75","        181","       6188","         65.07"
"TTL","EQ","12-Oct-2018","         54.15","         54.55","         61.20","         54.55","         60.00","         59.30","         58.88","      19475","             1146647.10","        200","      17321","         88.94"
"TTL","EQ","15-Oct-2018","         59.30","         60.00","         62.00","         60.00","         61.10","         61.10","         61.18","       3190","              195149.25","         44","       2124","         66.58"
"TTL","EQ","16-Oct-2018","         61.10","         62.00","         69.00","         62.00","         66.70","         66.35","         67.11","      40802","             2738101.40","        523","      21217","         52.00"
"TTL","EQ","17-Oct-2018","         66.35","         69.85","         71.00","         67.20","         68.00","         67.80","         69.02","      15787","             1089543.70","        244","       8724","         55.26"
"TTL","EQ","19-Oct-2018","         67.80","         67.80","         67.80","         61.15","         64.90","         64.00","         64.11","       6239","              400000.35","        135","       4052","         64.95"
"TTL","EQ","22-Oct-2018","         64.00","         66.00","         66.00","         63.55","         63.55","         64.10","         64.88","       4245","              275409.15","         59","       3269","         77.01"
"TTL","EQ","23-Oct-2018","         64.10","         63.10","         63.70","         61.35","         61.90","         61.75","         62.17","       2689","              167180.35","         63","       1706","         63.44"
"TTL","EQ","24-Oct-2018","         61.75","         63.00","         66.90","         61.60","         66.00","         64.60","         64.07","       4669","              299163.30","         93","       3861","         82.69"
"TTL","EQ","25-Oct-2018","         64.60","         63.10","         64.50","         61.55","         63.10","         63.60","         62.71","       3119","              195596.60","        113","       1797","         57.61"
"TTL","EQ","26-Oct-2018","         63.60","         63.25","         65.00","         62.95","         64.00","         63.85","         63.80","       6497","              414540.65","        131","       4190","         64.49"
"TTL","EQ","29-Oct-2018","         63.85","         65.00","         65.00","         62.55","         63.95","         63.75","         63.54","       3287","              208858.45","        146","       1702","         51.78"
"TTL","EQ","30-Oct-2018","         63.75","         64.10","         66.20","         63.15","         64.10","         64.15","         64.46","      12159","              783800.40","        318","       6268","         51.55"
"TTL","EQ","31-Oct-2018","         64.15","         64.00","         65.25","         63.05","         63.60","         63.75","         63.83","       3702","              236300.95","         82","       3217","         86.90"
"TTL","EQ","01-Nov-2018","         63.75","         63.00","         65.50","         62.65","         63.40","         63.50","         63.41","       5286","              335191.35","        177","       2630","         49.75"
"TTL","EQ","02-Nov-2018","         63.50","         63.50","         67.20","         63.50","         66.30","         66.10","         66.23","      11773","              779716.70","        295","       8488","         72.10"
"TTL","EQ","05-Nov-2018","         66.10","         67.00","         69.90","         64.50","         68.90","         68.90","         67.88","       8272","              561542.95","        156","       6857","         82.89"
"TTL","EQ","06-Nov-2018","         68.90","         69.75","         71.50","         67.20","         69.20","         69.25","         70.09","       3155","              221148.05","        118","       2251","         71.35"
"TTL","EQ","07-Nov-2018","         69.25","         68.75","         72.00","         68.75","         70.00","         69.95","         70.11","       4787","              335612.85","         79","       2727","         56.97"
"TTL","EQ","09-Nov-2018","         69.95","         69.90","         71.00","         68.50","         68.55","         68.75","         69.34","       2362","              163773.00","        120","       1626","         68.84"
"TTL","EQ","12-Nov-2018","         68.75","         68.10","         69.75","         67.20","         67.55","         67.70","         68.19","       5992","              408618.10","        311","       2687","         44.84"
"TTL","EQ","13-Nov-2018","         67.70","         67.00","         70.00","         66.25","         68.40","         68.35","         68.17","       8737","              595558.35","        330","       4598","         52.63"
"TTL","EQ","14-Nov-2018","         68.35","         69.85","         71.75","         68.00","         68.00","         68.70","         69.64","      10823","              753661.10","        195","       6329","         58.48"
"TTL","EQ","15-Nov-2018","         68.70","         70.75","         70.75","         64.00","         64.50","         64.30","         65.86","       9715","              639840.75","        326","       6359","         65.46"
"TTL","EQ","16-Nov-2018","         64.30","         66.65","         66.65","         63.00","         63.80","         64.15","         64.37","       1234","               79431.80","        124","        689","         55.83"
