"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UCOBANK","EQ","11-Sep-2018","         19.65","         19.75","         19.95","         19.40","         19.45","         19.55","         19.70","     630702","            12421961.05","       3674","     140983","         22.35"
"UCOBANK","EQ","12-Sep-2018","         19.55","         19.65","         19.80","         19.10","         19.40","         19.35","         19.39","     795579","            15424792.20","       3589","     160642","         20.19"
"UCOBANK","EQ","14-Sep-2018","         19.35","         19.50","         19.80","         19.40","         19.75","         19.70","         19.61","     620269","            12166454.85","       6305","     105548","         17.02"
"UCOBANK","EQ","17-Sep-2018","         19.70","         19.65","         19.70","         19.10","         19.40","         19.45","         19.37","     671030","            12999000.95","       2053","     210663","         31.39"
"UCOBANK","EQ","18-Sep-2018","         19.45","         21.70","         21.95","         20.20","         20.70","         20.75","         20.84","    4897876","           102096077.75","      11570","    1139418","         23.26"
"UCOBANK","EQ","19-Sep-2018","         20.75","         20.85","         20.85","         18.80","         19.20","         19.15","         19.64","    1745224","            34269647.25","       4208","     588083","         33.70"
"UCOBANK","EQ","21-Sep-2018","         19.15","         19.50","         19.55","         17.30","         18.40","         18.15","         18.61","    1424328","            26510438.10","       5899","     587144","         41.22"
"UCOBANK","EQ","24-Sep-2018","         18.15","         18.30","         18.35","         17.60","         17.80","         17.85","         17.97","     659987","            11860457.75","       2621","     199397","         30.21"
"UCOBANK","EQ","25-Sep-2018","         17.85","         17.90","         18.50","         17.60","         18.00","         17.90","         17.97","     673317","            12099803.70","       2261","     233477","         34.68"
"UCOBANK","EQ","26-Sep-2018","         17.90","         18.05","         18.15","         17.70","         17.85","         17.95","         17.97","     410632","             7379918.40","       1604","     135055","         32.89"
"UCOBANK","EQ","27-Sep-2018","         17.95","         17.95","         18.00","         17.65","         17.70","         17.70","         17.80","     357123","             6355336.10","       1347","     166642","         46.66"
"UCOBANK","EQ","28-Sep-2018","         17.70","         17.65","         17.85","         16.70","         16.80","         16.80","         17.06","    1065856","            18184792.80","       3312","     405517","         38.05"
"UCOBANK","EQ","01-Oct-2018","         16.80","         16.85","         16.95","         16.05","         16.80","         16.80","         16.57","     674503","            11176710.00","       3863","     218508","         32.40"
"UCOBANK","EQ","03-Oct-2018","         16.80","         16.90","         17.10","         16.60","         17.05","         16.95","         16.94","     695179","            11779324.00","       4270","     188846","         27.17"
"UCOBANK","EQ","04-Oct-2018","         16.95","         16.70","         17.05","         16.70","         16.90","         17.00","         16.94","     262587","             4447133.50","       1038","     114401","         43.57"
"UCOBANK","EQ","05-Oct-2018","         17.00","         17.05","         17.10","         16.55","         16.70","         16.70","         16.78","     299345","             5023984.90","       1384","     123155","         41.14"
"UCOBANK","EQ","08-Oct-2018","         16.70","         17.00","         17.00","         15.25","         15.70","         15.55","         16.07","     850166","            13659989.20","       2582","     402282","         47.32"
"UCOBANK","EQ","09-Oct-2018","         15.55","         15.75","         15.95","         15.55","         15.65","         15.60","         15.72","     515314","             8101748.85","       2627","     171607","         33.30"
"UCOBANK","EQ","10-Oct-2018","         15.60","         15.75","         16.25","         15.50","         16.25","         16.05","         15.87","     467161","             7415268.60","       2286","     139990","         29.97"
"UCOBANK","EQ","11-Oct-2018","         16.05","         15.70","         16.15","         15.50","         15.85","         15.85","         15.83","     378820","             5995256.65","       1445","     138237","         36.49"
"UCOBANK","EQ","12-Oct-2018","         15.85","         15.95","         16.25","         15.95","         16.10","         16.05","         16.11","     362767","             5843892.25","       1262","     133696","         36.85"
"UCOBANK","EQ","15-Oct-2018","         16.05","         16.25","         16.40","         15.85","         16.30","         16.25","         16.19","     555091","             8986266.65","       4544","     110110","         19.84"
"UCOBANK","EQ","16-Oct-2018","         16.25","         16.35","         17.35","         16.20","         17.05","         17.15","         16.87","     833909","            14069461.65","       6103","     217948","         26.14"
"UCOBANK","EQ","17-Oct-2018","         17.15","         17.35","         17.45","         16.85","         16.95","         16.95","         17.09","     449401","             7680966.00","       2617","     138774","         30.88"
"UCOBANK","EQ","19-Oct-2018","         16.95","         16.60","         16.90","         16.45","         16.70","         16.70","         16.74","     181682","             3040765.35","       1071","      66700","         36.71"
