"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UFO","EQ","11-Sep-2018","        368.15","        367.10","        368.70","        361.10","        363.00","        362.90","        364.58","      30306","            11049051.95","        607","      28643","         94.51"
"UFO","EQ","12-Sep-2018","        362.90","        361.80","        363.00","        356.95","        360.00","        359.65","        359.10","      17291","             6209254.40","        437","      15080","         87.21"
"UFO","EQ","14-Sep-2018","        359.65","        358.25","        368.90","        358.25","        367.05","        367.30","        366.11","       4968","             1818841.40","        179","       3755","         75.58"
"UFO","EQ","17-Sep-2018","        367.30","        369.95","        369.95","        360.00","        364.60","        360.95","        364.54","      13975","             5094386.55","        294","      13026","         93.21"
"UFO","EQ","18-Sep-2018","        360.95","        360.80","        367.50","        360.50","        364.35","        363.05","        361.79","       6132","             2218477.70","        385","       4295","         70.04"
"UFO","EQ","19-Sep-2018","        363.05","        360.05","        363.80","        336.00","        345.00","        342.60","        346.57","      39987","            13858250.95","       1530","      29387","         73.49"
"UFO","EQ","21-Sep-2018","        342.60","        360.90","        360.90","        330.05","        334.95","        333.90","        340.47","      22704","             7730055.05","        824","      18430","         81.18"
"UFO","EQ","24-Sep-2018","        333.90","        335.85","        335.95","        318.40","        320.15","        321.50","        325.50","       8829","             2873866.25","        840","       6405","         72.55"
"UFO","EQ","25-Sep-2018","        321.50","        324.00","        330.00","        321.00","        329.95","        327.15","        324.85","       9834","             3194620.60","        417","       8466","         86.09"
"UFO","EQ","26-Sep-2018","        327.15","        330.35","        331.05","        324.00","        329.85","        327.35","        326.31","       5195","             1695160.45","        302","       4071","         78.36"
"UFO","EQ","27-Sep-2018","        327.35","        329.00","        329.05","        314.10","        316.00","        315.90","        317.97","      17694","             5626140.55","        694","      16575","         93.68"
"UFO","EQ","28-Sep-2018","        315.90","        318.95","        320.00","        303.00","        307.10","        311.60","        311.24","      16956","             5277325.65","        851","      14041","         82.81"
"UFO","EQ","01-Oct-2018","        311.60","        310.05","        313.00","        297.00","        301.00","        301.60","        301.93","      19720","             5954045.40","        838","      14733","         74.71"
"UFO","EQ","03-Oct-2018","        301.60","        303.40","        308.70","        302.30","        303.00","        303.45","        304.59","       7327","             2231696.15","        349","       5553","         75.79"
"UFO","EQ","04-Oct-2018","        303.45","        303.05","        305.55","        295.00","        296.00","        296.60","        297.63","       8901","             2649187.50","        457","       7524","         84.53"
"UFO","EQ","05-Oct-2018","        296.60","        296.55","        300.20","        288.80","        291.95","        289.50","        293.23","      12429","             3644614.05","        494","      10910","         87.78"
"UFO","EQ","08-Oct-2018","        289.50","        289.15","        293.80","        275.00","        275.10","        279.60","        285.57","       7020","             2004668.55","        449","       5081","         72.38"
"UFO","EQ","09-Oct-2018","        279.60","        275.10","        275.10","        269.00","        269.05","        269.95","        271.42","      12726","             3454047.50","        604","      10452","         82.13"
"UFO","EQ","10-Oct-2018","        269.95","        269.95","        297.80","        269.00","        285.30","        288.60","        285.22","      21668","             6180099.65","       2232","      15167","         70.00"
"UFO","EQ","11-Oct-2018","        288.60","        280.00","        295.00","        262.00","        287.00","        288.45","        289.54","      23492","             6801812.20","       1062","      17964","         76.47"
"UFO","EQ","12-Oct-2018","        288.45","        289.35","        304.45","        287.00","        298.00","        297.65","        301.55","      27593","             8320625.40","        989","      22068","         79.98"
"UFO","EQ","15-Oct-2018","        297.65","        300.55","        304.85","        290.00","        290.75","        294.75","        296.56","       7789","             2309921.55","        532","       5945","         76.33"
"UFO","EQ","16-Oct-2018","        294.75","        297.55","        303.55","        294.00","        296.00","        294.50","        299.70","      15987","             4791376.75","        518","      14483","         90.59"
"UFO","EQ","17-Oct-2018","        294.50","        297.10","        309.50","        295.60","        297.25","        297.75","        300.50","      12007","             3608057.45","        555","       7850","         65.38"
"UFO","EQ","19-Oct-2018","        297.75","        296.05","        301.20","        290.00","        299.95","        299.25","        296.55","       3327","              986614.05","        340","       2222","         66.79"
"UFO","EQ","22-Oct-2018","        299.25","        299.55","        303.95","        290.10","        302.00","        299.40","        296.24","      12925","             3828929.15","        588","      10310","         79.77"
"UFO","EQ","23-Oct-2018","        299.40","        298.10","        304.65","        291.30","        297.30","        298.35","        300.25","      10567","             3172737.15","        599","       6988","         66.13"
"UFO","EQ","24-Oct-2018","        298.35","        301.20","        310.00","        294.00","        309.95","        305.65","        301.89","       4612","             1392310.85","        407","       3441","         74.61"
"UFO","EQ","25-Oct-2018","        305.65","        300.05","        302.25","        295.70","        296.00","        296.05","        296.86","       4449","             1320752.10","        182","       3471","         78.02"
"UFO","EQ","26-Oct-2018","        296.05","        298.95","        324.25","        295.05","        313.00","        312.55","        312.30","      12292","             3838811.60","        677","       8202","         66.73"
"UFO","EQ","29-Oct-2018","        312.55","        309.95","        320.00","        305.00","        314.25","        314.25","        312.99","       6013","             1882025.50","        420","       3700","         61.53"
"UFO","EQ","30-Oct-2018","        314.25","        317.35","        321.00","        313.30","        314.00","        314.00","        314.88","       2821","              888284.65","        228","       1985","         70.37"
"UFO","EQ","31-Oct-2018","        314.00","        310.20","        322.90","        306.00","        315.00","        314.80","        318.55","      15938","             5076983.80","        734","      12989","         81.50"
"UFO","EQ","01-Nov-2018","        314.80","        312.00","        320.05","        310.95","        315.00","        315.00","        315.25","      13181","             4155327.35","        405","      11617","         88.13"
"UFO","EQ","02-Nov-2018","        315.00","        315.05","        318.15","        305.15","        308.00","        307.45","        310.51","       7370","             2288477.30","        671","       5056","         68.60"
"UFO","EQ","05-Nov-2018","        307.45","        310.45","        315.00","        307.00","        315.00","        313.50","        311.41","       1810","              563654.75","        141","       1091","         60.28"
"UFO","EQ","06-Nov-2018","        313.50","        316.00","        317.05","        312.75","        315.00","        314.35","        314.93","       7004","             2205782.30","        395","       6334","         90.43"
"UFO","EQ","07-Nov-2018","        314.35","        319.75","        323.95","        315.50","        318.00","        320.00","        319.07","       4587","             1463568.30","        138","       4207","         91.72"
"UFO","EQ","09-Nov-2018","        320.00","        324.50","        325.75","        310.00","        315.00","        312.35","        315.18","      19818","             6246142.50","        764","      14914","         75.25"
"UFO","EQ","12-Nov-2018","        312.35","        313.25","        322.90","        310.05","        310.05","        311.30","        314.46","       5472","             1720697.80","        461","       4233","         77.36"
"UFO","EQ","13-Nov-2018","        311.30","        311.30","        311.30","        301.05","        301.35","        302.80","        305.68","       4858","             1485004.80","        522","       2745","         56.50"
