"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UTIFEFRGR5","MF","16-Apr-2019","         10.00","          9.00","          9.00","          9.00","          9.00","          9.00","          9.00","       1200","               10800.00","          2","       1200","        100.00"
"UTIFEFRGR5","MF","18-Apr-2019","          9.00","          8.10","          8.90","          8.10","          8.10","          8.10","          8.10","        201","                1628.90","          3","        201","        100.00"
"UTIFEFRGR5","MF","23-Apr-2019","          8.10","          8.10","          8.50","          8.10","          8.50","          8.50","          8.49","      19299","              163841.90","          3","      19299","        100.00"
"UTIFEFRGR5","MF","02-May-2019","          8.50","          8.15","          8.15","          8.15","          8.15","          8.15","          8.15","        500","                4075.00","          1","        500","        100.00"
"UTIFEFRGR5","MF","03-May-2019","          8.15","          8.15","          8.15","          7.35","          7.35","          7.35","          8.07","       2000","               16140.00","          2","       2000","        100.00"
"UTIFEFRGR5","MF","08-May-2019","          7.35","          7.11","          7.31","          6.75","          7.31","          7.31","          7.23","       8202","               59337.26","          7","       6000","         73.15"
"UTIFEFRGR5","MF","09-May-2019","          7.31","          7.42","          7.42","          7.31","          7.31","          7.31","          7.36","       2000","               14719.00","          2","       2000","        100.00"
"UTIFEFRGR5","MF","10-May-2019","          7.31","          7.69","          7.69","          7.61","          7.61","          7.61","          7.62","      10800","               82252.00","          5","      10800","        100.00"
"UTIFEFRGR5","MF","14-May-2019","          7.61","          7.61","          7.61","          7.61","          7.61","          7.61","          7.61","        298","                2267.78","          1","        298","        100.00"
"UTIFEFRGR5","MF","15-May-2019","          7.61","          7.81","          7.81","          7.81","          7.81","          7.81","          7.81","       1000","                7810.00","          1","       1000","        100.00"
"UTIFEFRGR5","MF","23-May-2019","          7.81","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","       2000","               16000.00","          2","       2000","        100.00"
"UTIFEFRGR5","MF","30-May-2019","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","        500","                4000.00","          1","        500","        100.00"
"UTIFEFRGR5","MF","07-Jun-2019","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","       5999","               47992.00","          2","       5999","        100.00"
"UTIFEFRGR5","MF","17-Jun-2019","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","      49226","              393808.00","          3","      49226","        100.00"
"UTIFEFRGR5","MF","18-Jun-2019","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","        774","                6192.00","          1","        774","        100.00"
"UTIFEFRGR5","MF","01-Jul-2019","          8.00","          8.10","          8.10","          8.10","          8.10","          8.10","          8.10","      14200","              115020.00","          2","      14200","        100.00"
"UTIFEFRGR5","MF","09-Jul-2019","          8.10","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","     100000","              800000.00","          6","     100000","        100.00"
"UTIFEFRGR5","MF","15-Jul-2019","          8.00","          8.10","          8.10","          8.10","          8.10","          8.10","          8.10","       3000","               24300.00","          1","       3000","        100.00"
"UTIFEFRGR5","MF","31-Jul-2019","          8.10","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","      89800","              718400.00","          6","      89800","        100.00"
"UTIFEFRGR5","MF","02-Aug-2019","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","     132250","             1058000.00","          7","     132250","        100.00"
"UTIFEFRGR5","MF","07-Aug-2019","          8.00","          7.90","          7.90","          7.70","          7.70","          7.71","          7.73","      78200","              604378.00","         14","      78200","        100.00"
"UTIFEFRGR5","MF","08-Aug-2019","          7.71","          7.96","          7.96","          7.61","          7.96","          7.96","          7.95","      51801","              411705.61","          6","      50000","         96.52"
"UTIFEFRGR5","MF","09-Aug-2019","          7.96","          7.90","          7.90","          7.90","          7.90","          7.90","          7.90","      84750","              669525.00","          4","      84750","        100.00"
"UTIFEFRGR5","MF","20-Aug-2019","          7.90","          7.90","          7.90","          7.60","          7.60","          7.60","          7.70","      20000","              153966.90","          5","      20000","        100.00"
"UTIFEFRGR5","MF","09-Sep-2019","          7.60","          7.70","          7.70","          7.70","          7.70","          7.70","          7.70","       2000","               15400.00","          1","       2000","        100.00"
"UTIFEFRGR5","MF","16-Sep-2019","          7.70","          8.47","          8.47","          8.47","          8.47","          8.47","          8.47","          1","                   8.47","          1","          1","        100.00"
"UTIFEFRGR5","MF","17-Sep-2019","          8.47","          8.02","          8.02","          8.02","          8.02","          8.02","          8.02","       1999","               16031.98","          1","       1999","        100.00"
"UTIFEFRGR5","MF","23-Sep-2019","          8.02","          8.05","          8.05","          8.05","          8.05","          8.05","          8.05","          1","                   8.05","          1","          1","        100.00"
