"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VAIBHAVGBL","EQ","11-Sep-2018","        682.70","        681.05","        690.00","        676.00","        679.00","        678.55","        681.44","       2016","             1373776.15","        253","       1450","         71.92"
"VAIBHAVGBL","EQ","12-Sep-2018","        678.55","        674.35","        689.10","        674.35","        684.00","        682.25","        682.70","        766","              522948.55","         79","        398","         51.96"
"VAIBHAVGBL","EQ","14-Sep-2018","        682.25","        688.40","        699.40","        681.35","        693.45","        686.55","        692.65","       2765","             1915188.15","        436","       1556","         56.27"
"VAIBHAVGBL","EQ","17-Sep-2018","        686.55","        697.95","        748.00","        690.00","        727.00","        725.40","        720.56","      27464","            19789546.25","       1328","      14476","         52.71"
"VAIBHAVGBL","EQ","18-Sep-2018","        725.40","        729.00","        759.00","        729.00","        751.00","        750.25","        745.78","      24465","            18245541.95","       1065","      17028","         69.60"
"VAIBHAVGBL","EQ","19-Sep-2018","        750.25","        759.15","        768.00","        755.00","        763.00","        764.60","        762.41","      15506","            11821920.95","        564","      11294","         72.84"
"VAIBHAVGBL","EQ","21-Sep-2018","        764.60","        775.70","        775.70","        734.95","        756.00","        743.00","        747.31","      19190","            14340910.70","        944","      14131","         73.64"
"VAIBHAVGBL","EQ","24-Sep-2018","        743.00","        755.00","        755.00","        704.30","        712.00","        710.10","        735.33","      66986","            49256693.95","       1131","      58995","         88.07"
"VAIBHAVGBL","EQ","25-Sep-2018","        710.10","        714.85","        714.85","        679.90","        699.95","        699.10","        697.74","      16753","            11689227.35","       1605","      10993","         65.62"
"VAIBHAVGBL","EQ","26-Sep-2018","        699.10","        690.15","        710.05","        663.10","        684.05","        677.20","        688.51","      16278","            11207599.20","       1623","       8312","         51.06"
"VAIBHAVGBL","EQ","27-Sep-2018","        677.20","        672.20","        686.40","        656.90","        662.95","        664.65","        670.91","      11619","             7795329.75","       1500","       8084","         69.58"
"VAIBHAVGBL","EQ","28-Sep-2018","        664.65","        664.70","        685.75","        589.65","        589.65","        600.60","        631.02","      24428","            15414501.20","       1969","      13340","         54.61"
"VAIBHAVGBL","EQ","01-Oct-2018","        600.60","        599.40","        607.90","        577.40","        600.05","        600.45","        599.56","      82384","            49394198.10","       1389","      54909","         66.65"
"VAIBHAVGBL","EQ","03-Oct-2018","        600.45","        600.00","        652.05","        600.00","        610.00","        616.65","        632.01","       7957","             5028895.90","        649","       4660","         58.56"
"VAIBHAVGBL","EQ","04-Oct-2018","        616.65","        600.00","        631.40","        595.05","        622.00","        620.65","        611.00","       5421","             3312256.40","        422","       3496","         64.49"
"VAIBHAVGBL","EQ","05-Oct-2018","        620.65","        660.00","        660.00","        590.00","        600.00","        603.65","        618.81","       6689","             4139238.35","        496","       4642","         69.40"
"VAIBHAVGBL","EQ","08-Oct-2018","        603.65","        590.00","        627.00","        590.00","        606.05","        606.35","        604.30","      15923","             9622274.50","        817","      12981","         81.52"
"VAIBHAVGBL","EQ","09-Oct-2018","        606.35","        603.00","        635.15","        597.40","        626.35","        629.75","        603.77","     115744","            69882663.15","       1534","     106854","         92.32"
"VAIBHAVGBL","EQ","10-Oct-2018","        629.75","        624.40","        660.00","        611.95","        646.50","        647.25","        640.36","      14272","             9139189.65","        902","       9406","         65.91"
"VAIBHAVGBL","EQ","11-Oct-2018","        647.25","        615.00","        651.05","        615.00","        640.00","        640.00","        640.37","       3049","             1952499.50","        457","       1758","         57.66"
"VAIBHAVGBL","EQ","12-Oct-2018","        640.00","        648.55","        655.40","        640.60","        655.40","        652.80","        648.84","       2523","             1637029.30","        262","       1883","         74.63"
"VAIBHAVGBL","EQ","15-Oct-2018","        652.80","        668.40","        668.40","        635.35","        650.00","        649.50","        653.32","       2821","             1843015.75","        277","       2060","         73.02"
"VAIBHAVGBL","EQ","16-Oct-2018","        649.50","        646.70","        701.55","        646.70","        690.10","        694.70","        682.37","       8458","             5771496.05","       1011","       5557","         65.70"
"VAIBHAVGBL","EQ","17-Oct-2018","        694.70","        683.40","        705.60","        665.60","        675.05","        679.20","        691.83","       5924","             4098424.80","        608","       4264","         71.98"
"VAIBHAVGBL","EQ","19-Oct-2018","        679.20","        699.45","        699.45","        629.30","        647.00","        646.10","        643.73","      19041","            12257282.30","       1623","      12409","         65.17"
"VAIBHAVGBL","EQ","22-Oct-2018","        646.10","        651.35","        651.35","        630.60","        638.85","        634.20","        639.85","       2895","             1852359.55","        683","       1713","         59.17"
"VAIBHAVGBL","EQ","23-Oct-2018","        634.20","        644.05","        706.00","        616.00","        692.05","        688.35","        633.98","     160377","           101675822.95","       2958","     127812","         79.69"
"VAIBHAVGBL","EQ","24-Oct-2018","        688.35","        690.25","        707.45","        661.65","        673.00","        666.50","        678.87","       7837","             5320279.95","        950","       3253","         41.51"
"VAIBHAVGBL","EQ","25-Oct-2018","        666.50","        676.35","        676.35","        652.60","        659.85","        657.30","        662.34","       4449","             2946752.85","        625","       1798","         40.41"
"VAIBHAVGBL","EQ","26-Oct-2018","        657.30","        670.35","        698.95","        652.40","        679.65","        682.25","        669.61","       4253","             2847857.90","        668","       2167","         50.95"
"VAIBHAVGBL","EQ","29-Oct-2018","        682.25","        676.05","        718.10","        675.05","        711.00","        708.95","        699.48","       9565","             6690486.70","        946","       6445","         67.38"
"VAIBHAVGBL","EQ","30-Oct-2018","        708.95","        712.00","        752.00","        712.00","        738.00","        741.60","        738.48","      34980","            25831975.75","       1778","      24151","         69.04"
