"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VIPIND","EQ","11-Sep-2018","        560.40","        561.05","        567.95","        535.15","        538.95","        540.50","        549.11","     245998","           135080594.80","       7756","     120982","         49.18"
"VIPIND","EQ","12-Sep-2018","        540.50","        535.00","        540.00","        515.00","        523.00","        522.20","        520.63","     535213","           278647764.30","      14080","     343190","         64.12"
"VIPIND","EQ","14-Sep-2018","        522.20","        529.30","        548.30","        529.25","        548.30","        548.30","        541.67","     147606","            79953164.10","       4264","      85010","         57.59"
"VIPIND","EQ","17-Sep-2018","        548.30","        555.00","        562.00","        535.40","        544.80","        547.45","        550.85","     268714","           148020202.45","      13157","     154790","         57.60"
"VIPIND","EQ","18-Sep-2018","        547.45","        547.00","        553.10","        537.05","        539.35","        540.95","        546.19","     103048","            56283767.80","       5816","      55390","         53.75"
"VIPIND","EQ","19-Sep-2018","        540.95","        547.00","        547.00","        515.95","        522.65","        522.95","        526.79","     182583","            96182792.40","      12659","     106457","         58.31"
"VIPIND","EQ","21-Sep-2018","        522.95","        532.90","        537.90","        500.00","        514.85","        508.50","        512.33","     351358","           180011031.10","      15364","     245998","         70.01"
"VIPIND","EQ","24-Sep-2018","        508.50","        508.00","        515.00","        485.55","        492.05","        493.65","        496.55","     297804","           147875820.95","      10806","     213635","         71.74"
"VIPIND","EQ","25-Sep-2018","        493.65","        493.00","        493.65","        469.00","        471.00","        473.05","        477.87","     485000","           231767274.35","      11978","     358310","         73.88"
"VIPIND","EQ","26-Sep-2018","        473.05","        475.00","        479.15","        451.25","        457.25","        457.00","        459.98","     258330","           118827000.20","      10904","     133136","         51.54"
"VIPIND","EQ","27-Sep-2018","        457.00","        463.50","        469.75","        434.15","        435.10","        435.35","        451.24","     302012","           136280457.90","       9118","     123651","         40.94"
"VIPIND","EQ","28-Sep-2018","        435.35","        436.00","        443.80","        413.60","        413.60","        413.60","        421.13","     314868","           132601725.35","      10757","     142812","         45.36"
"VIPIND","EQ","01-Oct-2018","        413.60","        410.00","        410.00","        392.95","        400.50","        400.45","        395.42","     407852","           161273214.45","      16882","     293620","         71.99"
"VIPIND","EQ","03-Oct-2018","        400.45","        414.00","        420.45","        397.50","        414.50","        414.45","        414.84","     420095","           174273653.50","      13422","     224072","         53.34"
"VIPIND","EQ","04-Oct-2018","        414.45","        404.00","        414.75","        395.35","        403.00","        407.75","        404.71","     236065","            95537575.50","       8871","     119312","         50.54"
"VIPIND","EQ","05-Oct-2018","        407.75","        408.00","        422.00","        396.00","        406.00","        408.80","        410.72","     185152","            76045073.05","       8337","      80599","         43.53"
"VIPIND","EQ","08-Oct-2018","        408.80","        402.00","        407.50","        389.00","        396.00","        395.25","        397.07","     200039","            79430142.05","      10543","     122639","         61.31"
"VIPIND","EQ","09-Oct-2018","        395.25","        396.05","        407.00","        375.50","        375.50","        378.55","        392.35","     171282","            67203253.85","       8102","      89800","         52.43"
"VIPIND","EQ","10-Oct-2018","        378.55","        376.00","        397.45","        376.00","        397.45","        397.45","        390.65","      84677","            33079441.00","       2732","      54345","         64.18"
"VIPIND","EQ","11-Oct-2018","        397.45","        389.00","        417.30","        381.05","        417.30","        416.75","        407.59","     279160","           113783452.60","       9551","      98896","         35.43"
"VIPIND","EQ","12-Oct-2018","        416.75","        429.95","        436.00","        423.00","        431.00","        430.00","        430.89","     258095","           111211158.65","      11150","     147198","         57.03"
"VIPIND","EQ","15-Oct-2018","        430.00","        440.00","        449.90","        435.05","        440.00","        441.65","        442.83","     184559","            81728859.65","       7796","      98417","         53.33"
"VIPIND","EQ","16-Oct-2018","        441.65","        463.70","        463.70","        448.85","        463.70","        462.50","        457.68","     329842","           150963656.55","      20821","     201654","         61.14"
"VIPIND","EQ","17-Oct-2018","        462.50","        475.00","        484.00","        443.25","        452.20","        452.20","        472.57","     479419","           226556820.10","      18902","     235822","         49.19"
"VIPIND","EQ","19-Oct-2018","        452.20","        452.00","        452.00","        429.60","        429.60","        429.60","        433.70","     205857","            89280916.10","      12120","     111262","         54.05"
"VIPIND","EQ","22-Oct-2018","        429.60","        436.00","        440.70","        408.15","        408.30","        408.40","        415.32","     153115","            63592207.60","       9691","      86643","         56.59"
"VIPIND","EQ","23-Oct-2018","        408.40","        399.95","        421.45","        393.10","        403.80","        404.05","        405.19","     222561","            90179523.65","       9249","      97923","         44.00"
"VIPIND","EQ","24-Oct-2018","        404.05","        414.70","        419.85","        405.00","        410.00","        409.30","        408.21","     173263","            70728031.65","       7922","      95814","         55.30"
"VIPIND","EQ","25-Oct-2018","        409.30","        405.95","        405.95","        390.35","        390.40","        392.50","        394.81","     191535","            75620790.25","      10072","     113128","         59.06"
"VIPIND","EQ","26-Oct-2018","        392.50","        392.20","        412.10","        383.00","        396.00","        397.75","        402.50","     429663","           172937601.75","      11103","     150300","         34.98"
"VIPIND","EQ","29-Oct-2018","        397.75","        417.60","        417.60","        410.00","        417.60","        417.60","        416.44","     129517","            53935588.25","       2364","      78796","         60.84"
"VIPIND","EQ","30-Oct-2018","        417.60","        430.00","        448.30","        423.40","        434.00","        434.35","        437.14","     572043","           250064934.05","      19090","     196644","         34.38"
"VIPIND","EQ","31-Oct-2018","        434.35","        444.00","        446.90","        425.05","        442.10","        442.60","        438.15","     391665","           171606716.75","      20407","     171496","         43.79"
"VIPIND","EQ","01-Nov-2018","        442.60","        445.00","        457.00","        440.05","        455.20","        454.30","        451.01","     339853","           153278119.00","      20923","     142739","         42.00"
"VIPIND","EQ","02-Nov-2018","        454.30","        460.60","        474.35","        459.00","        471.80","        470.50","        468.67","     451590","           211645208.65","      15119","     236338","         52.33"
"VIPIND","EQ","05-Nov-2018","        470.50","        472.00","        472.00","        445.60","        450.00","        449.40","        452.92","     205620","            93129361.85","       8906","      89671","         43.61"
"VIPIND","EQ","06-Nov-2018","        449.40","        454.00","        459.85","        437.00","        438.70","        440.25","        444.56","     160223","            71228784.75","       5892","      67002","         41.82"
"VIPIND","EQ","07-Nov-2018","        440.25","        447.80","        456.80","        441.20","        455.00","        453.55","        452.30","      74415","            33658208.65","       2794","      35524","         47.74"
"VIPIND","EQ","09-Nov-2018","        453.55","        456.40","        458.50","        440.40","        449.95","        451.50","        450.57","     515592","           232308830.25","      28057","     263320","         51.07"
"VIPIND","EQ","12-Nov-2018","        451.50","        448.00","        450.45","        435.25","        437.50","        438.35","        439.79","     199872","            87901648.85","       7352","      87013","         43.53"
"VIPIND","EQ","13-Nov-2018","        438.35","        438.00","        438.00","        421.10","        426.00","        426.90","        427.45","     225656","            96457785.00","       9194","      99504","         44.10"
"VIPIND","EQ","14-Nov-2018","        426.90","        432.00","        452.00","        429.05","        444.90","        446.30","        441.54","     403238","           178046628.35","      10839","     169036","         41.92"
"VIPIND","EQ","15-Nov-2018","        446.30","        448.50","        482.00","        437.00","        466.00","        468.30","        463.96","    1210298","           561530393.25","      26581","     413466","         34.16"
"VIPIND","EQ","16-Nov-2018","        468.30","        465.50","        471.00","        455.05","        460.50","        461.30","        460.73","     471481","           217223142.50","      14700","     238390","         50.56"
"VIPIND","EQ","19-Nov-2018","        461.30","        463.15","        488.35","        454.00","        486.00","        481.15","        473.92","     800154","           379206088.50","      22146","     342302","         42.78"
"VIPIND","EQ","20-Nov-2018","        481.15","        465.00","        491.60","        465.00","        472.80","        473.20","        478.99","     465006","           222732867.35","      13655","     184260","         39.63"
"VIPIND","EQ","21-Nov-2018","        473.20","        470.20","        479.80","        458.35","        460.70","        462.50","        465.92","     379720","           176918335.55","      17922","     191244","         50.36"
"VIPIND","EQ","22-Nov-2018","        462.50","        464.20","        470.00","        458.35","        461.90","        460.95","        463.19","     177396","            82168793.95","       6918","      72359","         40.79"
"VIPIND","EQ","26-Nov-2018","        460.95","        465.00","        492.50","        463.50","        488.35","        488.60","        479.05","    1007374","           482582555.90","      27231","     523807","         52.00"
"VIPIND","EQ","27-Nov-2018","        488.60","        489.90","        532.35","        488.60","        524.10","        526.30","        516.40","    2331723","          1204094298.85","      64596","     673514","         28.88"
"VIPIND","EQ","28-Nov-2018","        526.30","        521.50","        534.70","        507.05","        525.00","        523.55","        523.93","    1242753","           651113918.55","      47832","     446163","         35.90"
"VIPIND","EQ","29-Nov-2018","        523.55","        527.00","        529.90","        510.00","        523.05","        521.75","        521.77","     574503","           299755910.65","      27716","     242850","         42.27"
"VIPIND","EQ","30-Nov-2018","        521.75","        525.50","        539.20","        523.05","        532.50","        533.90","        533.40","     555242","           296168187.90","      25448","     197029","         35.49"
"VIPIND","EQ","03-Dec-2018","        533.90","        539.90","        540.00","        523.10","        530.00","        530.15","        530.18","     331309","           175652017.65","      25767","     173874","         52.48"
"VIPIND","EQ","04-Dec-2018","        530.15","        530.00","        538.70","        518.15","        530.65","        531.15","        531.05","     271739","           144306556.15","      15529","      96380","         35.47"
"VIPIND","EQ","05-Dec-2018","        531.15","        520.00","        528.80","        515.15","        521.55","        523.25","        522.08","     203748","           106373201.15","       7903","      72861","         35.76"
"VIPIND","EQ","06-Dec-2018","        523.25","        517.00","        519.00","        500.05","        509.65","        509.45","        507.37","     270627","           137308212.95","      17900","     101939","         37.67"
"VIPIND","EQ","07-Dec-2018","        509.45","        514.00","        530.95","        514.00","        519.00","        520.60","        523.27","     386730","           202364608.40","      17684","     103825","         26.85"
"VIPIND","EQ","10-Dec-2018","        520.60","        508.95","        510.35","        488.50","        490.00","        494.05","        502.35","     281001","           141160283.10","       9543","      88150","         31.37"
"VIPIND","EQ","11-Dec-2018","        494.05","        481.00","        521.00","        478.05","        519.75","        516.90","        505.16","     474146","           239521723.95","      15762","     143876","         30.34"
"VIPIND","EQ","12-Dec-2018","        516.90","        524.70","        544.95","        520.45","        538.90","        537.20","        538.25","     755692","           406754724.85","      31846","     301059","         39.84"
"VIPIND","EQ","13-Dec-2018","        537.20","        542.45","        545.95","        530.20","        535.00","        535.10","        537.07","     260555","           139935897.90","      10610","      93537","         35.90"
"VIPIND","EQ","14-Dec-2018","        535.10","        534.00","        539.50","        525.70","        526.25","        528.50","        530.69","     190018","           100840850.10","      11906","      86940","         45.75"
"VIPIND","EQ","17-Dec-2018","        528.50","        530.00","        533.30","        518.45","        518.45","        522.25","        524.55","     152530","            80010007.10","       7532","      74516","         48.85"
"VIPIND","EQ","18-Dec-2018","        522.25","        519.00","        536.80","        514.55","        526.80","        527.00","        528.23","     386097","           203946109.45","      17796","     135311","         35.05"
"VIPIND","EQ","19-Dec-2018","        527.00","        529.30","        531.45","        518.00","        520.00","        520.80","        525.11","     296454","           155671539.45","      11747","     120016","         40.48"
"VIPIND","EQ","20-Dec-2018","        520.80","        519.00","        526.30","        515.50","        519.05","        520.35","        520.30","     244501","           127214239.00","      11535","     117477","         48.05"
"VIPIND","EQ","21-Dec-2018","        520.35","        520.00","        533.10","        514.35","        518.90","        519.45","        526.07","     477356","           251121231.25","      22916","     166802","         34.94"
"VIPIND","EQ","24-Dec-2018","        519.45","        519.45","        520.85","        504.00","        505.35","        505.70","        509.68","     191199","            97449766.30","       8363","      62391","         32.63"
"VIPIND","EQ","26-Dec-2018","        505.70","        514.00","        567.00","        506.95","        508.25","        510.85","        514.05","     419299","           215542212.55","      15274","      72045","         17.18"
