"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VRLLOG","EQ","11-Sep-2018","        306.45","        306.50","        308.95","        301.10","        306.00","        304.50","        304.14","     294885","            89687084.80","       2565","     240231","         81.47"
"VRLLOG","EQ","12-Sep-2018","        304.50","        304.50","        305.95","        294.00","        296.00","        294.90","        296.72","      79251","            23514977.90","       3556","      49507","         62.47"
"VRLLOG","EQ","14-Sep-2018","        294.90","        297.00","        300.25","        296.50","        299.00","        299.15","        299.59","      41852","            12538328.40","       2158","      29414","         70.28"
"VRLLOG","EQ","17-Sep-2018","        299.15","        301.00","        301.00","        295.00","        295.15","        296.30","        296.51","      48587","            14406581.85","       3685","      33180","         68.29"
"VRLLOG","EQ","18-Sep-2018","        296.30","        298.90","        300.00","        291.00","        295.00","        295.60","        296.05","     107522","            31832361.15","       2609","      64005","         59.53"
"VRLLOG","EQ","19-Sep-2018","        295.60","        298.00","        300.00","        287.05","        290.00","        295.65","        291.88","     265114","            77382237.80","       2941","     228170","         86.06"
"VRLLOG","EQ","21-Sep-2018","        295.65","        297.95","        304.00","        292.70","        295.00","        294.70","        297.76","     106744","            31784538.40","       2443","      78128","         73.19"
"VRLLOG","EQ","24-Sep-2018","        294.70","        294.00","        296.75","        284.00","        285.15","        285.90","        288.34","      27999","             8073325.65","       1527","      14674","         52.41"
"VRLLOG","EQ","25-Sep-2018","        285.90","        285.90","        293.40","        284.00","        291.70","        290.30","        287.13","      55051","            15806647.35","       1979","      41587","         75.54"
"VRLLOG","EQ","26-Sep-2018","        290.30","        292.00","        292.00","        280.00","        281.30","        280.90","        284.80","      49783","            14178132.10","       2575","      39152","         78.65"
"VRLLOG","EQ","27-Sep-2018","        280.90","        283.00","        285.00","        276.10","        279.90","        280.45","        281.90","      13798","             3889650.05","        550","       6853","         49.67"
"VRLLOG","EQ","28-Sep-2018","        280.45","        280.45","        282.50","        266.20","        267.05","        268.05","        273.99","      22373","             6130064.05","       1258","      13204","         59.02"
"VRLLOG","EQ","01-Oct-2018","        268.05","        270.10","        282.00","        262.00","        282.00","        275.65","        268.38","     307515","            82531451.40","       2789","     259957","         84.53"
"VRLLOG","EQ","03-Oct-2018","        275.65","        276.00","        276.00","        263.00","        264.50","        266.25","        267.41","      78337","            20947717.55","       2705","      48230","         61.57"
"VRLLOG","EQ","04-Oct-2018","        266.25","        264.00","        272.00","        257.30","        271.30","        269.85","        263.19","      55411","            14583537.10","       1564","      34944","         63.06"
"VRLLOG","EQ","05-Oct-2018","        269.85","        270.90","        273.00","        268.80","        269.00","        270.55","        270.45","      17667","             4777954.65","        710","       7553","         42.75"
"VRLLOG","EQ","08-Oct-2018","        270.55","        269.00","        269.05","        260.00","        262.00","        262.75","        263.38","      22679","             5973174.20","       1397","      10524","         46.40"
"VRLLOG","EQ","09-Oct-2018","        262.75","        261.05","        265.00","        254.75","        258.50","        258.45","        258.05","      31707","             8181896.70","       2797","      17697","         55.81"
"VRLLOG","EQ","10-Oct-2018","        258.45","        257.00","        262.00","        257.00","        259.40","        259.40","        259.56","     147436","            38268902.65","       1681","     134081","         90.94"
"VRLLOG","EQ","11-Oct-2018","        259.40","        256.00","        258.00","        253.15","        257.50","        256.25","        255.57","      17342","             4432134.60","        867","      10677","         61.57"
"VRLLOG","EQ","12-Oct-2018","        256.25","        259.00","        269.50","        254.00","        260.25","        262.20","        262.79","      37402","             9828986.60","       1080","      23322","         62.35"
"VRLLOG","EQ","15-Oct-2018","        262.20","        263.00","        263.00","        255.50","        255.55","        256.50","        258.79","     159053","            41161304.70","       3491","     136467","         85.80"
"VRLLOG","EQ","16-Oct-2018","        256.50","        258.00","        259.60","        255.50","        257.00","        256.50","        257.85","      78321","            20195005.80","       1098","      68471","         87.42"
"VRLLOG","EQ","17-Oct-2018","        256.50","        258.00","        259.10","        253.20","        253.20","        254.25","        255.98","      30344","             7767565.75","       1605","      23216","         76.51"
"VRLLOG","EQ","19-Oct-2018","        254.25","        254.25","        255.00","        248.70","        253.00","        252.55","        250.21","     133246","            33339352.25","       4359","     122096","         91.63"
"VRLLOG","EQ","22-Oct-2018","        252.55","        250.25","        264.00","        248.45","        252.00","        252.25","        257.10","      44165","            11354958.50","       2633","      17074","         38.66"
"VRLLOG","EQ","23-Oct-2018","        252.25","        253.00","        254.95","        250.30","        254.35","        253.20","        253.10","       8123","             2055906.15","        567","       4124","         50.77"
"VRLLOG","EQ","24-Oct-2018","        253.20","        253.20","        262.90","        251.50","        258.25","        259.15","        258.82","      20722","             5363188.80","        844","      12951","         62.50"
"VRLLOG","EQ","25-Oct-2018","        259.15","        258.25","        259.95","        254.00","        254.25","        255.75","        256.74","      13962","             3584543.65","        639","       7443","         53.31"
