"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VSTTILLERS","EQ","11-Sep-2018","       2080.75","       2082.00","       2095.00","       2058.60","       2066.00","       2062.85","       2080.39","       2781","             5785568.55","        406","       1948","         70.05"
"VSTTILLERS","EQ","12-Sep-2018","       2062.85","       2062.85","       2083.05","       1994.50","       1998.00","       1999.40","       2013.35","       6144","            12370008.25","        781","       4386","         71.39"
"VSTTILLERS","EQ","14-Sep-2018","       1999.40","       2039.00","       2052.05","       1980.00","       1989.10","       1990.80","       1999.07","       9168","            18327466.10","       1963","       7803","         85.11"
"VSTTILLERS","EQ","17-Sep-2018","       1990.80","       1997.40","       2020.65","       1984.00","       1995.00","       1994.75","       1995.96","       1864","             3720470.10","        334","        958","         51.39"
"VSTTILLERS","EQ","18-Sep-2018","       1994.75","       2019.00","       2019.00","       1958.00","       1958.00","       1960.55","       1976.09","       3185","             6293848.35","        709","       2445","         76.77"
"VSTTILLERS","EQ","19-Sep-2018","       1960.55","       1960.05","       2005.00","       1956.00","       1995.00","       1990.00","       1987.40","       1678","             3334861.95","        347","       1052","         62.69"
"VSTTILLERS","EQ","21-Sep-2018","       1990.00","       1989.95","       1991.75","       1940.00","       1956.00","       1954.05","       1964.15","       2063","             4052042.20","        426","       1302","         63.11"
"VSTTILLERS","EQ","24-Sep-2018","       1954.05","       1940.40","       1983.25","       1880.00","       1880.00","       1902.70","       1926.10","       2666","             5134982.65","        544","       1803","         67.63"
"VSTTILLERS","EQ","25-Sep-2018","       1902.70","       1925.00","       1925.00","       1840.00","       1865.00","       1857.20","       1863.64","       3988","             7432210.55","        752","       2670","         66.95"
"VSTTILLERS","EQ","26-Sep-2018","       1857.20","       1858.00","       1922.35","       1856.00","       1868.05","       1872.00","       1880.50","      19066","            35853650.55","        385","      18475","         96.90"
"VSTTILLERS","EQ","27-Sep-2018","       1872.00","       1874.95","       1875.00","       1836.00","       1845.10","       1846.15","       1848.11","       2076","             3836666.50","        309","       1685","         81.17"
"VSTTILLERS","EQ","28-Sep-2018","       1846.15","       1850.50","       1850.50","       1760.05","       1809.00","       1790.65","       1801.97","       6657","            11995689.00","       1651","       4422","         66.43"
"VSTTILLERS","EQ","01-Oct-2018","       1790.65","       1771.00","       1790.05","       1720.00","       1760.00","       1726.20","       1733.11","       7262","            12585833.55","       1024","       5941","         81.81"
"VSTTILLERS","EQ","03-Oct-2018","       1726.20","       1752.05","       1755.00","       1661.00","       1661.00","       1670.70","       1712.62","       9093","            15572891.30","       1450","       7797","         85.75"
"VSTTILLERS","EQ","04-Oct-2018","       1670.70","       1646.85","       1646.85","       1541.15","       1569.95","       1561.10","       1562.63","      28414","            44400431.50","       3506","      19279","         67.85"
"VSTTILLERS","EQ","05-Oct-2018","       1561.10","       1560.00","       1609.00","       1548.00","       1589.00","       1579.85","       1579.16","       2884","             4554284.95","        706","       1697","         58.84"
"VSTTILLERS","EQ","08-Oct-2018","       1579.85","       1600.00","       1618.00","       1565.00","       1618.00","       1591.10","       1586.32","       8614","            13664524.45","        957","       7014","         81.43"
"VSTTILLERS","EQ","09-Oct-2018","       1591.10","       1614.90","       1623.00","       1580.05","       1590.00","       1599.95","       1598.58","      23625","            37766427.80","        405","      22203","         93.98"
"VSTTILLERS","EQ","10-Oct-2018","       1599.95","       1591.35","       1641.95","       1585.00","       1585.00","       1591.00","       1608.11","       3768","             6059348.15","        521","       2953","         78.37"
"VSTTILLERS","EQ","11-Oct-2018","       1591.00","       1581.00","       1710.65","       1570.00","       1678.00","       1661.80","       1623.25","      15583","            25295068.35","       1796","      10046","         64.47"
"VSTTILLERS","EQ","12-Oct-2018","       1661.80","       1680.05","       1783.15","       1680.00","       1715.00","       1722.80","       1746.37","       3456","             6035462.55","        848","       1860","         53.82"
"VSTTILLERS","EQ","15-Oct-2018","       1722.80","       1800.00","       1800.00","       1643.10","       1789.50","       1779.75","       1730.79","       6873","            11895715.10","       1580","       4032","         58.66"
"VSTTILLERS","EQ","16-Oct-2018","       1779.75","       1790.00","       1811.00","       1789.95","       1799.75","       1800.00","       1796.89","       2397","             4307144.60","        283","       1896","         79.10"
"VSTTILLERS","EQ","17-Oct-2018","       1800.00","       1795.85","       1874.75","       1795.85","       1823.05","       1827.20","       1831.25","       2662","             4874798.20","        496","       1672","         62.81"
"VSTTILLERS","EQ","19-Oct-2018","       1827.20","       1819.50","       1829.20","       1756.00","       1820.00","       1821.95","       1805.56","       1500","             2708339.40","        336","       1072","         71.47"
"VSTTILLERS","EQ","22-Oct-2018","       1821.95","       1823.75","       1824.70","       1794.25","       1820.00","       1820.30","       1809.32","       1497","             2708550.35","        265","       1228","         82.03"
"VSTTILLERS","EQ","23-Oct-2018","       1820.30","       1801.95","       1825.00","       1760.40","       1795.00","       1793.50","       1790.51","       2770","             4959710.00","        353","       1981","         71.52"
"VSTTILLERS","EQ","24-Oct-2018","       1793.50","       1805.85","       1854.00","       1793.10","       1853.00","       1831.15","       1823.37","        720","             1312827.85","        235","        560","         77.78"
"VSTTILLERS","EQ","25-Oct-2018","       1831.15","       1817.05","       1856.40","       1766.50","       1825.00","       1825.10","       1816.39","       4223","             7670602.55","        513","       3283","         77.74"
"VSTTILLERS","EQ","26-Oct-2018","       1825.10","       1813.95","       1860.00","       1800.20","       1825.00","       1845.85","       1834.85","        683","             1253202.95","        199","        533","         78.04"
"VSTTILLERS","EQ","29-Oct-2018","       1845.85","       1872.25","       1885.00","       1776.60","       1845.05","       1870.75","       1861.97","       1417","             2638409.55","        447","        901","         63.59"
"VSTTILLERS","EQ","30-Oct-2018","       1870.75","       1887.40","       1887.40","       1795.95","       1801.25","       1827.85","       1851.02","       2253","             4170346.30","        365","       1790","         79.45"
"VSTTILLERS","EQ","31-Oct-2018","       1827.85","       1825.50","       1857.50","       1800.00","       1800.00","       1815.75","       1826.33","       1355","             2474682.70","        375","        871","         64.28"
"VSTTILLERS","EQ","01-Nov-2018","       1815.75","       1816.00","       1873.45","       1802.45","       1869.50","       1869.40","       1851.84","       1089","             2016650.45","        308","        616","         56.57"
"VSTTILLERS","EQ","02-Nov-2018","       1869.40","       1873.95","       1972.30","       1800.00","       1830.00","       1823.85","       1883.56","      10420","            19626648.45","        592","       8743","         83.91"
"VSTTILLERS","EQ","05-Nov-2018","       1823.85","       1823.85","       1823.85","       1765.50","       1770.00","       1777.85","       1793.05","       3967","             7113042.95","        512","       2858","         72.04"
"VSTTILLERS","EQ","06-Nov-2018","       1777.85","       1777.85","       1777.85","       1740.00","       1740.00","       1750.65","       1759.08","       2289","             4026525.55","        347","       1447","         63.22"
"VSTTILLERS","EQ","07-Nov-2018","       1750.65","       1745.00","       1796.95","       1745.00","       1774.90","       1766.85","       1768.12","        199","              351856.70","         76","        146","         73.37"
"VSTTILLERS","EQ","09-Nov-2018","       1766.85","       1778.00","       1787.05","       1745.05","       1750.05","       1758.45","       1767.17","       2508","             4432067.20","        458","       1515","         60.41"
"VSTTILLERS","EQ","12-Nov-2018","       1758.45","       1718.00","       1720.00","       1538.80","       1607.15","       1614.85","       1604.86","      29753","            47749459.50","       5223","      15267","         51.31"
"VSTTILLERS","EQ","13-Nov-2018","       1614.85","       1604.00","       1624.05","       1573.30","       1589.50","       1580.40","       1586.00","      10124","            16056652.90","       2217","       8726","         86.19"
"VSTTILLERS","EQ","14-Nov-2018","       1580.40","       1624.00","       1624.00","       1551.10","       1566.00","       1557.10","       1566.23","      21162","            33144510.25","       1677","      20019","         94.60"
"VSTTILLERS","EQ","15-Nov-2018","       1557.10","       1557.25","       1609.00","       1557.25","       1570.00","       1567.70","       1575.28","       4414","             6953266.65","        555","       3188","         72.22"
"VSTTILLERS","EQ","16-Nov-2018","       1567.70","       1575.00","       1645.00","       1561.90","       1621.00","       1616.90","       1616.15","       4907","             7930428.95","        809","       3520","         71.73"
"VSTTILLERS","EQ","19-Nov-2018","       1616.90","       1635.00","       1635.00","       1587.05","       1602.00","       1606.45","       1602.80","       1670","             2676674.95","        330","        788","         47.19"
"VSTTILLERS","EQ","20-Nov-2018","       1606.45","       1606.50","       1719.00","       1605.00","       1638.00","       1641.40","       1666.98","       7950","            13252464.50","       1299","       3587","         45.12"
"VSTTILLERS","EQ","21-Nov-2018","       1641.40","       1649.95","       1658.95","       1603.10","       1608.05","       1627.40","       1626.75","       2100","             3416181.80","        468","       1263","         60.14"
"VSTTILLERS","EQ","22-Nov-2018","       1627.40","       1641.40","       1648.00","       1616.00","       1620.00","       1617.70","       1631.71","       2620","             4275068.80","        291","       1610","         61.45"
"VSTTILLERS","EQ","26-Nov-2018","       1617.70","       1620.00","       1624.40","       1584.55","       1600.00","       1596.30","       1601.07","       3151","             5044968.00","        533","       2158","         68.49"
"VSTTILLERS","EQ","27-Nov-2018","       1596.30","       1620.15","       1620.15","       1585.55","       1598.80","       1598.55","       1603.35","       2649","             4247283.95","        341","       1932","         72.93"
"VSTTILLERS","EQ","28-Nov-2018","       1598.55","       1600.25","       1614.85","       1574.15","       1580.00","       1584.30","       1598.44","       3255","             5202909.35","        367","       2500","         76.80"
"VSTTILLERS","EQ","29-Nov-2018","       1584.30","       1598.85","       1612.75","       1580.00","       1590.00","       1592.40","       1597.32","       2565","             4097137.95","        287","       1861","         72.55"
"VSTTILLERS","EQ","30-Nov-2018","       1592.40","       1616.00","       1616.00","       1576.00","       1577.00","       1580.85","       1590.70","       2943","             4681424.40","        477","       2399","         81.52"
"VSTTILLERS","EQ","03-Dec-2018","       1580.85","       1604.55","       1604.55","       1582.65","       1590.05","       1592.80","       1595.11","       1212","             1933267.95","        199","        954","         78.71"
"VSTTILLERS","EQ","04-Dec-2018","       1592.80","       1599.95","       1600.00","       1570.05","       1578.00","       1585.85","       1583.90","       1488","             2356848.25","        373","        877","         58.94"
"VSTTILLERS","EQ","05-Dec-2018","       1585.85","       1584.00","       1584.00","       1560.00","       1564.00","       1565.05","       1566.89","       6896","            10805263.15","        462","       6325","         91.72"
"VSTTILLERS","EQ","06-Dec-2018","       1565.05","       1555.80","       1575.00","       1550.00","       1564.00","       1558.55","       1557.08","       2288","             3562591.60","        400","       1738","         75.96"
"VSTTILLERS","EQ","07-Dec-2018","       1558.55","       1558.60","       1584.95","       1545.00","       1560.00","       1574.05","       1553.57","       3184","             4946562.75","        358","       2429","         76.29"
"VSTTILLERS","EQ","10-Dec-2018","       1574.05","       1574.05","       1574.05","       1550.00","       1550.00","       1560.90","       1554.30","       2134","             3316868.60","        306","       1604","         75.16"
"VSTTILLERS","EQ","11-Dec-2018","       1560.90","       1542.00","       1600.00","       1542.00","       1600.00","       1599.25","       1586.63","       1717","             2724244.35","        298","       1134","         66.05"
"VSTTILLERS","EQ","12-Dec-2018","       1599.25","       1600.05","       1600.05","       1564.10","       1577.50","       1584.95","       1585.38","       2611","             4139435.95","        404","       1525","         58.41"
"VSTTILLERS","EQ","13-Dec-2018","       1584.95","       1575.00","       1599.90","       1566.20","       1575.00","       1580.60","       1588.10","       2131","             3384241.00","        341","       1429","         67.06"
