"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WHEELS","EQ","11-Sep-2018","       1009.95","       1012.00","       1020.00","        990.00","       1000.00","        997.20","       1002.47","       1797","             1801436.20","        299","       1167","         64.94"
"WHEELS","EQ","12-Sep-2018","        997.20","        997.00","       1008.90","        987.05","        995.00","        999.70","        999.67","       1625","             1624464.10","        328","        972","         59.82"
"WHEELS","EQ","14-Sep-2018","        999.70","       1018.00","       1018.00","        990.00","       1017.90","       1004.90","       1002.26","       1213","             1215740.40","        237","        567","         46.74"
"WHEELS","EQ","17-Sep-2018","       1004.90","       1005.00","       1019.95","       1000.55","       1009.75","       1007.80","       1009.10","        887","              895076.00","        147","        569","         64.15"
"WHEELS","EQ","18-Sep-2018","       1007.80","       1009.80","       1060.00","        987.00","       1040.00","       1042.00","       1032.78","       8197","             8465729.10","       1122","       4044","         49.34"
"WHEELS","EQ","19-Sep-2018","       1042.00","       1042.00","       1058.00","       1022.25","       1040.00","       1039.00","       1038.98","       3269","             3396418.75","        385","       2190","         66.99"
"WHEELS","EQ","21-Sep-2018","       1039.00","       1030.05","       1042.00","       1023.00","       1040.10","       1039.40","       1038.69","       9491","             9858201.60","        400","       8475","         89.30"
"WHEELS","EQ","24-Sep-2018","       1039.40","       1030.10","       1045.00","       1019.30","       1040.00","       1040.85","       1039.44","       3792","             3941537.65","        268","       3129","         82.52"
"WHEELS","EQ","25-Sep-2018","       1040.85","       1041.00","       1043.95","       1027.40","       1040.00","       1040.00","       1039.88","       3266","             3396261.15","        233","       2861","         87.60"
"WHEELS","EQ","26-Sep-2018","       1040.00","       1038.20","       1046.20","       1031.00","       1040.00","       1040.05","       1040.44","       2547","             2649991.60","        178","       2249","         88.30"
"WHEELS","EQ","27-Sep-2018","       1040.05","       1038.05","       1045.00","       1038.05","       1040.00","       1040.00","       1040.05","       1589","             1652637.75","        105","       1521","         95.72"
"WHEELS","EQ","28-Sep-2018","       1040.00","       1030.50","       1042.15","       1030.50","       1041.00","       1039.20","       1039.63","       4085","             4246906.70","        288","       3734","         91.41"
"WHEELS","EQ","01-Oct-2018","       1039.20","       1034.80","       1044.95","       1034.80","       1040.00","       1040.05","       1039.79","       3029","             3149525.60","        202","       2589","         85.47"
"WHEELS","EQ","03-Oct-2018","       1040.05","       1049.00","       1055.00","       1036.15","       1050.00","       1040.00","       1040.09","      17069","            17753336.20","        820","      16599","         97.25"
"WHEELS","EQ","04-Oct-2018","       1040.00","       1025.05","       1046.00","        996.60","       1040.00","       1040.65","       1031.33","       3779","             3897411.10","        452","       2825","         74.76"
"WHEELS","EQ","05-Oct-2018","       1040.65","       1022.00","       1045.00","       1021.00","       1040.00","       1040.00","       1039.11","       3032","             3150589.55","        232","       2647","         87.30"
"WHEELS","EQ","08-Oct-2018","       1040.00","       1051.30","       1051.30","       1034.20","       1040.00","       1039.65","       1039.40","       2067","             2148447.80","        152","       1901","         91.97"
"WHEELS","EQ","09-Oct-2018","       1039.65","       1040.00","       1043.50","       1037.15","       1040.65","       1039.90","       1039.90","       2495","             2594561.95","        152","       2377","         95.27"
"WHEELS","EQ","10-Oct-2018","       1039.90","       1041.00","       1090.00","       1040.00","       1055.00","       1057.50","       1052.34","       2527","             2659266.20","        249","       1967","         77.84"
"WHEELS","EQ","11-Oct-2018","       1057.50","       1052.00","       1079.65","       1038.05","       1075.00","       1070.95","       1068.52","       2023","             2161621.60","        604","       1571","         77.66"
"WHEELS","EQ","12-Oct-2018","       1070.95","       1051.05","       1105.00","       1046.65","       1105.00","       1081.00","       1072.26","       2377","             2548768.85","        260","       1722","         72.44"
"WHEELS","EQ","15-Oct-2018","       1081.00","       1090.00","       1097.15","       1052.00","       1052.00","       1060.15","       1073.63","        611","              655988.85","        189","        351","         57.45"
