"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WINDMACHIN","EQ","14-Sep-2018","         88.05","         88.05","         90.75","         86.80","         89.35","         89.20","         88.78","     134195","            11914295.80","        873","      15177","         11.31"
"WINDMACHIN","EQ","17-Sep-2018","         89.20","         88.15","         88.15","         85.70","         87.50","         87.25","         87.12","     134096","            11681784.60","        972","      17461","         13.02"
"WINDMACHIN","EQ","18-Sep-2018","         87.25","         87.55","         89.15","         85.35","         87.20","         86.35","         87.46","     161017","            14082035.50","        751","      30566","         18.98"
"WINDMACHIN","EQ","19-Sep-2018","         86.35","         87.05","         88.85","         82.50","         85.00","         84.60","         85.86","     186020","            15971463.85","       1230","      42647","         22.93"
"WINDMACHIN","EQ","21-Sep-2018","         84.60","         86.65","         86.65","         75.00","         82.00","         80.10","         83.02","     199803","            16587980.70","       1026","      55065","         27.56"
"WINDMACHIN","EQ","24-Sep-2018","         80.10","         80.00","         82.80","         75.15","         79.25","         78.65","         77.32","     161831","            12512988.30","       1194","      39117","         24.17"
"WINDMACHIN","EQ","25-Sep-2018","         78.65","         75.15","         81.00","         73.10","         74.05","         74.05","         75.40","     180744","            13628251.60","       1276","      61376","         33.96"
"WINDMACHIN","EQ","26-Sep-2018","         74.05","         78.00","         78.00","         72.20","         72.55","         73.75","         74.10","     650594","            48211421.10","        749","     536708","         82.50"
"WINDMACHIN","EQ","27-Sep-2018","         73.75","         75.65","         78.85","         72.00","         72.10","         72.35","         75.65","    1472818","           111420005.35","       1873","     539570","         36.64"
"WINDMACHIN","EQ","28-Sep-2018","         72.35","         70.20","         73.50","         57.90","         57.90","         57.90","         62.10","     846974","            52598814.65","       3743","     568904","         67.17"
"WINDMACHIN","EQ","01-Oct-2018","         57.90","         57.85","         61.80","         51.10","         59.10","         59.70","         57.34","     268107","            15373727.60","       1987","      75343","         28.10"
