"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPL","BE","11-Sep-2018","         85.25","         81.00","         84.95","         81.00","         81.00","         81.00","         81.01","       2945","              238560.80","         11","-","-"
"WIPL","BE","12-Sep-2018","         81.00","         77.10","         85.00","         77.10","         85.00","         85.00","         84.80","       1029","               87256.10","          7","-","-"
"WIPL","BE","14-Sep-2018","         85.00","         80.75","         88.00","         80.75","         84.05","         84.05","         84.09","        542","               45575.50","          4","-","-"
"WIPL","BE","17-Sep-2018","         84.05","         84.00","         84.00","         84.00","         84.00","         84.00","         84.00","       4362","              366408.00","          4","-","-"
"WIPL","BE","18-Sep-2018","         84.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","        507","               40560.00","          5","-","-"
"WIPL","BE","19-Sep-2018","         80.00","         78.00","         84.00","         78.00","         78.00","         78.00","         78.16","        773","               60414.00","          4","-","-"
"WIPL","BE","21-Sep-2018","         78.00","         74.10","         75.00","         74.10","         75.00","         75.00","         75.00","       4119","              308918.70","          4","-","-"
"WIPL","BE","24-Sep-2018","         75.00","         77.10","         77.10","         71.25","         71.25","         71.25","         74.65","        715","               53371.50","          5","-","-"
"WIPL","BE","25-Sep-2018","         71.25","         67.70","         68.05","         67.70","         68.05","         68.05","         68.04","        366","               24902.80","          6","-","-"
"WIPL","BE","26-Sep-2018","         68.05","         65.00","         65.00","         65.00","         65.00","         65.00","         65.00","        876","               56940.00","          2","-","-"
"WIPL","BE","27-Sep-2018","         65.00","         66.10","         66.10","         65.30","         65.30","         65.30","         65.40","         40","                2616.00","          3","-","-"
"WIPL","BE","28-Sep-2018","         65.30","         65.10","         65.10","         65.10","         65.10","         65.10","         65.10","        290","               18879.00","          3","-","-"
"WIPL","BE","01-Oct-2018","         65.10","         65.10","         65.10","         64.80","         64.80","         64.80","         65.03","       1304","               84799.20","          3","-","-"
"WIPL","BE","04-Oct-2018","         64.80","         63.10","         64.50","         63.00","         63.00","         63.20","         63.56","       8000","              508487.00","         28","-","-"
"WIPL","BE","05-Oct-2018","         63.20","         63.00","         63.00","         62.50","         62.50","         62.50","         62.90","        250","               15725.00","          2","-","-"
"WIPL","BE","10-Oct-2018","         62.50","         65.60","         65.60","         65.60","         65.60","         65.60","         65.60","        233","               15284.80","          1","-","-"
"WIPL","BE","11-Oct-2018","         65.60","         68.85","         68.85","         68.85","         68.85","         68.85","         68.85","         10","                 688.50","          1","-","-"
"WIPL","BE","12-Oct-2018","         68.85","         71.00","         71.00","         65.60","         65.60","         65.60","         66.50","          6","                 399.00","          2","-","-"
"WIPL","BE","15-Oct-2018","         65.60","         62.70","         62.75","         62.70","         62.75","         62.75","         62.73","         18","                1129.10","          2","-","-"
"WIPL","BE","16-Oct-2018","         62.75","         60.25","         63.00","         59.70","         63.00","         63.00","         60.13","      16399","              986142.15","         17","-","-"
"WIPL","BE","17-Oct-2018","         63.00","         60.15","         63.00","         60.10","         62.50","         62.50","         61.18","        957","               58548.40","         12","-","-"
"WIPL","BE","19-Oct-2018","         62.50","         60.50","         60.50","         59.65","         59.65","         59.65","         60.10","        110","                6611.25","          5","-","-"
"WIPL","BE","22-Oct-2018","         59.65","         57.10","         57.10","         57.10","         57.10","         57.10","         57.10","          5","                 285.50","          1","-","-"
"WIPL","BE","23-Oct-2018","         57.10","         55.00","         59.95","         55.00","         59.85","         59.85","         56.96","       6560","              373665.25","          9","-","-"
"WIPL","BE","24-Oct-2018","         59.85","         59.85","         59.85","         59.85","         59.85","         59.85","         59.85","       1000","               59850.00","          1","-","-"
"WIPL","BE","25-Oct-2018","         59.85","         62.65","         62.65","         62.65","         62.65","         62.65","         62.65","          4","                 250.60","          2","-","-"
"WIPL","BE","26-Oct-2018","         62.65","         59.55","         59.55","         59.55","         59.55","         59.55","         59.55","          5","                 297.75","          1","-","-"
"WIPL","BE","29-Oct-2018","         59.55","         59.55","         59.55","         59.55","         59.55","         59.55","         59.55","         40","                2382.00","          2","-","-"
"WIPL","BE","31-Oct-2018","         59.55","         59.00","         59.00","         59.00","         59.00","         59.00","         59.00","        100","                5900.00","          1","-","-"
"WIPL","BE","01-Nov-2018","         59.00","         56.05","         60.00","         56.05","         56.50","         56.50","         57.69","        254","               14653.20","          8","-","-"
"WIPL","BE","02-Nov-2018","         56.50","         56.50","         59.00","         56.50","         59.00","         59.00","         58.77","        111","                6524.00","          4","-","-"
"WIPL","BE","05-Nov-2018","         59.00","         56.30","         58.00","         56.30","         58.00","         58.00","         56.81","        430","               24430.00","          3","-","-"
"WIPL","BE","06-Nov-2018","         58.00","         60.90","         60.90","         58.00","         60.00","         60.00","         58.00","       5211","              302258.40","          9","-","-"
