"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WORTH","SM","12-Sep-2018","         67.50","         69.90","         80.90","         69.90","         80.90","         78.50","         76.10","      40500","             3082125.00","         26","      39000","         96.30"
"WORTH","SM","14-Sep-2018","         78.50","         82.00","         82.00","         76.00","         76.00","         76.00","         79.00","       3000","              237000.00","          2","       3000","        100.00"
"WORTH","SM","17-Sep-2018","         76.00","         78.00","         79.00","         76.00","         76.00","         76.00","         77.63","      12000","              931500.00","          8","       9000","         75.00"
"WORTH","SM","18-Sep-2018","         76.00","         75.00","         75.00","         73.00","         74.90","         74.90","         74.30","       4500","              334350.00","          3","       3000","         66.67"
"WORTH","SM","19-Sep-2018","         74.90","         76.00","         78.00","         76.00","         78.00","         77.40","         77.38","       7500","              580350.00","          5","       7500","        100.00"
"WORTH","SM","21-Sep-2018","         77.40","         81.40","         81.40","         75.00","         75.50","         75.50","         76.38","       7500","              572850.00","          5","       6000","         80.00"
"WORTH","SM","24-Sep-2018","         75.50","         69.50","         70.00","         69.50","         70.00","         70.00","         69.75","       3000","              209250.00","          2","       1500","         50.00"
"WORTH","SM","25-Sep-2018","         70.00","         66.60","         66.60","         66.00","         66.00","         66.00","         66.26","       7500","              496950.00","          5","       7500","        100.00"
"WORTH","SM","26-Sep-2018","         66.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1500","              105000.00","          1","       1500","        100.00"
"WORTH","SM","27-Sep-2018","         70.00","         71.00","         76.00","         70.40","         70.40","         70.40","         73.64","      18000","             1325475.00","          9","      10500","         58.33"
"WORTH","SM","28-Sep-2018","         70.40","         69.95","         73.00","         66.30","         69.90","         69.90","         70.80","      34500","             2442750.00","         13","      22500","         65.22"
"WORTH","SM","01-Oct-2018","         69.90","         65.10","         66.00","         65.10","         66.00","         66.00","         65.70","       4500","              295650.00","          3","       3000","         66.67"
"WORTH","SM","03-Oct-2018","         66.00","         69.95","         73.00","         67.50","         73.00","         72.90","         71.09","      39000","             2772450.00","         14","      34500","         88.46"
"WORTH","SM","08-Oct-2018","         72.90","         68.00","         69.90","         66.10","         69.90","         68.00","         67.83","      15000","             1017450.00","          6","       7500","         50.00"
"WORTH","SM","10-Oct-2018","         68.00","         70.95","         75.00","         70.95","         75.00","         75.00","         72.52","      13500","              978975.00","          9","      13500","        100.00"
"WORTH","SM","11-Oct-2018","         75.00","         74.90","         75.50","         74.00","         74.00","         74.00","         74.84","      15000","             1122600.00","         10","      15000","        100.00"
"WORTH","SM","12-Oct-2018","         74.00","         72.10","         77.25","         72.10","         77.25","         76.40","         75.69","       9000","              681225.00","          6","       7500","         83.33"
"WORTH","SM","19-Oct-2018","         76.40","         71.50","         71.50","         71.50","         71.50","         71.50","         71.50","       4500","              321750.00","          3","       4500","        100.00"
"WORTH","SM","25-Oct-2018","         71.50","         71.35","         71.35","         71.35","         71.35","         71.35","         71.35","       1500","              107025.00","          1","       1500","        100.00"
"WORTH","SM","26-Oct-2018","         71.35","         68.00","         68.00","         68.00","         68.00","         68.00","         68.00","       1500","              102000.00","          1","       1500","        100.00"
"WORTH","SM","30-Oct-2018","         68.00","         70.95","         71.00","         70.95","         71.00","         70.95","         70.96","       7500","              532200.00","          5","       6000","         80.00"
"WORTH","SM","31-Oct-2018","         70.95","         71.00","         71.00","         71.00","         71.00","         71.00","         71.00","       3000","              213000.00","          1","       3000","        100.00"
"WORTH","SM","09-Nov-2018","         71.00","         74.50","         74.60","         73.50","         73.50","         73.50","         74.28","       6000","              445650.00","          3","       4500","         75.00"
"WORTH","SM","12-Nov-2018","         73.50","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       6000","              420000.00","          2","       6000","        100.00"
"WORTH","SM","15-Nov-2018","         70.00","         73.50","         73.50","         73.50","         73.50","         73.50","         73.50","       3000","              220500.00","          2","       3000","        100.00"
"WORTH","SM","16-Nov-2018","         73.50","         73.50","         73.50","         73.50","         73.50","         73.50","         73.50","       1500","              110250.00","          1","       1500","        100.00"
"WORTH","SM","19-Nov-2018","         73.50","         71.00","         71.00","         71.00","         71.00","         71.00","         71.00","       1500","              106500.00","          1","       1500","        100.00"
"WORTH","SM","21-Nov-2018","         71.00","         74.00","         74.00","         74.00","         74.00","         74.00","         74.00","       3000","              222000.00","          1","       3000","        100.00"
"WORTH","SM","29-Nov-2018","         74.00","         68.00","         70.00","         68.00","         70.00","         70.00","         69.00","       3000","              207000.00","          2","       1500","         50.00"
"WORTH","SM","30-Nov-2018","         70.00","         67.00","         67.00","         67.00","         67.00","         67.00","         67.00","       1500","              100500.00","          1","       1500","        100.00"
"WORTH","SM","03-Dec-2018","         67.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1500","              105000.00","          1","       1500","        100.00"
"WORTH","SM","06-Dec-2018","         70.00","         67.00","         72.00","         67.00","         70.00","         70.25","         69.89","      13500","              943500.00","          9","      12000","         88.89"
"WORTH","SM","07-Dec-2018","         70.25","         72.85","         72.90","         70.00","         70.00","         70.00","         72.06","       9000","              648525.00","          6","       7500","         83.33"
"WORTH","SM","10-Dec-2018","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","      12000","              840000.00","          6","      12000","        100.00"
"WORTH","SM","12-Dec-2018","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       6000","              420000.00","          4","       6000","        100.00"
"WORTH","SM","13-Dec-2018","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       7500","              525000.00","          5","       7500","        100.00"
"WORTH","SM","14-Dec-2018","         70.00","         70.05","         71.50","         70.00","         70.00","         70.00","         70.39","       6000","              422325.00","          4","       4500","         75.00"
"WORTH","SM","18-Dec-2018","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1500","              105000.00","          1","       1500","        100.00"
