"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEEL","EQ","11-Sep-2018","        472.75","        476.00","        480.00","        458.25","        463.00","        466.00","        467.85","    3978893","          1861536471.40","      62930","    1020626","         25.65"
"ZEEL","P2","11-Sep-2018","          7.80","          7.80","          7.85","          7.80","          7.85","          7.80","          7.80","       1266","                9880.10","         13","       1266","        100.00"
"ZEEL","EQ","12-Sep-2018","        466.00","        469.70","        472.50","        455.10","        464.75","        463.85","        462.72","    1634651","           756390684.55","      41244","     421509","         25.79"
"ZEEL","P2","12-Sep-2018","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","       2318","               18080.40","          6","       2318","        100.00"
"ZEEL","EQ","14-Sep-2018","        463.85","        468.40","        473.75","        464.75","        471.00","        472.05","        470.64","    1862346","           876495488.95","      60713","     871797","         46.81"
"ZEEL","P2","14-Sep-2018","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","       1403","               10943.40","          9","       1403","        100.00"
"ZEEL","EQ","17-Sep-2018","        472.05","        469.00","        478.80","        466.00","        473.00","        475.25","        474.26","    2190873","          1039038550.95","      39669","    1039032","         47.43"
"ZEEL","P2","17-Sep-2018","          7.80","          7.80","          7.90","          7.80","          7.85","          7.85","          7.87","        987","                7772.30","          7","        523","         52.99"
"ZEEL","EQ","18-Sep-2018","        475.25","        474.00","        477.30","        461.30","        462.55","        464.55","        470.26","    1810871","           851583372.80","      29992","     968560","         53.49"
"ZEEL","P2","18-Sep-2018","          7.85","          7.80","          7.90","          7.80","          7.80","          7.80","          7.80","       8916","               69547.20","         12","       8916","        100.00"
"ZEEL","BL","19-Sep-2018","        241.30","        456.25","        456.25","        456.25","        456.25","        456.25","        456.25","    1000000","           456250000.00","          1","    1000000","        100.00"
"ZEEL","EQ","19-Sep-2018","        464.55","        466.00","        467.05","        449.40","        450.10","        450.80","        453.11","    2779776","          1259541282.75","      62013","    1188249","         42.75"
"ZEEL","P2","19-Sep-2018","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","        655","                5109.00","          5","        655","        100.00"
"ZEEL","EQ","21-Sep-2018","        450.80","        455.00","        458.00","        434.05","        452.00","        450.85","        451.37","    6224800","          2809699866.30","      69632","    4239106","         68.10"
"ZEEL","P2","21-Sep-2018","          7.80","          7.90","          8.00","          7.80","          8.00","          7.95","          7.97","    1541987","            12295787.65","         58","    1541579","         99.97"
"ZEEL","EQ","24-Sep-2018","        450.85","        454.35","        455.65","        440.55","        446.35","        448.05","        446.76","    2277877","          1017654900.95","      31243","    1092528","         47.96"
"ZEEL","P2","24-Sep-2018","          7.95","          7.80","          7.80","          7.80","          7.80","          7.80","          7.80","        973","                7589.40","          8","        973","        100.00"
"ZEEL","EQ","25-Sep-2018","        448.05","        444.00","        453.45","        437.00","        450.00","        449.40","        446.18","    2593052","          1156973274.45","      49992","    1282026","         49.44"
"ZEEL","P2","25-Sep-2018","          7.80","          7.85","          7.85","          7.80","          7.80","          7.80","          7.80","      68841","              536960.40","         11","      68841","        100.00"
"ZEEL","EQ","26-Sep-2018","        449.40","        451.20","        452.35","        443.90","        447.45","        448.70","        448.97","    2217261","           995487993.20","      51844","     878986","         39.64"
"ZEEL","P2","26-Sep-2018","          7.80","          7.80","          7.95","          7.80","          7.80","          7.90","          7.90","      18060","              142619.40","         15","      18060","        100.00"
"ZEEL","EQ","27-Sep-2018","        448.70","        446.50","        453.70","        441.00","        448.00","        445.30","        447.59","    3419982","          1530733408.00","      68380","    2315309","         67.70"
"ZEEL","P2","27-Sep-2018","          7.90","          7.80","          7.90","          7.80","          7.90","          7.85","          7.86","     505118","             3972693.90","         26","     505118","        100.00"
