"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEELEARN","EQ","11-Sep-2018","         39.10","         39.10","         39.65","         37.90","         38.15","         38.40","         38.86","     196453","             7634177.20","       2278","      74610","         37.98"
"ZEELEARN","EQ","12-Sep-2018","         38.40","         38.40","         39.35","         37.80","         39.00","         38.80","         38.30","     195959","             7505075.60","       2313","      74660","         38.10"
"ZEELEARN","EQ","14-Sep-2018","         38.80","         38.95","         39.50","         38.55","         38.80","         38.95","         39.11","     220301","             8615516.25","       2193","      67460","         30.62"
"ZEELEARN","EQ","17-Sep-2018","         38.95","         38.55","         39.25","         38.50","         39.00","         38.95","         38.81","     201618","             7824070.15","       1958","      74346","         36.87"
"ZEELEARN","EQ","18-Sep-2018","         38.95","         38.55","         39.25","         38.50","         38.75","         38.70","         38.79","      81171","             3148448.75","       1526","      35614","         43.88"
"ZEELEARN","EQ","19-Sep-2018","         38.70","         38.70","         39.35","         38.20","         38.55","         38.75","         38.72","     111141","             4303895.75","       1605","      66541","         59.87"
"ZEELEARN","EQ","21-Sep-2018","         38.75","         38.75","         39.00","         35.15","         38.40","         38.20","         38.05","     333726","            12696706.00","       3353","     191798","         57.47"
"ZEELEARN","EQ","24-Sep-2018","         38.20","         38.55","         38.80","         37.30","         38.10","         37.65","         37.76","     422699","            15962964.80","       2513","     325550","         77.02"
"ZEELEARN","EQ","25-Sep-2018","         37.65","         37.55","         38.30","         37.25","         38.20","         38.00","         37.92","     262659","             9958921.35","       2428","     193380","         73.62"
"ZEELEARN","EQ","26-Sep-2018","         38.00","         37.55","         38.55","         36.35","         36.55","         36.80","         37.38","     143625","             5368461.10","       3123","      81075","         56.45"
"ZEELEARN","EQ","27-Sep-2018","         36.80","         36.80","         37.30","         36.25","         36.95","         36.80","         36.66","      93675","             3434336.30","       2341","      47597","         50.81"
