"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZICOM","EQ","11-Sep-2018","         10.70","         10.90","         11.00","         10.55","         10.70","         10.75","         10.71","      33564","              359400.55","        125","      23793","         70.89"
"ZICOM","EQ","12-Sep-2018","         10.75","         10.70","         10.80","         10.25","         10.75","         10.70","         10.50","      34134","              358518.80","        130","      27283","         79.93"
"ZICOM","EQ","14-Sep-2018","         10.70","         10.60","         11.00","          9.90","          9.90","         10.00","         10.02","     273513","             2740360.95","        657","     197005","         72.03"
"ZICOM","EQ","17-Sep-2018","         10.00","         10.00","         10.05","          9.80","         10.00","          9.95","          9.95","      40508","              403073.45","        159","      34184","         84.39"
"ZICOM","EQ","18-Sep-2018","          9.95","          9.55","         10.00","          9.55","          9.90","          9.85","          9.84","      28748","              283000.55","        122","      24744","         86.07"
"ZICOM","EQ","19-Sep-2018","          9.85","          9.90","          9.95","          9.50","          9.80","          9.75","          9.72","      23162","              225204.75","        116","      16179","         69.85"
"ZICOM","EQ","21-Sep-2018","          9.75","          9.95","         10.00","          9.35","          9.65","          9.55","          9.56","      40329","              385513.75","        188","      32672","         81.01"
"ZICOM","EQ","24-Sep-2018","          9.55","          9.90","          9.90","          9.00","          9.15","          9.15","          9.24","      15898","              146829.10","        109","      13787","         86.72"
"ZICOM","EQ","25-Sep-2018","          9.15","          9.00","          9.00","          8.50","          8.50","          8.55","          8.64","      49548","              428087.05","        256","      32068","         64.72"
"ZICOM","EQ","26-Sep-2018","          8.55","          8.45","          8.75","          8.15","          8.40","          8.30","          8.44","      22056","              186045.05","        131","      13914","         63.08"
"ZICOM","EQ","27-Sep-2018","          8.30","          8.40","          8.55","          8.20","          8.25","          8.25","          8.38","      40763","              341471.35","        130","      26637","         65.35"
"ZICOM","EQ","28-Sep-2018","          8.25","          8.20","          8.20","          7.20","          7.25","          7.25","          7.64","      47780","              364981.15","        227","      32691","         68.42"
"ZICOM","EQ","01-Oct-2018","          7.25","          7.70","          7.70","          6.40","          6.80","          6.85","          6.69","      65153","              436010.45","        205","      42154","         64.70"
"ZICOM","EQ","03-Oct-2018","          6.85","          6.50","          7.10","          6.50","          6.95","          7.00","          6.84","      41828","              286299.35","        139","      30786","         73.60"
"ZICOM","EQ","04-Oct-2018","          7.00","          7.25","          7.25","          6.60","          7.15","          7.15","          7.11","      33653","              239229.80","        114","      21372","         63.51"
"ZICOM","EQ","05-Oct-2018","          7.15","          7.25","          7.45","          6.70","          7.40","          7.20","          7.06","      31352","              221498.10","        150","      26649","         85.00"
"ZICOM","EQ","08-Oct-2018","          7.20","          7.00","          7.45","          6.85","          7.15","          7.00","          7.21","      17137","              123590.55","        107","      13524","         78.92"
"ZICOM","EQ","09-Oct-2018","          7.00","          7.35","          7.45","          7.10","          7.10","          7.25","          7.23","      12962","               93693.25","         63","       9060","         69.90"
"ZICOM","EQ","10-Oct-2018","          7.25","          7.10","          8.55","          7.00","          7.95","          7.85","          7.85","      48961","              384559.70","        235","      22492","         45.94"
"ZICOM","EQ","11-Oct-2018","          7.85","          7.50","          7.80","          7.15","          7.40","          7.35","          7.40","      38956","              288301.50","        137","      22719","         58.32"
"ZICOM","EQ","12-Oct-2018","          7.35","          7.35","          7.80","          7.35","          7.70","          7.55","          7.57","      18127","              137203.75","         81","      14829","         81.81"
"ZICOM","EQ","15-Oct-2018","          7.55","          8.00","          8.50","          7.45","          7.90","          8.00","          8.21","      88098","              723252.40","        285","      41734","         47.37"
"ZICOM","EQ","16-Oct-2018","          8.00","          8.05","          8.40","          8.05","          8.10","          8.10","          8.17","      39027","              318942.00","        128","      27573","         70.65"
"ZICOM","EQ","17-Oct-2018","          8.10","          8.05","          8.60","          7.75","          7.80","          7.90","          7.95","      24508","              194749.95","        118","      21179","         86.42"
"ZICOM","EQ","19-Oct-2018","          7.90","          8.00","          8.00","          7.50","          7.75","          7.85","          7.73","      20734","              160274.55","        161","      12567","         60.61"
"ZICOM","EQ","22-Oct-2018","          7.85","          8.15","          8.70","          7.40","          7.80","          7.85","          7.99","      14030","              112079.15","         91","       9126","         65.05"
"ZICOM","EQ","23-Oct-2018","          7.85","          7.70","          8.20","          7.25","          7.55","          7.55","          7.69","       9891","               76088.55","         65","       6193","         62.61"
"ZICOM","EQ","24-Oct-2018","          7.55","          7.60","          7.95","          7.20","          7.40","          7.50","          7.77","      48109","              373764.85","         59","      44716","         92.95"
"ZICOM","EQ","25-Oct-2018","          7.50","          7.80","          8.70","          7.20","          7.30","          7.40","          7.51","       7405","               55586.45","         64","       4348","         58.72"
"ZICOM","EQ","26-Oct-2018","          7.40","          7.30","          7.40","          7.00","          7.25","          7.20","          7.18","      18796","              134974.90","        107","      11383","         60.56"
"ZICOM","EQ","29-Oct-2018","          7.20","          7.20","          7.90","          7.00","          7.40","          7.40","          7.35","      13392","               98448.70","         92","       8168","         60.99"
"ZICOM","EQ","30-Oct-2018","          7.40","          7.50","          7.75","          7.50","          7.65","          7.60","          7.61","      12919","               98340.25","         65","       6577","         50.91"
"ZICOM","EQ","31-Oct-2018","          7.60","          7.55","          7.65","          7.30","          7.45","          7.55","          7.49","      11738","               87883.70","         53","       7275","         61.98"
"ZICOM","EQ","01-Nov-2018","          7.55","          7.40","          9.05","          7.40","          8.60","          8.55","          8.67","     150061","             1300480.75","        481","      76855","         51.22"
"ZICOM","EQ","02-Nov-2018","          8.55","          8.60","          9.00","          8.50","          8.85","          8.80","          8.82","      44392","              391560.70","        171","      28308","         63.77"
