"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZODIAC","SM","11-Sep-2018","         27.00","         27.00","         27.00","         27.00","         27.00","         27.00","         27.00","       2000","               54000.00","          1","       2000","        100.00"
"ZODIAC","SM","14-Sep-2018","         27.00","         26.30","         26.30","         24.50","         25.50","         25.50","         25.45","       8000","              203600.00","          4","       6000","         75.00"
"ZODIAC","SM","17-Sep-2018","         25.50","         25.00","         27.00","         25.00","         27.00","         27.00","         25.83","       6000","              155000.00","          3","       4000","         66.67"
"ZODIAC","SM","18-Sep-2018","         27.00","         27.50","         29.50","         27.50","         29.50","         29.50","         28.50","       4000","              114000.00","          2","       4000","        100.00"
"ZODIAC","SM","19-Sep-2018","         29.50","         28.60","         30.50","         26.60","         30.00","         29.80","         29.07","      18000","              523200.00","          9","      14000","         77.78"
"ZODIAC","SM","21-Sep-2018","         29.80","         31.85","         35.00","         30.00","         35.00","         33.10","         32.39","      18000","              583000.00","          9","      16000","         88.89"
"ZODIAC","SM","24-Sep-2018","         33.10","         32.00","         32.00","         27.10","         29.80","         29.80","         29.63","       6000","              177800.00","          3","       4000","         66.67"
"ZODIAC","SM","26-Sep-2018","         29.80","         30.00","         30.00","         30.00","         30.00","         30.00","         30.00","       6000","              180000.00","          3","       6000","        100.00"
"ZODIAC","SM","27-Sep-2018","         30.00","         25.50","         28.20","         25.50","         28.20","         28.20","         26.85","       4000","              107400.00","          2","       4000","        100.00"
"ZODIAC","SM","28-Sep-2018","         28.20","         28.00","         28.00","         28.00","         28.00","         28.00","         28.00","       6000","              168000.00","          1","       6000","        100.00"
"ZODIAC","SM","01-Oct-2018","         28.00","         26.55","         28.00","         25.00","         25.00","         26.80","         26.39","      20000","              527800.00","         10","      12000","         60.00"
"ZODIAC","SM","03-Oct-2018","         26.80","         25.55","         25.55","         25.50","         25.50","         25.50","         25.53","       4000","              102100.00","          2","       4000","        100.00"
"ZODIAC","SM","05-Oct-2018","         25.50","         25.15","         25.15","         25.15","         25.15","         25.15","         25.15","       2000","               50300.00","          1","       2000","        100.00"
"ZODIAC","SM","08-Oct-2018","         25.15","         24.60","         24.60","         24.60","         24.60","         24.60","         24.60","       2000","               49200.00","          1","       2000","        100.00"
"ZODIAC","SM","09-Oct-2018","         24.60","         24.10","         24.10","         24.10","         24.10","         24.10","         24.10","       2000","               48200.00","          1","       2000","        100.00"
"ZODIAC","SM","10-Oct-2018","         24.10","         24.00","         24.00","         24.00","         24.00","         24.00","         24.00","       2000","               48000.00","          1","       2000","        100.00"
"ZODIAC","SM","11-Oct-2018","         24.00","         23.10","         23.10","         23.10","         23.10","         23.10","         23.10","       2000","               46200.00","          1","       2000","        100.00"
"ZODIAC","SM","12-Oct-2018","         23.10","         23.30","         25.20","         23.25","         23.25","         23.25","         23.46","      20000","              469200.00","          4","      20000","        100.00"
"ZODIAC","SM","17-Oct-2018","         23.25","         23.75","         23.75","         23.75","         23.75","         23.75","         23.75","       2000","               47500.00","          1","       2000","        100.00"
"ZODIAC","SM","30-Oct-2018","         23.75","         23.00","         23.00","         23.00","         23.00","         23.00","         23.00","       2000","               46000.00","          1","       2000","        100.00"
"ZODIAC","SM","31-Oct-2018","         23.00","         22.60","         22.60","         22.30","         22.30","         22.30","         22.45","       4000","               89800.00","          2","       4000","        100.00"
"ZODIAC","SM","01-Nov-2018","         22.30","         22.50","         22.50","         22.50","         22.50","         22.50","         22.50","       2000","               45000.00","          1","       2000","        100.00"
"ZODIAC","SM","02-Nov-2018","         22.50","         23.00","         23.00","         22.00","         22.00","         22.00","         22.37","       6000","              134200.00","          3","       6000","        100.00"
"ZODIAC","SM","13-Nov-2018","         22.00","         22.05","         22.05","         22.05","         22.05","         22.05","         22.05","       2000","               44100.00","          1","       2000","        100.00"
"ZODIAC","SM","19-Nov-2018","         22.05","         22.15","         22.15","         22.15","         22.15","         22.15","         22.15","       2000","               44300.00","          1","       2000","        100.00"
"ZODIAC","SM","20-Nov-2018","         22.15","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       2000","               44000.00","          1","       2000","        100.00"
"ZODIAC","SM","21-Nov-2018","         22.00","         23.00","         23.00","         23.00","         23.00","         23.00","         23.00","       2000","               46000.00","          1","       2000","        100.00"
"ZODIAC","SM","29-Nov-2018","         23.00","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       2000","               44000.00","          1","       2000","        100.00"
"ZODIAC","SM","10-Dec-2018","         22.00","         21.00","         21.00","         21.00","         21.00","         21.00","         21.00","       2000","               42000.00","          1","       2000","        100.00"
"ZODIAC","SM","14-Dec-2018","         21.00","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       4000","               88000.00","          2","       4000","        100.00"
"ZODIAC","SM","19-Dec-2018","         22.00","         23.00","         23.00","         23.00","         23.00","         23.00","         23.00","       2000","               46000.00","          1","       2000","        100.00"
"ZODIAC","SM","20-Dec-2018","         23.00","         22.00","         22.50","         22.00","         22.50","         22.50","         22.25","       4000","               89000.00","          2","       4000","        100.00"
"ZODIAC","SM","28-Dec-2018","         22.50","         22.50","         23.00","         22.50","         23.00","         23.00","         22.75","       4000","               91000.00","          2","       4000","        100.00"
"ZODIAC","SM","02-Jan-2019","         23.00","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       2000","               44000.00","          1","       2000","        100.00"
"ZODIAC","SM","04-Jan-2019","         22.00","         23.00","         23.00","         23.00","         23.00","         23.00","         23.00","       2000","               46000.00","          1","       2000","        100.00"
"ZODIAC","SM","08-Jan-2019","         23.00","         22.00","         22.00","         22.00","         22.00","         22.00","         22.00","       2000","               44000.00","          1","       2000","        100.00"
"ZODIAC","SM","11-Jan-2019","         22.00","         21.00","         21.00","         21.00","         21.00","         21.00","         21.00","       2000","               42000.00","          1","       2000","        100.00"
"ZODIAC","SM","21-Jan-2019","         21.00","         17.00","         20.00","         17.00","         20.00","         20.00","         18.50","       4000","               74000.00","          2","       4000","        100.00"
"ZODIAC","SM","25-Jan-2019","         20.00","         19.00","         19.00","         19.00","         19.00","         19.00","         19.00","       2000","               38000.00","          1","       2000","        100.00"
"ZODIAC","SM","28-Jan-2019","         19.00","         20.00","         20.00","         20.00","         20.00","         20.00","         20.00","       2000","               40000.00","          1","       2000","        100.00"
"ZODIAC","SM","04-Feb-2019","         20.00","         19.00","         19.00","         19.00","         19.00","         19.00","         19.00","       2000","               38000.00","          1","       2000","        100.00"
"ZODIAC","SM","07-Feb-2019","         19.00","         17.60","         18.00","         17.60","         18.00","         18.00","         17.80","       4000","               71200.00","          2","       2000","         50.00"
"ZODIAC","SM","08-Feb-2019","         18.00","         17.50","         17.50","         17.50","         17.50","         17.50","         17.50","       2000","               35000.00","          1","       2000","        100.00"
"ZODIAC","SM","11-Feb-2019","         17.50","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","       2000","               36000.00","          1","       2000","        100.00"
"ZODIAC","SM","13-Feb-2019","         18.00","         17.50","         17.50","         17.50","         17.50","         17.50","         17.50","       2000","               35000.00","          1","       2000","        100.00"
"ZODIAC","SM","15-Feb-2019","         17.50","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","       2000","               36000.00","          1","       2000","        100.00"
"ZODIAC","SM","18-Feb-2019","         18.00","         19.00","         19.00","         19.00","         19.00","         19.00","         19.00","       2000","               38000.00","          1","       2000","        100.00"
"ZODIAC","SM","01-Mar-2019","         19.00","         17.50","         18.00","         15.20","         17.95","         17.95","         17.16","       8000","              137300.00","          4","       4000","         50.00"
"ZODIAC","SM","05-Mar-2019","         17.95","         16.50","         16.50","         16.50","         16.50","         16.50","         16.50","       2000","               33000.00","          1","       2000","        100.00"
"ZODIAC","SM","06-Mar-2019","         16.50","         16.50","         17.25","         16.50","         17.25","         17.25","         16.88","       4000","               67500.00","          2","       4000","        100.00"
"ZODIAC","SM","07-Mar-2019","         17.25","         18.00","         18.00","         15.65","         16.95","         16.95","         16.82","      10000","              168200.00","          5","       4000","         40.00"
"ZODIAC","SM","12-Mar-2019","         16.95","         17.00","         18.00","         17.00","         18.00","         18.00","         17.50","       4000","               70000.00","          2","       4000","        100.00"
"ZODIAC","SM","15-Mar-2019","         18.00","         17.50","         17.50","         14.90","         17.15","         17.15","         16.13","       8000","              129000.00","          4","       6000","         75.00"
"ZODIAC","SM","18-Mar-2019","         17.15","         16.30","         16.30","         16.30","         16.30","         16.30","         16.30","       2000","               32600.00","          1","       2000","        100.00"
"ZODIAC","SM","22-Mar-2019","         16.30","         16.50","         17.00","         15.05","         17.00","         17.00","         16.18","       6000","               97100.00","          3","       6000","        100.00"
"ZODIAC","SM","28-Mar-2019","         17.00","         16.50","         16.50","         16.50","         16.50","         16.50","         16.50","       2000","               33000.00","          1","       2000","        100.00"
"ZODIAC","SM","01-Apr-2019","         16.50","         16.00","         17.00","         16.00","         17.00","         17.00","         16.50","       4000","               66000.00","          2","       4000","        100.00"
"ZODIAC","SM","03-Apr-2019","         17.00","         18.20","         18.50","         14.30","         17.10","         17.10","         17.12","      10000","              171200.00","          5","       6000","         60.00"
"ZODIAC","SM","04-Apr-2019","         17.10","         18.20","         18.20","         18.20","         18.20","         18.20","         18.20","       2000","               36400.00","          1","       2000","        100.00"
"ZODIAC","SM","05-Apr-2019","         18.20","         17.50","         17.50","         17.50","         17.50","         17.50","         17.50","       2000","               35000.00","          1","       2000","        100.00"
"ZODIAC","SM","09-Apr-2019","         17.50","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","       2000","               36000.00","          1","       2000","        100.00"
"ZODIAC","SM","16-Apr-2019","         18.00","         19.00","         19.00","         19.00","         19.00","         19.00","         19.00","       2000","               38000.00","          1","       2000","        100.00"
"ZODIAC","SM","24-Apr-2019","         19.00","         19.00","         20.00","         19.00","         20.00","         20.00","         19.50","       4000","               78000.00","          2","       4000","        100.00"
"ZODIAC","SM","30-Apr-2019","         20.00","         20.00","         24.00","         20.00","         24.00","         24.00","         22.14","      20000","              442800.00","         10","      16000","         80.00"
"ZODIAC","SM","03-May-2019","         24.00","         25.40","         25.40","         25.40","         25.40","         25.40","         25.40","       2000","               50800.00","          1","       2000","        100.00"
"ZODIAC","SM","07-May-2019","         25.40","         24.45","         24.45","         24.45","         24.45","         24.45","         24.45","       2000","               48900.00","          1","       2000","        100.00"
