"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"719GS2060","GS","11-May-2020","        100.00","        104.95","        104.95","        104.95","        104.95","        104.95","        104.95","        500","               52475.00","          4","        500","        100.00"
"719GS2060","GS","12-May-2020","        104.95","        105.00","        105.50","        105.00","        105.50","        105.50","        105.26","        410","               43155.00","          6","        410","        100.00"
"719GS2060","GS","13-May-2020","        105.50","        105.60","        105.70","        105.60","        105.70","        105.70","        105.60","        501","               52905.70","          5","        501","        100.00"
"719GS2060","GS","14-May-2020","        105.70","        105.70","        105.70","        105.70","        105.70","        105.70","        105.70","         89","                9407.30","          2","         89","        100.00"
"719GS2060","GS","15-May-2020","        105.70","        106.55","        106.60","        106.55","        106.60","        106.55","        106.55","       2455","              261580.50","          9","       2455","        100.00"
"719GS2060","GS","19-May-2020","        106.55","        105.00","        105.00","        105.00","        105.00","        105.00","        105.00","        100","               10500.00","          1","        100","        100.00"
"719GS2060","GS","20-May-2020","        105.00","        106.00","        106.55","        106.00","        106.55","        106.55","        106.09","        240","               25462.00","          4","        240","        100.00"
"719GS2060","GS","21-May-2020","        106.55","        106.00","        106.00","        106.00","        106.00","        106.00","        106.00","        100","               10600.00","          1","        100","        100.00"
"719GS2060","GS","22-May-2020","        106.00","        107.00","        107.09","        107.00","        107.09","        107.09","        107.00","        101","               10807.09","          3","        101","        100.00"
"719GS2060","GS","26-May-2020","        107.09","        107.00","        107.00","        107.00","        107.00","        107.00","        107.00","        200","               21400.00","          1","        200","        100.00"
"719GS2060","GS","27-May-2020","        107.00","        108.68","        108.69","        108.68","        108.69","        108.69","        108.68","       3050","              331474.50","          2","       3050","        100.00"
"719GS2060","GS","28-May-2020","        108.69","        108.70","        108.99","        108.70","        108.99","        108.99","        108.74","         59","                6415.91","          2","         59","        100.00"
"719GS2060","GS","29-May-2020","        108.99","        109.00","        109.00","        109.00","        109.00","        109.00","        109.00","         50","                5450.00","          1","         50","        100.00"
"719GS2060","GS","01-Jun-2020","        109.00","        109.96","        109.96","        109.96","        109.96","        109.96","        109.96","       1564","              171977.44","          2","       1564","        100.00"
"719GS2060","GS","05-Jun-2020","        109.96","        110.65","        110.65","        110.65","        110.65","        110.65","        110.65","          1","                 110.65","          1","          1","        100.00"
"719GS2060","GS","08-Jun-2020","        110.65","        110.70","        110.70","        110.70","        110.70","        110.70","        110.70","          1","                 110.70","          1","          1","        100.00"
"719GS2060","GS","09-Jun-2020","        110.70","        115.88","        115.88","        115.88","        115.88","        115.88","        115.88","         50","                5794.00","          1","         50","        100.00"
"719GS2060","GS","10-Jun-2020","        115.88","        110.12","        110.12","        110.12","        110.12","        110.12","        110.12","         20","                2202.40","          1","         20","        100.00"
"719GS2060","GS","11-Jun-2020","        110.12","        110.10","        110.10","        107.00","        107.00","        107.00","        108.20","         80","                8656.10","          4","         80","        100.00"
"719GS2060","GS","16-Jun-2020","        107.00","        106.00","        106.00","        106.00","        106.00","        106.00","        106.00","         50","                5300.00","          1","         50","        100.00"
"719GS2060","GS","17-Jun-2020","        106.00","        106.50","        107.00","        106.50","        106.50","        106.50","        106.55","        110","               11720.00","          3","        110","        100.00"
"719GS2060","GS","18-Jun-2020","        106.50","        111.81","        111.81","        106.50","        106.50","        110.03","        110.03","        601","               66130.50","          4","        601","        100.00"
"719GS2060","GS","19-Jun-2020","        110.03","        111.75","        115.00","        111.75","        114.00","        114.00","        113.44","        200","               22688.50","          4","        200","        100.00"
"719GS2060","GS","22-Jun-2020","        114.00","        108.40","        108.40","        108.40","        108.40","        108.40","        108.40","         98","               10623.20","          1","         98","        100.00"
"719GS2060","GS","24-Jun-2020","        108.40","        107.00","        113.82","        107.00","        113.82","        113.82","        109.08","        288","               31416.16","          3","        288","        100.00"
"719GS2060","GS","01-Jul-2020","        113.82","        113.82","        113.82","        113.82","        113.82","        113.82","        113.82","          1","                 113.82","          1","          1","        100.00"
"719GS2060","GS","02-Jul-2020","        113.82","        113.00","        113.00","        113.00","        113.00","        113.00","        113.00","        101","               11413.00","          2","        101","        100.00"
"719GS2060","GS","10-Jul-2020","        113.00","        107.38","        107.38","        107.38","        107.38","        107.38","        107.38","         10","                1073.80","          1","         10","        100.00"
"719GS2060","GS","20-Jul-2020","        107.38","        112.70","        112.70","        112.70","        112.70","        112.70","        112.70","       3102","              349595.40","          5","       3102","        100.00"
"719GS2060","GS","21-Jul-2020","        112.70","        112.70","        112.70","        112.70","        112.70","        112.70","        112.70","          5","                 563.50","          1","          5","        100.00"
"719GS2060","GS","23-Jul-2020","        112.70","        112.50","        112.50","        112.50","        112.50","        112.50","        112.50","        100","               11250.00","          2","        100","        100.00"
"719GS2060","GS","24-Jul-2020","        112.50","        108.01","        115.01","        108.01","        114.75","        114.75","        110.32","        152","               16768.26","          4","        151","         99.34"
"719GS2060","GS","28-Jul-2020","        114.75","        114.64","        114.65","        114.64","        114.65","        114.65","        114.64","        250","               28660.50","          2","        250","        100.00"
"719GS2060","GS","29-Jul-2020","        114.65","        113.50","        113.50","        113.04","        113.04","        113.04","        113.07","        700","               79149.50","          5","        350","         50.00"
"719GS2060","GS","30-Jul-2020","        113.04","        113.03","        113.04","        113.00","        113.03","        113.03","        113.03","        722","               81604.78","          5","        722","        100.00"
"719GS2060","GS","03-Aug-2020","        113.03","        117.42","        117.42","        115.00","        115.00","        115.00","        116.21","        200","               23242.00","          2","        100","         50.00"
"719GS2060","GS","04-Aug-2020","        115.00","        115.00","        115.00","        115.00","        115.00","        115.00","        115.00","        121","               13915.00","          2","        121","        100.00"
"719GS2060","GS","05-Aug-2020","        115.00","        113.55","        113.55","        113.55","        113.55","        113.55","        113.55","        300","               34065.00","          1","        300","        100.00"
"719GS2060","GS","06-Aug-2020","        113.55","        113.55","        113.55","        113.55","        113.55","        113.55","        113.55","        100","               11355.00","          2","        100","        100.00"
"719GS2060","GS","07-Aug-2020","        113.55","        114.75","        114.75","        114.72","        114.72","        114.72","        114.74","         39","                4474.75","          7","         36","         92.31"
"719GS2060","GS","10-Aug-2020","        114.72","        114.72","        114.72","        113.49","        113.50","        113.50","        113.59","        124","               14085.66","          5","        124","        100.00"
"719GS2060","GS","11-Aug-2020","        113.50","        113.50","        113.50","        113.00","        113.40","        113.40","        113.39","        230","               26080.00","          3","        230","        100.00"
"719GS2060","GS","12-Aug-2020","        113.40","        113.95","        113.95","        113.31","        113.31","        113.31","        113.32","        540","               61193.04","          9","        540","        100.00"
"719GS2060","GS","14-Aug-2020","        113.31","        111.05","        112.05","        111.05","        112.05","        112.05","        111.68","          8","                 893.40","          2","          8","        100.00"
"719GS2060","GS","17-Aug-2020","        112.05","        113.00","        113.00","        113.00","        113.00","        113.00","        113.00","        100","               11300.00","          1","        100","        100.00"
"719GS2060","GS","19-Aug-2020","        113.00","        115.50","        115.50","        115.50","        115.50","        115.50","        115.50","          1","                 115.50","          1","          1","        100.00"
"719GS2060","GS","20-Aug-2020","        115.50","        113.30","        113.85","        112.55","        112.65","        112.65","        113.28","        658","               74538.90","         13","        658","        100.00"
"719GS2060","GS","21-Aug-2020","        112.65","        112.50","        115.00","        111.20","        115.00","        111.29","        111.95","        415","               46459.25","          5","        400","         96.39"
"719GS2060","GS","24-Aug-2020","        111.29","        112.29","        112.29","        112.29","        112.29","        112.29","        112.29","        100","               11229.00","          1","        100","        100.00"
"719GS2060","GS","25-Aug-2020","        112.29","        113.00","        113.00","        113.00","        113.00","        113.00","        113.00","         50","                5650.00","          1","         50","        100.00"
"719GS2060","GS","27-Aug-2020","        113.00","        110.00","        110.00","        110.00","        110.00","        110.00","        110.00","       1000","              110000.00","          5","       1000","        100.00"
"719GS2060","GS","28-Aug-2020","        110.00","        114.95","        114.95","        114.00","        114.00","        114.00","        114.55","         12","                1374.55","          3","          6","         50.00"
