"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABBOTINDIA","EQ","30-Aug-2018","       7854.20","       7854.00","       8009.00","       7854.00","       7999.00","       7956.90","       7945.08","      19415","           154253656.50","       3122","      13485","         69.46"
"ABBOTINDIA","EQ","31-Aug-2018","       7956.90","       8012.00","       8699.00","       7981.00","       8270.00","       8330.75","       8291.54","      54263","           449923926.20","       7669","      32039","         59.04"
"ABBOTINDIA","EQ","03-Sep-2018","       8330.75","       8399.00","       8684.00","       8331.05","       8350.00","       8387.75","       8543.35","      40370","           344895007.35","       4857","      28184","         69.81"
"ABBOTINDIA","EQ","04-Sep-2018","       8387.75","       8386.50","       8444.00","       8061.00","       8360.05","       8334.80","       8273.25","      11246","            93041010.30","       2748","       5008","         44.53"
"ABBOTINDIA","EQ","05-Sep-2018","       8334.80","       8331.00","       8398.00","       8161.25","       8269.50","       8299.45","       8284.64","      15728","           130300888.70","       2702","      10912","         69.38"
"ABBOTINDIA","EQ","06-Sep-2018","       8299.45","       8298.00","       8540.10","       8162.30","       8475.05","       8490.85","       8409.08","      12700","           106795277.95","       2670","       7617","         59.98"
"ABBOTINDIA","EQ","07-Sep-2018","       8490.85","       8490.00","       8586.40","       8312.15","       8450.00","       8424.15","       8470.38","      12497","           105854363.55","       1561","       8345","         66.78"
"ABBOTINDIA","EQ","10-Sep-2018","       8424.15","       8424.00","       8820.05","       8418.35","       8643.50","       8593.35","       8663.72","      24752","           214444429.70","       3862","      15242","         61.58"
"ABBOTINDIA","EQ","11-Sep-2018","       8593.35","       8670.00","       8729.10","       8370.00","       8488.85","       8428.30","       8522.90","       9988","            85126753.35","       2112","       5773","         57.80"
"ABBOTINDIA","EQ","12-Sep-2018","       8428.30","       8360.00","       8500.00","       8163.05","       8412.75","       8449.45","       8337.18","      12706","           105932212.40","       3343","       6340","         49.90"
"ABBOTINDIA","EQ","14-Sep-2018","       8449.45","       8502.00","       8509.90","       8352.00","       8389.95","       8388.10","       8441.94","       8500","            71756504.40","       3592","       4668","         54.92"
"ABBOTINDIA","EQ","17-Sep-2018","       8388.10","       8280.15","       8483.95","       8280.15","       8352.00","       8441.75","       8424.26","       4526","            38128218.85","       1086","       2594","         57.31"
"ABBOTINDIA","EQ","18-Sep-2018","       8441.75","       8439.95","       8480.00","       8350.00","       8365.20","       8444.55","       8417.57","       4432","            37306676.65","       1573","       2682","         60.51"
"ABBOTINDIA","EQ","19-Sep-2018","       8444.55","       8459.95","       8487.95","       8300.00","       8319.95","       8379.45","       8419.32","       4144","            34889680.60","       1015","       2546","         61.44"
"ABBOTINDIA","EQ","21-Sep-2018","       8379.45","       8400.00","       8400.00","       7611.00","       8250.00","       8240.50","       8202.63","      18632","           152831417.60","       6926","      11408","         61.23"
"ABBOTINDIA","EQ","24-Sep-2018","       8240.50","       8200.20","       8225.05","       7810.00","       8055.00","       8136.70","       8005.05","      13866","           110997991.00","       4314","       7542","         54.39"
"ABBOTINDIA","EQ","25-Sep-2018","       8136.70","       8100.00","       8150.05","       8055.15","       8100.00","       8102.75","       8105.62","      10356","            83941750.95","       4365","       6490","         62.67"
"ABBOTINDIA","EQ","26-Sep-2018","       8102.75","       8168.00","       8200.00","       7864.45","       7900.00","       7934.95","       8015.98","       7160","            57394426.05","       2212","       3198","         44.66"
"ABBOTINDIA","EQ","27-Sep-2018","       7934.95","       7900.00","       7920.00","       7720.00","       7760.00","       7808.30","       7820.53","       9584","            74951952.65","       4608","       5542","         57.83"
"ABBOTINDIA","EQ","28-Sep-2018","       7808.30","       7808.00","       7836.00","       7626.00","       7751.10","       7773.55","       7760.56","      14459","           112209954.65","       5053","       9669","         66.87"
"ABBOTINDIA","EQ","01-Oct-2018","       7773.55","       7780.10","       7879.90","       7600.05","       7630.00","       7640.85","       7673.24","       9645","            74008427.70","       1953","       6892","         71.46"
"ABBOTINDIA","EQ","03-Oct-2018","       7640.85","       7700.00","       7739.25","       7550.00","       7600.45","       7592.55","       7631.68","       3217","            24551123.30","       1208","       2063","         64.13"
"ABBOTINDIA","EQ","04-Oct-2018","       7592.55","       7535.15","       7535.15","       7200.00","       7278.00","       7330.95","       7366.70","       9050","            66668639.80","       2877","       5217","         57.65"
"ABBOTINDIA","EQ","05-Oct-2018","       7330.95","       7305.00","       7376.00","       7206.15","       7310.00","       7317.45","       7326.80","       7647","            56028014.60","       2131","       5575","         72.90"
"ABBOTINDIA","EQ","08-Oct-2018","       7317.45","       7317.00","       7347.50","       7112.50","       7290.00","       7249.80","       7205.89","       8308","            59866508.95","       1395","       5172","         62.25"
"ABBOTINDIA","EQ","09-Oct-2018","       7249.80","       7254.00","       7290.05","       7125.00","       7185.00","       7162.40","       7199.12","       4461","            32115293.05","        530","       3121","         69.96"
"ABBOTINDIA","EQ","10-Oct-2018","       7162.40","       7182.90","       7340.00","       7182.90","       7340.00","       7325.20","       7297.91","       5972","            43583103.00","       1256","       3844","         64.37"
"ABBOTINDIA","EQ","11-Oct-2018","       7325.20","       7288.00","       7300.00","       7101.20","       7260.00","       7231.70","       7211.41","       6483","            46751597.60","       1567","       3972","         61.27"
"ABBOTINDIA","EQ","12-Oct-2018","       7231.70","       7440.00","       7570.00","       7280.30","       7485.00","       7485.20","       7460.27","       7067","            52721741.30","       2003","       3940","         55.75"
"ABBOTINDIA","EQ","15-Oct-2018","       7485.20","       7598.50","       7598.50","       7399.95","       7410.00","       7429.60","       7473.21","       4471","            33412700.60","       1143","       3089","         69.09"
"ABBOTINDIA","EQ","16-Oct-2018","       7429.60","       7496.95","       7499.80","       7385.60","       7402.05","       7408.75","       7421.44","       5933","            44031412.70","       1226","       4633","         78.09"
"ABBOTINDIA","EQ","17-Oct-2018","       7408.75","       7488.80","       7488.80","       7200.00","       7300.00","       7293.85","       7323.66","       3226","            23626129.50","        847","       1697","         52.60"
"ABBOTINDIA","EQ","19-Oct-2018","       7293.85","       7193.95","       7394.00","       7193.95","       7195.00","       7224.95","       7276.06","       3531","            25691762.35","        697","       2371","         67.15"
"ABBOTINDIA","EQ","22-Oct-2018","       7224.95","       7225.20","       7232.75","       7175.50","       7185.00","       7184.95","       7189.94","       1281","             9210316.95","        472","        742","         57.92"
"ABBOTINDIA","EQ","23-Oct-2018","       7184.95","       7200.25","       7249.05","       7036.55","       7089.00","       7069.20","       7116.38","       2469","            17570350.10","        792","       1706","         69.10"
"ABBOTINDIA","EQ","24-Oct-2018","       7069.20","       7090.00","       7151.45","       6900.00","       7124.00","       7067.40","       7013.99","       3700","            25951774.40","       1197","       2487","         67.22"
"ABBOTINDIA","EQ","25-Oct-2018","       7067.40","       7065.05","       7108.00","       6917.00","       7108.00","       7039.85","       6987.82","       1866","            13039273.30","        500","       1074","         57.56"
"ABBOTINDIA","EQ","26-Oct-2018","       7039.85","       7007.30","       7030.00","       6900.00","       6900.00","       6917.90","       6949.65","       4304","            29911290.05","        839","       2803","         65.13"
"ABBOTINDIA","EQ","29-Oct-2018","       6917.90","       6950.05","       7214.50","       6930.05","       7200.00","       7110.05","       7040.11","       2752","            19374379.75","        698","       1785","         64.86"
"ABBOTINDIA","EQ","30-Oct-2018","       7110.05","       7141.35","       7226.30","       7010.60","       7116.00","       7141.70","       7139.43","       1857","            13257923.20","        687","        878","         47.28"
"ABBOTINDIA","EQ","31-Oct-2018","       7141.70","       7150.05","       7690.00","       7100.00","       7625.00","       7568.70","       7394.35","       6043","            44684081.75","       2070","       2961","         49.00"
"ABBOTINDIA","EQ","01-Nov-2018","       7568.70","       7574.20","       7749.00","       7548.80","       7600.00","       7592.65","       7678.91","       4823","            37035394.00","       1331","       2643","         54.80"
"ABBOTINDIA","EQ","02-Nov-2018","       7592.65","       7592.65","       7988.00","       7496.00","       7500.00","       7609.30","       7679.60","       4862","            37338210.25","       1258","       3278","         67.42"
"ABBOTINDIA","EQ","05-Nov-2018","       7609.30","       7600.00","       7700.00","       7533.15","       7580.00","       7600.80","       7648.56","       2663","            20368107.65","       1122","       1653","         62.07"
"ABBOTINDIA","EQ","06-Nov-2018","       7600.80","       7552.00","       7659.00","       7501.00","       7514.00","       7532.40","       7577.74","        856","             6486547.00","        287","        575","         67.17"
"ABBOTINDIA","EQ","07-Nov-2018","       7532.40","       7624.15","       7639.95","       7499.95","       7515.00","       7537.15","       7547.16","       1828","            13796208.00","        374","       1402","         76.70"
"ABBOTINDIA","EQ","09-Nov-2018","       7537.15","       7600.00","       7600.00","       7470.00","       7515.05","       7524.10","       7548.53","       5212","            39342943.85","        416","       4590","         88.07"
"ABBOTINDIA","EQ","12-Nov-2018","       7524.10","       7524.05","       7577.45","       7450.00","       7487.95","       7469.15","       7496.21","       1338","            10029935.30","        419","        998","         74.59"
"ABBOTINDIA","EQ","13-Nov-2018","       7469.15","       7469.00","       7560.00","       7469.00","       7512.05","       7517.80","       7513.27","       1722","            12937847.60","        460","       1037","         60.22"
"ABBOTINDIA","EQ","14-Nov-2018","       7517.80","       7560.00","       7617.00","       7392.00","       7616.95","       7601.40","       7514.36","       9966","            74888104.20","       1236","       4984","         50.01"
"ABBOTINDIA","EQ","15-Nov-2018","       7601.40","       7574.05","       7650.00","       7516.05","       7613.85","       7606.90","       7598.22","       7324","            55649371.05","        755","       4534","         61.91"
"ABBOTINDIA","EQ","16-Nov-2018","       7606.90","       7600.05","       7650.00","       7521.20","       7605.05","       7631.70","       7583.18","       6334","            48031854.70","       1291","       3720","         58.73"
"ABBOTINDIA","EQ","19-Nov-2018","       7631.70","       7667.95","       7700.00","       7551.25","       7650.00","       7630.55","       7609.62","       1610","            12251482.35","        454","       1101","         68.39"
"ABBOTINDIA","EQ","20-Nov-2018","       7630.55","       7600.00","       7691.00","       7516.05","       7656.00","       7619.70","       7598.24","       3118","            23691301.85","       1457","       1953","         62.64"
"ABBOTINDIA","EQ","21-Nov-2018","       7619.70","       7599.95","       7600.00","       7526.25","       7529.00","       7542.80","       7564.16","       2540","            19212960.95","        505","       1405","         55.31"
"ABBOTINDIA","EQ","22-Nov-2018","       7542.80","       7579.95","       7585.00","       7270.20","       7350.00","       7362.75","       7415.54","       4344","            32213112.15","        833","       2137","         49.19"
"ABBOTINDIA","EQ","26-Nov-2018","       7362.75","       7383.60","       7401.75","       7245.25","       7250.00","       7269.50","       7283.34","       4632","            33736452.50","        690","       2720","         58.72"
"ABBOTINDIA","EQ","27-Nov-2018","       7269.50","       7270.00","       7270.00","       7161.00","       7170.00","       7189.05","       7215.83","       2838","            20478511.65","        537","       1986","         69.98"
"ABBOTINDIA","EQ","28-Nov-2018","       7189.05","       7250.00","       7250.00","       7111.20","       7190.00","       7190.25","       7192.62","       5461","            39278918.00","        557","       4866","         89.10"
"ABBOTINDIA","EQ","29-Nov-2018","       7190.25","       7262.15","       7379.00","       7198.15","       7350.00","       7365.45","       7308.68","       3257","            23804385.75","        608","       2122","         65.15"
"ABBOTINDIA","EQ","30-Nov-2018","       7365.45","       7380.10","       7473.00","       7305.15","       7454.00","       7420.15","       7389.62","       2451","            18111959.20","        529","       1990","         81.19"
"ABBOTINDIA","EQ","03-Dec-2018","       7420.15","       7453.95","       7839.70","       7355.00","       7809.00","       7775.55","       7634.84","       8024","            61261985.00","       1824","       4003","         49.89"
"ABBOTINDIA","EQ","04-Dec-2018","       7775.55","       7800.00","       7899.80","       7634.85","       7750.00","       7752.40","       7818.99","       6034","            47179805.35","       1998","       2674","         44.32"
"ABBOTINDIA","EQ","05-Dec-2018","       7752.40","       7753.00","       7755.05","       7575.75","       7660.00","       7656.95","       7665.42","       3007","            23049930.85","        876","       1472","         48.95"
"ABBOTINDIA","EQ","06-Dec-2018","       7656.95","       7665.45","       7685.00","       7485.00","       7500.00","       7504.05","       7559.30","       1530","            11565732.10","        706","        566","         36.99"
"ABBOTINDIA","EQ","07-Dec-2018","       7504.05","       7594.90","       7594.90","       7417.00","       7488.00","       7495.20","       7495.23","       1192","             8934319.10","        627","        602","         50.50"
"ABBOTINDIA","EQ","10-Dec-2018","       7495.20","       7420.25","       7469.85","       7271.00","       7450.00","       7394.50","       7371.21","       2720","            20049682.05","       1010","       1578","         58.01"
"ABBOTINDIA","EQ","11-Dec-2018","       7394.50","       7325.00","       7693.10","       7312.15","       7323.00","       7331.35","       7446.05","       4355","            32427536.95","       1950","       2373","         54.49"
"ABBOTINDIA","EQ","12-Dec-2018","       7331.35","       7349.40","       7540.00","       7349.40","       7502.00","       7503.80","       7436.76","       2957","            21990497.85","        707","       1848","         62.50"
"ABBOTINDIA","EQ","13-Dec-2018","       7503.80","       7505.00","       7624.95","       7476.05","       7500.00","       7508.00","       7536.26","       1727","            13015113.50","        597","        957","         55.41"
"ABBOTINDIA","EQ","14-Dec-2018","       7508.00","       7508.05","       7588.95","       7476.05","       7555.00","       7556.00","       7526.28","       1369","            10303483.10","        497","        433","         31.63"
"ABBOTINDIA","EQ","17-Dec-2018","       7556.00","       7600.00","       7610.00","       7535.00","       7580.00","       7580.90","       7554.54","      12640","            95489390.85","       1184","      10835","         85.72"
"ABBOTINDIA","EQ","18-Dec-2018","       7580.90","       7648.80","       7650.05","       7490.00","       7500.00","       7504.50","       7514.10","       1470","            11045719.75","        597","        818","         55.65"
"ABBOTINDIA","EQ","19-Dec-2018","       7504.50","       7520.00","       7575.00","       7450.00","       7500.00","       7503.75","       7491.70","       2723","            20399891.85","       1498","       1309","         48.07"
"ABBOTINDIA","EQ","20-Dec-2018","       7503.75","       7500.05","       7521.85","       7425.00","       7450.00","       7450.55","       7456.04","       2869","            21391375.95","       1006","       1548","         53.96"
