"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABMINTLTD","BE","30-Aug-2018","         16.25","         16.20","         16.20","         16.20","         16.20","         16.20","         16.20","         50","                 810.00","          1","-","-"
"ABMINTLTD","BE","31-Aug-2018","         16.20","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","         18","                 306.00","          2","-","-"
"ABMINTLTD","BE","04-Sep-2018","         17.00","         17.05","         17.05","         17.05","         17.05","         17.05","         17.05","        263","                4484.15","          4","-","-"
"ABMINTLTD","BE","05-Sep-2018","         17.05","         17.05","         17.05","         17.05","         17.05","         17.05","         17.05","        112","                1909.60","          3","-","-"
"ABMINTLTD","BE","06-Sep-2018","         17.05","         17.80","         17.80","         16.20","         16.25","         16.25","         17.14","        572","                9806.80","          5","-","-"
"ABMINTLTD","BE","07-Sep-2018","         16.25","         16.35","         16.40","         16.35","         16.40","         16.40","         16.38","         30","                 491.40","          2","-","-"
"ABMINTLTD","BE","10-Sep-2018","         16.40","         16.40","         17.20","         16.40","         17.20","         17.20","         16.80","         10","                 168.00","          2","-","-"
"ABMINTLTD","BE","12-Sep-2018","         17.20","         17.25","         18.05","         17.25","         18.05","         18.05","         17.57","        168","                2952.40","          4","-","-"
"ABMINTLTD","BE","14-Sep-2018","         18.05","         18.95","         18.95","         18.95","         18.95","         18.95","         18.95","        232","                4396.40","          5","-","-"
"ABMINTLTD","BE","17-Sep-2018","         18.95","         18.95","         18.95","         18.95","         18.95","         18.95","         18.95","          1","                  18.95","          1","-","-"
"ABMINTLTD","BE","26-Sep-2018","         18.95","         18.95","         18.95","         18.95","         18.95","         18.95","         18.95","         48","                 909.60","          2","-","-"
"ABMINTLTD","BE","28-Sep-2018","         18.95","         18.05","         18.05","         18.05","         18.05","         18.05","         18.05","         20","                 361.00","          1","-","-"
"ABMINTLTD","BE","01-Oct-2018","         18.05","         18.05","         18.05","         18.05","         18.05","         18.05","         18.05","         23","                 415.15","          2","-","-"
"ABMINTLTD","BE","03-Oct-2018","         18.05","         17.15","         17.15","         17.15","         17.15","         17.15","         17.15","          8","                 137.20","          1","-","-"
"ABMINTLTD","BE","04-Oct-2018","         17.15","         17.40","         17.40","         17.40","         17.40","         17.40","         17.40","         15","                 261.00","          1","-","-"
"ABMINTLTD","BE","05-Oct-2018","         17.40","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","          1","                  16.60","          1","-","-"
"ABMINTLTD","BE","11-Oct-2018","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","         16.60","         12","                 199.20","          2","-","-"
"ABMINTLTD","BE","17-Oct-2018","         16.60","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","         10","                 160.00","          1","-","-"
"ABMINTLTD","BE","19-Oct-2018","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","         16.00","        157","                2512.00","          2","-","-"
"ABMINTLTD","BE","22-Oct-2018","         16.00","         16.15","         16.15","         16.15","         16.15","         16.15","         16.15","         10","                 161.50","          1","-","-"
"ABMINTLTD","BE","24-Oct-2018","         16.15","         16.15","         16.15","         16.15","         16.15","         16.15","         16.15","          5","                  80.75","          1","-","-"
"ABMINTLTD","BE","06-Nov-2018","         16.15","         15.70","         15.70","         15.70","         15.70","         15.70","         15.70","         25","                 392.50","          3","-","-"
"ABMINTLTD","BE","09-Nov-2018","         15.70","         15.70","         15.70","         15.70","         15.70","         15.70","         15.70","          1","                  15.70","          1","-","-"
