"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ACCURACY","SM","03-Sep-2018","         89.00","         87.00","         87.00","         87.00","         87.00","         87.00","         87.00","       1600","              139200.00","          1","       1600","        100.00"
"ACCURACY","SM","04-Sep-2018","         87.00","         87.00","         88.50","         87.00","         88.50","         88.50","         87.60","       8000","              700800.00","          5","       8000","        100.00"
"ACCURACY","SM","05-Sep-2018","         88.50","         85.00","         85.00","         85.00","         85.00","         85.00","         85.00","       1600","              136000.00","          1","       1600","        100.00"
"ACCURACY","SM","07-Sep-2018","         85.00","         84.80","         84.80","         84.80","         84.80","         84.80","         84.80","       1600","              135680.00","          1","       1600","        100.00"
"ACCURACY","SM","10-Sep-2018","         84.80","         82.00","         82.00","         82.00","         82.00","         82.00","         82.00","       1600","              131200.00","          1","       1600","        100.00"
"ACCURACY","SM","11-Sep-2018","         82.00","         81.80","         84.00","         81.80","         84.00","         83.50","         82.45","      12800","             1055360.00","          5","      12800","        100.00"
"ACCURACY","SM","12-Sep-2018","         83.50","         83.60","         85.00","         83.60","         85.00","         85.00","         84.21","      36800","             3098800.00","          5","      36800","        100.00"
"ACCURACY","SM","14-Sep-2018","         85.00","         86.00","         87.80","         82.10","         87.60","         87.60","         85.58","      32000","             2738560.00","          6","      25600","         80.00"
"ACCURACY","SM","17-Sep-2018","         87.60","         87.60","         88.00","         87.60","         88.00","         88.00","         87.87","       4800","              421760.00","          3","       4800","        100.00"
"ACCURACY","SM","18-Sep-2018","         88.00","         80.00","         87.00","         80.00","         86.40","         86.50","         86.31","      60800","             5247520.00","         15","      57600","         94.74"
"ACCURACY","SM","21-Sep-2018","         86.50","         86.80","         86.80","         81.05","         81.05","         81.05","         85.65","       8000","              685200.00","          3","       8000","        100.00"
"ACCURACY","SM","25-Sep-2018","         81.05","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       1600","              128000.00","          1","       1600","        100.00"
"ACCURACY","SM","01-Oct-2018","         80.00","         78.00","         78.00","         78.00","         78.00","         78.00","         78.00","       3200","              249600.00","          2","       3200","        100.00"
"ACCURACY","SM","03-Oct-2018","         78.00","         77.00","         77.00","         77.00","         77.00","         77.00","         77.00","       3200","              246400.00","          2","       3200","        100.00"
"ACCURACY","SM","04-Oct-2018","         77.00","         70.30","         70.30","         70.30","         70.30","         70.30","         70.30","       1600","              112480.00","          1","       1600","        100.00"
"ACCURACY","SM","05-Oct-2018","         70.30","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1600","              112000.00","          1","       1600","        100.00"
"ACCURACY","SM","09-Oct-2018","         70.00","         65.00","         65.00","         65.00","         65.00","         65.00","         65.00","       1600","              104000.00","          1","       1600","        100.00"
"ACCURACY","SM","11-Oct-2018","         65.00","         64.80","         67.00","         62.00","         67.00","         67.00","         64.76","       8000","              518080.00","          4","       8000","        100.00"
"ACCURACY","SM","15-Oct-2018","         67.00","         64.20","         69.70","         64.10","         69.20","         69.20","         66.80","      14400","              961920.00","          6","       8000","         55.56"
"ACCURACY","SM","17-Oct-2018","         69.20","         70.90","         70.90","         70.90","         70.90","         70.90","         70.90","       1600","              113440.00","          1","       1600","        100.00"
"ACCURACY","SM","19-Oct-2018","         70.90","         69.50","         69.50","         69.50","         69.50","         69.50","         69.50","       1600","              111200.00","          1","       1600","        100.00"
