"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADVANIHOTR","EQ","30-Aug-2018","         48.90","         48.30","         48.80","         48.00","         48.50","         48.35","         48.46","      10936","              529913.20","        135","       8498","         77.71"
"ADVANIHOTR","EQ","31-Aug-2018","         48.35","         50.00","         50.00","         47.65","         49.10","         48.20","         48.73","       7135","              347711.50","        110","       5415","         75.89"
"ADVANIHOTR","EQ","03-Sep-2018","         48.20","         49.85","         49.85","         48.10","         48.10","         48.30","         48.51","       6155","              298583.70","         66","       4748","         77.14"
"ADVANIHOTR","EQ","04-Sep-2018","         48.30","         48.95","         50.45","         48.00","         49.00","         48.45","         49.32","      16561","              816787.85","        176","      14621","         88.29"
"ADVANIHOTR","EQ","05-Sep-2018","         48.45","         49.15","         49.15","         47.80","         48.50","         48.50","         48.57","       3139","              152474.40","         65","       2132","         67.92"
"ADVANIHOTR","EQ","06-Sep-2018","         48.50","         49.85","         50.60","         49.25","         50.30","         49.95","         49.99","      52419","             2620254.00","        220","      38483","         73.41"
"ADVANIHOTR","EQ","07-Sep-2018","         49.95","         49.95","         54.75","         49.95","         54.50","         54.60","         53.70","     142949","             7676091.25","        762","      81011","         56.67"
"ADVANIHOTR","EQ","10-Sep-2018","         54.60","         55.30","         55.30","         52.50","         53.00","         53.25","         54.41","     121097","             6588864.75","        862","      83133","         68.65"
"ADVANIHOTR","EQ","11-Sep-2018","         53.25","         54.40","         55.10","         52.05","         52.15","         52.25","         53.96","      37668","             2032377.30","        541","      13394","         35.56"
"ADVANIHOTR","EQ","12-Sep-2018","         52.25","         53.00","         53.50","         50.65","         51.70","         51.70","         51.98","      18682","              971026.95","        171","      14703","         78.70"
"ADVANIHOTR","EQ","14-Sep-2018","         51.70","         53.20","         53.20","         51.25","         51.25","         51.35","         51.92","      12345","              640891.35","        215","       8500","         68.85"
"ADVANIHOTR","EQ","17-Sep-2018","         51.35","         52.00","         52.00","         49.10","         49.20","         49.55","         49.81","      21602","             1076026.25","        273","      16031","         74.21"
"ADVANIHOTR","EQ","18-Sep-2018","         49.55","         49.70","         54.00","         48.55","         49.85","         49.40","         50.32","      44729","             2250767.10","        410","      17918","         40.06"
"ADVANIHOTR","EQ","19-Sep-2018","         49.40","         49.30","         50.55","         47.10","         47.10","         47.45","         48.43","      10147","              491434.65","        255","       7050","         69.48"
"ADVANIHOTR","EQ","21-Sep-2018","         47.45","         47.50","         51.30","         43.00","         46.00","         45.80","         46.45","      18597","              863799.05","        284","      13354","         71.81"
"ADVANIHOTR","EQ","24-Sep-2018","         45.80","         46.00","         46.00","         43.80","         44.05","         45.05","         44.47","       6925","              307924.60","        185","       4220","         60.94"
"ADVANIHOTR","EQ","25-Sep-2018","         45.05","         44.30","         45.70","         41.45","         45.70","         44.75","         44.26","      34334","             1519551.00","        285","      28014","         81.59"
"ADVANIHOTR","EQ","26-Sep-2018","         44.75","         45.25","         46.25","         44.95","         45.05","         45.80","         45.11","      14760","              665814.50","         73","      14204","         96.23"
"ADVANIHOTR","EQ","27-Sep-2018","         45.80","         48.00","         48.00","         44.15","         45.70","         45.15","         45.18","       6515","              294351.10","        103","       5738","         88.07"
"ADVANIHOTR","EQ","28-Sep-2018","         45.15","         45.15","         45.90","         44.75","         45.10","         45.35","         45.09","      12035","              542626.85","         84","      11146","         92.61"
"ADVANIHOTR","EQ","01-Oct-2018","         45.35","         45.35","         47.00","         45.00","         45.90","         46.15","         45.52","       7412","              337368.50","        102","       5657","         76.32"
"ADVANIHOTR","EQ","03-Oct-2018","         46.15","         47.00","         49.95","         46.00","         49.95","         49.10","         48.20","      10228","              492965.75","        242","       7220","         70.59"
"ADVANIHOTR","EQ","04-Oct-2018","         49.10","         49.10","         49.10","         47.00","         48.00","         47.95","         48.03","      20309","              975533.80","        184","      18472","         90.95"
"ADVANIHOTR","EQ","05-Oct-2018","         47.95","         48.00","         50.00","         47.00","         49.20","         48.50","         48.83","      24060","             1174916.50","        128","      20372","         84.67"
"ADVANIHOTR","EQ","08-Oct-2018","         48.50","         48.50","         49.00","         47.00","         48.50","         48.00","         47.83","       9280","              443906.50","         59","       7442","         80.19"
"ADVANIHOTR","EQ","09-Oct-2018","         48.00","         48.00","         49.55","         47.60","         47.70","         47.95","         48.44","      23773","             1151674.95","         76","      18299","         76.97"
