"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADVENZYMES","EQ","30-Aug-2018","        207.65","        207.65","        209.00","        204.00","        204.20","        204.10","        205.07","     110568","            22674603.65","       7827","      79753","         72.13"
"ADVENZYMES","EQ","31-Aug-2018","        204.10","        204.80","        213.40","        203.85","        209.05","        209.45","        207.75","     269393","            55966743.75","       4505","     145122","         53.87"
"ADVENZYMES","EQ","03-Sep-2018","        209.45","        210.90","        215.25","        209.50","        209.60","        210.05","        212.47","     107320","            22802050.55","       2449","      57864","         53.92"
"ADVENZYMES","EQ","04-Sep-2018","        210.05","        211.00","        211.95","        205.05","        206.50","        206.10","        208.73","     136515","            28495151.25","       1525","     114241","         83.68"
"ADVENZYMES","EQ","05-Sep-2018","        206.10","        211.00","        229.20","        209.00","        226.10","        225.20","        223.07","    1908660","           425756153.60","      30419","     394050","         20.65"
"ADVENZYMES","EQ","06-Sep-2018","        225.20","        226.80","        229.30","        222.20","        225.25","        224.85","        225.74","     444739","           100395532.15","       7488","     142452","         32.03"
"ADVENZYMES","EQ","07-Sep-2018","        224.85","        220.50","        224.55","        217.10","        221.00","        221.30","        220.78","     182313","            40251001.35","       4291","      68318","         37.47"
"ADVENZYMES","EQ","10-Sep-2018","        221.30","        223.30","        226.95","        215.00","        215.65","        215.60","        221.47","     208271","            46125342.15","       4434","     114340","         54.90"
"ADVENZYMES","EQ","11-Sep-2018","        215.60","        217.10","        218.70","        209.20","        209.40","        210.05","        213.00","     138583","            29517971.55","       2874","      91472","         66.01"
"ADVENZYMES","EQ","12-Sep-2018","        210.05","        210.00","        212.70","        207.00","        211.00","        211.05","        209.00","     110105","            23012406.55","       2440","      54948","         49.91"
"ADVENZYMES","EQ","14-Sep-2018","        211.05","        213.40","        217.80","        211.25","        214.00","        212.55","        213.53","      66919","            14289406.60","       2001","      35307","         52.76"
