"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALCHEM","BE","30-Aug-2018","          5.45","          5.40","          5.40","          5.20","          5.20","          5.20","          5.34","       2125","               11336.95","         18","-","-"
"ALCHEM","BE","31-Aug-2018","          5.20","          5.35","          5.45","          5.05","          5.35","          5.35","          5.19","       1606","                8338.00","         22","-","-"
"ALCHEM","BE","03-Sep-2018","          5.35","          5.35","          5.45","          5.10","          5.10","          5.10","          5.12","       5761","               29524.20","         25","-","-"
"ALCHEM","BE","04-Sep-2018","          5.10","          5.30","          5.35","          5.00","          5.15","          5.15","          5.18","       6934","               35926.10","         32","-","-"
"ALCHEM","BE","05-Sep-2018","          5.15","          5.10","          5.40","          4.90","          5.20","          5.20","          5.10","       2569","               13110.90","         27","-","-"
"ALCHEM","BE","06-Sep-2018","          5.20","          5.40","          5.40","          5.00","          5.00","          5.05","          5.16","       5857","               30235.05","         34","-","-"
"ALCHEM","BE","07-Sep-2018","          5.05","          5.30","          5.30","          5.00","          5.30","          5.25","          5.16","       6341","               32701.95","         30","-","-"
"ALCHEM","BE","10-Sep-2018","          5.25","          5.20","          5.45","          5.00","          5.20","          5.20","          5.09","      15164","               77193.85","         55","-","-"
"ALCHEM","BE","11-Sep-2018","          5.20","          5.20","          5.20","          5.00","          5.00","          5.00","          5.05","       3567","               18009.60","         21","-","-"
"ALCHEM","BE","12-Sep-2018","          5.00","          5.15","          5.15","          4.75","          4.75","          4.80","          4.85","       7011","               33992.90","         28","-","-"
"ALCHEM","BE","14-Sep-2018","          4.80","          5.00","          5.00","          4.60","          5.00","          5.00","          4.92","      10736","               52867.50","         25","-","-"
"ALCHEM","BE","17-Sep-2018","          5.00","          4.90","          5.20","          4.75","          5.20","          5.20","          5.03","       5444","               27391.85","         41","-","-"
"ALCHEM","BE","18-Sep-2018","          5.20","          5.10","          5.40","          4.95","          5.00","          5.00","          5.15","       4872","               25079.60","         24","-","-"
"ALCHEM","BE","19-Sep-2018","          5.00","          5.25","          5.25","          4.80","          5.00","          5.00","          5.10","       5890","               30010.05","         27","-","-"
"ALCHEM","BE","21-Sep-2018","          5.00","          4.80","          5.05","          4.75","          4.75","          4.75","          4.90","      10975","               53781.15","         28","-","-"
"ALCHEM","BE","24-Sep-2018","          4.75","          4.90","          4.95","          4.55","          4.65","          4.65","          4.80","       5429","               26070.45","         32","-","-"
"ALCHEM","BE","25-Sep-2018","          4.65","          4.85","          4.85","          4.65","          4.70","          4.70","          4.70","       2626","               12333.60","         10","-","-"
"ALCHEM","BE","26-Sep-2018","          4.70","          4.65","          4.90","          4.65","          4.70","          4.75","          4.71","       7164","               33739.15","         14","-","-"
"ALCHEM","BE","27-Sep-2018","          4.75","          4.90","          4.95","          4.60","          4.90","          4.90","          4.87","        467","                2274.30","         12","-","-"
"ALCHEM","BE","28-Sep-2018","          4.90","          4.90","          4.90","          4.70","          4.70","          4.70","          4.71","       3338","               15717.45","         33","-","-"
"ALCHEM","BE","01-Oct-2018","          4.70","          4.65","          4.65","          4.50","          4.50","          4.50","          4.58","      15762","               72179.35","         33","-","-"
"ALCHEM","BE","03-Oct-2018","          4.50","          4.50","          4.70","          4.50","          4.50","          4.50","          4.54","      10305","               46769.50","         22","-","-"
"ALCHEM","BE","04-Oct-2018","          4.50","          4.50","          4.70","          4.50","          4.70","          4.70","          4.67","       3958","               18485.95","         34","-","-"
"ALCHEM","BE","05-Oct-2018","          4.70","          4.70","          4.70","          4.50","          4.70","          4.55","          4.59","        160","                 733.60","          6","-","-"
"ALCHEM","BE","08-Oct-2018","          4.55","          4.70","          4.75","          4.60","          4.75","          4.75","          4.71","       3055","               14377.85","         15","-","-"
"ALCHEM","BE","09-Oct-2018","          4.75","          4.75","          4.75","          4.55","          4.55","          4.55","          4.58","       3502","               16047.25","         20","-","-"
"ALCHEM","BE","10-Oct-2018","          4.55","          4.45","          4.75","          4.35","          4.35","          4.35","          4.44","      10611","               47106.95","         44","-","-"
"ALCHEM","BE","11-Oct-2018","          4.35","          4.35","          4.55","          4.15","          4.15","          4.15","          4.40","       2464","               10835.95","         23","-","-"
"ALCHEM","BE","12-Oct-2018","          4.15","          4.35","          4.35","          4.15","          4.15","          4.20","          4.26","       5736","               24424.60","         33","-","-"
"ALCHEM","BE","15-Oct-2018","          4.20","          4.35","          4.40","          4.00","          4.40","          4.40","          4.28","       1525","                6522.90","         25","-","-"
"ALCHEM","BE","16-Oct-2018","          4.40","          4.20","          4.60","          4.20","          4.50","          4.50","          4.49","       5542","               24877.00","         34","-","-"
"ALCHEM","BE","17-Oct-2018","          4.50","          4.50","          4.70","          4.30","          4.30","          4.55","          4.57","      39968","              182515.25","         54","-","-"
"ALCHEM","BE","19-Oct-2018","          4.55","          4.65","          4.65","          4.35","          4.35","          4.35","          4.45","       1576","                7018.60","          9","-","-"
"ALCHEM","BE","22-Oct-2018","          4.35","          4.30","          4.55","          4.15","          4.15","          4.15","          4.16","       1598","                6643.95","         21","-","-"
