"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALEMBICLTD","EQ","30-Aug-2018","         45.95","         46.20","         46.90","         45.50","         46.25","         46.25","         46.29","     361150","            16716587.30","       1833","     113578","         31.45"
"ALEMBICLTD","EQ","31-Aug-2018","         46.25","         46.40","         47.95","         46.35","         47.50","         47.45","         47.37","     789841","            37415313.60","       3497","     297761","         37.70"
"ALEMBICLTD","EQ","03-Sep-2018","         47.45","         47.85","         52.70","         47.65","         50.95","         51.15","         50.81","    2616758","           132969138.20","      11106","     958885","         36.64"
"ALEMBICLTD","EQ","04-Sep-2018","         51.15","         51.20","         52.75","         48.15","         49.15","         49.10","         50.86","    1443156","            73405917.45","       7277","     580768","         40.24"
"ALEMBICLTD","EQ","05-Sep-2018","         49.10","         48.80","         51.25","         48.25","         50.40","         50.20","         49.59","    1039074","            51523711.20","       4836","     397608","         38.27"
"ALEMBICLTD","EQ","06-Sep-2018","         50.20","         50.45","         52.05","         50.45","         51.25","         51.35","         51.38","     759287","            39010206.65","       4050","     313109","         41.24"
"ALEMBICLTD","EQ","07-Sep-2018","         51.35","         50.90","         52.20","         49.90","         50.50","         50.45","         50.98","     543982","            27734300.40","       2850","     216687","         39.83"
"ALEMBICLTD","EQ","10-Sep-2018","         50.45","         50.40","         54.60","         50.30","         54.20","         54.05","         53.30","    2369065","           126276815.60","      10558","    1146109","         48.38"
"ALEMBICLTD","EQ","11-Sep-2018","         54.05","         54.40","         56.40","         53.15","         53.90","         53.75","         54.68","    1836036","           100391663.40","       7839","     690293","         37.60"
"ALEMBICLTD","EQ","12-Sep-2018","         53.75","         54.30","         55.50","         52.80","         53.70","         53.90","         54.05","    2335617","           126250778.65","      12429","     601171","         25.74"
"ALEMBICLTD","EQ","14-Sep-2018","         53.90","         54.20","         54.70","         52.55","         53.20","         52.90","         53.45","     621559","            33223401.70","       3279","     277076","         44.58"
"ALEMBICLTD","EQ","17-Sep-2018","         52.90","         52.70","         52.90","         51.25","         51.55","         51.45","         51.88","     537170","            27870979.90","       2363","     275494","         51.29"
"ALEMBICLTD","EQ","18-Sep-2018","         51.45","         51.30","         51.85","         49.70","         50.30","         50.05","         50.62","     362863","            18368922.30","       2150","     161947","         44.63"
"ALEMBICLTD","EQ","19-Sep-2018","         50.05","         50.40","         50.75","         47.20","         47.80","         47.85","         48.79","     483797","            23606858.05","       2625","     208250","         43.04"
"ALEMBICLTD","EQ","21-Sep-2018","         47.85","         47.95","         48.65","         42.05","         45.85","         45.45","         46.24","     619508","            28648399.70","       3875","     195605","         31.57"
"ALEMBICLTD","EQ","24-Sep-2018","         45.45","         44.70","         45.50","         43.25","         44.30","         44.30","         44.15","     313532","            13842402.85","       2337","     128198","         40.89"
"ALEMBICLTD","EQ","25-Sep-2018","         44.30","         43.65","         44.50","         41.30","         42.80","         42.75","         42.87","     522380","            22394105.50","       3542","     214619","         41.08"
"ALEMBICLTD","EQ","26-Sep-2018","         42.75","         43.10","         45.50","         42.90","         45.00","         45.00","         44.33","     501104","            22211967.40","       3329","     240192","         47.93"
"ALEMBICLTD","EQ","27-Sep-2018","         45.00","         45.00","         45.70","         43.20","         43.85","         43.70","         44.04","     252015","            11097915.45","       2431","      99464","         39.47"
"ALEMBICLTD","EQ","28-Sep-2018","         43.70","         43.65","         44.15","         41.10","         42.10","         42.20","         42.53","     390388","            16603468.95","       3404","     201044","         51.50"
"ALEMBICLTD","EQ","01-Oct-2018","         42.20","         42.35","         43.95","         39.70","         43.30","         43.45","         41.59","     492370","            20479311.95","       4585","     193155","         39.23"
"ALEMBICLTD","EQ","03-Oct-2018","         43.45","         43.30","         45.20","         41.70","         43.00","         43.35","         43.92","     409479","            17982339.15","       2972","     156442","         38.21"
"ALEMBICLTD","EQ","04-Oct-2018","         43.35","         42.60","         43.20","         42.00","         42.80","         42.55","         42.60","     327374","            13944918.10","       3078","     163929","         50.07"
"ALEMBICLTD","EQ","05-Oct-2018","         42.55","         42.50","         43.55","         41.30","         41.75","         41.90","         42.21","     358331","            15125508.10","       2188","     136288","         38.03"
"ALEMBICLTD","EQ","08-Oct-2018","         41.90","         41.80","         41.90","         40.05","         40.75","         40.85","         40.79","     366159","            14937412.50","       2429","     132173","         36.10"
"ALEMBICLTD","EQ","09-Oct-2018","         40.85","         40.75","         41.35","         39.30","         40.50","         40.50","         40.23","     278148","            11189329.40","       2291","      93315","         33.55"
"ALEMBICLTD","EQ","10-Oct-2018","         40.50","         40.60","         42.40","         40.60","         42.15","         42.05","         41.49","     343211","            14239658.25","       2218","     128962","         37.58"
"ALEMBICLTD","EQ","11-Oct-2018","         42.05","         40.60","         41.30","         39.50","         40.55","         40.30","         40.55","     275249","            11162580.45","       1904","     112210","         40.77"
"ALEMBICLTD","EQ","12-Oct-2018","         40.30","         40.75","         42.25","         40.05","         41.75","         41.75","         41.55","     278406","            11567500.10","       1686","      98698","         35.45"
"ALEMBICLTD","EQ","15-Oct-2018","         41.75","         42.00","         42.60","         40.80","         42.20","         42.20","         41.94","     388112","            16278220.65","       2212","     165542","         42.65"
"ALEMBICLTD","EQ","16-Oct-2018","         42.20","         42.25","         42.95","         41.95","         42.00","         42.15","         42.49","     243981","            10365798.00","       1428","     108827","         44.60"
"ALEMBICLTD","EQ","17-Oct-2018","         42.15","         42.65","         42.90","         41.05","         41.20","         41.30","         42.14","     228539","             9629535.95","       1684","      98046","         42.90"
"ALEMBICLTD","EQ","19-Oct-2018","         41.30","         41.00","         41.25","         40.00","         40.25","         40.35","         40.51","     147704","             5983462.55","       1241","      84424","         57.16"
"ALEMBICLTD","EQ","22-Oct-2018","         40.35","         40.65","         41.90","         40.40","         40.50","         40.60","         41.15","     281046","            11564388.10","       2203","     106456","         37.88"
"ALEMBICLTD","EQ","23-Oct-2018","         40.60","         40.50","         41.00","         39.00","         39.40","         39.50","         39.88","     223238","             8901826.20","       1788","     101335","         45.39"
"ALEMBICLTD","EQ","24-Oct-2018","         39.50","         40.05","         40.50","         39.25","         39.70","         39.50","         39.71","     214482","             8517832.70","       1241","      92071","         42.93"
"ALEMBICLTD","EQ","25-Oct-2018","         39.50","         39.00","         40.00","         38.80","         39.65","         39.60","         39.48","     171349","             6765555.80","       1241","      74635","         43.56"
"ALEMBICLTD","EQ","26-Oct-2018","         39.60","         39.70","         39.85","         39.20","         39.35","         39.40","         39.55","     176364","             6975671.45","        784","      88572","         50.22"
"ALEMBICLTD","EQ","29-Oct-2018","         39.40","         39.60","         40.70","         39.35","         40.50","         40.45","         40.35","     173411","             6996337.50","       1318","      86770","         50.04"
"ALEMBICLTD","EQ","30-Oct-2018","         40.45","         40.50","         43.20","         40.15","         42.55","         42.80","         41.96","     549078","            23038596.50","       3577","     281974","         51.35"
"ALEMBICLTD","EQ","31-Oct-2018","         42.80","         42.85","         42.95","         41.70","         42.60","         42.50","         42.39","     233669","             9904400.70","       1381","      67619","         28.94"
"ALEMBICLTD","EQ","01-Nov-2018","         42.50","         42.40","         44.55","         42.40","         44.25","         44.20","         43.80","     346752","            15187512.75","       1972","     191921","         55.35"
"ALEMBICLTD","EQ","02-Nov-2018","         44.20","         44.60","         48.20","         43.45","         46.10","         46.05","         45.82","     501383","            22975001.60","       3480","     254621","         50.78"
"ALEMBICLTD","EQ","05-Nov-2018","         46.05","         46.25","         46.25","         42.90","         43.15","         43.30","         44.51","     487532","            21698170.40","       2411","     323011","         66.25"
"ALEMBICLTD","EQ","06-Nov-2018","         43.30","         43.60","         44.80","         43.20","         44.40","         44.35","         44.02","     257174","            11321599.60","       1735","     133203","         51.79"
"ALEMBICLTD","EQ","07-Nov-2018","         44.35","         43.95","         45.00","         43.95","         44.85","         44.75","         44.69","      36841","             1646251.70","        351","      27782","         75.41"
"ALEMBICLTD","EQ","09-Nov-2018","         44.75","         45.00","         45.00","         44.10","         44.35","         44.45","         44.41","     105899","             4703102.60","        654","      69903","         66.01"
"ALEMBICLTD","EQ","12-Nov-2018","         44.45","         44.40","         45.10","         43.10","         43.30","         43.45","         43.89","     201280","             8833391.85","       1440","     105096","         52.21"
"ALEMBICLTD","EQ","13-Nov-2018","         43.45","         43.40","         45.00","         42.50","         43.50","         43.25","         43.43","     306997","            13331544.15","       1912","      67258","         21.91"
"ALEMBICLTD","EQ","14-Nov-2018","         43.25","         43.40","         43.70","         42.00","         42.20","         42.25","         42.74","     126302","             5398208.55","       1090","      79568","         63.00"
"ALEMBICLTD","EQ","15-Nov-2018","         42.25","         42.30","         42.40","         41.60","         42.10","         42.10","         42.00","      86805","             3645403.45","        703","      46315","         53.36"
"ALEMBICLTD","EQ","16-Nov-2018","         42.10","         42.10","         42.50","         41.65","         42.30","         42.05","         42.09","     106751","             4493252.60","        720","      55498","         51.99"
"ALEMBICLTD","EQ","19-Nov-2018","         42.05","         42.25","         43.00","         40.95","         41.25","         41.15","         42.09","     370072","            15578062.70","       1706","     225335","         60.89"
"ALEMBICLTD","EQ","20-Nov-2018","         41.15","         41.40","         42.50","         40.90","         41.95","         42.25","         41.79","     245466","            10257633.70","       1289","     135392","         55.16"
"ALEMBICLTD","EQ","21-Nov-2018","         42.25","         42.25","         43.60","         42.15","         42.50","         42.50","         42.90","     313870","            13464056.85","       1696","     157713","         50.25"
"ALEMBICLTD","EQ","22-Nov-2018","         42.50","         43.10","         43.75","         42.75","         43.45","         43.45","         43.15","     277896","            11990413.85","       1395","     182900","         65.82"
"ALEMBICLTD","EQ","26-Nov-2018","         43.45","         43.90","         43.90","         42.00","         43.00","         42.95","         42.80","     203957","             8729431.10","       1120","     115148","         56.46"
"ALEMBICLTD","EQ","27-Nov-2018","         42.95","         43.25","         44.00","         42.90","         43.10","         43.05","         43.23","     126312","             5460108.65","        922","      67205","         53.21"
"ALEMBICLTD","EQ","28-Nov-2018","         43.05","         43.05","         43.70","         42.30","         42.60","         42.80","         43.25","     214775","             9289386.20","        956","     146887","         68.39"
"ALEMBICLTD","EQ","29-Nov-2018","         42.80","         42.85","         43.50","         42.60","         42.85","         42.85","         43.00","     167719","             7211467.20","        698","     102827","         61.31"
"ALEMBICLTD","EQ","30-Nov-2018","         42.85","         42.75","         43.50","         42.70","         43.25","         43.35","         43.22","     207705","             8976985.35","        843","     142842","         68.77"
"ALEMBICLTD","EQ","03-Dec-2018","         43.35","         43.75","         44.20","         42.90","         43.45","         43.45","         43.64","     283620","            12376939.50","       1623","     149274","         52.63"
"ALEMBICLTD","EQ","04-Dec-2018","         43.45","         43.40","         43.75","         42.85","         43.70","         43.55","         43.48","     128538","             5588699.05","        860","      76889","         59.82"
"ALEMBICLTD","EQ","05-Dec-2018","         43.55","         43.75","         43.90","         40.60","         43.20","         42.95","         43.17","     239065","            10320759.30","       1324","     109647","         45.86"
"ALEMBICLTD","EQ","06-Dec-2018","         42.95","         42.60","         43.50","         42.00","         43.05","         42.90","         42.94","     148634","             6382932.95","        753","     103602","         69.70"
"ALEMBICLTD","EQ","07-Dec-2018","         42.90","         44.00","         44.25","         43.05","         43.85","         43.70","         43.58","     291010","            12681377.60","       1661","     133010","         45.71"
