"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMRUTANJAN","EQ","30-Aug-2018","        317.90","        308.40","        317.00","        302.05","        305.00","        307.30","        307.62","     144687","            44508860.95","       4307","      47422","         32.78"
"AMRUTANJAN","EQ","31-Aug-2018","        307.30","        308.00","        320.00","        306.95","        311.95","        309.90","        311.57","      61262","            19087269.55","       2107","      22967","         37.49"
"AMRUTANJAN","EQ","03-Sep-2018","        309.90","        324.00","        325.35","        318.10","        325.35","        325.35","        324.49","     137691","            44679150.85","       1705","      48288","         35.07"
"AMRUTANJAN","EQ","04-Sep-2018","        325.35","        329.90","        332.80","        309.10","        309.10","        310.10","        316.78","      96229","            30483334.70","       2970","      45999","         47.80"
"AMRUTANJAN","EQ","05-Sep-2018","        310.10","        306.10","        324.00","        305.00","        315.00","        312.75","        313.38","      54429","            17056839.05","       2105","      25881","         47.55"
"AMRUTANJAN","EQ","06-Sep-2018","        312.75","        322.40","        328.35","        297.20","        328.35","        328.35","        324.54","     255767","            83005726.70","       5300","      62359","         24.38"
"AMRUTANJAN","EQ","07-Sep-2018","        328.35","        333.40","        333.90","        310.55","        316.50","        317.55","        322.22","     117946","            38004335.40","       3506","      57459","         48.72"
"AMRUTANJAN","EQ","10-Sep-2018","        317.55","        317.00","        323.80","        310.00","        311.00","        311.35","        315.65","      44937","            14184588.10","       1825","      21808","         48.53"
"AMRUTANJAN","EQ","11-Sep-2018","        311.35","        315.00","        339.00","        293.25","        316.40","        313.25","        322.24","     166736","            53729374.95","       6555","      41702","         25.01"
"AMRUTANJAN","EQ","12-Sep-2018","        313.25","        316.40","        320.00","        304.20","        307.50","        308.90","        310.38","      40963","            12714281.95","       1739","      17889","         43.67"
"AMRUTANJAN","EQ","14-Sep-2018","        308.90","        313.00","        317.00","        309.95","        311.25","        310.75","        312.86","      18860","             5900576.20","        773","       9788","         51.90"
"AMRUTANJAN","EQ","17-Sep-2018","        310.75","        312.00","        312.40","        303.10","        304.65","        305.40","        307.00","      25942","             7964299.90","       1326","      11819","         45.56"
"AMRUTANJAN","EQ","18-Sep-2018","        305.40","        306.80","        311.40","        300.00","        301.30","        301.00","        305.00","      17000","             5184933.30","        825","       8171","         48.06"
"AMRUTANJAN","EQ","19-Sep-2018","        301.00","        303.50","        305.90","        285.00","        291.05","        289.40","        293.05","      28514","             8356106.35","       1125","      15242","         53.45"
"AMRUTANJAN","EQ","21-Sep-2018","        289.40","        291.00","        295.75","        271.50","        282.00","        279.20","        281.78","      35450","             9988963.70","       1182","      15180","         42.82"
"AMRUTANJAN","EQ","24-Sep-2018","        279.20","        276.00","        285.80","        261.00","        264.15","        265.70","        267.60","      25794","             6902596.35","       1216","      11782","         45.68"
