"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APLAPOLLO","EQ","30-Aug-2018","       1649.20","       1649.20","       1670.00","       1612.00","       1635.00","       1636.55","       1627.65","      23824","            38777021.80","       1384","      19305","         81.03"
"APLAPOLLO","EQ","31-Aug-2018","       1636.55","       1632.30","       1638.80","       1608.10","       1630.00","       1634.80","       1626.96","      17358","            28240733.90","       1538","      11381","         65.57"
"APLAPOLLO","EQ","03-Sep-2018","       1634.80","       1638.00","       1638.00","       1591.60","       1614.00","       1612.75","       1610.51","      23067","            37149581.90","       2065","      14144","         61.32"
"APLAPOLLO","EQ","04-Sep-2018","       1612.75","       1599.90","       1614.95","       1580.40","       1600.00","       1601.40","       1594.81","      10843","            17292530.25","       1182","       7535","         69.49"
"APLAPOLLO","EQ","05-Sep-2018","       1601.40","       1581.05","       1614.75","       1510.00","       1570.00","       1578.60","       1567.33","      33263","            52134009.45","       2794","      19968","         60.03"
"APLAPOLLO","EQ","06-Sep-2018","       1578.60","       1570.00","       1604.65","       1510.10","       1514.00","       1521.70","       1539.77","      16473","            25364680.55","       2416","       9045","         54.91"
"APLAPOLLO","EQ","07-Sep-2018","       1521.70","       1554.80","       1560.00","       1516.45","       1539.00","       1537.55","       1537.97","      34011","            52307787.50","       2216","      19905","         58.53"
"APLAPOLLO","EQ","10-Sep-2018","       1537.55","       1540.05","       1565.00","       1508.00","       1526.00","       1526.00","       1532.83","      25728","            39436687.70","       1663","      19156","         74.46"
"APLAPOLLO","EQ","11-Sep-2018","       1526.00","       1526.00","       1550.00","       1525.00","       1547.10","       1539.20","       1533.60","       7717","            11834781.00","        667","       5640","         73.09"
"APLAPOLLO","EQ","12-Sep-2018","       1539.20","       1547.70","       1547.70","       1510.00","       1532.95","       1530.85","       1519.17","      10192","            15483413.60","        965","       6154","         60.38"
"APLAPOLLO","EQ","14-Sep-2018","       1530.85","       1530.00","       1530.00","       1510.00","       1518.00","       1519.25","       1518.35","      11122","            16887053.60","        931","       5560","         49.99"
"APLAPOLLO","EQ","17-Sep-2018","       1519.25","       1545.00","       1565.00","       1517.00","       1564.85","       1554.75","       1541.73","      10985","            16935948.45","       1475","       5537","         50.41"
"APLAPOLLO","EQ","18-Sep-2018","       1554.75","       1525.00","       1568.00","       1525.00","       1541.00","       1539.85","       1540.90","      10554","            16262705.70","        956","       6823","         64.65"
"APLAPOLLO","EQ","19-Sep-2018","       1539.85","       1530.95","       1550.00","       1520.00","       1540.00","       1547.00","       1528.83","      10734","            16410509.30","       1833","       7184","         66.93"
"APLAPOLLO","EQ","21-Sep-2018","       1547.00","       1550.00","       1560.00","       1490.00","       1520.00","       1514.80","       1517.32","      60408","            91658434.45","       3705","      51890","         85.90"
"APLAPOLLO","EQ","24-Sep-2018","       1514.80","       1491.00","       1550.00","       1431.75","       1495.00","       1490.65","       1465.38","      23730","            34773515.05","       4834","      13347","         56.25"
"APLAPOLLO","EQ","25-Sep-2018","       1490.65","       1490.00","       1500.00","       1449.55","       1450.60","       1453.30","       1472.05","      14508","            21356551.25","       1667","       9197","         63.39"
"APLAPOLLO","EQ","26-Sep-2018","       1453.30","       1469.00","       1475.00","       1380.00","       1398.00","       1396.55","       1410.30","      24218","            34154635.50","       2308","      17037","         70.35"
"APLAPOLLO","EQ","27-Sep-2018","       1396.55","       1397.25","       1402.15","       1325.10","       1334.00","       1335.10","       1339.70","      86786","           116267022.70","       3516","      69369","         79.93"
"APLAPOLLO","EQ","28-Sep-2018","       1335.10","       1335.00","       1349.85","       1255.00","       1255.00","       1266.00","       1277.28","      38060","            48613289.80","       3050","      24070","         63.24"
"APLAPOLLO","EQ","01-Oct-2018","       1266.00","       1255.00","       1283.35","       1211.90","       1269.00","       1268.70","       1245.13","      75187","            93617772.30","       3345","      61783","         82.17"
"APLAPOLLO","EQ","03-Oct-2018","       1268.70","       1270.00","       1321.55","       1247.65","       1248.00","       1255.65","       1266.48","     138219","           175051086.15","       4173","     118698","         85.88"
"APLAPOLLO","EQ","04-Oct-2018","       1255.65","       1250.00","       1289.35","       1158.00","       1220.00","       1253.55","       1202.96","     112908","           135823452.65","       5489","      91306","         80.87"
"APLAPOLLO","EQ","05-Oct-2018","       1253.55","       1230.00","       1282.00","       1202.65","       1276.05","       1271.55","       1262.39","      24985","            31540907.85","       1693","      18388","         73.60"
"APLAPOLLO","EQ","08-Oct-2018","       1271.55","       1260.00","       1280.00","       1207.50","       1225.00","       1222.15","       1243.03","      85649","           106464428.95","       4272","      73976","         86.37"
"APLAPOLLO","EQ","09-Oct-2018","       1222.15","       1231.95","       1244.00","       1160.60","       1166.75","       1195.00","       1217.23","      58631","            71367494.35","       1985","      51411","         87.69"
"APLAPOLLO","EQ","10-Oct-2018","       1195.00","       1201.00","       1239.65","       1176.05","       1224.95","       1220.70","       1205.21","      55062","            66361421.70","       3589","      35983","         65.35"
"APLAPOLLO","EQ","11-Oct-2018","       1220.70","       1200.00","       1220.75","       1172.10","       1192.50","       1200.85","       1193.54","      30834","            36801670.65","       1960","      21601","         70.06"
"APLAPOLLO","EQ","12-Oct-2018","       1200.85","       1210.50","       1304.05","       1210.50","       1250.00","       1250.05","       1262.40","     116267","           146775971.70","       5662","      96923","         83.36"
"APLAPOLLO","EQ","15-Oct-2018","       1250.05","       1232.15","       1298.00","       1232.15","       1283.50","       1286.15","       1280.06","      11874","            15199458.95","       1244","       6788","         57.17"
"APLAPOLLO","EQ","16-Oct-2018","       1286.15","       1311.85","       1392.00","       1311.85","       1384.80","       1379.05","       1368.55","      30202","            41332984.05","       2715","      18369","         60.82"
"APLAPOLLO","EQ","17-Oct-2018","       1379.05","       1399.00","       1430.00","       1334.60","       1380.00","       1365.10","       1353.02","      81484","           110249282.15","       4574","      61183","         75.09"
"APLAPOLLO","EQ","19-Oct-2018","       1365.10","       1365.10","       1400.00","       1304.25","       1330.00","       1319.30","       1341.47","      17119","            22964678.80","       1645","      10465","         61.13"
"APLAPOLLO","EQ","22-Oct-2018","       1319.30","       1319.30","       1329.90","       1295.85","       1320.00","       1319.15","       1304.64","      65882","            85952367.30","       5625","      55595","         84.39"
"APLAPOLLO","EQ","23-Oct-2018","       1319.15","       1319.00","       1319.00","       1204.00","       1245.00","       1250.45","       1252.46","      22561","            28256796.45","       2508","      14334","         63.53"
