"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOTYRE","EQ","30-Aug-2018","        250.50","        252.00","        252.00","        248.70","        251.35","        250.55","        250.30","    4947003","          1238215561.70","      30467","    2723052","         55.04"
"APOLLOTYRE","EQ","31-Aug-2018","        250.55","        251.40","        254.85","        250.65","        251.35","        251.40","        252.51","    2067525","           522062625.90","      16419","     534303","         25.84"
"APOLLOTYRE","EQ","03-Sep-2018","        251.40","        252.00","        254.50","        248.80","        249.00","        250.30","        252.50","    1674997","           422935926.45","      14977","     352000","         21.01"
"APOLLOTYRE","EQ","04-Sep-2018","        250.30","        250.00","        251.00","        239.75","        241.10","        241.15","        243.73","    4263761","          1039206162.95","      51808","    1665706","         39.07"
"APOLLOTYRE","EQ","05-Sep-2018","        241.15","        240.00","        245.50","        237.20","        243.95","        244.35","        241.87","    3165366","           765617886.25","      32524","     975544","         30.82"
"APOLLOTYRE","EQ","06-Sep-2018","        244.35","        246.00","        247.00","        242.50","        245.95","        245.95","        245.10","    1624909","           398268352.00","      13989","     374780","         23.06"
"APOLLOTYRE","EQ","07-Sep-2018","        245.95","        246.20","        250.50","        245.00","        247.50","        247.75","        248.20","    2248742","           558127925.35","      25261","     782870","         34.81"
"APOLLOTYRE","EQ","10-Sep-2018","        247.75","        247.00","        250.80","        235.70","        236.60","        241.25","        245.06","    1994669","           488803802.75","      21488","     726830","         36.44"
"APOLLOTYRE","EQ","11-Sep-2018","        241.25","        238.20","        242.85","        229.00","        231.50","        230.75","        236.95","    4318217","          1023185776.70","      43961","    1745486","         40.42"
"APOLLOTYRE","EQ","12-Sep-2018","        230.75","        231.95","        233.00","        225.55","        231.00","        230.60","        229.93","    4642573","          1067461342.60","      35906","    1488752","         32.07"
"APOLLOTYRE","EQ","14-Sep-2018","        230.60","        234.00","        242.45","        232.30","        241.50","        241.60","        238.32","    5074936","          1209450214.00","      39214","    1776911","         35.01"
"APOLLOTYRE","EQ","17-Sep-2018","        241.60","        240.45","        245.00","        236.50","        242.55","        243.55","        241.96","    2939173","           711162332.50","      26384","     798363","         27.16"
"APOLLOTYRE","EQ","18-Sep-2018","        243.55","        243.35","        244.65","        238.00","        239.25","        238.85","        241.30","    2947278","           711179555.95","      24419","    1072722","         36.40"
"APOLLOTYRE","EQ","19-Sep-2018","        238.85","        241.00","        241.80","        236.30","        240.40","        239.85","        239.32","    2286893","           547288240.85","      28736","    1088609","         47.60"
"APOLLOTYRE","EQ","21-Sep-2018","        239.85","        242.60","        243.65","        216.50","        231.20","        231.20","        233.68","    5453773","          1274431807.95","      75686","    1664690","         30.52"
"APOLLOTYRE","EQ","24-Sep-2018","        231.20","        231.30","        233.20","        223.30","        225.85","        226.10","        226.74","    2291403","           519555418.60","      30944","     732309","         31.96"
"APOLLOTYRE","EQ","25-Sep-2018","        226.10","        225.70","        235.10","        222.15","        232.00","        231.10","        226.36","    2889656","           654111347.55","      57780","    1014053","         35.09"
"APOLLOTYRE","EQ","26-Sep-2018","        231.10","        235.00","        235.00","        226.55","        227.90","        228.30","        229.63","    2397083","           550430696.90","      32170","     920020","         38.38"
