"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AURIONPRO","EQ","30-Aug-2018","        184.00","        200.00","        200.00","        183.50","        193.75","        192.60","        192.74","      51013","             9832212.60","       1373","      22395","         43.90"
"AURIONPRO","EQ","31-Aug-2018","        192.60","        193.95","        194.90","        187.15","        191.00","        190.15","        189.65","      24911","             4724416.80","        274","      19345","         77.66"
"AURIONPRO","EQ","03-Sep-2018","        190.15","        191.25","        195.70","        189.55","        190.00","        190.25","        191.32","       5418","             1036597.55","        168","       3959","         73.07"
"AURIONPRO","EQ","04-Sep-2018","        190.25","        191.30","        191.30","        182.50","        185.00","        185.60","        186.90","       8521","             1592535.35","        268","       6526","         76.59"
"AURIONPRO","EQ","05-Sep-2018","        185.60","        185.00","        185.05","        178.00","        184.00","        181.30","        182.05","      12448","             2266105.90","        444","       8300","         66.68"
"AURIONPRO","EQ","06-Sep-2018","        181.30","        182.30","        186.70","        179.00","        182.00","        181.70","        181.65","      16081","             2921124.75","        239","      12520","         77.86"
"AURIONPRO","EQ","07-Sep-2018","        181.70","        179.10","        187.50","        175.05","        186.85","        182.45","        179.79","      30982","             5570180.00","        372","      25167","         81.23"
"AURIONPRO","EQ","10-Sep-2018","        182.45","        184.00","        186.20","        176.50","        183.00","        179.55","        180.57","       7072","             1277019.05","        208","       4115","         58.19"
"AURIONPRO","EQ","11-Sep-2018","        179.55","        185.45","        185.45","        175.30","        177.45","        177.60","        179.23","       9366","             1678713.60","        291","       5246","         56.01"
"AURIONPRO","EQ","12-Sep-2018","        177.60","        179.95","        180.00","        175.05","        179.85","        178.25","        177.37","       6438","             1141898.25","        148","       5087","         79.02"
"AURIONPRO","EQ","14-Sep-2018","        178.25","        183.00","        183.50","        176.15","        180.00","        180.55","        179.73","       6997","             1257556.90","        282","       3694","         52.79"
"AURIONPRO","EQ","17-Sep-2018","        180.55","        180.00","        182.00","        178.15","        179.50","        180.55","        180.38","       3487","              628975.50","         68","       3009","         86.29"
"AURIONPRO","EQ","18-Sep-2018","        180.55","        186.95","        187.50","        181.60","        181.60","        183.55","        184.64","      26145","             4827347.60","        550","      16778","         64.17"
"AURIONPRO","EQ","19-Sep-2018","        183.55","        183.90","        187.00","        180.00","        180.95","        181.05","        182.07","      16327","             2972631.95","        182","      13041","         79.87"
"AURIONPRO","EQ","21-Sep-2018","        181.05","        183.05","        183.05","        168.00","        172.00","        173.10","        174.56","       7526","             1313749.20","        199","       5419","         72.00"
"AURIONPRO","EQ","24-Sep-2018","        173.10","        174.10","        177.80","        163.35","        177.00","        171.90","        167.29","      12682","             2121604.95","        233","       9578","         75.52"
"AURIONPRO","EQ","25-Sep-2018","        171.90","        167.00","        172.95","        164.10","        172.75","        172.10","        170.03","      14322","             2435203.25","        253","      12574","         87.79"
"AURIONPRO","EQ","26-Sep-2018","        172.10","        168.00","        170.00","        160.35","        162.55","        164.60","        164.40","      15235","             2504643.85","        329","      10150","         66.62"
"AURIONPRO","EQ","27-Sep-2018","        164.60","        160.70","        174.80","        156.80","        171.00","        170.10","        165.77","      15254","             2528730.10","        285","      12073","         79.15"
"AURIONPRO","EQ","28-Sep-2018","        170.10","        171.00","        174.30","        161.00","        161.60","        162.65","        164.94","      12515","             2064207.45","        139","      10939","         87.41"
"AURIONPRO","EQ","01-Oct-2018","        162.65","        155.00","        159.85","        140.00","        158.00","        152.80","        151.55","      27382","             4149724.20","        448","      18592","         67.90"
"AURIONPRO","EQ","03-Oct-2018","        152.80","        152.80","        169.20","        141.35","        151.00","        151.75","        155.80","      42755","             6661440.15","        847","      17937","         41.95"
"AURIONPRO","EQ","04-Oct-2018","        151.75","        151.10","        151.50","        143.00","        143.05","        145.45","        145.53","      32583","             4741942.25","        335","      29658","         91.02"
"AURIONPRO","EQ","05-Oct-2018","        145.45","        144.00","        149.45","        137.10","        137.10","        139.80","        139.89","      25033","             3501870.05","        372","      21331","         85.21"
"AURIONPRO","EQ","08-Oct-2018","        139.80","        140.15","        151.75","        140.15","        143.00","        143.85","        145.91","       9710","             1416766.05","        419","       6082","         62.64"
"AURIONPRO","EQ","09-Oct-2018","        143.85","        145.00","        154.00","        144.90","        145.00","        145.40","        146.23","       4100","              599542.45","        138","       2883","         70.32"
"AURIONPRO","EQ","10-Oct-2018","        145.40","        149.95","        156.55","        148.00","        156.55","        154.35","        152.10","      16167","             2458990.85","        347","      12875","         79.64"
"AURIONPRO","EQ","11-Oct-2018","        154.35","        149.00","        154.45","        145.80","        150.00","        150.90","        150.01","       5348","              802274.20","        227","       3194","         59.72"
"AURIONPRO","EQ","12-Oct-2018","        150.90","        150.00","        157.00","        150.00","        155.85","        155.40","        154.47","       2040","              315112.75","         75","       1604","         78.63"
"AURIONPRO","EQ","15-Oct-2018","        155.40","        160.00","        163.00","        148.15","        163.00","        162.05","        158.06","      10151","             1604446.90","        245","       7439","         73.28"
"AURIONPRO","EQ","16-Oct-2018","        162.05","        167.00","        167.00","        161.20","        165.00","        163.90","        163.72","       6430","             1052739.65","        158","       5590","         86.94"
"AURIONPRO","EQ","17-Oct-2018","        163.90","        168.00","        172.00","        155.10","        157.00","        156.75","        161.04","       9693","             1560919.40","        354","       6699","         69.11"
"AURIONPRO","EQ","19-Oct-2018","        156.75","        155.05","        157.40","        150.30","        150.50","        151.70","        153.45","       5882","              902593.70","        144","       5077","         86.31"
"AURIONPRO","EQ","22-Oct-2018","        151.70","        160.00","        161.45","        148.25","        149.05","        150.65","        151.61","       9357","             1418569.75","        371","       5464","         58.39"
