"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AVADHSUGAR","EQ","30-Aug-2018","        355.55","        350.00","        360.95","        348.50","        355.00","        355.55","        354.90","      11468","             4069945.70","        645","       4066","         35.46"
"AVADHSUGAR","EQ","31-Aug-2018","        355.55","        350.00","        365.00","        349.15","        357.00","        359.00","        358.17","      10573","             3786907.25","        475","       5376","         50.85"
"AVADHSUGAR","EQ","03-Sep-2018","        359.00","        359.00","        361.45","        351.00","        353.00","        354.05","        357.92","       8438","             3020169.90","        333","       5214","         61.79"
"AVADHSUGAR","EQ","04-Sep-2018","        354.05","        354.00","        357.95","        342.00","        346.70","        344.35","        350.73","       8210","             2879492.30","        385","       5394","         65.70"
"AVADHSUGAR","EQ","05-Sep-2018","        344.35","        346.00","        352.30","        335.25","        345.20","        346.55","        343.39","      12755","             4379892.45","        572","       5865","         45.98"
"AVADHSUGAR","EQ","06-Sep-2018","        346.55","        351.00","        357.75","        345.00","        345.00","        349.35","        350.49","      12518","             4387469.90","        612","       6871","         54.89"
"AVADHSUGAR","EQ","07-Sep-2018","        349.35","        358.00","        360.00","        347.65","        353.40","        352.60","        352.70","       9516","             3356274.90","        464","       5276","         55.44"
"AVADHSUGAR","EQ","10-Sep-2018","        352.60","        353.80","        381.00","        351.10","        374.05","        374.30","        367.88","      41975","            15441965.10","       1449","      17730","         42.24"
"AVADHSUGAR","EQ","11-Sep-2018","        374.30","        378.00","        383.60","        366.00","        366.00","        371.10","        373.66","      28948","            10816612.25","       1052","      13257","         45.80"
"AVADHSUGAR","EQ","12-Sep-2018","        371.10","        374.80","        403.70","        368.10","        387.00","        392.70","        388.16","     106140","            41199373.20","       3235","      35134","         33.10"
"AVADHSUGAR","EQ","14-Sep-2018","        392.70","        399.90","        471.20","        396.00","        471.20","        471.20","        448.82","     539930","           242330514.70","      13891","     150309","         27.84"
"AVADHSUGAR","EQ","17-Sep-2018","        471.20","        512.00","        565.40","        502.00","        565.40","        565.40","        547.05","    1166445","           638098219.20","      31021","     198708","         17.04"
"AVADHSUGAR","EQ","18-Sep-2018","        565.40","        585.00","        598.00","        515.25","        538.20","        532.30","        544.99","    1405917","           766209450.05","      46897","     197568","         14.05"
"AVADHSUGAR","EQ","19-Sep-2018","        532.30","        555.50","        562.00","        528.40","        561.00","        554.35","        546.74","     652276","           356622939.30","      21786","      94417","         14.48"
"AVADHSUGAR","EQ","21-Sep-2018","        554.35","        558.00","        576.85","        498.95","        499.00","        501.00","        536.11","     396594","           212618333.45","      10745","     111314","         28.07"
"AVADHSUGAR","EQ","24-Sep-2018","        501.00","        499.80","        507.00","        455.10","        470.00","        474.30","        478.59","     260761","           124798851.90","       8348","      44392","         17.02"
"AVADHSUGAR","EQ","25-Sep-2018","        474.30","        481.00","        521.70","        468.00","        521.70","        521.65","        504.52","     368005","           185665982.60","      11075","      99905","         27.15"
"AVADHSUGAR","EQ","26-Sep-2018","        521.65","        540.50","        546.80","        482.20","        485.05","        492.80","        513.94","     515817","           265101003.05","      18572","     119779","         23.22"
"AVADHSUGAR","EQ","27-Sep-2018","        492.80","        480.00","        492.00","        450.50","        453.00","        453.30","        469.37","     125809","            59050725.45","       5296","      35044","         27.85"
"AVADHSUGAR","EQ","28-Sep-2018","        453.30","        457.00","        457.00","        408.00","        408.00","        408.00","        422.10","      99793","            42122640.90","       4072","      29758","         29.82"
"AVADHSUGAR","EQ","01-Oct-2018","        408.00","        385.00","        419.90","        372.50","        405.00","        400.85","        391.21","     143201","            56022199.85","       5775","      26404","         18.44"
"AVADHSUGAR","EQ","03-Oct-2018","        400.85","        404.80","        440.90","        400.00","        424.00","        425.60","        428.09","     192803","            82537952.15","       7361","      29503","         15.30"
"AVADHSUGAR","EQ","04-Oct-2018","        425.60","        413.80","        432.00","        401.60","        407.85","        410.65","        418.80","      89125","            37325337.90","       3693","      22556","         25.31"
"AVADHSUGAR","EQ","05-Oct-2018","        410.65","        412.00","        431.00","        385.10","        393.00","        393.65","        412.74","     155075","            64005536.15","       4148","      67210","         43.34"
"AVADHSUGAR","EQ","08-Oct-2018","        393.65","        395.50","        406.90","        380.20","        388.50","        388.95","        393.72","      78354","            30849847.25","       3416","      18068","         23.06"
"AVADHSUGAR","EQ","09-Oct-2018","        388.95","        398.90","        408.35","        398.85","        408.35","        408.35","        407.60","      38589","            15728762.85","        562","      24451","         63.36"
"AVADHSUGAR","EQ","10-Oct-2018","        408.35","        415.00","        428.75","        400.05","        428.75","        428.50","        422.74","     193549","            81820262.95","       3805","      49323","         25.48"
"AVADHSUGAR","EQ","11-Oct-2018","        428.50","        427.00","        449.90","        407.10","        449.00","        448.75","        437.65","     179169","            78414194.15","       3895","      61108","         34.11"
"AVADHSUGAR","EQ","12-Oct-2018","        448.75","        459.95","        471.15","        455.00","        471.15","        471.15","        468.77","      40821","            19135735.40","        786","      21786","         53.37"
"AVADHSUGAR","EQ","15-Oct-2018","        471.15","        494.70","        494.70","        494.70","        494.70","        494.70","        494.70","       3822","             1890743.40","         77","       3822","        100.00"
"AVADHSUGAR","EQ","16-Oct-2018","        494.70","        519.40","        519.40","        500.00","        513.00","        512.30","        512.49","     115139","            59007175.40","       2883","      41687","         36.21"
