"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BARTRONICS","EQ","30-Aug-2018","          9.15","          9.05","          9.15","          9.00","          9.10","          9.05","          9.06","      34573","              313185.15","        113","      29270","         84.66"
"BARTRONICS","EQ","31-Aug-2018","          9.05","          9.15","          9.15","          8.95","          9.05","          9.05","          9.05","      37079","              335639.75","         84","      27652","         74.58"
"BARTRONICS","EQ","03-Sep-2018","          9.05","          9.05","          9.25","          9.00","          9.15","          9.10","          9.11","      25129","              228853.25","         92","      18363","         73.07"
"BARTRONICS","EQ","04-Sep-2018","          9.10","          9.35","          9.35","          8.85","          8.90","          8.90","          8.96","      47280","              423805.85","        127","      42047","         88.93"
"BARTRONICS","EQ","05-Sep-2018","          8.90","          9.00","          9.00","          8.80","          8.90","          8.95","          8.91","      20153","              179526.05","         81","      15605","         77.43"
"BARTRONICS","EQ","06-Sep-2018","          8.95","          8.85","          9.10","          8.85","          8.95","          8.95","          8.99","      20888","              187722.20","         65","      16611","         79.52"
"BARTRONICS","EQ","07-Sep-2018","          8.95","          8.90","          9.00","          8.85","          9.00","          8.95","          8.93","      20582","              183875.15","         72","      16221","         78.81"
"BARTRONICS","EQ","10-Sep-2018","          8.95","          8.85","          8.90","          8.70","          8.80","          8.75","          8.79","      48731","              428129.35","        121","      35295","         72.43"
"BARTRONICS","EQ","11-Sep-2018","          8.75","          8.90","          8.90","          8.50","          8.50","          8.50","          8.59","      34962","              300387.35","        151","      30979","         88.61"
"BARTRONICS","EQ","12-Sep-2018","          8.50","          8.60","          8.60","          8.25","          8.40","          8.40","          8.44","      23988","              202384.35","        121","      14809","         61.74"
"BARTRONICS","EQ","14-Sep-2018","          8.40","          8.40","          8.85","          8.20","          8.20","          8.30","          8.37","      29458","              246504.10","        129","      27315","         92.73"
"BARTRONICS","EQ","17-Sep-2018","          8.30","          8.05","          8.45","          8.05","          8.40","          8.35","          8.22","      20414","              167903.75","         98","      15590","         76.37"
"BARTRONICS","EQ","18-Sep-2018","          8.35","          8.15","          8.80","          8.10","          8.45","          8.35","          8.46","      49669","              420306.60","        168","      29515","         59.42"
"BARTRONICS","EQ","19-Sep-2018","          8.35","          8.70","          8.70","          7.90","          8.15","          8.15","          8.08","     114382","              923798.05","        370","      71259","         62.30"
"BARTRONICS","EQ","21-Sep-2018","          8.15","          8.15","          8.30","          7.80","          8.00","          8.00","          8.04","      42798","              344045.30","        132","      31459","         73.51"
"BARTRONICS","EQ","24-Sep-2018","          8.00","          8.45","          8.45","          7.60","          7.65","          7.65","          7.70","      77278","              595103.10","        168","      53283","         68.95"
"BARTRONICS","EQ","25-Sep-2018","          7.65","          7.95","          8.05","          7.50","          7.75","          7.65","          7.78","      88457","              688232.05","        173","      50519","         57.11"
"BARTRONICS","EQ","26-Sep-2018","          7.65","          7.75","          7.85","          7.30","          7.50","          7.55","          7.54","      41487","              312613.40","         96","      27710","         66.79"
"BARTRONICS","EQ","27-Sep-2018","          7.55","          7.55","          7.75","          7.25","          7.35","          7.35","          7.43","      38648","              287274.30","        141","      16454","         42.57"
"BARTRONICS","EQ","28-Sep-2018","          7.35","          7.70","          7.70","          7.00","          7.00","          7.05","          7.28","      37378","              272259.55","        110","      28010","         74.94"
"BARTRONICS","EQ","01-Oct-2018","          7.05","          6.90","          7.00","          6.35","          6.50","          6.45","          6.61","      78593","              519679.70","        199","      57602","         73.29"
"BARTRONICS","EQ","03-Oct-2018","          6.45","          6.05","          6.80","          6.05","          6.70","          6.65","          6.58","      49975","              329053.90","        129","      24681","         49.39"
"BARTRONICS","EQ","04-Oct-2018","          6.65","          6.60","          6.95","          6.35","          6.90","          6.80","          6.63","      30018","              198876.90","        116","      24385","         81.23"
"BARTRONICS","EQ","05-Oct-2018","          6.80","          6.80","          7.35","          6.70","          7.30","          7.30","          7.09","      53078","              376109.95","        151","      40010","         75.38"
"BARTRONICS","EQ","08-Oct-2018","          7.30","          7.30","          7.70","          6.80","          6.85","          7.00","          7.15","      36656","              262001.55","        187","      21244","         57.96"
"BARTRONICS","EQ","09-Oct-2018","          7.00","          8.15","          8.15","          6.80","          6.90","          6.90","          7.15","      38783","              277229.60","        163","      26756","         68.99"
"BARTRONICS","EQ","10-Oct-2018","          6.90","          6.80","          7.15","          6.80","          7.05","          7.00","          6.98","      18288","              127741.40","         80","      12671","         69.29"
"BARTRONICS","EQ","11-Oct-2018","          7.00","          6.95","          7.10","          6.75","          7.00","          7.00","          6.91","      20740","              143386.50","         52","      14481","         69.82"
"BARTRONICS","EQ","12-Oct-2018","          7.00","          7.00","          7.40","          7.00","          7.10","          7.00","          7.06","       9769","               68982.20","         55","       7393","         75.68"
"BARTRONICS","EQ","15-Oct-2018","          7.00","          7.30","          7.65","          6.90","          6.95","          7.00","          7.21","      43006","              310025.50","        110","      30550","         71.04"
"BARTRONICS","EQ","16-Oct-2018","          7.00","          7.05","          7.75","          6.90","          7.15","          7.10","          7.21","      33233","              239620.70","        136","      24130","         72.61"
"BARTRONICS","EQ","17-Oct-2018","          7.10","          7.50","          7.70","          7.20","          7.40","          7.35","          7.47","      56788","              424257.70","        185","      32845","         57.84"
"BARTRONICS","EQ","19-Oct-2018","          7.35","          7.10","          7.10","          6.75","          7.00","          7.00","          6.94","      35405","              245706.25","        112","      24841","         70.16"
"BARTRONICS","EQ","22-Oct-2018","          7.00","          6.90","          7.45","          6.80","          7.00","          6.85","          6.97","      32608","              227159.50","        120","      22236","         68.19"
"BARTRONICS","EQ","23-Oct-2018","          6.85","          6.80","          7.00","          6.70","          6.80","          6.90","          6.87","       5210","               35798.20","         36","       4611","         88.50"
"BARTRONICS","EQ","24-Oct-2018","          6.90","          6.80","          7.10","          6.80","          7.00","          7.00","          6.96","      10371","               72174.55","         65","       8110","         78.20"
"BARTRONICS","EQ","25-Oct-2018","          7.00","          6.80","          8.40","          6.80","          7.45","          7.55","          7.74","      66917","              517865.05","        203","      42463","         63.46"
