"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BBL","EQ","30-Aug-2018","       1344.65","       1340.00","       1373.00","       1329.65","       1333.00","       1340.90","       1352.32","      13451","            18190075.35","       1353","       6496","         48.29"
"BBL","EQ","31-Aug-2018","       1340.90","       1340.00","       1379.90","       1323.00","       1358.00","       1356.25","       1346.66","      13132","            17684321.00","       1317","       6711","         51.10"
"BBL","EQ","03-Sep-2018","       1356.25","       1340.00","       1425.00","       1340.00","       1390.00","       1390.70","       1396.19","      30455","            42520864.50","       1687","      16396","         53.84"
"BBL","EQ","04-Sep-2018","       1390.70","       1398.70","       1424.00","       1345.00","       1356.00","       1360.10","       1389.22","      25952","            36053033.35","       2014","      12977","         50.00"
"BBL","EQ","05-Sep-2018","       1360.10","       1350.00","       1363.00","       1320.00","       1345.00","       1340.90","       1334.65","      11235","            14994774.00","       1121","       5192","         46.21"
"BBL","EQ","06-Sep-2018","       1340.90","       1339.00","       1586.00","       1339.00","       1527.00","       1546.30","       1521.07","     341816","           519925417.90","      17076","      46935","         13.73"
"BBL","EQ","07-Sep-2018","       1546.30","       1540.20","       1545.00","       1500.00","       1505.00","       1506.30","       1522.48","      89179","           135773468.00","       7177","      20265","         22.72"
"BBL","EQ","10-Sep-2018","       1506.30","       1500.15","       1525.00","       1466.25","       1474.50","       1473.10","       1490.93","      40989","            61111927.90","       2484","      18449","         45.01"
"BBL","EQ","11-Sep-2018","       1473.10","       1473.10","       1486.70","       1391.00","       1408.00","       1401.25","       1432.27","      16872","            24165193.70","       1607","       9119","         54.05"
"BBL","EQ","12-Sep-2018","       1401.25","       1401.25","       1405.00","       1365.00","       1385.00","       1389.30","       1386.81","      22028","            30548560.20","       1794","       9071","         41.18"
"BBL","EQ","14-Sep-2018","       1389.30","       1404.75","       1412.05","       1382.00","       1385.00","       1389.55","       1392.73","      13718","            19105500.70","       1189","       6865","         50.04"
"BBL","EQ","17-Sep-2018","       1389.55","       1370.10","       1486.85","       1370.10","       1443.15","       1443.00","       1432.01","      52740","            75524188.35","       3559","      26425","         50.10"
