"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEL","EQ","30-Aug-2018","        114.80","        115.00","        115.70","        113.80","        114.25","        114.20","        114.58","    4230841","           484781148.30","      19530","    2154536","         50.92"
"BEL","EQ","31-Aug-2018","        114.20","        114.20","        117.40","        113.05","        113.70","        113.50","        114.52","    9746380","          1116119483.50","      51417","    4193459","         43.03"
"BEL","EQ","03-Sep-2018","        113.50","        114.25","        115.50","        112.00","        112.40","        112.45","        113.50","    7758259","           880560698.15","      33592","    2653001","         34.20"
"BEL","EQ","04-Sep-2018","        112.45","        113.40","        113.40","        107.50","        109.50","        109.15","        110.23","    6888839","           759373753.45","      30446","    2794307","         40.56"
"BEL","EQ","05-Sep-2018","        109.15","        109.40","        109.40","         89.50","         94.00","         94.45","         95.49","  145279545","         13872767210.00","     410499","   49939844","         34.38"
"BEL","EQ","06-Sep-2018","         94.45","         94.70","         94.85","         89.60","         91.00","         91.25","         91.47","   48298196","          4417703286.95","     178090","    8370519","         17.33"
"BEL","EQ","07-Sep-2018","         91.25","         91.00","         93.75","         90.10","         91.70","         91.85","         92.30","   21620187","          1995555037.65","     101749","    4803561","         22.22"
"BEL","EQ","10-Sep-2018","         91.85","         91.85","         93.10","         90.65","         90.70","         90.95","         91.84","   10868475","           998197623.40","      55940","    2860727","         26.32"
"BEL","EQ","11-Sep-2018","         90.95","         91.40","         91.90","         88.15","         88.25","         88.50","         89.80","   15799674","          1418830875.20","      75329","    6147234","         38.91"
"BEL","EQ","12-Sep-2018","         88.50","         88.50","         88.60","         85.25","         87.65","         87.65","         86.81","   18999843","          1649300392.80","      77084","    5782013","         30.43"
"BEL","EQ","14-Sep-2018","         87.65","         88.10","         89.50","         88.10","         88.70","         88.80","         88.77","    7539413","           669310434.00","      39774","    2675524","         35.49"
"BEL","EQ","17-Sep-2018","         88.80","         88.75","         88.80","         86.80","         87.10","         87.10","         87.70","    7523041","           659746475.55","      36176","    2981546","         39.63"
"BEL","EQ","18-Sep-2018","         87.10","         87.10","         87.55","         83.70","         84.00","         84.00","         84.97","   11259823","           956738393.95","      44612","    4631236","         41.13"
