"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEPL","EQ","30-Aug-2018","        132.75","        132.45","        133.35","        129.65","        131.35","        131.60","        131.44","     255240","            33549431.70","       3296","     116417","         45.61"
"BEPL","EQ","31-Aug-2018","        131.60","        131.60","        134.40","        130.00","        130.85","        130.35","        131.82","     316719","            41750252.25","       3794","     148283","         46.82"
"BEPL","EQ","03-Sep-2018","        130.35","        131.00","        132.10","        128.60","        129.50","        129.45","        130.82","     326990","            42778334.25","       3251","     187914","         57.47"
"BEPL","EQ","04-Sep-2018","        129.45","        129.00","        130.80","        126.85","        127.50","        127.15","        127.90","     290822","            37196122.30","       3529","     160836","         55.30"
"BEPL","EQ","05-Sep-2018","        127.15","        127.40","        128.60","        122.70","        126.30","        125.80","        125.34","     333965","            41857547.20","       4136","     155544","         46.57"
"BEPL","EQ","06-Sep-2018","        125.80","        126.90","        129.45","        125.65","        126.50","        126.90","        127.28","     269806","            34341678.25","       2697","     109396","         40.55"
"BEPL","EQ","07-Sep-2018","        126.90","        127.00","        127.40","        124.60","        126.00","        126.35","        125.93","     242004","            30474854.80","       4332","      90802","         37.52"
"BEPL","EQ","10-Sep-2018","        126.35","        125.80","        126.60","        123.50","        124.35","        124.35","        125.08","     219125","            27407394.90","       2428","     116610","         53.22"
"BEPL","EQ","11-Sep-2018","        124.35","        124.40","        127.50","        122.40","        123.00","        123.00","        124.47","     260542","            32429013.70","       3181","     121552","         46.65"
"BEPL","EQ","12-Sep-2018","        123.00","        122.20","        123.40","        118.70","        120.70","        120.35","        120.57","     338440","            40805567.15","       3393","     170715","         50.44"
"BEPL","EQ","14-Sep-2018","        120.35","        121.90","        126.05","        120.95","        125.60","        125.15","        123.62","     243129","            30055099.95","       2501","     110137","         45.30"
"BEPL","EQ","17-Sep-2018","        125.15","        125.00","        126.90","        123.00","        125.10","        125.35","        125.26","     243333","            30480233.95","       3261","     104624","         43.00"
"BEPL","EQ","18-Sep-2018","        125.35","        124.40","        137.85","        124.40","        137.85","        136.65","        135.30","    2142781","           289909526.45","      14733","     722094","         33.70"
"BEPL","EQ","19-Sep-2018","        136.65","        138.90","        149.50","        134.55","        142.90","        142.60","        144.09","    2140490","           308419358.95","      20227","     901803","         42.13"
"BEPL","EQ","21-Sep-2018","        142.60","        143.85","        149.45","        128.35","        142.00","        140.25","        139.51","    1389983","           193917811.85","      11460","     584194","         42.03"
"BEPL","EQ","24-Sep-2018","        140.25","        140.50","        144.70","        131.50","        132.90","        133.05","        137.42","     648497","            89113962.25","       8450","     265854","         41.00"
"BEPL","EQ","25-Sep-2018","        133.05","        132.50","        137.00","        128.25","        129.20","        129.65","        132.04","     574691","            75884754.65","       7420","     192078","         33.42"
"BEPL","EQ","26-Sep-2018","        129.65","        131.40","        136.85","        128.40","        131.50","        131.10","        132.40","     558441","            73935227.50","       7003","     217238","         38.90"
"BEPL","EQ","27-Sep-2018","        131.10","        131.90","        134.00","        119.00","        124.50","        123.60","        124.85","     820920","           102493186.05","       9365","     421816","         51.38"
"BEPL","EQ","28-Sep-2018","        123.60","        125.90","        127.50","        111.50","        114.30","        114.00","        118.46","     881702","           104444730.70","       9517","     454351","         51.53"
"BEPL","EQ","01-Oct-2018","        114.00","        117.00","        125.00","        107.00","        121.50","        122.85","        116.97","     986768","           115419442.55","       9671","     431847","         43.76"
"BEPL","EQ","03-Oct-2018","        122.85","        124.00","        134.00","        120.50","        129.45","        128.80","        129.57","     698675","            90524692.60","       7608","     291550","         41.73"
"BEPL","EQ","04-Oct-2018","        128.80","        125.00","        132.60","        121.45","        126.05","        126.50","        127.30","     613735","            78127656.60","       7196","     233409","         38.03"
