"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHAGYANGR","BE","30-Aug-2018","         35.40","         35.40","         36.30","         34.25","         36.00","         35.35","         35.64","      13509","              481438.10","         99","-","-"
"BHAGYANGR","BE","31-Aug-2018","         35.35","         35.35","         36.00","         34.90","         35.10","         35.20","         35.25","       7691","              271092.50","         57","-","-"
"BHAGYANGR","BE","03-Sep-2018","         35.20","         34.00","         36.15","         34.00","         35.35","         35.70","         35.48","       8570","              304096.65","         77","-","-"
"BHAGYANGR","BE","04-Sep-2018","         35.70","         35.35","         36.40","         34.60","         35.75","         35.10","         35.01","       7243","              253605.50","         50","-","-"
"BHAGYANGR","BE","05-Sep-2018","         35.10","         34.05","         35.00","         34.00","         34.55","         34.55","         34.20","       9359","              320050.90","         67","-","-"
"BHAGYANGR","BE","06-Sep-2018","         34.55","         35.40","         35.40","         34.00","         34.20","         34.55","         34.34","       7596","              260840.75","         56","-","-"
"BHAGYANGR","BE","07-Sep-2018","         34.55","         34.00","         34.60","         33.10","         34.40","         34.45","         34.11","       8499","              289916.70","         70","-","-"
"BHAGYANGR","BE","10-Sep-2018","         34.45","         35.00","         35.00","         33.60","         34.00","         34.05","         34.14","      10820","              369380.70","         59","-","-"
"BHAGYANGR","BE","11-Sep-2018","         34.05","         34.05","         34.55","         33.30","         34.55","         33.95","         33.76","       6602","              222908.15","         74","-","-"
"BHAGYANGR","BE","12-Sep-2018","         33.95","         33.75","         34.40","         33.10","         33.80","         34.10","         33.79","       5776","              195167.50","         47","-","-"
"BHAGYANGR","BE","14-Sep-2018","         34.10","         35.75","         35.75","         33.25","         35.00","         34.80","         34.27","       9906","              339498.40","         66","-","-"
"BHAGYANGR","BE","17-Sep-2018","         34.80","         33.50","         35.50","         33.50","         33.70","         33.85","         34.04","       3407","              115968.65","         48","-","-"
"BHAGYANGR","BE","18-Sep-2018","         33.85","         35.00","         35.50","         33.70","         34.00","         34.00","         34.72","       5574","              193557.05","         63","-","-"
"BHAGYANGR","BE","19-Sep-2018","         34.00","         33.65","         34.45","         33.25","         33.95","         33.60","         33.86","       4061","              137496.50","         37","-","-"
"BHAGYANGR","BE","21-Sep-2018","         33.60","         32.10","         34.25","         31.95","         34.00","         33.40","         32.68","      19480","              636630.30","        160","-","-"
"BHAGYANGR","BE","24-Sep-2018","         33.40","         33.00","         33.00","         31.75","         32.25","         32.85","         32.41","      15389","              498711.05","         87","-","-"
"BHAGYANGR","BE","25-Sep-2018","         32.85","         32.30","         33.00","         31.80","         32.05","         32.05","         32.01","       3077","               98489.35","         49","-","-"
"BHAGYANGR","BE","26-Sep-2018","         32.05","         33.50","         33.50","         30.50","         31.90","         31.90","         31.47","       3679","              115776.20","         47","-","-"
"BHAGYANGR","BE","27-Sep-2018","         31.90","         32.20","         32.20","         30.35","         30.40","         30.65","         30.77","       6708","              206407.95","         60","-","-"
"BHAGYANGR","BE","28-Sep-2018","         30.65","         31.40","         31.45","         29.15","         30.95","         30.40","         30.11","       6864","              206688.00","         87","-","-"
"BHAGYANGR","BE","01-Oct-2018","         30.40","         31.50","         31.50","         28.90","         30.50","         30.45","         29.94","      23640","              707822.90","         79","-","-"
"BHAGYANGR","BE","03-Oct-2018","         30.45","         29.50","         30.00","         29.35","         30.00","         29.60","         29.66","       7232","              214520.00","         55","-","-"
"BHAGYANGR","BE","04-Oct-2018","         29.60","         28.90","         29.85","         28.30","         28.30","         28.55","         29.13","       8781","              255807.90","         88","-","-"
"BHAGYANGR","BE","05-Oct-2018","         28.55","         29.00","         29.35","         27.60","         29.25","         29.00","         28.93","      16010","              463126.55","         83","-","-"
"BHAGYANGR","BE","08-Oct-2018","         29.00","         29.00","         29.50","         27.55","         27.55","         27.70","         28.74","      18037","              518424.70","         88","-","-"
"BHAGYANGR","BE","09-Oct-2018","         27.70","         26.55","         28.70","         26.55","         27.50","         28.00","         27.20","      19659","              534685.85","         81","-","-"
"BHAGYANGR","BE","10-Oct-2018","         28.00","         28.40","         28.90","         27.10","         28.60","         28.45","         28.09","       6832","              191943.20","         53","-","-"
"BHAGYANGR","BE","11-Oct-2018","         28.45","         29.80","         29.80","         27.20","         28.50","         28.30","         28.06","       5505","              154449.10","         31","-","-"
"BHAGYANGR","BE","12-Oct-2018","         28.30","         28.30","         29.40","         27.05","         29.00","         29.05","         29.00","      12316","              357116.55","         73","-","-"
"BHAGYANGR","BE","15-Oct-2018","         29.05","         28.50","         30.50","         27.90","         30.50","         30.50","         29.97","       4727","              141648.05","         39","-","-"
"BHAGYANGR","EQ","16-Oct-2018","         30.50","         32.00","         32.00","         31.50","         32.00","         32.00","         31.95","       3390","              108308.60","         48","       2192","         64.66"
"BHAGYANGR","EQ","17-Oct-2018","         32.00","         32.00","         33.60","         31.95","         32.80","         32.60","         32.75","       9204","              301392.55","        112","       4760","         51.72"
"BHAGYANGR","EQ","19-Oct-2018","         32.60","         31.00","         31.95","         31.00","         31.25","         31.30","         31.44","       6898","              216898.25","         71","       4044","         58.63"
