"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATWIRE","EQ","30-Aug-2018","         94.70","         94.10","         95.00","         93.50","         94.50","         94.10","         94.21","       1683","              158558.60","         52","       1323","         78.61"
"BHARATWIRE","EQ","31-Aug-2018","         94.10","         94.45","         95.00","         92.00","         92.80","         92.70","         92.94","      10579","              983187.05","        132","       6719","         63.51"
"BHARATWIRE","EQ","03-Sep-2018","         92.70","         92.90","         95.50","         92.50","         92.75","         93.10","         93.84","       6388","              599456.50","        400","       3137","         49.11"
"BHARATWIRE","EQ","04-Sep-2018","         93.10","         93.95","         93.95","         91.30","         92.75","         91.75","         92.47","      23121","             2138023.75","        520","      19844","         85.83"
"BHARATWIRE","EQ","05-Sep-2018","         91.75","         92.95","         93.95","         89.40","         92.00","         91.40","         91.25","      13539","             1235379.05","        338","       8593","         63.47"
"BHARATWIRE","EQ","06-Sep-2018","         91.40","         91.00","         93.00","         91.00","         92.00","         92.40","         92.17","       3890","              358546.15","        276","       2477","         63.68"
"BHARATWIRE","EQ","07-Sep-2018","         92.40","         91.30","         96.35","         91.20","         93.50","         94.90","         94.72","      21732","             2058361.05","        233","      19050","         87.66"
"BHARATWIRE","EQ","10-Sep-2018","         94.90","         94.00","         95.50","         91.15","         94.00","         92.35","         94.00","      32201","             3026997.15","        425","      29769","         92.45"
"BHARATWIRE","EQ","11-Sep-2018","         92.35","         92.35","         94.00","         91.50","         92.45","         91.70","         92.86","      15042","             1396750.05","        497","       7879","         52.38"
"BHARATWIRE","EQ","12-Sep-2018","         91.70","         92.95","         93.00","         91.00","         91.40","         92.10","         92.16","       3095","              285237.20","        223","       2226","         71.92"
"BHARATWIRE","EQ","14-Sep-2018","         92.10","         91.65","         92.75","         90.05","         90.65","         90.30","         91.15","      23708","             2161044.20","        836","      13296","         56.08"
"BHARATWIRE","EQ","17-Sep-2018","         90.30","         90.85","         91.50","         88.50","         90.30","         89.95","         90.17","      22612","             2038994.05","        431","      18690","         82.66"
"BHARATWIRE","EQ","18-Sep-2018","         89.95","         90.10","        104.50","         90.10","         94.65","         93.85","         97.02","     346581","            33625518.50","       3104","     122076","         35.22"
"BHARATWIRE","EQ","19-Sep-2018","         93.85","         93.65","         94.65","         89.55","         90.00","         90.00","         91.17","      96317","             8781483.90","        805","      70174","         72.86"
"BHARATWIRE","EQ","21-Sep-2018","         90.00","         91.70","         91.70","         75.55","         87.00","         87.15","         87.42","      50588","             4422581.10","        463","      32391","         64.03"
"BHARATWIRE","EQ","24-Sep-2018","         87.15","         88.55","         88.85","         82.10","         83.70","         82.80","         84.16","      14315","             1204707.95","        266","      10588","         73.96"
"BHARATWIRE","EQ","25-Sep-2018","         82.80","         84.05","         86.00","         79.00","         83.50","         83.15","         81.24","      36614","             2974579.90","        588","      18847","         51.47"
"BHARATWIRE","EQ","26-Sep-2018","         83.15","         84.25","         85.25","         79.00","         83.30","         81.40","         81.75","      17431","             1425029.85","        468","      11701","         67.13"
"BHARATWIRE","EQ","27-Sep-2018","         81.40","         82.95","         83.65","         80.25","         81.00","         81.10","         81.88","       8323","              681465.70","        735","       2496","         29.99"
"BHARATWIRE","EQ","28-Sep-2018","         81.10","         80.10","         83.00","         75.00","         76.80","         76.35","         77.91","      59709","             4652069.90","        559","      50496","         84.57"
"BHARATWIRE","EQ","01-Oct-2018","         76.35","         77.80","         77.85","         65.50","         70.00","         69.35","         69.53","     136700","             9504592.00","       1429","     104526","         76.46"
"BHARATWIRE","EQ","03-Oct-2018","         69.35","         69.55","         73.00","         68.00","         70.25","         71.40","         71.05","      31599","             2245078.55","        550","      21939","         69.43"
