"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BINDALAGRO","EQ","30-Aug-2018","         20.00","         20.25","         20.60","         19.75","         20.15","         20.05","         20.18","      32594","              657887.65","        172","      18909","         58.01"
"BINDALAGRO","EQ","31-Aug-2018","         20.05","         20.30","         20.35","         19.80","         19.90","         19.95","         20.04","      34442","              690176.05","        186","      20300","         58.94"
"BINDALAGRO","EQ","03-Sep-2018","         19.95","         20.15","         20.80","         19.80","         20.80","         20.65","         20.44","      48356","              988523.90","        289","      30538","         63.15"
"BINDALAGRO","EQ","04-Sep-2018","         20.65","         20.90","         21.00","         20.35","         20.45","         20.50","         20.67","      18322","              378683.90","        149","      12132","         66.22"
"BINDALAGRO","EQ","05-Sep-2018","         20.50","         20.50","         20.90","         19.90","         20.00","         20.15","         20.38","      54540","             1111763.60","        253","      28760","         52.73"
"BINDALAGRO","EQ","06-Sep-2018","         20.15","         20.45","         20.65","         20.00","         20.00","         20.05","         20.29","      28263","              573560.50","        148","      12173","         43.07"
"BINDALAGRO","EQ","07-Sep-2018","         20.05","         20.35","         20.35","         20.00","         20.30","         20.25","         20.20","      12763","              257750.25","         95","       9263","         72.58"
"BINDALAGRO","EQ","10-Sep-2018","         20.25","         20.45","         20.45","         19.60","         19.90","         19.90","         19.86","      33732","              669890.85","        199","      23285","         69.03"
"BINDALAGRO","EQ","11-Sep-2018","         19.90","         19.75","         20.50","         19.75","         20.00","         19.95","         20.09","      39604","              795692.70","         98","      34198","         86.35"
"BINDALAGRO","EQ","12-Sep-2018","         19.95","         20.15","         20.30","         19.80","         20.25","         20.20","         20.03","      11308","              226480.00","         81","       9513","         84.13"
"BINDALAGRO","EQ","14-Sep-2018","         20.20","         20.40","         20.80","         20.00","         20.20","         20.25","         20.27","      26101","              528973.05","        127","      20065","         76.87"
"BINDALAGRO","EQ","17-Sep-2018","         20.25","         20.45","         20.45","         19.80","         20.25","         20.10","         20.16","      13137","              264846.80","         82","      11684","         88.94"
"BINDALAGRO","EQ","18-Sep-2018","         20.10","         20.35","         20.40","         19.95","         20.10","         20.10","         20.08","      18387","              369233.80","        162","      11392","         61.96"
"BINDALAGRO","EQ","19-Sep-2018","         20.10","         20.35","         20.35","         19.70","         19.85","         20.10","         20.07","      21600","              433562.50","        147","      19170","         88.75"
"BINDALAGRO","EQ","21-Sep-2018","         20.10","         20.05","         20.50","         16.60","         18.90","         18.80","         18.83","     101807","             1917079.35","        273","      53819","         52.86"
"BINDALAGRO","EQ","24-Sep-2018","         18.80","         18.90","         18.90","         17.80","         18.05","         18.20","         18.19","      25796","              469258.45","        129","      16845","         65.30"
"BINDALAGRO","EQ","25-Sep-2018","         18.20","         18.20","         18.45","         17.70","         18.15","         18.00","         18.09","      38950","              704765.50","        159","      26946","         69.18"
"BINDALAGRO","EQ","26-Sep-2018","         18.00","         18.00","         18.60","         17.05","         17.90","         17.90","         17.75","      38103","              676319.10","        242","      19840","         52.07"
"BINDALAGRO","EQ","27-Sep-2018","         17.90","         17.90","         18.05","         17.40","         17.75","         17.65","         17.74","      13951","              247505.10","         96","       8594","         61.60"
"BINDALAGRO","EQ","28-Sep-2018","         17.65","         17.85","         17.95","         16.60","         16.90","         16.80","         16.99","      40140","              682029.75","        139","      31795","         79.21"
"BINDALAGRO","EQ","01-Oct-2018","         16.80","         16.40","         16.80","         15.50","         16.00","         16.00","         15.88","      59282","              941501.85","        147","      32607","         55.00"
"BINDALAGRO","EQ","03-Oct-2018","         16.00","         16.00","         17.00","         15.95","         16.40","         16.55","         16.45","      33380","              549186.75","        170","      19474","         58.34"
"BINDALAGRO","EQ","04-Oct-2018","         16.55","         16.70","         16.80","         16.05","         16.45","         16.60","         16.48","      22394","              368952.50","        109","      16690","         74.53"
"BINDALAGRO","EQ","05-Oct-2018","         16.60","         16.75","         17.25","         16.15","         16.80","         16.70","         16.79","      33573","              563538.90","        136","      25550","         76.10"
"BINDALAGRO","EQ","08-Oct-2018","         16.70","         16.90","         16.90","         15.85","         16.90","         16.65","         16.56","     145924","             2416988.70","        255","     128237","         87.88"
"BINDALAGRO","EQ","09-Oct-2018","         16.65","         16.65","         16.80","         16.55","         16.60","         16.60","         16.65","      88857","             1479425.20","         76","      87777","         98.78"
"BINDALAGRO","EQ","10-Oct-2018","         16.60","         16.05","         17.25","         16.05","         17.20","         17.05","         16.83","      51446","              865885.80","        121","      43949","         85.43"
"BINDALAGRO","EQ","11-Oct-2018","         17.05","         17.10","         17.10","         16.15","         16.35","         16.30","         16.59","      28382","              470873.25","        130","      23020","         81.11"
"BINDALAGRO","EQ","12-Oct-2018","         16.30","         16.45","         17.50","         16.45","         17.20","         17.25","         17.20","      34490","              593158.35","        143","      19158","         55.55"
"BINDALAGRO","EQ","15-Oct-2018","         17.25","         17.00","         18.60","         17.00","         18.50","         18.40","         17.75","      17628","              312808.95","        129","      11120","         63.08"
"BINDALAGRO","EQ","16-Oct-2018","         18.40","         18.50","         19.00","         18.20","         18.55","         18.45","         18.59","      12153","              225932.45","        115","       7480","         61.55"
"BINDALAGRO","EQ","17-Oct-2018","         18.45","         18.90","         18.90","         17.55","         17.55","         17.70","         18.03","      12634","              227743.35","         95","       8543","         67.62"
"BINDALAGRO","EQ","19-Oct-2018","         17.70","         17.90","         17.90","         16.75","         17.00","         16.85","         17.04","      10283","              175239.65","         99","       9110","         88.59"
"BINDALAGRO","EQ","22-Oct-2018","         16.85","         17.70","         17.70","         16.50","         16.50","         16.60","         16.91","      17333","              293165.90","        103","      11645","         67.18"
"BINDALAGRO","EQ","23-Oct-2018","         16.60","         16.70","         17.15","         16.05","         16.55","         16.55","         16.72","      18811","              314432.10","        154","      10021","         53.27"
