"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BIRLACORPN","EQ","30-Aug-2018","        761.30","        765.85","        780.00","        758.20","        766.50","        770.15","        771.06","      49951","            38515275.55","       2326","      30786","         61.63"
"BIRLACORPN","EQ","31-Aug-2018","        770.15","        771.00","        782.00","        749.00","        752.05","        760.30","        768.69","      36023","            27690528.55","       2164","      20431","         56.72"
"BIRLACORPN","EQ","03-Sep-2018","        760.30","        759.95","        777.00","        755.00","        761.95","        761.05","        765.43","      32853","            25146765.60","       2569","      18711","         56.95"
"BIRLACORPN","EQ","04-Sep-2018","        761.05","        765.50","        766.95","        740.10","        740.35","        744.40","        753.09","      25571","            19257371.95","       1841","      11440","         44.74"
"BIRLACORPN","EQ","05-Sep-2018","        744.40","        743.85","        785.00","        730.45","        770.00","        775.35","        763.25","      59784","            45629983.60","       4322","      25804","         43.16"
"BIRLACORPN","EQ","06-Sep-2018","        775.35","        777.00","        777.00","        748.30","        754.50","        755.75","        757.63","      32397","            24544788.25","       2916","      17241","         53.22"
"BIRLACORPN","EQ","07-Sep-2018","        755.75","        759.85","        764.90","        750.00","        751.00","        752.35","        755.87","      16025","            12112746.80","       1274","       6281","         39.20"
"BIRLACORPN","EQ","10-Sep-2018","        752.35","        751.00","        756.35","        713.05","        714.60","        716.80","        724.82","      78660","            57014388.65","       7252","      49604","         63.06"
"BIRLACORPN","EQ","11-Sep-2018","        716.80","        718.55","        727.75","        694.00","        699.50","        700.45","        707.44","      41907","            29646480.40","       2939","      20750","         49.51"
"BIRLACORPN","EQ","12-Sep-2018","        700.45","        700.00","        704.10","        680.00","        694.10","        693.80","        691.37","      48921","            33822683.05","       3188","      27702","         56.63"
"BIRLACORPN","EQ","14-Sep-2018","        693.80","        699.75","        727.55","        695.30","        723.00","        722.65","        718.46","      79013","            56767946.80","       3919","      44991","         56.94"
"BIRLACORPN","EQ","17-Sep-2018","        722.65","        726.55","        726.55","        695.15","        702.00","        702.50","        705.27","      37556","            26487093.90","       2418","      18228","         48.54"
"BIRLACORPN","EQ","18-Sep-2018","        702.50","        703.80","        719.50","        693.00","        710.00","        710.05","        706.84","      48778","            34478224.15","       5232","      26606","         54.55"
"BIRLACORPN","EQ","19-Sep-2018","        710.05","        715.00","        744.00","        707.40","        740.00","        737.20","        729.31","      67384","            49143763.75","       3221","      47768","         70.89"
"BIRLACORPN","EQ","21-Sep-2018","        737.20","        736.00","        736.00","        679.15","        691.50","        689.80","        697.81","      65586","            45766369.25","       3168","      42349","         64.57"
"BIRLACORPN","EQ","24-Sep-2018","        689.80","        694.00","        703.20","        630.00","        700.10","        670.50","        659.52","     191697","           126427746.80","       6547","     105591","         55.08"
"BIRLACORPN","EQ","25-Sep-2018","        670.50","        672.00","        696.00","        641.00","        678.00","        675.40","        669.69","      96351","            64524971.55","       3956","      41780","         43.36"
"BIRLACORPN","EQ","26-Sep-2018","        675.40","        679.50","        693.00","        657.00","        667.20","        667.90","        676.12","      29368","            19856265.80","       2547","      15631","         53.22"
"BIRLACORPN","EQ","27-Sep-2018","        667.90","        672.00","        686.00","        646.00","        660.00","        651.30","        664.28","      42832","            28452518.80","       2829","      22043","         51.46"
"BIRLACORPN","EQ","28-Sep-2018","        651.30","        655.30","        667.70","        625.00","        631.90","        636.50","        639.50","      42111","            26930081.85","       2991","      23435","         55.65"
"BIRLACORPN","EQ","01-Oct-2018","        636.50","        631.25","        668.00","        631.10","        664.00","        661.75","        658.85","      78127","            51473892.00","       4271","      44157","         56.52"
"BIRLACORPN","EQ","03-Oct-2018","        661.75","        668.95","        670.00","        632.00","        635.00","        636.10","        644.19","      42043","            27083881.00","       2951","      26092","         62.06"
"BIRLACORPN","EQ","04-Oct-2018","        636.10","        631.80","        635.95","        606.60","        622.00","        627.80","        621.25","     101736","            63203833.25","       4355","      63923","         62.83"
"BIRLACORPN","EQ","05-Oct-2018","        627.80","        624.00","        629.80","        595.20","        599.00","        603.20","        607.67","      73749","            44815174.30","       3229","      44221","         59.96"
"BIRLACORPN","EQ","08-Oct-2018","        603.20","        599.05","        619.00","        585.55","        608.00","        614.55","        607.64","      54619","            33188953.50","       3548","      33042","         60.50"
"BIRLACORPN","EQ","09-Oct-2018","        614.55","        611.85","        615.85","        561.20","        565.95","        571.10","        582.97","      60410","            35216943.00","       3806","      39073","         64.68"
"BIRLACORPN","EQ","10-Oct-2018","        571.10","        567.60","        575.60","        539.40","        551.00","        550.80","        558.34","     243067","           135714005.80","       7329","     162336","         66.79"
"BIRLACORPN","EQ","11-Oct-2018","        550.80","        538.00","        549.00","        519.65","        542.00","        539.65","        530.67","     141573","            75128943.35","       4703","      79730","         56.32"
"BIRLACORPN","EQ","12-Oct-2018","        539.65","        549.00","        572.00","        543.10","        560.00","        560.15","        559.45","     108237","            60553222.70","       3383","      76775","         70.93"
"BIRLACORPN","EQ","15-Oct-2018","        560.15","        575.70","        575.70","        548.05","        551.65","        553.45","        558.47","      36907","            20611555.45","       3056","      14763","         40.00"
"BIRLACORPN","EQ","16-Oct-2018","        553.45","        556.75","        591.00","        556.70","        588.00","        585.65","        571.78","     138139","            78985585.35","       7420","      81605","         59.07"
"BIRLACORPN","EQ","17-Oct-2018","        585.65","        592.00","        595.35","        566.35","        571.00","        572.05","        579.28","      24770","            14348696.25","       1740","      11413","         46.08"
"BIRLACORPN","EQ","19-Oct-2018","        572.05","        568.60","        576.95","        546.05","        574.90","        574.05","        563.27","      19100","            10758431.65","       2083","       7653","         40.07"
"BIRLACORPN","EQ","22-Oct-2018","        574.05","        574.05","        584.00","        561.00","        572.30","        579.25","        572.53","      25237","            14449014.45","       1685","      14649","         58.05"
"BIRLACORPN","EQ","23-Oct-2018","        579.25","        570.05","        584.95","        560.00","        576.00","        577.40","        572.31","      42351","            24237918.95","       2679","      25965","         61.31"
"BIRLACORPN","EQ","24-Oct-2018","        577.40","        580.80","        584.50","        570.35","        575.05","        578.30","        576.53","      19005","            10956873.70","       2668","       8045","         42.33"
"BIRLACORPN","EQ","25-Oct-2018","        578.30","        570.00","        598.00","        561.05","        587.00","        591.50","        581.97","      28744","            16728162.80","       2882","      15096","         52.52"
"BIRLACORPN","EQ","26-Oct-2018","        591.50","        587.30","        595.00","        570.50","        571.55","        578.10","        580.00","      19518","            11320526.05","       2927","       8709","         44.62"
"BIRLACORPN","EQ","29-Oct-2018","        578.10","        576.05","        584.90","        570.00","        570.00","        575.45","        575.30","      13210","             7599741.25","       1291","       5780","         43.75"
"BIRLACORPN","EQ","30-Oct-2018","        575.45","        574.40","        588.70","        567.00","        569.00","        570.65","        578.31","      21121","            12214396.30","       1962","       7678","         36.35"
"BIRLACORPN","EQ","31-Oct-2018","        570.65","        577.95","        593.90","        562.50","        563.40","        566.90","        574.68","      52095","            29937858.10","       2932","      20933","         40.18"
