"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CAPLIPOINT","EQ","30-Aug-2018","        441.25","        435.10","        447.70","        435.00","        438.35","        438.15","        441.40","      18995","             8384352.45","        906","       9083","         47.82"
"CAPLIPOINT","EQ","31-Aug-2018","        438.15","        435.10","        443.95","        434.05","        441.00","        437.80","        438.72","      26246","            11514546.90","       1129","      15590","         59.40"
"CAPLIPOINT","EQ","03-Sep-2018","        437.80","        446.90","        466.70","        439.00","        450.60","        450.60","        454.74","      72298","            32876882.25","       2613","      30222","         41.80"
"CAPLIPOINT","EQ","04-Sep-2018","        450.60","        458.80","        478.00","        445.45","        456.60","        458.20","        465.40","     108829","            50649355.50","       4484","      41619","         38.24"
"CAPLIPOINT","EQ","05-Sep-2018","        458.20","        456.60","        504.00","        454.60","        504.00","        497.35","        484.75","     282714","           137044331.95","       8684","     124314","         43.97"
"CAPLIPOINT","EQ","06-Sep-2018","        497.35","        503.40","        521.90","        486.00","        496.00","        498.10","        506.65","     209545","           106166592.05","       8090","      80671","         38.50"
"CAPLIPOINT","EQ","07-Sep-2018","        498.10","        502.00","        529.80","        502.00","        517.15","        515.85","        516.42","     349773","           180630096.25","      10621","      94149","         26.92"
"CAPLIPOINT","EQ","10-Sep-2018","        515.85","        517.95","        537.90","        517.00","        525.95","        524.85","        528.61","     122459","            64732648.30","       4356","      58372","         47.67"
"CAPLIPOINT","EQ","11-Sep-2018","        524.85","        527.85","        535.00","        520.10","        525.25","        525.50","        526.77","      59981","            31596129.70","       2330","      37320","         62.22"
"CAPLIPOINT","EQ","12-Sep-2018","        525.50","        524.00","        527.10","        500.30","        509.60","        508.05","        508.21","      52818","            26842438.15","       1935","      27667","         52.38"
"CAPLIPOINT","EQ","14-Sep-2018","        508.05","        508.05","        525.00","        503.80","        510.00","        509.20","        513.92","      57108","            29349109.80","       3191","      23003","         40.28"
"CAPLIPOINT","EQ","17-Sep-2018","        509.20","        510.70","        519.00","        501.10","        504.00","        505.30","        510.82","      32960","            16836538.30","       1309","      17041","         51.70"
"CAPLIPOINT","EQ","18-Sep-2018","        505.30","        507.80","        509.90","        493.00","        494.00","        494.40","        501.53","      24770","            12422873.35","        888","      17486","         70.59"
"CAPLIPOINT","EQ","19-Sep-2018","        494.40","        495.00","        497.35","        475.00","        478.05","        478.50","        482.22","      31596","            15236307.55","       1515","      19532","         61.82"
"CAPLIPOINT","EQ","21-Sep-2018","        478.50","        478.50","        486.00","        432.00","        465.05","        462.35","        466.43","      43205","            20152290.20","       1800","      27113","         62.75"
"CAPLIPOINT","EQ","24-Sep-2018","        462.35","        460.00","        460.00","        424.35","        433.00","        433.60","        436.54","      36151","            15781475.60","       1867","      21236","         58.74"
"CAPLIPOINT","EQ","25-Sep-2018","        433.60","        438.35","        446.65","        420.00","        433.00","        427.55","        434.45","      30065","            13061807.30","       1617","      14402","         47.90"
"CAPLIPOINT","EQ","26-Sep-2018","        427.55","        440.95","        445.00","        431.20","        435.00","        435.05","        437.56","      20090","             8790510.45","       1438","       8358","         41.60"
"CAPLIPOINT","EQ","27-Sep-2018","        435.05","        435.00","        439.00","        417.65","        422.50","        423.00","        428.40","      25543","            10942652.10","       3405","      13919","         54.49"
"CAPLIPOINT","EQ","28-Sep-2018","        423.00","        419.00","        427.75","        400.00","        412.60","        410.95","        415.72","      32331","            13440537.25","       1966","      18562","         57.41"
"CAPLIPOINT","EQ","01-Oct-2018","        410.95","        412.00","        431.00","        412.00","        429.00","        427.55","        422.32","      47649","            20123170.80","       1857","      32671","         68.57"
"CAPLIPOINT","EQ","03-Oct-2018","        427.55","        427.55","        466.40","        421.90","        456.00","        454.45","        452.57","      97122","            43954220.40","       3887","      38594","         39.74"
"CAPLIPOINT","EQ","04-Oct-2018","        454.45","        452.95","        458.60","        415.25","        438.70","        435.55","        440.50","     129139","            56885194.35","       2886","      57852","         44.80"
"CAPLIPOINT","EQ","05-Oct-2018","        435.55","        435.00","        441.00","        410.00","        416.50","        418.30","        426.19","      29857","            12724843.00","       1224","      16463","         55.14"
"CAPLIPOINT","EQ","08-Oct-2018","        418.30","        428.00","        428.00","        402.45","        407.80","        409.05","        412.70","      31819","            13131569.35","       1647","      12808","         40.25"
"CAPLIPOINT","EQ","09-Oct-2018","        409.05","        411.90","        419.90","        406.30","        411.00","        410.40","        413.47","      21898","             9054084.70","       1372","       7031","         32.11"
"CAPLIPOINT","EQ","10-Oct-2018","        410.40","        410.40","        429.00","        410.40","        424.00","        423.05","        420.67","      25414","            10690903.40","       1202","      13016","         51.22"
"CAPLIPOINT","EQ","11-Oct-2018","        423.05","        413.00","        420.50","        406.65","        411.50","        413.05","        413.28","      19724","             8151591.95","        862","       9383","         47.57"
"CAPLIPOINT","EQ","12-Oct-2018","        413.05","        414.85","        428.70","        414.85","        427.00","        426.10","        423.50","      20697","             8765217.85","       1111","      10519","         50.82"
"CAPLIPOINT","EQ","15-Oct-2018","        426.10","        423.00","        434.50","        417.00","        423.60","        423.55","        424.29","      34859","            14790209.55","       1291","      14837","         42.56"
"CAPLIPOINT","EQ","16-Oct-2018","        423.55","        426.10","        441.40","        423.00","        435.10","        435.50","        432.30","      29854","            12905758.80","       1090","      13963","         46.77"
"CAPLIPOINT","EQ","17-Oct-2018","        435.50","        445.95","        445.95","        425.00","        425.00","        426.45","        436.69","      18317","             7998892.30","        940","       9279","         50.66"
"CAPLIPOINT","EQ","19-Oct-2018","        426.45","        422.10","        427.90","        402.50","        409.00","        408.10","        413.28","      32934","            13610824.30","       2063","      14748","         44.78"
"CAPLIPOINT","EQ","22-Oct-2018","        408.10","        411.40","        418.40","        409.70","        413.40","        411.80","        412.44","      11755","             4848190.75","        779","       6325","         53.81"
"CAPLIPOINT","EQ","23-Oct-2018","        411.80","        413.45","        413.45","        380.75","        401.60","        400.85","        396.40","      32439","            12858841.40","       1526","      22100","         68.13"
"CAPLIPOINT","EQ","24-Oct-2018","        400.85","        398.20","        405.55","        385.00","        395.95","        392.10","        394.54","      25601","            10100531.30","       1244","      17027","         66.51"
"CAPLIPOINT","EQ","25-Oct-2018","        392.10","        386.00","        403.05","        386.00","        402.95","        398.55","        395.99","      20160","             7983210.30","       1554","       9145","         45.36"
"CAPLIPOINT","EQ","26-Oct-2018","        398.55","        396.20","        402.95","        386.90","        395.00","        396.30","        396.21","      13164","             5215689.15","       1149","       5933","         45.07"
"CAPLIPOINT","EQ","29-Oct-2018","        396.30","        397.90","        409.00","        388.00","        401.00","        398.95","        398.84","      38845","            15492910.80","       1698","      26441","         68.07"
"CAPLIPOINT","EQ","30-Oct-2018","        398.95","        401.00","        407.20","        398.95","        407.00","        404.65","        403.25","      18847","             7600034.55","        990","       9876","         52.40"
"CAPLIPOINT","EQ","31-Oct-2018","        404.65","        404.65","        423.00","        402.05","        420.00","        418.35","        412.09","      24091","             9927758.65","        849","      14030","         58.24"
"CAPLIPOINT","EQ","01-Nov-2018","        418.35","        420.00","        459.00","        420.00","        458.45","        456.90","        445.57","      52770","            23512723.80","       2436","      24257","         45.97"
"CAPLIPOINT","EQ","02-Nov-2018","        456.90","        460.00","        489.75","        425.00","        431.00","        434.40","        463.18","     112268","            51999994.85","       5075","      38020","         33.87"
"CAPLIPOINT","EQ","05-Nov-2018","        434.40","        423.50","        428.95","        407.95","        408.00","        410.15","        416.51","      60199","            25073372.15","       2222","      39062","         64.89"
