"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CELEBRITY","EQ","30-Aug-2018","         11.55","         11.50","         11.65","         11.20","         11.25","         11.30","         11.36","      37584","              427054.85","        126","      24845","         66.11"
"CELEBRITY","EQ","31-Aug-2018","         11.30","         11.20","         11.50","         11.00","         11.35","         11.35","         11.27","      48471","              546369.25","        118","      43679","         90.11"
"CELEBRITY","EQ","03-Sep-2018","         11.35","         11.55","         12.40","         11.50","         11.75","         11.90","         11.94","      84353","             1007284.90","        198","      59056","         70.01"
"CELEBRITY","EQ","04-Sep-2018","         11.90","         12.05","         12.40","         11.50","         11.60","         11.60","         11.74","      18669","              219080.90","        104","      13416","         71.86"
"CELEBRITY","EQ","05-Sep-2018","         11.60","         11.40","         12.00","         11.40","         12.00","         11.70","         11.66","      41042","              478476.30","        122","      35085","         85.49"
"CELEBRITY","EQ","06-Sep-2018","         11.70","         11.80","         12.05","         11.45","         12.00","         11.80","         11.72","      48734","              571383.25","        207","      32929","         67.57"
"CELEBRITY","EQ","07-Sep-2018","         11.80","         11.95","         11.95","         11.60","         11.75","         11.70","         11.66","      15844","              184819.00","         64","      14691","         92.72"
"CELEBRITY","EQ","10-Sep-2018","         11.70","         11.65","         11.80","         11.50","         11.70","         11.70","         11.70","      24266","              283975.90","         48","      23662","         97.51"
"CELEBRITY","EQ","11-Sep-2018","         11.70","         11.70","         11.70","         11.30","         11.50","         11.40","         11.42","      26459","              302075.10","         61","      24553","         92.80"
"CELEBRITY","EQ","12-Sep-2018","         11.40","         11.25","         11.45","         10.90","         11.00","         11.10","         11.23","      93614","             1051225.75","        116","      88790","         94.85"
"CELEBRITY","EQ","14-Sep-2018","         11.10","         11.00","         11.40","         10.80","         11.20","         11.20","         11.19","      11256","              125966.30","         78","       9984","         88.70"
"CELEBRITY","EQ","17-Sep-2018","         11.20","         11.25","         11.40","         11.20","         11.25","         11.25","         11.29","      16728","              188900.15","         55","      12604","         75.35"
"CELEBRITY","EQ","18-Sep-2018","         11.25","         11.50","         11.60","         10.60","         10.80","         10.90","         11.00","      52086","              573124.80","        108","      44900","         86.20"
"CELEBRITY","EQ","19-Sep-2018","         10.90","         11.05","         11.05","         10.10","         10.50","         10.35","         10.61","      37011","              392610.50","        127","      35419","         95.70"
"CELEBRITY","EQ","21-Sep-2018","         10.35","         10.60","         11.10","         10.00","         10.20","         10.15","         10.64","      66341","              706120.45","        184","      54482","         82.12"
"CELEBRITY","EQ","24-Sep-2018","         10.15","         10.40","         11.05","          9.80","         10.00","         10.00","         10.30","      34798","              358407.75","        116","      27276","         78.38"
"CELEBRITY","EQ","25-Sep-2018","         10.00","         10.00","         10.05","          9.50","          9.55","          9.65","          9.83","      18640","              183315.30","         77","      16621","         89.17"
"CELEBRITY","EQ","26-Sep-2018","          9.65","          9.65","         10.00","          9.50","          9.90","         10.00","          9.78","      22493","              220054.25","         81","      14187","         63.07"
"CELEBRITY","EQ","27-Sep-2018","         10.00","          9.90","         10.35","          9.05","          9.45","          9.30","          9.57","      34896","              333983.60","        144","      29129","         83.47"
"CELEBRITY","EQ","28-Sep-2018","          9.30","          9.55","          9.90","          7.95","          8.75","          8.85","          8.50","     173395","             1474387.90","        308","     153196","         88.35"
"CELEBRITY","EQ","01-Oct-2018","          8.85","          8.45","          8.55","          7.85","          8.35","          8.40","          8.36","      42251","              353159.60","        109","      39560","         93.63"
"CELEBRITY","EQ","03-Oct-2018","          8.40","          8.95","          9.05","          8.25","          8.65","          8.65","          8.79","      22982","              202079.15","        126","      18581","         80.85"
"CELEBRITY","EQ","04-Oct-2018","          8.65","          8.65","          9.05","          8.65","          9.05","          9.00","          8.99","      30353","              272930.60","         91","      26351","         86.82"
"CELEBRITY","EQ","05-Oct-2018","          9.00","          9.10","         10.45","          8.75","          8.75","          9.05","          9.48","      38248","              362477.90","        215","      19812","         51.80"
"CELEBRITY","EQ","08-Oct-2018","          9.05","          8.80","          9.00","          8.40","          8.80","          8.60","          8.74","       8089","               70720.40","         83","       5027","         62.15"
"CELEBRITY","EQ","09-Oct-2018","          8.60","          8.40","          9.40","          8.40","          8.70","          8.75","          8.72","      10925","               95279.50","         82","       9275","         84.90"
"CELEBRITY","EQ","10-Oct-2018","          8.75","          9.85","          9.85","          8.45","          9.00","          9.05","          9.03","      29748","              268667.50","         93","      25366","         85.27"
"CELEBRITY","EQ","11-Oct-2018","          9.05","          8.50","          9.70","          8.50","          9.05","          8.90","          8.97","      19788","              177497.65","        103","      16059","         81.16"
