"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CHEMBOND","EQ","20-Nov-2019","        207.05","        209.50","        213.95","        202.45","        213.95","        205.25","        206.91","       1716","              355049.25","         81","       1244","         72.49"
"CHEMBOND","EQ","21-Nov-2019","        205.25","        218.00","        218.00","        200.95","        209.60","        204.80","        206.62","        963","              198979.85","         48","        658","         68.33"
"CHEMBOND","EQ","22-Nov-2019","        204.80","        209.90","        218.00","        205.00","        205.00","        205.95","        207.37","        862","              178750.05","         87","        393","         45.59"
"CHEMBOND","EQ","25-Nov-2019","        205.95","        208.00","        227.85","        208.00","        225.00","        224.00","        219.82","       2083","              457888.80","        136","       1151","         55.26"
"CHEMBOND","EQ","26-Nov-2019","        224.00","        210.40","        232.00","        210.40","        226.00","        226.20","        226.24","       3160","              714908.30","        570","       2657","         84.08"
"CHEMBOND","EQ","27-Nov-2019","        226.20","        238.50","        238.50","        220.95","        226.00","        226.85","        228.69","        779","              178152.60","        328","        545","         69.96"
"CHEMBOND","EQ","28-Nov-2019","        226.85","        225.00","        233.00","        222.00","        228.00","        226.85","        225.79","       1416","              319725.60","        266","        665","         46.96"
"CHEMBOND","EQ","29-Nov-2019","        226.85","        240.40","        240.40","        221.15","        229.60","        229.15","        224.17","       3381","              757910.85","        567","       2861","         84.62"
"CHEMBOND","EQ","02-Dec-2019","        229.15","        224.00","        240.60","        219.10","        227.95","        221.40","        223.64","        498","              111374.60","        256","        140","         28.11"
"CHEMBOND","EQ","03-Dec-2019","        221.40","        235.00","        235.00","        219.00","        224.00","        225.50","        226.05","       1497","              338399.40","        239","        257","         17.17"
"CHEMBOND","EQ","04-Dec-2019","        225.50","        229.40","        233.00","        215.05","        233.00","        229.55","        227.19","       1341","              304667.70","        379","        512","         38.18"
"CHEMBOND","EQ","05-Dec-2019","        229.55","        233.85","        233.85","        220.00","        229.00","        229.00","        226.76","       1088","              246710.65","        195","        541","         49.72"
"CHEMBOND","EQ","06-Dec-2019","        229.00","        221.05","        227.95","        218.00","        218.00","        218.25","        222.28","       1026","              228058.50","        282","        647","         63.06"
"CHEMBOND","EQ","09-Dec-2019","        218.25","        202.00","        238.20","        202.00","        223.00","        221.30","        215.97","       2430","              524809.95","        392","       1971","         81.11"
"CHEMBOND","EQ","10-Dec-2019","        221.30","        210.00","        224.35","        205.00","        222.95","        217.60","        212.72","       3494","              743238.95","        447","       2211","         63.28"
"CHEMBOND","EQ","11-Dec-2019","        217.60","        209.00","        226.00","        205.05","        212.70","        211.55","        209.25","       3018","              631502.25","        169","       1751","         58.02"
"CHEMBOND","EQ","12-Dec-2019","        211.55","        206.00","        213.50","        200.05","        211.45","        211.40","        206.02","       4057","              835825.25","        787","       2128","         52.45"
"CHEMBOND","EQ","13-Dec-2019","        211.40","        207.00","        209.95","        204.00","        204.00","        204.15","        205.18","       4960","             1017699.00","        230","       3797","         76.55"
"CHEMBOND","EQ","16-Dec-2019","        204.15","        210.95","        212.00","        196.10","        199.50","        200.05","        200.78","       4428","              889043.50","        535","       3504","         79.13"
"CHEMBOND","EQ","17-Dec-2019","        200.05","        209.95","        209.95","        196.00","        202.00","        202.00","        202.80","       1052","              213347.80","        321","        464","         44.11"
"CHEMBOND","EQ","18-Dec-2019","        202.00","        209.45","        209.45","        197.05","        207.50","        207.25","        203.98","       1130","              230500.05","        110","        610","         53.98"
"CHEMBOND","EQ","19-Dec-2019","        207.25","        206.90","        211.00","        202.15","        211.00","        210.35","        207.30","       1161","              240670.60","        135","        651","         56.07"
"CHEMBOND","EQ","20-Dec-2019","        210.35","        216.85","        217.00","        206.95","        217.00","        215.25","        210.03","        759","              159409.05","        279","        190","         25.03"
"CHEMBOND","EQ","23-Dec-2019","        215.25","        220.95","        220.95","        204.05","        204.20","        204.20","        209.97","        154","               32335.65","         41","         66","         42.86"
"CHEMBOND","EQ","24-Dec-2019","        204.20","        215.85","        219.35","        208.95","        210.00","        211.70","        210.72","        868","              182902.30","        145","        516","         59.45"
"CHEMBOND","EQ","26-Dec-2019","        211.70","        206.00","        222.00","        206.00","        215.00","        212.75","        213.52","        884","              188753.50","        283","        118","         13.35"
"CHEMBOND","EQ","27-Dec-2019","        212.75","        215.95","        222.00","        208.00","        210.00","        214.95","        215.61","        559","              120523.95","        132","        241","         43.11"
"CHEMBOND","EQ","30-Dec-2019","        214.95","        222.20","        222.20","        210.00","        219.50","        219.50","        214.13","       1527","              326979.50","         98","        795","         52.06"
"CHEMBOND","EQ","31-Dec-2019","        219.50","        221.00","        221.00","        205.00","        208.85","        208.70","        210.86","       5837","             1230773.60","        538","       3548","         60.78"
"CHEMBOND","EQ","01-Jan-2020","        208.70","        208.75","        212.90","        203.10","        203.50","        205.75","        206.73","       3664","              757454.05","        649","       1321","         36.05"
"CHEMBOND","EQ","02-Jan-2020","        205.75","        208.00","        214.95","        206.95","        212.00","        209.30","        210.07","       2736","              574761.95","        297","       1841","         67.29"
"CHEMBOND","EQ","03-Jan-2020","        209.30","        215.95","        215.95","        207.30","        209.90","        209.95","        210.36","       2840","              597424.70","        100","       2487","         87.57"
"CHEMBOND","EQ","06-Jan-2020","        209.95","        209.95","        210.00","        203.00","        205.10","        206.15","        206.37","       2170","              447813.55","        100","       1201","         55.35"
"CHEMBOND","EQ","07-Jan-2020","        206.15","        210.00","        213.95","        206.50","        212.95","        212.90","        208.78","       3975","              829904.60","        350","       2298","         57.81"
"CHEMBOND","EQ","08-Jan-2020","        212.90","        221.00","        249.90","        213.95","        220.95","        220.95","        229.83","      22550","             5182679.75","       1573","      12310","         54.59"
"CHEMBOND","EQ","09-Jan-2020","        220.95","        235.00","        235.00","        218.00","        225.00","        225.05","        224.44","       4674","             1049051.95","        490","       3123","         66.82"
"CHEMBOND","EQ","10-Jan-2020","        225.05","        216.05","        230.00","        215.00","        229.80","        229.85","        223.01","       3853","              859258.70","        627","       2672","         69.35"
"CHEMBOND","EQ","13-Jan-2020","        229.85","        223.00","        231.30","        222.25","        230.75","        229.65","        228.23","        986","              225032.80","        306","        493","         50.00"
"CHEMBOND","EQ","14-Jan-2020","        229.65","        227.00","        234.75","        222.00","        230.00","        226.70","        228.06","       3141","              716321.95","        674","       1121","         35.69"
"CHEMBOND","EQ","15-Jan-2020","        226.70","        224.80","        230.00","        224.80","        230.00","        230.00","        229.60","       6290","             1444201.80","        371","       5227","         83.10"
"CHEMBOND","EQ","16-Jan-2020","        230.00","        228.00","        233.00","        220.30","        229.95","        231.00","        229.44","      10271","             2356565.30","       1155","       8300","         80.81"
"CHEMBOND","EQ","17-Jan-2020","        231.00","        237.25","        245.00","        227.00","        240.00","        240.60","        239.77","       5283","             1266702.90","        987","       3618","         68.48"
"CHEMBOND","EQ","20-Jan-2020","        240.60","        235.00","        245.00","        235.00","        245.00","        244.25","        241.86","       4160","             1006147.25","        557","       2940","         70.67"
"CHEMBOND","EQ","21-Jan-2020","        244.25","        247.95","        247.95","        233.00","        245.00","        242.75","        243.85","       1619","              394800.10","        199","        782","         48.30"
"CHEMBOND","EQ","22-Jan-2020","        242.75","        242.75","        242.75","        236.40","        242.00","        241.70","        241.03","       2057","              495798.50","        139","       1610","         78.27"
"CHEMBOND","EQ","23-Jan-2020","        241.70","        240.00","        242.00","        235.00","        235.00","        235.00","        238.87","       3822","              912975.95","        318","       2651","         69.36"
"CHEMBOND","EQ","24-Jan-2020","        235.00","        235.00","        239.50","        231.60","        234.00","        233.95","        235.20","       2701","              635271.10","        443","       1653","         61.20"
"CHEMBOND","EQ","27-Jan-2020","        233.95","        230.00","        237.00","        224.00","        230.00","        226.00","        232.04","       1617","              375210.45","        211","       1244","         76.93"
"CHEMBOND","EQ","28-Jan-2020","        226.00","        226.10","        231.95","        225.90","        230.00","        230.00","        229.25","       3915","              897497.70","        243","       2681","         68.48"
"CHEMBOND","EQ","29-Jan-2020","        230.00","        223.55","        236.00","        223.55","        228.00","        233.80","        233.73","       2062","              481946.95","        129","       1860","         90.20"
"CHEMBOND","EQ","30-Jan-2020","        233.80","        229.00","        244.95","        224.00","        230.00","        229.65","        230.73","        888","              204885.50","        554","        270","         30.41"
"CHEMBOND","EQ","31-Jan-2020","        229.65","        225.90","        240.95","        225.50","        225.55","        225.55","        230.99","       1104","              255008.20","         94","        862","         78.08"
"CHEMBOND","EQ","01-Feb-2020","        225.55","        231.95","        238.50","        226.00","        230.00","        229.10","        229.41","       1540","              353294.60","        116","       1080","         70.13"
"CHEMBOND","EQ","03-Feb-2020","        229.10","        223.00","        230.00","        223.00","        230.00","        229.65","        228.99","       3132","              717184.40","        172","       2040","         65.13"
"CHEMBOND","EQ","04-Feb-2020","        229.65","        230.00","        230.00","        225.25","        229.95","        229.95","        229.55","       1399","              321136.70","        106","       1187","         84.85"
"CHEMBOND","EQ","05-Feb-2020","        229.95","        231.95","        232.00","        223.00","        228.00","        226.40","        225.10","       5646","             1270922.90","        521","       3412","         60.43"
"CHEMBOND","EQ","06-Feb-2020","        226.40","        229.95","        230.00","        218.00","        221.00","        224.95","        224.84","       8248","             1854510.20","        718","       6864","         83.22"
"CHEMBOND","EQ","07-Feb-2020","        224.95","        220.00","        224.20","        215.10","        216.55","        217.00","        219.79","       2327","              511453.95","        321","       1085","         46.63"
"CHEMBOND","EQ","10-Feb-2020","        217.00","        218.00","        226.90","        210.00","        220.00","        215.15","        216.42","       1714","              370946.90","        129","        804","         46.91"
"CHEMBOND","EQ","11-Feb-2020","        215.15","        220.00","        222.80","        212.05","        214.00","        215.50","        215.62","       2956","              637369.75","        294","       1044","         35.32"
"CHEMBOND","EQ","12-Feb-2020","        215.50","        219.45","        219.45","        212.00","        215.65","        215.95","        216.02","       4068","              878754.25","        301","       2850","         70.06"
