"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CHENNPETRO","EQ","30-Aug-2018","        310.25","        311.30","        313.80","        306.40","        311.20","        311.60","        310.42","     344140","           106828782.30","       4479","     104386","         30.33"
"CHENNPETRO","EQ","31-Aug-2018","        311.60","        311.00","        318.00","        309.00","        314.90","        314.65","        314.51","     548077","           172374752.65","      12076","     199277","         36.36"
"CHENNPETRO","EQ","03-Sep-2018","        314.65","        315.90","        316.40","        306.10","        307.55","        308.65","        312.12","     162293","            50655172.95","       3441","      48769","         30.05"
"CHENNPETRO","EQ","04-Sep-2018","        308.65","        307.05","        308.40","        290.05","        292.05","        292.35","        296.60","     402367","           119341691.25","       6784","     117050","         29.09"
"CHENNPETRO","EQ","05-Sep-2018","        292.35","        290.00","        295.50","        285.20","        294.35","        294.35","        291.28","     427736","           124593046.75","       7356","      69696","         16.29"
"CHENNPETRO","EQ","06-Sep-2018","        294.35","        294.45","        299.70","        292.60","        297.05","        297.35","        296.63","     218006","            64667172.75","       4609","      50709","         23.26"
"CHENNPETRO","EQ","07-Sep-2018","        297.35","        299.40","        299.40","        291.55","        294.85","        295.25","        294.45","     220497","            64924261.95","      10685","      67405","         30.57"
"CHENNPETRO","EQ","10-Sep-2018","        295.25","        293.00","        294.50","        288.75","        289.50","        289.50","        290.47","     254632","            73962042.25","       5104","     107831","         42.35"
"CHENNPETRO","EQ","11-Sep-2018","        289.50","        287.05","        293.70","        278.70","        282.00","        280.35","        282.67","     745390","           210695870.85","      14147","      83934","         11.26"
"CHENNPETRO","EQ","12-Sep-2018","        280.35","        278.00","        285.20","        270.90","        283.70","        283.90","        276.77","     665188","           184105055.65","      11084","      69939","         10.51"
"CHENNPETRO","EQ","14-Sep-2018","        283.90","        287.90","        297.55","        285.00","        291.90","        289.95","        292.75","     667322","           195356639.90","      10485","      63688","          9.54"
"CHENNPETRO","EQ","17-Sep-2018","        289.95","        291.55","        307.60","        286.55","        302.40","        303.15","        300.12","     881338","           264506729.85","      13870","     158462","         17.98"
"CHENNPETRO","EQ","18-Sep-2018","        303.15","        306.00","        306.20","        286.05","        289.10","        287.95","        293.49","     749773","           220050055.35","      11748","     132269","         17.64"
"CHENNPETRO","EQ","19-Sep-2018","        287.95","        289.00","        295.00","        286.10","        291.45","        290.40","        290.33","     326708","            94853144.40","       6855","      46080","         14.10"
"CHENNPETRO","EQ","21-Sep-2018","        290.40","        291.10","        293.90","        272.15","        287.00","        286.30","        286.34","     546695","           156540066.45","       9278","     127498","         23.32"
"CHENNPETRO","EQ","24-Sep-2018","        286.30","        287.40","        287.40","        271.00","        271.80","        271.95","        276.65","     461793","           127756732.80","       6346","     101640","         22.01"
"CHENNPETRO","EQ","25-Sep-2018","        271.95","        271.00","        280.90","        256.35","        280.90","        279.80","        268.26","     757329","           203159185.95","      10891","     102151","         13.49"
"CHENNPETRO","EQ","26-Sep-2018","        279.80","        281.45","        285.00","        268.45","        271.20","        271.60","        273.88","     379983","           104070831.15","       6578","      96460","         25.39"
"CHENNPETRO","EQ","27-Sep-2018","        271.60","        272.45","        284.95","        263.75","        282.25","        283.00","        278.59","    1128883","           314489941.05","      18571","     326951","         28.96"
"CHENNPETRO","EQ","28-Sep-2018","        283.00","        283.75","        285.75","        267.45","        279.10","        278.40","        276.45","     807214","           223152063.10","      15539","     134707","         16.69"
"CHENNPETRO","EQ","01-Oct-2018","        278.40","        279.00","        283.00","        270.30","        282.00","        281.65","        277.06","     294777","            81670292.90","       7651","      65169","         22.11"
"CHENNPETRO","EQ","03-Oct-2018","        281.65","        279.00","        301.00","        274.00","        286.90","        290.20","        289.46","     678181","           196308796.15","      11748","     150305","         22.16"
"CHENNPETRO","EQ","04-Oct-2018","        290.20","        286.00","        288.00","        272.00","        273.00","        278.80","        280.11","     722435","           202363648.00","      17666","     106509","         14.74"
"CHENNPETRO","EQ","05-Oct-2018","        278.80","        266.80","        270.95","        253.80","        258.20","        256.20","        262.10","     726076","           190304054.20","      12831","     107631","         14.82"
"CHENNPETRO","EQ","08-Oct-2018","        256.20","        255.20","        257.95","        222.20","        231.00","        232.20","        240.75","    1666839","           401297245.30","      21426","     567914","         34.07"
"CHENNPETRO","EQ","09-Oct-2018","        232.20","        223.00","        233.80","        220.65","        227.00","        225.95","        226.32","     866556","           196117789.95","      11820","     135460","         15.63"
"CHENNPETRO","EQ","10-Oct-2018","        225.95","        227.00","        244.40","        225.65","        238.00","        238.20","        234.57","     578717","           135748757.70","       8922","     139296","         24.07"
"CHENNPETRO","EQ","11-Oct-2018","        238.20","        228.00","        255.00","        225.00","        247.50","        246.95","        244.80","    1077741","           263833394.10","      15706","     211106","         19.59"
"CHENNPETRO","EQ","12-Oct-2018","        246.95","        252.20","        262.55","        250.50","        261.05","        258.35","        257.37","    1428988","           367785067.55","      23614","     201191","         14.08"
"CHENNPETRO","EQ","15-Oct-2018","        258.35","        264.00","        264.00","        246.70","        256.45","        256.90","        253.49","     788476","           199871678.70","      13042","      54253","          6.88"
"CHENNPETRO","EQ","16-Oct-2018","        256.90","        259.00","        268.10","        255.20","        266.00","        266.00","        262.53","     373270","            97993670.90","       7982","      69767","         18.69"
"CHENNPETRO","EQ","17-Oct-2018","        266.00","        265.55","        271.15","        253.50","        255.35","        256.10","        261.93","     526518","           137910448.20","       9482","      69786","         13.25"
"CHENNPETRO","EQ","19-Oct-2018","        256.10","        247.00","        268.00","        246.30","        263.25","        265.25","        260.23","     706133","           183758035.60","      27747","     103061","         14.60"
"CHENNPETRO","EQ","22-Oct-2018","        265.25","        264.00","        269.40","        256.10","        257.20","        257.60","        260.95","     242729","            63340356.00","       6187","      57905","         23.86"
"CHENNPETRO","EQ","23-Oct-2018","        257.60","        257.00","        269.00","        246.30","        268.00","        264.95","        256.06","     541378","           138624851.75","      10407","      90952","         16.80"
"CHENNPETRO","EQ","24-Oct-2018","        264.95","        272.70","        274.90","        258.10","        264.50","        265.50","        265.36","     692507","           183762190.95","      11884","     107494","         15.52"
"CHENNPETRO","EQ","25-Oct-2018","        265.50","        263.70","        265.65","        256.00","        259.60","        258.00","        260.15","     295366","            76840719.85","       7358","      60060","         20.33"
"CHENNPETRO","EQ","26-Oct-2018","        258.00","        259.90","        262.00","        251.10","        257.80","        257.20","        257.07","     297983","            76602634.35","       6138","      44779","         15.03"
"CHENNPETRO","EQ","29-Oct-2018","        257.20","        257.50","        267.30","        255.35","        263.50","        262.90","        262.81","     506420","           133091699.75","       9046","      69522","         13.73"
"CHENNPETRO","EQ","30-Oct-2018","        262.90","        253.00","        261.90","        245.15","        251.50","        252.10","        252.86","    1522036","           384868899.25","      24300","     163242","         10.73"
"CHENNPETRO","EQ","31-Oct-2018","        252.10","        252.10","        259.40","        248.50","        257.95","        256.10","        254.01","     542878","           137898281.95","      15378","      92289","         17.00"
"CHENNPETRO","EQ","01-Nov-2018","        256.10","        256.60","        264.65","        256.00","        259.65","        259.65","        260.96","     421820","           110076578.00","       8651","     106434","         25.23"
"CHENNPETRO","EQ","02-Nov-2018","        259.65","        270.00","        279.85","        266.35","        273.00","        274.00","        273.89","     991303","           271507008.90","      17807","     170031","         17.15"
"CHENNPETRO","EQ","05-Nov-2018","        274.00","        274.00","        276.95","        266.95","        270.10","        269.45","        269.32","     271827","            73207781.80","       6920","      99333","         36.54"
"CHENNPETRO","EQ","06-Nov-2018","        269.45","        270.00","        275.30","        266.75","        269.00","        269.15","        270.49","     383580","           103753787.65","      14756","     103015","         26.86"
"CHENNPETRO","EQ","07-Nov-2018","        269.15","        272.50","        272.50","        268.05","        271.10","        270.80","        270.52","      37545","            10156812.40","       1060","       9821","         26.16"
"CHENNPETRO","EQ","09-Nov-2018","        270.80","        270.90","        277.75","        268.45","        270.00","        270.00","        272.64","     613297","           167207373.15","      12674","     189569","         30.91"
"CHENNPETRO","EQ","12-Nov-2018","        270.00","        272.00","        274.40","        265.65","        268.95","        268.25","        269.43","     275702","            74281017.80","       7748","      92221","         33.45"
"CHENNPETRO","EQ","13-Nov-2018","        268.25","        266.05","        276.00","        266.05","        273.00","        272.15","        272.31","     353661","            96304030.95","       6732","      92095","         26.04"
"CHENNPETRO","EQ","14-Nov-2018","        272.15","        276.80","        285.65","        270.05","        270.50","        272.10","        279.58","    1340849","           374878106.10","      20159","     259124","         19.33"
"CHENNPETRO","EQ","15-Nov-2018","        272.10","        273.75","        275.40","        268.40","        272.65","        272.90","        271.81","     288679","            78464793.95","       4817","      87296","         30.24"
"CHENNPETRO","EQ","16-Nov-2018","        272.90","        270.05","        272.30","        263.25","        266.05","        266.90","        268.69","     307640","            82661123.45","       6899","     124591","         40.50"
"CHENNPETRO","EQ","19-Nov-2018","        266.90","        269.00","        269.85","        263.25","        265.00","        264.60","        265.38","     327950","            87030226.20","       6288","     184130","         56.15"
"CHENNPETRO","EQ","20-Nov-2018","        264.60","        265.05","        267.80","        260.00","        261.00","        262.10","        264.75","     548572","           145231752.10","       9001","     195202","         35.58"
"CHENNPETRO","EQ","21-Nov-2018","        262.10","        269.10","        271.50","        259.50","        260.70","        261.15","        264.52","     687339","           181814121.60","      10436","      84307","         12.27"
"CHENNPETRO","EQ","22-Nov-2018","        261.15","        260.70","        261.20","        254.25","        257.00","        256.95","        257.20","     462879","           119050437.40","       9329","      94902","         20.50"
"CHENNPETRO","EQ","26-Nov-2018","        256.95","        260.80","        266.60","        259.65","        266.00","        264.80","        263.08","     493814","           129910997.15","       8203","      84504","         17.11"
"CHENNPETRO","EQ","27-Nov-2018","        264.80","        264.90","        270.40","        261.20","        268.55","        268.40","        267.60","     358523","            95939696.40","       8270","      95024","         26.50"
"CHENNPETRO","EQ","28-Nov-2018","        268.40","        272.00","        272.10","        264.00","        267.80","        268.70","        267.34","     403364","           107834378.30","       9484","     122030","         30.25"
"CHENNPETRO","EQ","29-Nov-2018","        268.70","        268.90","        280.00","        267.40","        278.90","        277.95","        275.04","     438651","           120648739.95","      11805","     153179","         34.92"
"CHENNPETRO","EQ","30-Nov-2018","        277.95","        278.00","        281.60","        271.50","        273.00","        274.30","        276.00","     348485","            96183155.55","       8222","     136529","         39.18"
"CHENNPETRO","EQ","03-Dec-2018","        274.30","        274.00","        277.40","        268.15","        275.90","        275.55","        272.62","     285517","            77837829.30","       8986","      67255","         23.56"
"CHENNPETRO","EQ","04-Dec-2018","        275.55","        278.20","        279.70","        271.15","        273.90","        274.50","        275.59","     294228","            81086294.50","       9282","      67429","         22.92"
"CHENNPETRO","EQ","05-Dec-2018","        274.50","        274.70","        278.90","        270.00","        274.00","        271.60","        274.02","     353162","            96772743.30","      12380","     156192","         44.23"
"CHENNPETRO","EQ","06-Dec-2018","        271.60","        272.90","        277.90","        268.60","        273.55","        274.65","        274.76","     410178","           112701131.10","      11218","      94287","         22.99"
"CHENNPETRO","EQ","07-Dec-2018","        274.65","        274.10","        277.70","        268.60","        271.00","        271.95","        272.12","     219585","            59753602.15","       4874","      63029","         28.70"
"CHENNPETRO","EQ","10-Dec-2018","        271.95","        270.45","        270.45","        260.20","        261.50","        262.35","        264.46","     391627","           103571152.85","       9562","     220036","         56.19"
"CHENNPETRO","EQ","11-Dec-2018","        262.35","        252.25","        265.40","        252.25","        263.00","        262.05","        259.37","     446173","           115725791.25","       9735","     117529","         26.34"
"CHENNPETRO","EQ","12-Dec-2018","        262.05","        261.75","        268.90","        260.10","        267.85","        265.95","        263.89","     230275","            60766187.10","       6357","      59864","         26.00"
"CHENNPETRO","EQ","13-Dec-2018","        265.95","        268.70","        276.90","        266.25","        274.75","        274.45","        273.43","     298881","            81723885.55","      10504","      59365","         19.86"
"CHENNPETRO","EQ","14-Dec-2018","        274.45","        271.55","        281.50","        270.20","        280.00","        278.20","        278.41","     467353","           130114412.45","      11281","      96544","         20.66"
"CHENNPETRO","EQ","17-Dec-2018","        278.20","        279.85","        280.60","        274.50","        275.50","        275.45","        277.74","     138577","            38487866.75","       3019","      30654","         22.12"
"CHENNPETRO","EQ","18-Dec-2018","        275.45","        276.50","        291.40","        275.15","        290.45","        288.75","        284.81","     981878","           279650679.65","      15079","     158266","         16.12"
"CHENNPETRO","EQ","19-Dec-2018","        288.75","        291.60","        293.80","        280.55","        281.50","        282.10","        285.49","    1592210","           454564108.80","      24160","     437111","         27.45"
"CHENNPETRO","EQ","20-Dec-2018","        282.10","        281.00","        289.85","        276.10","        287.40","        287.95","        285.11","     804253","           229298180.00","      10737","     125046","         15.55"
"CHENNPETRO","EQ","21-Dec-2018","        287.95","        290.00","        291.35","        278.95","        279.60","        279.95","        284.20","     682134","           193860666.45","      13233","     199343","         29.22"
"CHENNPETRO","EQ","24-Dec-2018","        279.95","        281.90","        285.00","        277.95","        281.00","        279.50","        281.79","     576445","           162438883.90","       8410","     249171","         43.23"
"CHENNPETRO","EQ","26-Dec-2018","        279.50","        281.10","        288.35","        275.55","        280.00","        280.70","        280.80","    1456982","           409122186.90","      20264","     336348","         23.09"
"CHENNPETRO","EQ","27-Dec-2018","        280.70","        281.00","        290.95","        277.75","        290.50","        287.60","        284.37","     929165","           264226198.25","      11453","     323699","         34.84"
"CHENNPETRO","EQ","28-Dec-2018","        287.60","        291.00","        293.70","        288.30","        289.20","        289.75","        290.68","     715931","           208105315.70","       8372","     168176","         23.49"
"CHENNPETRO","EQ","31-Dec-2018","        289.75","        293.00","        298.65","        290.05","        296.10","        296.50","        296.72","    1106434","           328303489.10","      14375","     120505","         10.89"
"CHENNPETRO","EQ","01-Jan-2019","        296.50","        298.95","        299.40","        289.25","        290.60","        290.55","        292.78","     486310","           142384237.95","       5599","      95560","         19.65"
"CHENNPETRO","EQ","02-Jan-2019","        290.55","        288.00","        292.65","        281.30","        283.80","        285.00","        287.04","     654505","           187866059.00","       8776","     106286","         16.24"
"CHENNPETRO","EQ","03-Jan-2019","        285.00","        284.75","        286.25","        279.05","        281.15","        281.35","        281.86","     241119","            67961584.65","       4360","      47279","         19.61"
