"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CKPLEISURE","SM","31-Aug-2018","         15.00","         14.80","         15.00","         14.80","         15.00","         15.00","         14.90","       8000","              119200.00","          2","       4000","         50.00"
"CKPLEISURE","SM","26-Sep-2018","         15.00","         14.15","         14.15","         12.00","         12.05","         12.05","         12.58","      16000","              201200.00","          4","       8000","         50.00"
"CKPLEISURE","SM","28-Sep-2018","         12.05","         11.85","         12.05","         11.85","         12.00","         12.00","         11.97","      12000","              143600.00","          3","       8000","         66.67"
"CKPLEISURE","SM","01-Oct-2018","         12.00","         11.00","         11.00","          9.60","          9.60","          9.60","         10.11","      16000","              161800.00","          4","       8000","         50.00"
"CKPLEISURE","SM","04-Oct-2018","          9.60","          8.85","          8.85","          8.65","          8.65","          8.65","          8.72","      12000","              104600.00","          3","       8000","         66.67"
"CKPLEISURE","SM","05-Oct-2018","          8.65","          8.10","          8.10","          8.10","          8.10","          8.10","          8.10","       4000","               32400.00","          1","       4000","        100.00"
"CKPLEISURE","SM","25-Oct-2018","          8.10","          7.30","          7.30","          7.30","          7.30","          7.30","          7.30","       4000","               29200.00","          1","       4000","        100.00"
"CKPLEISURE","SM","26-Oct-2018","          7.30","          6.60","          6.60","          6.60","          6.60","          6.60","          6.60","       4000","               26400.00","          1","       4000","        100.00"
"CKPLEISURE","SM","29-Oct-2018","          6.60","          5.95","          5.95","          5.95","          5.95","          5.95","          5.95","       8000","               47600.00","          2","       8000","        100.00"
"CKPLEISURE","SM","31-Oct-2018","          5.95","          6.20","          6.20","          6.20","          6.20","          6.20","          6.20","       4000","               24800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","29-Nov-2018","          6.20","          5.95","          5.95","          5.90","          5.90","          5.90","          5.93","       8000","               47400.00","          2","       4000","         50.00"
"CKPLEISURE","SM","19-Dec-2018","          5.90","          6.15","          6.15","          6.15","          6.15","          6.15","          6.15","       4000","               24600.00","          1","       4000","        100.00"
"CKPLEISURE","SM","26-Dec-2018","          6.15","          5.90","          5.90","          5.90","          5.90","          5.90","          5.90","       4000","               23600.00","          1","       4000","        100.00"
"CKPLEISURE","SM","18-Mar-2019","          5.90","          5.70","          5.70","          5.70","          5.70","          5.70","          5.70","       4000","               22800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","03-Jun-2019","          5.70","          5.95","          5.95","          5.95","          5.95","          5.95","          5.95","       4000","               23800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","03-Jul-2019","          5.95","          5.70","          5.70","          5.70","          5.70","          5.70","          5.70","       4000","               22800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","07-Aug-2019","          5.70","          5.45","          5.45","          5.45","          5.45","          5.45","          5.45","       4000","               21800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","13-Aug-2019","          5.45","          5.20","          5.20","          5.20","          5.20","          5.20","          5.20","       4000","               20800.00","          1","       4000","        100.00"
"CKPLEISURE","SM","19-Aug-2019","          5.20","          5.00","          5.00","          5.00","          5.00","          5.00","          5.00","       4000","               20000.00","          1","       4000","        100.00"
"CKPLEISURE","SM","26-Aug-2019","          5.00","          4.95","          4.95","          4.95","          4.95","          4.95","          4.95","      20000","               99000.00","          5","      20000","        100.00"
"CKPLEISURE","SM","27-Aug-2019","          4.95","          4.95","          4.95","          4.95","          4.95","          4.95","          4.95","      24000","              118800.00","          1","      24000","        100.00"
"CKPLEISURE","SM","04-Sep-2019","          4.95","          5.15","          5.15","          5.15","          5.15","          5.15","          5.15","       4000","               20600.00","          1","       4000","        100.00"
"CKPLEISURE","SM","06-Sep-2019","          5.15","          5.00","          5.15","          5.00","          5.05","          5.05","          5.06","     104000","              525800.00","         16","      92000","         88.46"
"CKPLEISURE","SM","09-Sep-2019","          5.05","          5.00","          5.05","          5.00","          5.05","          5.05","          5.05","     268000","             1352400.00","         43","     268000","        100.00"
"CKPLEISURE","SM","11-Sep-2019","          5.05","          5.05","          5.05","          4.95","          5.00","          5.00","          4.99","     228000","             1138600.00","         47","     224000","         98.25"
"CKPLEISURE","SM","12-Sep-2019","          5.00","          4.95","          5.10","          4.95","          5.10","          5.00","          4.98","     208000","             1036800.00","         34","     208000","        100.00"
"CKPLEISURE","SM","13-Sep-2019","          5.00","          5.00","          5.00","          4.95","          4.95","          4.95","          4.99","     176000","              879000.00","         26","     176000","        100.00"
"CKPLEISURE","SM","16-Sep-2019","          4.95","          4.95","          5.00","          4.95","          5.00","          5.00","          4.98","     188000","              935600.00","         32","     188000","        100.00"
"CKPLEISURE","SM","17-Sep-2019","          5.00","          4.95","          5.00","          4.90","          5.00","          4.95","          4.94","     244000","             1204600.00","         27","     244000","        100.00"
"CKPLEISURE","SM","18-Sep-2019","          4.95","          4.90","          4.95","          4.90","          4.90","          4.90","          4.92","     208000","             1023600.00","         34","     208000","        100.00"
"CKPLEISURE","SM","19-Sep-2019","          4.90","          4.90","          4.90","          4.90","          4.90","          4.90","          4.90","     120000","              588000.00","         21","     120000","        100.00"
"CKPLEISURE","SM","20-Sep-2019","          4.90","          4.90","          5.10","          4.90","          5.10","          5.10","          4.96","     120000","              595200.00","         23","     108000","         90.00"
"CKPLEISURE","SM","23-Sep-2019","          5.10","          4.90","          5.35","          4.90","          5.10","          5.20","          5.04","     364000","             1835800.00","         61","     340000","         93.41"
"CKPLEISURE","SM","24-Sep-2019","          5.20","          5.00","          5.20","          5.00","          5.05","          5.05","          5.08","     168000","              853000.00","         21","     168000","        100.00"
"CKPLEISURE","SM","25-Sep-2019","          5.05","          5.10","          5.10","          5.05","          5.05","          5.05","          5.05","      68000","              343600.00","         13","      68000","        100.00"
"CKPLEISURE","SM","26-Sep-2019","          5.05","          5.05","          5.15","          5.05","          5.15","          5.15","          5.11","     160000","              817800.00","         20","     160000","        100.00"
"CKPLEISURE","SM","27-Sep-2019","          5.15","          5.05","          5.05","          5.05","          5.05","          5.05","          5.05","     120000","              606000.00","         11","     120000","        100.00"
"CKPLEISURE","SM","30-Sep-2019","          5.05","          5.00","          5.10","          5.00","          5.10","          5.10","          5.03","     160000","              804000.00","         23","     160000","        100.00"
"CKPLEISURE","SM","01-Oct-2019","          5.10","          5.00","          5.20","          4.95","          5.20","          5.20","          5.07","     228000","             1155400.00","         33","     228000","        100.00"
"CKPLEISURE","SM","03-Oct-2019","          5.20","          5.10","          5.40","          4.95","          4.95","          4.95","          5.11","     148000","              755800.00","         25","     112000","         75.68"
"CKPLEISURE","SM","04-Oct-2019","          4.95","          5.05","          5.15","          4.80","          4.80","          4.80","          5.07","     204000","             1033800.00","         27","     188000","         92.16"
"CKPLEISURE","SM","07-Oct-2019","          4.80","          5.00","          5.00","          4.70","          5.00","          5.00","          4.83","     248000","             1196600.00","         24","     212000","         85.48"
"CKPLEISURE","SM","09-Oct-2019","          5.00","          5.00","          5.50","          5.00","          5.50","          5.45","          5.28","     136000","              718200.00","         26","     136000","        100.00"
"CKPLEISURE","SM","10-Oct-2019","          5.45","          5.95","          5.95","          5.00","          5.00","          5.05","          5.35","     144000","              770600.00","         24","     120000","         83.33"
"CKPLEISURE","SM","11-Oct-2019","          5.05","          5.20","          5.55","          4.80","          5.55","          5.55","          5.22","     344000","             1796400.00","         28","     304000","         88.37"
