"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DABUR","EQ","30-Aug-2018","        477.80","        477.80","        484.35","        475.40","        479.90","        479.90","        480.43","    3133686","          1505513625.10","      56576","    1753974","         55.97"
"DABUR","EQ","31-Aug-2018","        479.90","        482.65","        482.65","        475.05","        478.25","        478.75","        478.52","    2509851","          1201018586.20","      63638","    1616586","         64.41"
"DABUR","EQ","03-Sep-2018","        478.75","        481.05","        481.05","        465.00","        468.00","        466.35","        470.97","    2667557","          1256346420.10","      36622","    1761030","         66.02"
"DABUR","EQ","04-Sep-2018","        466.35","        465.00","        467.75","        443.70","        448.40","        448.60","        451.47","    6220706","          2808436937.75","      76679","    3567672","         57.35"
"DABUR","EQ","05-Sep-2018","        448.60","        445.80","        460.90","        445.80","        457.00","        456.90","        454.98","    3769921","          1715220583.55","      57899","    1471385","         39.03"
"DABUR","EQ","06-Sep-2018","        456.90","        457.20","        465.45","        448.50","        454.00","        454.10","        456.30","    2407025","          1098317304.90","      70170","     780443","         32.42"
"DABUR","EQ","07-Sep-2018","        454.10","        456.65","        469.45","        451.00","        467.95","        468.30","        462.16","    2225030","          1028321359.50","      30453","     606853","         27.27"
"DABUR","EQ","10-Sep-2018","        468.30","        468.20","        468.20","        448.05","        450.00","        449.90","        454.23","    1861480","           845547532.25","      37895","     704441","         37.84"
"DABUR","EQ","11-Sep-2018","        449.90","        449.90","        454.35","        441.70","        446.25","        443.75","        445.22","    3437600","          1530502456.05","      54748","    1147645","         33.39"
"DABUR","EQ","12-Sep-2018","        443.75","        445.95","        461.00","        439.40","        455.00","        454.20","        455.07","    5951399","          2708323351.45","      98874","    1927122","         32.38"
"DABUR","EQ","14-Sep-2018","        454.20","        458.00","        469.90","        456.65","        468.50","        468.25","        464.82","    4145878","          1927081657.15","      88505","    2478861","         59.79"
"DABUR","EQ","17-Sep-2018","        468.25","        468.00","        468.00","        454.05","        462.55","        461.85","        460.30","    2108447","           970522975.95","      36950","     938378","         44.51"
"DABUR","EQ","18-Sep-2018","        461.85","        462.85","        475.15","        461.85","        471.70","        470.40","        471.26","    2843314","          1339949849.85","      41459","     907937","         31.93"
"DABUR","EQ","19-Sep-2018","        470.40","        470.70","        474.00","        462.50","        465.00","        466.85","        468.82","    4251592","          1993233920.55","      37062","    2393152","         56.29"
"DABUR","EQ","21-Sep-2018","        466.85","        465.00","        466.70","        430.15","        455.80","        455.70","        452.02","    3634800","          1642989136.45","      41249","    1583184","         43.56"
"DABUR","EQ","24-Sep-2018","        455.70","        452.90","        457.50","        429.00","        431.90","        432.40","        438.67","    2851579","          1250907284.65","      57838","    1541387","         54.05"
"DABUR","EQ","25-Sep-2018","        432.40","        430.15","        441.45","        422.00","        437.25","        437.50","        433.57","    3324143","          1441242997.70","      80737","    1577631","         47.46"
"DABUR","EQ","26-Sep-2018","        437.50","        440.95","        442.35","        432.05","        436.45","        436.45","        436.71","    2052494","           896354059.80","      47461","    1068809","         52.07"
"DABUR","EQ","27-Sep-2018","        436.45","        438.00","        440.00","        426.40","        439.00","        437.30","        435.51","    2875616","          1252371599.00","      34418","    1677793","         58.35"
"DABUR","EQ","28-Sep-2018","        437.30","        441.00","        441.50","        416.55","        428.90","        426.90","        427.04","    3675960","          1569793323.25","      66054","    2057049","         55.96"
"DABUR","EQ","01-Oct-2018","        426.90","        425.00","        441.00","        423.05","        438.95","        439.25","        433.83","    1829837","           793832411.75","      40529","     777169","         42.47"
"DABUR","EQ","03-Oct-2018","        439.25","        440.00","        442.50","        421.60","        425.00","        425.30","        429.86","    2273144","           977126177.30","      55588","     917509","         40.36"
"DABUR","EQ","04-Oct-2018","        425.30","        419.05","        425.00","        410.10","        414.85","        415.45","        415.83","    2016129","           838372257.10","      54732","    1063008","         52.73"
"DABUR","EQ","05-Oct-2018","        415.45","        412.55","        425.00","        403.95","        420.00","        420.05","        415.68","    3797505","          1578538423.45","      76289","    1771757","         46.66"
"DABUR","EQ","08-Oct-2018","        420.05","        421.00","        423.30","        404.85","        408.50","        409.70","        412.63","    2069981","           854146364.45","      49732","     777765","         37.57"
"DABUR","EQ","09-Oct-2018","        409.70","        409.00","        410.70","        383.80","        394.80","        392.40","        393.43","    5737986","          2257509528.55","     133889","    3270836","         57.00"
"DABUR","EQ","10-Oct-2018","        392.40","        394.65","        411.60","        391.55","        405.30","        405.25","        404.39","    3567594","          1442684641.90","      91149","    2092334","         58.65"
"DABUR","EQ","11-Oct-2018","        405.25","        391.50","        396.65","        385.00","        394.60","        393.35","        391.28","    4493264","          1758117502.20","      86153","    2621043","         58.33"
"DABUR","EQ","12-Oct-2018","        393.35","        397.30","        411.40","        397.30","        405.50","        407.85","        406.41","    3680197","          1495665796.50","      50229","    2022746","         54.96"
"DABUR","EQ","15-Oct-2018","        407.85","        411.00","        411.00","        393.05","        396.80","        396.35","        397.60","    2730907","          1085799471.60","      36669","    1032167","         37.80"
"DABUR","EQ","16-Oct-2018","        396.35","        398.80","        408.30","        397.95","        408.15","        406.65","        403.63","    1943053","           784266874.30","      47322","     924639","         47.59"
"DABUR","EQ","17-Oct-2018","        406.65","        409.00","        423.00","        400.75","        404.50","        403.05","        413.23","    3809686","          1574283386.55","      59710","    1025423","         26.92"
"DABUR","EQ","19-Oct-2018","        403.05","        404.35","        414.00","        398.00","        406.40","        404.45","        405.20","    2437432","           987649714.20","      51625","    1055706","         43.31"
"DABUR","EQ","22-Oct-2018","        404.45","        408.00","        414.00","        402.80","        404.50","        404.70","        409.08","    2276552","           931298116.85","      88386","    1024225","         44.99"
"DABUR","EQ","23-Oct-2018","        404.70","        399.50","        409.65","        397.00","        402.00","        400.60","        403.25","    2552727","          1029393331.20","      46932","    1130222","         44.28"
"DABUR","EQ","24-Oct-2018","        400.60","        404.00","        408.60","        400.60","        406.50","        405.15","        404.06","    1262996","           510327973.95","      39400","     481440","         38.12"
"DABUR","EQ","25-Oct-2018","        405.15","        403.95","        405.60","        396.00","        399.10","        398.55","        400.92","    3241540","          1299597498.80","      50912","    1996608","         61.59"
"DABUR","EQ","26-Oct-2018","        398.55","        395.05","        405.00","        394.00","        398.90","        398.25","        400.15","    1294180","           517865093.95","      20849","     455137","         35.17"
"DABUR","EQ","29-Oct-2018","        398.25","        400.70","        416.70","        400.00","        406.85","        409.40","        411.84","    5964529","          2456454330.40","      55935","    4343512","         72.82"
"DABUR","EQ","30-Oct-2018","        409.40","        405.25","        407.45","        388.20","        394.15","        396.35","        394.17","    4806534","          1894572200.70","      93877","    1690419","         35.17"
"DABUR","EQ","31-Oct-2018","        396.35","        398.00","        401.75","        379.50","        384.55","        384.75","        388.89","    7847341","          3051714769.45","     106406","    2313443","         29.48"
"DABUR","EQ","01-Nov-2018","        384.75","        384.75","        387.15","        369.40","        370.20","        370.65","        373.83","    6914459","          2584804763.40","     119717","    3491330","         50.49"
"DABUR","EQ","02-Nov-2018","        370.65","        373.70","        374.90","        365.45","        368.05","        369.45","        370.03","    6169192","          2282757481.30","      96956","    3131822","         50.77"
