"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DCM","EQ","30-Aug-2018","         87.00","         87.70","         87.95","         86.65","         87.40","         86.90","         87.19","       1914","              166872.70","         50","       1297","         67.76"
"DCM","EQ","31-Aug-2018","         86.90","         87.35","         87.35","         86.00","         86.20","         86.45","         86.77","       6007","              521207.00","         87","       3831","         63.78"
"DCM","EQ","03-Sep-2018","         86.45","         86.50","         87.60","         86.00","         86.00","         86.05","         86.20","      21391","             1843922.30","        123","      18705","         87.44"
"DCM","EQ","04-Sep-2018","         86.05","         85.15","         86.60","         85.00","         85.00","         85.25","         85.25","      12438","             1060389.10","        136","       8741","         70.28"
"DCM","EQ","05-Sep-2018","         85.25","         84.55","         85.35","         84.30","         84.75","         84.75","         84.58","      10106","              854738.35","         70","       8809","         87.17"
"DCM","EQ","06-Sep-2018","         84.75","         84.05","         84.90","         84.00","         84.00","         84.05","         84.13","       3863","              324995.40","         65","       2799","         72.46"
"DCM","EQ","07-Sep-2018","         84.05","         84.00","         84.65","         82.45","         83.20","         83.45","         83.74","       6844","              573126.00","        147","       4159","         60.77"
"DCM","EQ","10-Sep-2018","         83.45","         83.85","         89.00","         83.85","         87.15","         86.55","         87.03","      30950","             2693594.65","        544","      19995","         64.60"
"DCM","EQ","11-Sep-2018","         86.55","         86.60","         87.70","         84.60","         85.50","         85.05","         86.02","      17625","             1516054.20","        120","      15575","         88.37"
"DCM","EQ","12-Sep-2018","         85.05","         84.75","         86.15","         83.50","         83.50","         83.95","         84.30","      17021","             1434824.80","        126","      15167","         89.11"
"DCM","EQ","14-Sep-2018","         83.95","         85.90","         85.90","         82.90","         84.00","         84.10","         84.00","      23422","             1967558.20","        271","      14249","         60.84"
"DCM","EQ","17-Sep-2018","         84.10","         82.35","         87.30","         82.35","         85.50","         86.20","         85.64","      19352","             1657289.30","        189","      10899","         56.32"
"DCM","EQ","18-Sep-2018","         86.20","         86.00","         88.75","         85.35","         86.00","         86.05","         86.75","      25893","             2246240.40","        311","      16386","         63.28"
"DCM","EQ","19-Sep-2018","         86.05","         86.00","         89.60","         85.60","         86.40","         87.65","         87.39","      19773","             1728042.05","        310","       5049","         25.53"
"DCM","EQ","21-Sep-2018","         87.65","         89.70","         89.70","         84.00","         84.00","         84.15","         85.61","      13661","             1169577.50","        171","       7777","         56.93"
"DCM","EQ","24-Sep-2018","         84.15","         83.00","         84.80","         81.30","         81.40","         81.85","         82.64","      12105","             1000305.65","         90","      10532","         87.01"
"DCM","EQ","25-Sep-2018","         81.85","         81.50","         82.80","         79.15","         79.15","         79.90","         80.04","      59198","             4737918.55","        188","      55295","         93.41"
"DCM","EQ","26-Sep-2018","         79.90","         79.25","         80.80","         79.00","         79.05","         79.55","         79.69","      38502","             3068183.80","        208","      34250","         88.96"
"DCM","EQ","27-Sep-2018","         79.55","         78.50","         81.00","         77.95","         79.75","         79.65","         79.81","       4176","              333282.55","         75","       3014","         72.17"
"DCM","EQ","28-Sep-2018","         79.65","         79.80","         80.90","         76.70","         79.60","         78.45","         79.37","       8967","              711690.30","        127","       5979","         66.68"
"DCM","EQ","01-Oct-2018","         78.45","         79.55","         79.55","         73.25","         76.90","         75.55","         75.45","       4150","              313103.95","        138","       2775","         66.87"
"DCM","EQ","03-Oct-2018","         75.55","         76.65","         79.40","         75.05","         77.00","         77.15","         77.24","       3775","              291598.25","        158","       1691","         44.79"
"DCM","EQ","04-Oct-2018","         77.15","         76.00","         76.10","         73.25","         75.00","         74.75","         74.48","      17153","             1277515.55","        189","      13617","         79.39"
"DCM","EQ","05-Oct-2018","         74.75","         73.55","         75.40","         72.05","         72.40","         72.55","         73.60","      16063","             1182199.30","        111","      11335","         70.57"
"DCM","EQ","08-Oct-2018","         72.55","         72.50","         74.00","         72.00","         73.00","         72.15","         72.60","       4436","              322044.50","         84","       2936","         66.19"
"DCM","EQ","09-Oct-2018","         72.15","         73.15","         73.15","         70.45","         71.00","         71.35","         71.64","       4804","              344176.65","         90","       3588","         74.69"
"DCM","EQ","10-Oct-2018","         71.35","         70.15","         74.45","         70.15","         73.50","         73.45","         72.96","       9180","              669753.70","        137","       4844","         52.77"
"DCM","EQ","11-Oct-2018","         73.45","         72.00","         72.70","         70.10","         70.50","         71.00","         71.43","      11889","              849182.80","        185","       8589","         72.24"
"DCM","EQ","12-Oct-2018","         71.00","         71.95","         72.40","         71.25","         71.60","         71.85","         71.87","       3134","              225229.00","         91","       1982","         63.24"
"DCM","EQ","15-Oct-2018","         71.85","         71.30","         76.90","         71.25","         76.40","         76.10","         75.14","      18096","             1359757.00","        199","      13100","         72.39"
"DCM","EQ","16-Oct-2018","         76.10","         76.40","         79.85","         76.40","         77.35","         77.20","         78.15","       5456","              426371.65","         88","       3225","         59.11"
"DCM","EQ","17-Oct-2018","         77.20","         77.00","         77.00","         75.15","         75.95","         75.90","         76.15","       2475","              188480.30","         81","       1460","         58.99"
"DCM","EQ","19-Oct-2018","         75.90","         76.90","         76.90","         74.05","         75.00","         75.10","         75.35","       4245","              319859.55","         45","       4138","         97.48"
"DCM","EQ","22-Oct-2018","         75.10","         74.70","         74.70","         72.55","         73.80","         73.35","         73.56","       3162","              232602.50","         74","       2150","         67.99"
"DCM","EQ","23-Oct-2018","         73.35","         73.00","         75.00","         71.55","         73.00","         72.60","         73.35","       2711","              198846.60","         72","       2031","         74.92"
"DCM","EQ","24-Oct-2018","         72.60","         73.65","         73.65","         72.50","         72.50","         73.15","         72.89","       8228","              599708.05","         40","       7613","         92.53"
"DCM","EQ","25-Oct-2018","         73.15","         72.00","         72.90","         71.35","         72.00","         72.45","         71.94","       2487","              178918.60","         40","       1360","         54.68"
"DCM","EQ","26-Oct-2018","         72.45","         71.50","         75.45","         70.70","         75.00","         74.50","         73.53","       7931","              583151.10","        131","       5399","         68.07"
"DCM","EQ","29-Oct-2018","         74.50","         73.00","         78.75","         73.00","         74.20","         74.20","         75.63","      12582","              951630.70","        246","       4464","         35.48"
"DCM","EQ","30-Oct-2018","         74.20","         75.20","         77.80","         73.05","         73.55","         74.05","         74.61","       3774","              281578.80","        119","       2005","         53.13"
"DCM","EQ","31-Oct-2018","         74.05","         73.60","         75.00","         73.60","         73.60","         73.90","         73.97","       2487","              183963.70","         44","       1350","         54.28"
"DCM","EQ","01-Nov-2018","         73.90","         74.95","         75.45","         74.00","         75.45","         75.45","         74.79","       2153","              161031.65","         38","       1570","         72.92"
"DCM","EQ","02-Nov-2018","         75.45","         75.50","         77.80","         75.00","         76.60","         76.00","         76.06","       5122","              389601.10","         96","       3004","         58.65"
"DCM","EQ","05-Nov-2018","         76.00","         75.00","         77.05","         74.50","         74.75","         75.85","         75.93","        747","               56719.60","         39","        403","         53.95"
"DCM","EQ","06-Nov-2018","         75.85","         76.90","         76.90","         75.50","         75.50","         75.65","         75.80","       1809","              137124.30","         46","        512","         28.30"
"DCM","EQ","07-Nov-2018","         75.65","         76.90","         76.90","         75.40","         75.40","         76.50","         76.53","       1353","              103544.45","         17","       1283","         94.83"
