"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DELTAMAGNT","EQ","30-Aug-2018","        101.30","        109.00","        109.00","        103.00","        107.95","        107.65","        106.74","      59963","             6400614.55","       1148","      23003","         38.36"
"DELTAMAGNT","EQ","31-Aug-2018","        107.65","        107.00","        110.25","        102.50","        102.50","        103.35","        106.40","      26254","             2793400.75","        569","      12968","         49.39"
"DELTAMAGNT","EQ","03-Sep-2018","        103.35","        102.00","        106.50","         98.20","         98.20","         98.20","        100.13","       5364","              537099.55","        138","       3647","         67.99"
"DELTAMAGNT","EQ","04-Sep-2018","         98.20","         98.00","         98.00","         93.30","         93.30","         93.30","         93.54","       2140","              200181.90","         33","       2035","         95.09"
"DELTAMAGNT","EQ","05-Sep-2018","         93.30","         89.00","         96.95","         88.65","         88.65","         88.80","         91.55","      22463","             2056431.10","        284","      12063","         53.70"
"DELTAMAGNT","EQ","06-Sep-2018","         88.80","         86.10","         92.35","         86.10","         90.95","         90.55","         90.32","       6172","              557476.35","        117","       4161","         67.42"
"DELTAMAGNT","EQ","07-Sep-2018","         90.55","         93.00","         94.35","         87.80","         92.50","         92.95","         91.98","       6248","              574700.15","        158","       4257","         68.13"
"DELTAMAGNT","EQ","10-Sep-2018","         92.95","         94.00","         97.55","         89.00","         97.55","         97.55","         95.78","      20888","             2000670.55","        308","       8315","         39.81"
"DELTAMAGNT","EQ","11-Sep-2018","         97.55","        102.40","        102.40","         98.75","        102.40","        102.40","        101.68","       6137","              623995.95","        108","       3941","         64.22"
"DELTAMAGNT","EQ","12-Sep-2018","        102.40","        107.00","        107.50","        102.40","        107.50","        107.50","        106.80","      11445","             1222381.25","        258","       7203","         62.94"
"DELTAMAGNT","BE","14-Sep-2018","        107.50","        112.00","        112.85","        103.00","        112.10","        112.55","        111.44","      11357","             1265655.85","        163","-","-"
"DELTAMAGNT","BE","17-Sep-2018","        112.55","        118.15","        118.15","        107.20","        118.15","        118.15","        114.43","       6713","              768196.05","         86","-","-"
"DELTAMAGNT","BE","18-Sep-2018","        118.15","        122.00","        124.05","        113.50","        124.05","        124.05","        123.79","       9300","             1151238.15","        147","-","-"
"DELTAMAGNT","BE","19-Sep-2018","        124.05","        129.50","        130.25","        129.50","        130.25","        130.25","        130.06","       4624","              601410.75","         64","-","-"
"DELTAMAGNT","BE","21-Sep-2018","        130.25","        135.80","        136.75","        123.75","        135.00","        134.80","        134.11","      26777","             3590961.85","        406","-","-"
"DELTAMAGNT","BE","24-Sep-2018","        134.80","        139.80","        139.80","        128.10","        128.10","        131.80","        131.44","       7218","              948714.05","        132","-","-"
"DELTAMAGNT","BE","25-Sep-2018","        131.80","        128.10","        128.10","        125.25","        125.25","        125.25","        125.37","        368","               46134.75","         10","-","-"
"DELTAMAGNT","BE","26-Sep-2018","        125.25","        119.00","        119.00","        119.00","        119.00","        119.00","        119.00","        153","               18207.00","          8","-","-"
"DELTAMAGNT","BE","27-Sep-2018","        119.00","        113.05","        113.05","        113.05","        113.05","        113.05","        113.05","        140","               15827.00","          7","-","-"
"DELTAMAGNT","BE","28-Sep-2018","        113.05","        108.00","        108.00","        107.40","        107.40","        107.40","        107.94","        279","               30114.60","          7","-","-"
"DELTAMAGNT","BE","01-Oct-2018","        107.40","        102.05","        102.05","        102.05","        102.05","        102.05","        102.05","        148","               15103.40","          6","-","-"
"DELTAMAGNT","BE","03-Oct-2018","        102.05","         96.95","         96.95","         96.95","         96.95","         96.95","         96.95","         88","                8531.60","         16","-","-"
"DELTAMAGNT","BE","04-Oct-2018","         96.95","         92.15","         92.15","         92.15","         92.15","         92.15","         92.15","       1221","              112515.15","         14","-","-"
"DELTAMAGNT","BE","05-Oct-2018","         92.15","         87.55","         87.55","         87.55","         87.55","         87.55","         87.55","       1915","              167658.25","         13","-","-"
"DELTAMAGNT","BE","08-Oct-2018","         87.55","         83.20","         91.90","         83.20","         83.20","         83.20","         84.70","      16278","             1378822.90","        146","-","-"
"DELTAMAGNT","BE","09-Oct-2018","         83.20","         79.05","         79.10","         79.05","         79.05","         79.05","         79.05","        941","               74386.55","         28","-","-"
