"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHARSUGAR","BE","30-Aug-2018","         13.55","         13.80","         14.00","         13.25","         13.70","         13.60","         13.55","       5045","               68350.45","         48","-","-"
"DHARSUGAR","BE","31-Aug-2018","         13.60","         13.40","         13.85","         13.00","         13.55","         13.55","         13.43","       7502","              100772.60","         25","-","-"
"DHARSUGAR","BE","03-Sep-2018","         13.55","         12.90","         14.00","         12.90","         13.80","         13.75","         13.67","      12341","              168652.55","         50","-","-"
"DHARSUGAR","BE","04-Sep-2018","         13.75","         13.75","         14.40","         13.35","         13.35","         13.35","         13.69","      11074","              151573.35","         46","-","-"
"DHARSUGAR","BE","05-Sep-2018","         13.35","         13.90","         13.90","         13.25","         13.45","         13.45","         13.39","       5282","               70733.85","         38","-","-"
"DHARSUGAR","BE","06-Sep-2018","         13.45","         13.45","         13.70","         13.10","         13.50","         13.50","         13.45","       4413","               59348.05","         24","-","-"
"DHARSUGAR","BE","07-Sep-2018","         13.50","         13.50","         13.60","         13.05","         13.05","         13.25","         13.39","      13665","              182959.70","         57","-","-"
"DHARSUGAR","BE","10-Sep-2018","         13.25","         13.75","         13.90","         13.00","         13.35","         13.60","         13.35","      24642","              329092.20","        102","-","-"
"DHARSUGAR","BE","11-Sep-2018","         13.60","         13.90","         13.90","         13.15","         13.70","         13.45","         13.56","      14369","              194777.90","         49","-","-"
"DHARSUGAR","BE","12-Sep-2018","         13.45","         13.80","         13.90","         13.50","         13.80","         13.80","         13.77","      13204","              181826.15","         41","-","-"
"DHARSUGAR","BE","14-Sep-2018","         13.80","         13.90","         14.45","         13.70","         14.45","         14.45","         14.17","      17786","              251984.65","         64","-","-"
"DHARSUGAR","BE","17-Sep-2018","         14.45","         15.15","         15.15","         15.15","         15.15","         15.15","         15.15","       5791","               87733.65","         24","-","-"
"DHARSUGAR","BE","18-Sep-2018","         15.15","         15.90","         15.90","         15.90","         15.90","         15.90","         15.90","      23480","              373332.00","         53","-","-"
"DHARSUGAR","BE","19-Sep-2018","         15.90","         16.65","         16.65","         16.05","         16.65","         16.60","         16.56","      59512","              985783.65","        180","-","-"
"DHARSUGAR","BE","21-Sep-2018","         16.60","         17.05","         17.40","         15.80","         15.80","         15.80","         16.36","      24529","              401399.20","         94","-","-"
"DHARSUGAR","BE","24-Sep-2018","         15.80","         15.40","         15.40","         15.05","         15.05","         15.05","         15.08","       1201","               18110.40","          9","-","-"
"DHARSUGAR","BE","25-Sep-2018","         15.05","         15.05","         15.80","         14.30","         15.80","         15.70","         14.94","      32824","              490230.90","        115","-","-"
"DHARSUGAR","BE","26-Sep-2018","         15.70","         16.20","         16.25","         14.95","         14.95","         14.95","         15.29","      18761","              286796.55","         57","-","-"
"DHARSUGAR","BE","27-Sep-2018","         14.95","         14.95","         14.95","         14.25","         14.25","         14.25","         14.32","       1385","               19831.10","         20","-","-"
"DHARSUGAR","BE","28-Sep-2018","         14.25","         14.10","         14.10","         13.55","         13.55","         13.55","         13.55","       2475","               33537.25","         14","-","-"
"DHARSUGAR","BE","01-Oct-2018","         13.55","         13.40","         13.50","         12.90","         13.30","         13.10","         12.99","       8255","              107195.25","         39","-","-"
"DHARSUGAR","BE","03-Oct-2018","         13.10","         13.10","         13.70","         13.00","         13.00","         13.15","         13.28","      22220","              295191.85","         65","-","-"
"DHARSUGAR","BE","04-Oct-2018","         13.15","         13.00","         13.25","         12.60","         12.60","         12.75","         12.80","      16060","              205590.60","         41","-","-"
