"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DOLLAR","EQ","30-Aug-2018","        326.10","        328.00","        329.00","        320.55","        327.00","        325.60","        326.09","      10074","             3285076.50","        349","       6756","         67.06"
"DOLLAR","EQ","31-Aug-2018","        325.60","        324.75","        328.80","        317.65","        322.00","        321.25","        323.43","       8542","             2762742.45","        328","       5562","         65.11"
"DOLLAR","EQ","03-Sep-2018","        321.25","        328.00","        329.05","        315.00","        318.05","        319.65","        324.05","       7116","             2305932.35","        264","       5529","         77.70"
"DOLLAR","EQ","04-Sep-2018","        319.65","        311.00","        321.25","        311.00","        315.10","        316.20","        316.03","       8530","             2695760.65","        182","       5928","         69.50"
"DOLLAR","EQ","05-Sep-2018","        316.20","        315.00","        318.55","        311.20","        314.85","        314.85","        315.80","       6749","             2131353.50","        211","       5508","         81.61"
"DOLLAR","EQ","06-Sep-2018","        314.85","        307.15","        319.00","        307.15","        316.00","        315.95","        314.62","       5596","             1760623.40","        292","       4040","         72.19"
"DOLLAR","EQ","07-Sep-2018","        315.95","        311.20","        323.00","        311.20","        321.20","        321.20","        318.21","       6452","             2053098.60","        162","       4995","         77.42"
"DOLLAR","EQ","10-Sep-2018","        321.20","        320.85","        320.85","        312.80","        315.00","        315.45","        315.09","       7059","             2224218.90","        253","       4929","         69.83"
"DOLLAR","EQ","11-Sep-2018","        315.45","        317.10","        323.00","        317.00","        322.70","        318.90","        320.34","       8103","             2595749.85","        372","       6355","         78.43"
"DOLLAR","EQ","12-Sep-2018","        318.90","        316.00","        326.65","        314.00","        316.00","        316.35","        315.91","       6437","             2033540.95","        310","       5219","         81.08"
"DOLLAR","EQ","14-Sep-2018","        316.35","        316.35","        327.65","        316.35","        327.00","        325.35","        321.41","       8239","             2648095.20","        267","       7122","         86.44"
"DOLLAR","EQ","17-Sep-2018","        325.35","        324.60","        328.70","        319.00","        321.20","        321.55","        323.69","      10386","             3361865.85","        328","       6200","         59.70"
"DOLLAR","EQ","18-Sep-2018","        321.55","        323.95","        325.00","        312.20","        320.00","        321.80","        321.94","      10450","             3364255.65","        236","       8572","         82.03"
"DOLLAR","EQ","19-Sep-2018","        321.80","        315.40","        329.30","        315.40","        318.00","        319.50","        323.68","      11079","             3586027.55","        331","       8774","         79.19"
"DOLLAR","EQ","21-Sep-2018","        319.50","        319.00","        327.00","        309.00","        314.00","        315.10","        318.02","      18616","             5920321.45","        493","      11485","         61.69"
"DOLLAR","EQ","24-Sep-2018","        315.10","        310.00","        327.00","        302.45","        306.60","        307.50","        308.68","       9019","             2783976.25","        300","       8132","         90.17"
"DOLLAR","EQ","25-Sep-2018","        307.50","        302.00","        312.35","        302.00","        304.50","        306.55","        306.32","       4580","             1402926.80","        257","       3268","         71.35"
"DOLLAR","EQ","26-Sep-2018","        306.55","        296.00","        307.05","        293.30","        297.00","        297.55","        299.18","      11323","             3387620.05","        295","       8412","         74.29"
"DOLLAR","EQ","27-Sep-2018","        297.55","        297.55","        303.80","        278.10","        281.00","        282.05","        290.98","      10685","             3109159.10","        422","       6277","         58.75"
"DOLLAR","EQ","28-Sep-2018","        282.05","        283.00","        290.50","        275.30","        278.35","        289.30","        285.45","       9537","             2722362.85","        277","       7743","         81.19"
"DOLLAR","EQ","01-Oct-2018","        289.30","        272.20","        282.00","        261.65","        268.50","        268.50","        268.02","      17615","             4721084.75","        508","      13725","         77.92"
"DOLLAR","EQ","03-Oct-2018","        268.50","        268.50","        285.00","        264.00","        280.00","        278.00","        276.02","       6777","             1870591.20","        294","       2918","         43.06"
"DOLLAR","EQ","04-Oct-2018","        278.00","        265.05","        283.55","        265.05","        283.00","        277.50","        271.96","       6334","             1722570.55","        346","       3264","         51.53"
"DOLLAR","EQ","05-Oct-2018","        277.50","        277.00","        283.00","        270.05","        275.00","        277.25","        276.18","       2429","              670849.80","        174","       1962","         80.77"
"DOLLAR","EQ","08-Oct-2018","        277.25","        271.50","        292.00","        252.60","        266.00","        265.65","        267.56","       6929","             1853912.95","        396","       4431","         63.95"
"DOLLAR","EQ","09-Oct-2018","        265.65","        267.75","        279.90","        257.25","        262.00","        260.35","        270.50","      18875","             5105608.90","        385","      11239","         59.54"
"DOLLAR","EQ","10-Oct-2018","        260.35","        256.00","        275.90","        253.05","        273.00","        273.00","        272.43","       4348","             1184534.05","        209","       2626","         60.40"
"DOLLAR","EQ","11-Oct-2018","        273.00","        269.85","        269.85","        255.00","        264.00","        264.00","        263.19","      13174","             3467266.10","        527","       9132","         69.32"
"DOLLAR","EQ","12-Oct-2018","        264.00","        274.00","        280.00","        263.50","        270.00","        272.35","        273.71","       5074","             1388782.70","        283","       3944","         77.73"
"DOLLAR","EQ","15-Oct-2018","        272.35","        264.00","        285.90","        264.00","        272.00","        273.20","        277.83","       4831","             1342187.10","        238","       2402","         49.72"
"DOLLAR","EQ","16-Oct-2018","        273.20","        279.75","        298.00","        278.00","        292.50","        293.10","        291.45","      27834","             8112267.15","       1183","       9002","         32.34"
"DOLLAR","EQ","17-Oct-2018","        293.10","        300.00","        304.95","        288.95","        291.00","        292.55","        297.61","      19773","             5884558.00","       1021","      12537","         63.40"
"DOLLAR","EQ","19-Oct-2018","        292.55","        288.05","        292.85","        281.25","        291.00","        290.75","        285.94","       4740","             1355372.85","        279","       3578","         75.49"
"DOLLAR","EQ","22-Oct-2018","        290.75","        290.80","        293.15","        282.75","        290.00","        289.60","        288.58","       2500","              721459.85","        208","       1822","         72.88"
"DOLLAR","EQ","23-Oct-2018","        289.60","        290.00","        290.00","        273.30","        276.00","        279.50","        281.85","       1644","              463367.35","        190","        881","         53.59"
"DOLLAR","EQ","24-Oct-2018","        279.50","        289.40","        289.95","        280.00","        285.00","        283.85","        285.86","       2725","              778958.45","        187","       1795","         65.87"
"DOLLAR","EQ","25-Oct-2018","        283.85","        275.05","        295.00","        274.00","        295.00","        290.20","        289.83","      32859","             9523674.45","        285","      32301","         98.30"
"DOLLAR","EQ","26-Oct-2018","        290.20","        289.90","        295.00","        275.10","        293.00","        289.85","        288.14","      62098","            17892870.75","        780","      55515","         89.40"
"DOLLAR","EQ","29-Oct-2018","        289.85","        293.75","        294.95","        290.00","        290.10","        291.85","        291.57","       3159","              921074.45","        180","       2767","         87.59"
"DOLLAR","EQ","30-Oct-2018","        291.85","        292.50","        299.00","        287.20","        287.20","        289.90","        292.89","      11631","             3406647.70","        292","       5395","         46.38"
"DOLLAR","EQ","31-Oct-2018","        289.90","        290.05","        295.95","        290.00","        290.00","        291.90","        291.75","       2254","              657595.35","        106","       1493","         66.24"
"DOLLAR","EQ","01-Nov-2018","        291.90","        299.65","        299.65","        290.45","        297.70","        295.10","        295.59","       2837","              838578.15","        164","       2038","         71.84"
"DOLLAR","EQ","02-Nov-2018","        295.10","        299.05","        299.80","        289.00","        290.40","        291.85","        293.20","      11714","             3434496.75","        447","       8484","         72.43"
"DOLLAR","EQ","05-Nov-2018","        291.85","        299.65","        299.65","        287.30","        291.40","        294.75","        294.53","       2260","              665631.95","        190","       1416","         62.65"
"DOLLAR","EQ","06-Nov-2018","        294.75","        299.00","        299.00","        288.85","        295.00","        295.00","        294.40","       1086","              319716.85","        108","        831","         76.52"
"DOLLAR","EQ","07-Nov-2018","        295.00","        299.00","        299.00","        294.00","        298.00","        298.00","        298.10","       1003","              298989.85","         64","        876","         87.34"
