"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DPWIRES","SM","03-Sep-2018","         75.00","         74.00","         74.00","         74.00","         74.00","         74.00","         74.00","       1600","              118400.00","          1","       1600","        100.00"
"DPWIRES","SM","06-Sep-2018","         74.00","         74.00","         74.00","         72.50","         72.50","         72.50","         73.25","       3200","              234400.00","          2","       3200","        100.00"
"DPWIRES","SM","04-Oct-2018","         72.50","         68.00","         68.00","         68.00","         68.00","         68.00","         68.00","       1600","              108800.00","          1","       1600","        100.00"
"DPWIRES","SM","23-Oct-2018","         68.00","         69.00","         69.00","         69.00","         69.00","         69.00","         69.00","       1600","              110400.00","          1","       1600","        100.00"
"DPWIRES","SM","24-Oct-2018","         69.00","         71.00","         71.00","         71.00","         71.00","         71.00","         71.00","       1600","              113600.00","          1","       1600","        100.00"
"DPWIRES","SM","29-Oct-2018","         71.00","         70.00","         71.00","         70.00","         71.00","         71.00","         70.50","       3200","              225600.00","          2","       1600","         50.00"
"DPWIRES","SM","02-Nov-2018","         71.00","         75.00","         75.00","         75.00","         75.00","         75.00","         75.00","       1600","              120000.00","          1","       1600","        100.00"
"DPWIRES","SM","07-Nov-2018","         75.00","         77.00","         80.00","         76.00","         80.00","         79.50","         78.72","      12800","             1007600.00","          8","      11200","         87.50"
"DPWIRES","SM","09-Nov-2018","         79.50","         80.30","         81.00","         80.30","         81.00","         81.00","         80.77","       4800","              387680.00","          3","       4800","        100.00"
"DPWIRES","SM","14-Nov-2018","         81.00","         85.00","         85.00","         81.50","         81.50","         81.50","         83.58","      16000","             1337280.00","          9","      12800","         80.00"
"DPWIRES","SM","27-Nov-2018","         81.50","         78.90","         78.90","         78.90","         78.90","         78.90","         78.90","       1600","              126240.00","          1","       1600","        100.00"
"DPWIRES","SM","29-Nov-2018","         78.90","         79.50","         79.50","         77.00","         77.00","         77.00","         78.25","       3200","              250400.00","          2","       3200","        100.00"
"DPWIRES","SM","30-Nov-2018","         77.00","         78.00","         78.00","         78.00","         78.00","         78.00","         78.00","       1600","              124800.00","          1","       1600","        100.00"
"DPWIRES","SM","03-Dec-2018","         78.00","         80.00","         80.00","         80.00","         80.00","         80.00","         80.00","       1600","              128000.00","          1","       1600","        100.00"
"DPWIRES","SM","05-Dec-2018","         80.00","         78.05","         78.05","         78.00","         78.00","         78.00","         78.03","       3200","              249680.00","          2","       3200","        100.00"
"DPWIRES","SM","10-Dec-2018","         78.00","         73.00","         75.00","         73.00","         75.00","         75.00","         74.00","       3200","              236800.00","          2","       1600","         50.00"
"DPWIRES","SM","20-Dec-2018","         75.00","         75.00","         75.00","         75.00","         75.00","         75.00","         75.00","       1600","              120000.00","          1","       1600","        100.00"
"DPWIRES","SM","14-Jan-2019","         75.00","         77.00","         79.00","         77.00","         79.00","         77.60","         77.60","       8000","              620800.00","          3","       8000","        100.00"
"DPWIRES","SM","17-Jan-2019","         77.60","         75.00","         75.00","         75.00","         75.00","         75.00","         75.00","       1600","              120000.00","          1","       1600","        100.00"
"DPWIRES","SM","22-Jan-2019","         75.00","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1600","              112000.00","          1","       1600","        100.00"
"DPWIRES","SM","23-Jan-2019","         70.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","29-Jan-2019","         72.00","         76.95","         77.00","         70.10","         77.00","         77.00","         74.03","       6400","              473760.00","          4","       1600","         25.00"
"DPWIRES","SM","04-Feb-2019","         77.00","         75.00","         75.00","         75.00","         75.00","         75.00","         75.00","       1600","              120000.00","          1","       1600","        100.00"
"DPWIRES","SM","14-Feb-2019","         75.00","         76.50","         76.50","         76.50","         76.50","         76.50","         76.50","       6400","              489600.00","          1","       6400","        100.00"
"DPWIRES","SM","18-Feb-2019","         76.50","         76.50","         76.50","         76.50","         76.50","         76.50","         76.50","      16000","             1224000.00","          2","      16000","        100.00"
"DPWIRES","SM","11-Mar-2019","         76.50","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1600","              112000.00","          1","       1600","        100.00"
"DPWIRES","SM","12-Mar-2019","         70.00","         70.00","         72.00","         70.00","         72.00","         72.00","         71.00","       3200","              227200.00","          2","       3200","        100.00"
"DPWIRES","SM","04-Apr-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","11-Apr-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","16-Apr-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","24-Apr-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       3200","              230400.00","          2","       3200","        100.00"
"DPWIRES","SM","25-Apr-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","26-Apr-2019","         72.00","         70.05","         70.05","         70.05","         70.05","         70.05","         70.05","       1600","              112080.00","          1","       1600","        100.00"
"DPWIRES","SM","03-May-2019","         70.05","         70.00","         70.00","         70.00","         70.00","         70.00","         70.00","       1600","              112000.00","          1","       1600","        100.00"
"DPWIRES","SM","20-May-2019","         70.00","         71.00","         72.00","         69.00","         72.00","         72.00","         70.67","       4800","              339200.00","          3","       3200","         66.67"
"DPWIRES","SM","04-Jun-2019","         72.00","         71.05","         71.05","         70.00","         70.00","         70.00","         70.78","       6400","              452960.00","          4","       6400","        100.00"
"DPWIRES","SM","06-Jun-2019","         70.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","10-Jun-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","12-Jun-2019","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","         72.00","       1600","              115200.00","          1","       1600","        100.00"
"DPWIRES","SM","14-Jun-2019","         72.00","         68.00","         68.00","         68.00","         68.00","         68.00","         68.00","       1600","              108800.00","          1","       1600","        100.00"
"DPWIRES","SM","17-Jun-2019","         68.00","         68.50","         70.00","         68.50","         70.00","         70.00","         69.25","       3200","              221600.00","          2","       3200","        100.00"
"DPWIRES","SM","20-Jun-2019","         70.00","         68.00","         68.00","         68.00","         68.00","         68.00","         68.00","       1600","              108800.00","          1","       1600","        100.00"
