"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DQE","EQ","30-Aug-2018","          9.00","          8.95","          9.05","          8.60","          8.85","          8.60","          8.72","       6766","               59004.95","         29","       5420","         80.11"
"DQE","EQ","31-Aug-2018","          8.60","          8.40","          9.15","          8.40","          9.15","          9.00","          8.77","       7160","               62792.70","         38","       4162","         58.13"
"DQE","EQ","03-Sep-2018","          9.00","          9.15","          9.15","          8.70","          8.80","          8.80","          8.94","       3739","               33412.50","         17","       2219","         59.35"
"DQE","EQ","04-Sep-2018","          8.80","          9.00","          9.00","          8.50","          8.60","          8.55","          8.56","      12441","              106489.35","         43","       9914","         79.69"
"DQE","EQ","05-Sep-2018","          8.55","          8.50","          8.95","          8.50","          8.60","          8.55","          8.60","       8546","               73502.35","         31","       7679","         89.85"
"DQE","EQ","06-Sep-2018","          8.55","          8.60","          8.90","          8.50","          8.50","          8.55","          8.53","       7184","               61291.45","         30","       6513","         90.66"
"DQE","EQ","07-Sep-2018","          8.55","          8.50","          9.00","          8.50","          8.70","          8.65","          8.64","      12718","              109913.65","         41","      10739","         84.44"
"DQE","EQ","10-Sep-2018","          8.65","          8.95","          8.95","          8.55","          8.85","          8.60","          8.67","        805","                6981.15","         14","        597","         74.16"
"DQE","EQ","11-Sep-2018","          8.60","          8.10","          8.90","          8.10","          8.80","          8.75","          8.66","       5907","               51142.70","         35","       4389","         74.30"
"DQE","EQ","12-Sep-2018","          8.75","          8.80","          8.95","          8.00","          8.40","          8.40","          8.27","       7126","               58930.75","         29","       5809","         81.52"
"DQE","EQ","14-Sep-2018","          8.40","          8.25","          8.45","          8.20","          8.25","          8.25","          8.26","       7382","               60965.75","         20","       7232","         97.97"
"DQE","EQ","17-Sep-2018","          8.25","          8.25","          8.55","          8.25","          8.50","          8.50","          8.41","       8844","               74339.40","         26","       5711","         64.57"
"DQE","EQ","18-Sep-2018","          8.50","          8.65","          8.65","          8.10","          8.20","          8.20","          8.24","       8926","               73519.95","         30","       7756","         86.89"
"DQE","EQ","19-Sep-2018","          8.20","          8.10","          8.85","          8.05","          8.20","          8.20","          8.19","       8734","               71546.95","         37","       6905","         79.06"
"DQE","EQ","21-Sep-2018","          8.20","          8.00","          8.10","          8.00","          8.10","          8.10","          8.05","       6338","               51051.10","         27","       5338","         84.22"
"DQE","EQ","24-Sep-2018","          8.10","          8.00","          8.45","          7.45","          7.85","          7.70","          7.69","      15848","              121851.90","         73","      14135","         89.19"
"DQE","EQ","25-Sep-2018","          7.70","          7.45","          7.85","          7.40","          7.80","          7.70","          7.55","       5228","               39481.60","         24","       4895","         93.63"
"DQE","EQ","26-Sep-2018","          7.70","          7.85","          7.90","          7.40","          7.65","          7.45","          7.63","      11177","               85238.40","         40","       9854","         88.16"
"DQE","EQ","27-Sep-2018","          7.45","          7.30","          7.60","          7.30","          7.50","          7.50","          7.51","       4874","               36589.65","         47","       2939","         60.30"
"DQE","EQ","28-Sep-2018","          7.50","          7.10","          7.60","          7.00","          7.20","          7.15","          7.11","       6796","               48333.40","         39","       5396","         79.40"
"DQE","EQ","01-Oct-2018","          7.15","          6.75","          7.15","          6.45","          6.50","          6.50","          6.47","      13638","               88271.40","         53","      13397","         98.23"
"DQE","EQ","03-Oct-2018","          6.50","          6.60","          7.15","          6.60","          7.10","          7.10","          7.00","       8706","               60970.90","         47","       8603","         98.82"
"DQE","EQ","04-Oct-2018","          7.10","          7.00","          7.60","          7.00","          7.30","          7.40","          7.27","      12201","               88753.30","         27","      11371","         93.20"
"DQE","EQ","05-Oct-2018","          7.40","          6.80","          7.60","          6.80","          7.30","          7.30","          7.19","       7386","               53122.30","         29","       7242","         98.05"
"DQE","EQ","08-Oct-2018","          7.30","          7.30","          7.60","          6.40","          6.60","          7.25","          7.30","       4916","               35897.85","         49","       4560","         92.76"
"DQE","EQ","09-Oct-2018","          7.25","          8.60","          8.60","          6.20","          6.80","          6.40","          6.77","      22241","              150503.50","        124","      21589","         97.07"
"DQE","EQ","10-Oct-2018","          6.40","          6.80","          7.60","          6.70","          7.25","          6.80","          7.01","      18720","              131298.20","         70","      11396","         60.88"
"DQE","EQ","11-Oct-2018","          6.80","          6.60","          6.90","          6.35","          6.60","          6.60","          6.60","      12781","               84311.70","         40","      11425","         89.39"
"DQE","EQ","12-Oct-2018","          6.60","          6.65","          7.30","          6.65","          6.90","          6.95","          6.98","      14024","               97861.80","         71","       9725","         69.35"
"DQE","EQ","15-Oct-2018","          6.95","          6.90","          8.30","          6.90","          8.30","          8.30","          8.02","      62300","              499517.75","        162","      36214","         58.13"
"DQE","EQ","16-Oct-2018","          8.30","          9.75","          9.75","          7.55","          7.60","          7.75","          8.55","      86797","              742384.60","        301","      66277","         76.36"
"DQE","EQ","17-Oct-2018","          7.75","          8.10","          8.20","          7.25","          7.45","          7.30","          7.55","      29983","              226233.60","        153","      23546","         78.53"
"DQE","EQ","19-Oct-2018","          7.30","          7.25","          7.70","          6.75","          7.50","          7.10","          7.05","       9561","               67431.10","         54","       8950","         93.61"
"DQE","EQ","22-Oct-2018","          7.10","          7.50","          7.50","          7.00","          7.40","          7.40","          7.21","        613","                4419.20","         21","        357","         58.24"
"DQE","EQ","23-Oct-2018","          7.40","          7.20","          7.40","          6.85","          7.30","          7.25","          7.04","       2147","               15113.00","         30","       1623","         75.59"
"DQE","EQ","24-Oct-2018","          7.25","          7.20","          8.50","          6.75","          7.15","          6.90","          7.23","      15417","              111398.70","         80","       7581","         49.17"
"DQE","EQ","25-Oct-2018","          6.90","          7.15","          7.15","          6.20","          6.60","          6.70","          6.60","      10573","               69779.50","         73","       7592","         71.81"
"DQE","EQ","26-Oct-2018","          6.70","          6.80","          6.90","          6.30","          6.65","          6.60","          6.74","       3105","               20934.15","         35","       2763","         88.99"
"DQE","EQ","29-Oct-2018","          6.60","          6.60","          7.80","          6.60","          6.85","          6.85","          6.94","       5406","               37542.70","         40","       4415","         81.67"
"DQE","EQ","30-Oct-2018","          6.85","          6.80","          7.30","          6.80","          6.80","          6.80","          6.90","       3265","               22512.90","         33","       2903","         88.91"
"DQE","EQ","31-Oct-2018","          6.80","          6.80","          7.00","          6.60","          6.75","          6.80","          6.82","       3112","               21217.75","         24","       3029","         97.33"
"DQE","EQ","01-Nov-2018","          6.80","          6.75","          7.30","          6.20","          7.15","          7.05","          6.88","      29981","              206373.00","        134","      17280","         57.64"
"DQE","EQ","02-Nov-2018","          7.05","          6.90","          7.55","          6.90","          7.15","          7.25","          7.24","       5930","               42913.35","         45","       5229","         88.18"
"DQE","EQ","05-Nov-2018","          7.25","          7.25","          7.40","          6.85","          6.85","          7.05","          7.05","       9030","               63685.95","         49","       7764","         85.98"
"DQE","EQ","06-Nov-2018","          7.05","          7.10","          7.30","          6.85","          6.95","          6.95","          6.94","       9147","               63484.60","         55","       7795","         85.22"
"DQE","EQ","07-Nov-2018","          6.95","          6.95","          7.20","          6.75","          6.80","          6.90","          6.90","       2353","               16227.25","         21","       1745","         74.16"
"DQE","EQ","09-Nov-2018","          6.90","          6.80","          7.30","          6.80","          7.30","          7.25","          7.06","       8265","               58390.50","         37","       6085","         73.62"
"DQE","EQ","12-Nov-2018","          7.25","          7.15","          7.70","          6.85","          7.05","          6.85","          7.12","      38845","              276502.40","        137","      27522","         70.85"
"DQE","EQ","13-Nov-2018","          6.85","          6.95","          7.25","          6.90","          7.10","          6.95","          7.10","      17210","              122177.45","         72","      14342","         83.34"
"DQE","EQ","14-Nov-2018","          6.95","          7.10","          7.20","          7.00","          7.00","          7.00","          7.06","       9131","               64488.50","         40","       9131","        100.00"
"DQE","EQ","15-Nov-2018","          7.00","          6.90","          7.05","          6.85","          7.05","          7.05","          7.01","       4712","               33025.55","         17","       4705","         99.85"
"DQE","EQ","16-Nov-2018","          7.05","          7.00","          7.25","          6.85","          7.00","          7.00","          7.10","       7799","               55360.55","         44","       7119","         91.28"
"DQE","EQ","19-Nov-2018","          7.00","          7.10","          7.30","          7.00","          7.10","          7.10","          7.08","       5470","               38747.00","         20","       5470","        100.00"
"DQE","EQ","20-Nov-2018","          7.10","          7.45","          7.45","          6.80","          7.05","          7.05","          7.08","      19256","              136297.35","         70","      14039","         72.91"
"DQE","EQ","21-Nov-2018","          7.05","          7.20","          7.40","          7.15","          7.15","          7.15","          7.28","      14732","              107244.20","         24","      13932","         94.57"
"DQE","EQ","22-Nov-2018","          7.15","          7.40","          7.40","          7.00","          7.05","          7.05","          7.20","      15082","              108551.80","         18","      13000","         86.20"
"DQE","EQ","26-Nov-2018","          7.05","          6.90","          7.50","          6.30","          7.00","          7.00","          6.91","       2055","               14194.10","         41","       1699","         82.68"
"DQE","EQ","27-Nov-2018","          7.00","          7.10","          7.40","          7.00","          7.40","          7.40","          7.07","       9725","               68782.80","         16","       9725","        100.00"
"DQE","EQ","28-Nov-2018","          7.40","          7.00","          7.20","          6.85","          7.00","          7.00","          6.98","       7648","               53377.15","         32","       7639","         99.88"
"DQE","EQ","29-Nov-2018","          7.00","          6.85","          7.10","          6.30","          6.95","          6.95","          6.96","      22004","              153117.00","         41","      21807","         99.10"
"DQE","EQ","30-Nov-2018","          6.95","          7.10","          7.10","          6.85","          7.00","          7.00","          7.02","       3093","               21703.55","         15","       2991","         96.70"
"DQE","EQ","03-Dec-2018","          7.00","          6.90","          7.20","          6.75","          7.10","          7.10","          7.06","       6716","               47408.00","         30","       5818","         86.63"
"DQE","EQ","04-Dec-2018","          7.10","          7.00","          7.70","          6.80","          7.15","          7.20","          7.33","      16347","              119887.95","         66","      13053","         79.85"
"DQE","EQ","05-Dec-2018","          7.20","          7.05","          7.30","          6.90","          7.20","          7.10","          7.02","      12064","               84671.30","         51","       9980","         82.73"
