"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DREDGECORP","EQ","30-Aug-2018","        469.35","        471.00","        479.90","        467.50","        468.90","        469.20","        473.46","     130954","            62001988.65","       3272","      23471","         17.92"
"DREDGECORP","EQ","31-Aug-2018","        469.20","        470.05","        479.40","        465.00","        469.00","        469.75","        472.56","     132140","            62443833.20","       3744","      30787","         23.30"
"DREDGECORP","EQ","03-Sep-2018","        469.75","        471.05","        474.75","        465.00","        465.45","        466.65","        468.82","      81639","            38274248.55","       2596","      28635","         35.08"
"DREDGECORP","EQ","04-Sep-2018","        466.65","        468.00","        469.50","        450.00","        454.80","        453.60","        460.17","      96237","            44285269.80","       3293","      33250","         34.55"
"DREDGECORP","EQ","05-Sep-2018","        453.60","        453.60","        458.05","        439.00","        446.90","        446.15","        445.98","      99303","            44286703.80","       3807","      24228","         24.40"
"DREDGECORP","EQ","06-Sep-2018","        446.15","        448.15","        450.50","        438.75","        439.00","        440.70","        444.17","      67794","            30112206.40","       2678","      25779","         38.03"
"DREDGECORP","EQ","07-Sep-2018","        440.70","        442.65","        467.50","        438.10","        452.50","        454.65","        453.97","     293378","           133185387.40","       8527","      57006","         19.43"
"DREDGECORP","EQ","10-Sep-2018","        454.65","        458.20","        477.50","        455.00","        469.00","        470.60","        466.23","     393779","           183592773.15","       9978","      80720","         20.50"
"DREDGECORP","EQ","11-Sep-2018","        470.60","        516.45","        524.70","        503.00","        508.25","        510.85","        512.59","    2546821","          1305470698.65","      69511","     308961","         12.13"
"DREDGECORP","EQ","12-Sep-2018","        510.85","        505.10","        507.70","        477.50","        485.05","        486.05","        489.39","     414623","           202910520.75","      12179","      94676","         22.83"
"DREDGECORP","EQ","14-Sep-2018","        486.05","        489.00","        494.80","        481.40","        482.10","        483.00","        486.74","     171332","            83394381.85","       5819","      39151","         22.85"
"DREDGECORP","EQ","17-Sep-2018","        483.00","        483.00","        483.95","        471.40","        474.00","        474.70","        477.36","     149594","            71409907.55","       5558","      39183","         26.19"
"DREDGECORP","EQ","18-Sep-2018","        474.70","        478.00","        488.20","        465.75","        470.00","        468.90","        478.78","     189526","            90741174.95","       5708","      40881","         21.57"
"DREDGECORP","EQ","19-Sep-2018","        468.90","        473.00","        473.80","        451.10","        458.40","        456.70","        461.16","     107057","            49370089.35","       4020","      35728","         33.37"
"DREDGECORP","EQ","21-Sep-2018","        456.70","        462.00","        462.90","        410.00","        421.50","        421.40","        435.60","     233447","           101688384.35","       7685","      77699","         33.28"
"DREDGECORP","EQ","24-Sep-2018","        421.40","        422.20","        426.75","        367.00","        384.70","        388.70","        401.68","     201067","            80763682.65","       7185","      65686","         32.67"
"DREDGECORP","EQ","25-Sep-2018","        388.70","        389.35","        389.35","        361.00","        375.60","        374.70","        374.57","     205258","            76882735.85","       7906","      49994","         24.36"
"DREDGECORP","EQ","26-Sep-2018","        374.70","        377.95","        386.75","        374.45","        377.60","        377.95","        379.19","     176038","            66752667.30","       6649","      42825","         24.33"
"DREDGECORP","EQ","27-Sep-2018","        377.95","        377.95","        379.50","        360.00","        365.00","        363.85","        369.05","     117080","            43208337.45","       4275","      28302","         24.17"
"DREDGECORP","EQ","28-Sep-2018","        363.85","        366.50","        369.95","        330.05","        332.00","        334.10","        345.73","     173300","            59915178.40","       7178","      59690","         34.44"
"DREDGECORP","EQ","01-Oct-2018","        334.10","        331.20","        333.70","        307.00","        320.00","        320.05","        316.93","     204126","            64693296.85","       6756","      56401","         27.63"
"DREDGECORP","EQ","03-Oct-2018","        320.05","        319.00","        339.80","        311.55","        327.80","        328.70","        327.19","     217682","            71222293.50","       6547","      49832","         22.89"
"DREDGECORP","EQ","04-Oct-2018","        328.70","        318.00","        335.00","        313.00","        321.50","        323.15","        322.83","     149097","            48132813.40","       4603","      28681","         19.24"
"DREDGECORP","EQ","05-Oct-2018","        323.15","        325.75","        325.75","        306.15","        307.25","        309.80","        315.74","      88439","            27923433.15","       3786","      29303","         33.13"
"DREDGECORP","EQ","08-Oct-2018","        309.80","        308.15","        315.80","        293.40","        299.00","        299.30","        304.93","     115192","            35125802.15","       4036","      40944","         35.54"
"DREDGECORP","EQ","09-Oct-2018","        299.30","        300.15","        306.90","        286.30","        287.60","        288.40","        294.16","     122070","            35908156.35","       4122","      33442","         27.40"
"DREDGECORP","EQ","10-Oct-2018","        288.40","        290.15","        317.20","        289.00","        317.20","        317.20","        307.95","     292464","            90063338.60","       7567","      61313","         20.96"
"DREDGECORP","EQ","11-Oct-2018","        317.20","        295.00","        344.25","        293.30","        338.40","        340.15","        328.62","     805328","           264645573.10","      19286","      88694","         11.01"
"DREDGECORP","EQ","12-Oct-2018","        340.15","        340.25","        353.00","        334.15","        336.00","        337.40","        343.50","     373572","           128322159.65","      11789","      82219","         22.01"
"DREDGECORP","EQ","15-Oct-2018","        337.40","        342.70","        348.60","        335.25","        340.90","        340.95","        342.16","     162422","            55573781.00","       5370","      44236","         27.24"
"DREDGECORP","EQ","16-Oct-2018","        340.95","        343.50","        360.70","        340.10","        346.90","        346.75","        352.04","     252411","            88858079.75","       7352","      54915","         21.76"
"DREDGECORP","EQ","17-Oct-2018","        346.75","        350.00","        354.70","        327.35","        333.00","        330.00","        340.72","      85390","            29093744.00","       3352","      29917","         35.04"
"DREDGECORP","EQ","19-Oct-2018","        330.00","        327.70","        329.45","        314.20","        324.00","        323.85","        322.30","      69780","            22489871.55","       3553","      16890","         24.20"
"DREDGECORP","EQ","22-Oct-2018","        323.85","        326.00","        329.05","        310.00","        310.20","        311.70","        316.64","      67096","            21245469.90","       2876","      23160","         34.52"
"DREDGECORP","EQ","23-Oct-2018","        311.70","        308.00","        320.75","        305.60","        312.50","        310.90","        312.96","      85881","            26877213.40","       3660","      23924","         27.86"
"DREDGECORP","EQ","24-Oct-2018","        310.90","        317.75","        321.00","        312.25","        315.90","        314.95","        316.07","      86624","            27379173.60","       3825","      17561","         20.27"
"DREDGECORP","EQ","25-Oct-2018","        314.95","        306.95","        311.95","        301.35","        304.30","        303.35","        306.37","      64035","            19618210.75","       2941","      22027","         34.40"
"DREDGECORP","EQ","26-Oct-2018","        303.35","        303.00","        309.95","        296.80","        299.00","        300.00","        302.70","      94452","            28590891.95","       3660","      30653","         32.45"
"DREDGECORP","EQ","29-Oct-2018","        300.00","        305.00","        315.45","        300.00","        310.00","        309.35","        309.86","     184388","            57135179.95","       6185","      35181","         19.08"
"DREDGECORP","EQ","30-Oct-2018","        309.35","        309.30","        317.50","        306.55","        308.00","        308.50","        311.37","     105098","            32724267.10","       4219","      30872","         29.37"
"DREDGECORP","EQ","31-Oct-2018","        308.50","        308.40","        326.50","        306.30","        316.00","        315.25","        316.70","     206187","            65299520.60","       6848","      43431","         21.06"
"DREDGECORP","EQ","01-Nov-2018","        315.25","        317.65","        331.00","        316.00","        325.05","        325.25","        324.06","     217397","            70449457.85","       6583","      52965","         24.36"
"DREDGECORP","EQ","02-Nov-2018","        325.25","        328.10","        339.20","        322.05","        325.65","        325.50","        330.50","     185569","            61329695.95","       5626","      51334","         27.66"
"DREDGECORP","EQ","05-Nov-2018","        325.50","        326.00","        333.00","        321.00","        331.20","        331.70","        328.39","     160569","            52729161.70","       4440","      42847","         26.68"
"DREDGECORP","EQ","06-Nov-2018","        331.70","        333.10","        337.90","        327.00","        330.80","        330.80","        332.94","     139846","            46559788.05","       3866","      35485","         25.37"
"DREDGECORP","EQ","07-Nov-2018","        330.80","        333.35","        354.10","        332.20","        351.00","        349.20","        346.42","     266353","            92269841.40","       5641","      82686","         31.04"
"DREDGECORP","EQ","09-Nov-2018","        349.20","        383.00","        384.10","        368.00","        384.10","        384.10","        377.76","     516571","           195141651.75","       9374","     231862","         44.88"
"DREDGECORP","EQ","12-Nov-2018","        384.10","        395.00","        401.70","        362.65","        369.00","        370.10","        381.86","     962147","           367401532.85","      26295","     235344","         24.46"
"DREDGECORP","EQ","13-Nov-2018","        370.10","        369.00","        391.80","        363.05","        383.15","        383.75","        380.82","     568146","           216362637.90","      16453","     107158","         18.86"
"DREDGECORP","EQ","14-Nov-2018","        383.75","        382.00","        383.95","        371.05","        371.30","        374.40","        376.09","     130836","            49205895.70","       4153","      41724","         31.89"
"DREDGECORP","EQ","15-Nov-2018","        374.40","        370.00","        374.30","        366.20","        370.00","        368.60","        369.44","      68513","            25311274.15","       2645","      19184","         28.00"
"DREDGECORP","EQ","16-Nov-2018","        368.60","        368.60","        373.50","        354.50","        356.00","        357.95","        363.15","      96322","            34979377.85","       4273","      30192","         31.34"
"DREDGECORP","EQ","19-Nov-2018","        357.95","        357.00","        360.70","        346.25","        349.25","        349.65","        350.78","     100708","            35326072.00","       3885","      34179","         33.94"
"DREDGECORP","EQ","20-Nov-2018","        349.65","        348.65","        384.60","        346.30","        373.10","        376.80","        373.92","    1020916","           381740519.90","      25964","     105990","         10.38"
"DREDGECORP","EQ","21-Nov-2018","        376.80","        378.65","        387.10","        375.85","        376.40","        378.50","        381.27","     337156","           128549097.25","       9916","      66318","         19.67"
"DREDGECORP","EQ","22-Nov-2018","        378.50","        376.95","        377.00","        361.10","        362.70","        363.25","        366.39","     133288","            48834861.05","       4701","      37290","         27.98"
"DREDGECORP","EQ","26-Nov-2018","        363.25","        365.80","        368.00","        347.00","        351.70","        352.20","        353.41","      92355","            32639531.00","       3858","      32090","         34.75"
"DREDGECORP","EQ","27-Nov-2018","        352.20","        350.20","        365.90","        350.20","        357.40","        357.70","        358.00","     110757","            39651320.70","       4191","      20743","         18.73"
"DREDGECORP","EQ","28-Nov-2018","        357.70","        369.85","        379.80","        365.00","        369.00","        370.40","        373.60","     438589","           163855485.25","      14967","      88062","         20.08"
"DREDGECORP","EQ","29-Nov-2018","        370.40","        371.90","        375.75","        359.30","        360.60","        361.45","        363.57","      89935","            32697224.70","       3346","      27484","         30.56"
