"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ELECON","EQ","30-Aug-2018","         63.20","         63.00","         65.40","         63.00","         64.40","         64.40","         64.62","      87239","             5637149.05","        854","      42610","         48.84"
"ELECON","EQ","31-Aug-2018","         64.40","         64.50","         64.85","         63.65","         63.85","         64.25","         64.21","      51931","             3334365.20","        643","      26595","         51.21"
"ELECON","EQ","03-Sep-2018","         64.25","         64.85","         65.90","         64.25","         64.40","         64.75","         65.05","     127941","             8323087.70","        854","      82121","         64.19"
"ELECON","EQ","04-Sep-2018","         64.75","         64.35","         65.25","         61.90","         62.30","         62.25","         62.86","     199921","            12567234.95","       1301","     128101","         64.08"
"ELECON","EQ","05-Sep-2018","         62.25","         61.55","         62.85","         61.05","         62.80","         62.20","         61.67","      71829","             4429375.85","        622","      40161","         55.91"
"ELECON","EQ","06-Sep-2018","         62.20","         63.15","         63.15","         61.70","         62.00","         61.95","         62.24","      63619","             3959465.65","        575","      45980","         72.27"
"ELECON","EQ","07-Sep-2018","         61.95","         61.95","         63.95","         61.60","         63.05","         63.25","         63.15","      69292","             4376066.25","        643","      42164","         60.85"
"ELECON","EQ","10-Sep-2018","         63.25","         63.30","         64.50","         62.00","         62.95","         63.15","         63.32","      90919","             5756920.40","        877","      59366","         65.30"
"ELECON","EQ","11-Sep-2018","         63.15","         63.05","         63.60","         62.00","         62.00","         62.10","         62.66","      49396","             3095074.50","        653","      25749","         52.13"
"ELECON","EQ","12-Sep-2018","         62.10","         62.60","         62.60","         61.00","         61.10","         61.35","         61.60","      48947","             3015343.05","        771","      34053","         69.57"
"ELECON","EQ","14-Sep-2018","         61.35","         61.60","         62.50","         61.20","         61.70","         61.80","         61.77","      61763","             3815364.80","        551","      38332","         62.06"
"ELECON","EQ","17-Sep-2018","         61.80","         61.20","         65.05","         61.20","         63.50","         63.45","         63.33","     149613","             9474437.45","       1244","      92959","         62.13"
"ELECON","EQ","18-Sep-2018","         63.45","         64.25","         64.80","         61.90","         63.70","         63.55","         63.86","     173344","            11069895.40","       1441","      90488","         52.20"
"ELECON","EQ","19-Sep-2018","         63.55","         63.85","         63.85","         61.80","         62.35","         62.00","         62.63","     120389","             7539478.25","       1540","      90567","         75.23"
"ELECON","EQ","21-Sep-2018","         62.00","         62.15","         62.20","         60.20","         60.60","         60.75","         61.30","     139499","             8551877.10","        884","     100064","         71.73"
"ELECON","EQ","24-Sep-2018","         60.75","         60.60","         61.05","         56.05","         56.85","         56.65","         57.43","     108108","             6208644.10","        999","      74728","         69.12"
"ELECON","EQ","25-Sep-2018","         56.65","         57.00","         57.50","         55.35","         55.60","         55.70","         56.38","     133024","             7499422.70","       1034","      98780","         74.26"
"ELECON","EQ","26-Sep-2018","         55.70","         56.25","         57.20","         55.00","         55.80","         55.60","         55.81","     164064","             9156736.35","       1228","     116089","         70.76"
"ELECON","EQ","27-Sep-2018","         55.60","         55.40","         56.45","         54.70","         55.00","         54.95","         55.20","      46692","             2577238.20","        569","      31416","         67.28"
