"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ERFLNCDI","N5","30-Aug-2018","        974.40","        974.40","        974.40","        974.40","        974.40","        974.40","        974.40","         33","               32155.20","          3","         33","        100.00"
"ERFLNCDI","N4","31-Aug-2018","        996.50","        996.00","        999.00","        971.15","        995.00","        995.00","        992.93","         88","               87378.20","          5","         88","        100.00"
"ERFLNCDI","N5","31-Aug-2018","        974.40","        974.00","        974.00","        968.02","        968.02","        970.65","        971.49","         20","               19429.85","          4","         15","         75.00"
"ERFLNCDI","N6","31-Aug-2018","       1002.00","       1004.00","       1005.50","       1000.00","       1000.01","       1000.01","       1003.93","        458","              459802.20","          7","        458","        100.00"
"ERFLNCDI","N1","03-Sep-2018","        987.00","        918.01","       1050.00","        918.01","       1050.00","       1050.00","        950.37","        136","              129250.50","          4","         95","         69.85"
"ERFLNCDI","N2","03-Sep-2018","        975.00","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","         10","                9900.00","          1","         10","        100.00"
"ERFLNCDI","N4","03-Sep-2018","        995.00","       1000.00","       1000.00","        995.00","        995.00","        995.00","        996.44","        174","              173380.00","         11","        174","        100.00"
"ERFLNCDI","N5","03-Sep-2018","        970.65","        974.00","        974.00","        970.00","        971.00","        972.00","        972.68","        121","              117694.00","         16","        121","        100.00"
"ERFLNCDI","N6","03-Sep-2018","       1000.01","       1001.70","       1007.45","       1001.70","       1002.00","       1002.00","       1003.67","         82","               82300.65","          3","         82","        100.00"
"ERFLNCDI","N5","04-Sep-2018","        972.00","        978.64","        978.64","        978.49","        978.49","        978.49","        978.50","         11","               10763.54","          2","         11","        100.00"
"ERFLNCDI","N4","05-Sep-2018","        995.00","        995.00","        995.00","        995.00","        995.00","        995.00","        995.00","         30","               29850.00","          1","         30","        100.00"
"ERFLNCDI","N5","05-Sep-2018","        978.49","        974.45","        975.40","        974.45","        975.40","        975.40","        974.94","        302","              294430.80","         17","        302","        100.00"
"ERFLNCDI","N6","05-Sep-2018","       1002.00","       1002.00","       1002.00","       1001.99","       1002.00","       1001.99","       1002.00","         50","               50099.80","          6","         50","        100.00"
"ERFLNCDI","N4","06-Sep-2018","        995.00","        992.40","        995.00","        988.05","        988.05","        988.05","        992.21","        115","              114103.75","          3","        115","        100.00"
"ERFLNCDI","N5","06-Sep-2018","        975.40","        977.40","        977.40","        977.40","        977.40","        977.40","        977.40","         10","                9774.00","          1","         10","        100.00"
"ERFLNCDI","N2","07-Sep-2018","        990.00","        985.00","        985.00","        985.00","        985.00","        985.00","        985.00","         75","               73875.00","          2","         75","        100.00"
"ERFLNCDI","N5","07-Sep-2018","        977.40","        975.00","        977.00","        975.00","        977.00","        977.00","        976.03","        412","              402124.00","          6","        412","        100.00"
"ERFLNCDI","N4","10-Sep-2018","        988.05","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","         10","                9900.00","          1","         10","        100.00"
"ERFLNCDI","N5","10-Sep-2018","        977.00","        975.00","        975.00","        967.02","        967.02","        967.02","        974.27","        110","              107170.20","          3","        110","        100.00"
"ERFLNCDI","N6","10-Sep-2018","       1001.99","       1000.00","       1009.45","       1000.00","       1009.45","       1002.22","       1002.23","        117","              117260.65","          5","        117","        100.00"
"ERFLNCDI","N4","11-Sep-2018","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","          1","                 990.00","          1","          1","        100.00"
"ERFLNCDI","N5","11-Sep-2018","        967.02","        970.00","        970.00","        970.00","        970.00","        970.00","        970.00","         40","               38800.00","          2","         40","        100.00"
"ERFLNCDI","N6","11-Sep-2018","       1002.22","       1004.45","       1010.00","       1004.45","       1008.00","       1008.00","       1008.03","        435","              438494.65","         15","        410","         94.25"
"ERFLNCDI","N5","12-Sep-2018","        970.00","        975.00","        975.00","        975.00","        975.00","        975.00","        975.00","        200","              195000.00","          3","        200","        100.00"
"ERFLNCDI","N1","14-Sep-2018","       1050.00","        987.00","        990.00","        979.90","        988.00","        988.00","        984.72","        105","              103396.00","          5","         75","         71.43"
"ERFLNCDI","N2","14-Sep-2018","        985.00","        985.00","        985.00","        985.00","        985.00","        985.00","        985.00","         10","                9850.00","          1","         10","        100.00"
"ERFLNCDI","N5","14-Sep-2018","        975.00","        978.00","        978.00","        978.00","        978.00","        978.00","        978.00","         10","                9780.00","          1","         10","        100.00"
"ERFLNCDI","N2","17-Sep-2018","        985.00","        989.05","        989.10","        933.20","        989.05","        989.05","        975.29","        146","              142392.50","          9","        110","         75.34"
"ERFLNCDI","N3","17-Sep-2018","        953.56","        972.00","        972.00","        967.01","        967.01","        967.01","        967.56","         91","               88047.81","          4","         91","        100.00"
"ERFLNCDI","N5","17-Sep-2018","        978.00","        974.30","        979.40","        974.00","        978.60","        978.60","        974.78","         98","               95528.50","         21","         98","        100.00"
"ERFLNCDI","N6","17-Sep-2018","       1008.00","       1003.00","       1003.00","       1003.00","       1003.00","       1003.00","       1003.00","        600","              601800.00","         12","        600","        100.00"
"ERFLNCDI","N3","18-Sep-2018","        967.01","        969.00","        969.00","        968.00","        968.00","        968.00","        968.01","        440","              425925.00","          4","        440","        100.00"
"ERFLNCDI","N5","18-Sep-2018","        978.60","        978.80","        978.80","        978.80","        978.80","        978.80","        978.80","         20","               19576.00","          1","         20","        100.00"
"ERFLNCDI","N6","18-Sep-2018","       1003.00","       1003.00","       1003.00","       1003.00","       1003.00","       1003.00","       1003.00","        600","              601800.00","         16","        600","        100.00"
"ERFLNCDI","N3","19-Sep-2018","        968.00","        975.00","        975.00","        965.00","        965.00","        965.00","        971.93","        800","              777546.00","          9","        800","        100.00"
"ERFLNCDI","N4","19-Sep-2018","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","         19","               18810.00","          1","         19","        100.00"
"ERFLNCDI","N5","19-Sep-2018","        978.80","        974.02","        975.20","        970.00","        975.20","        975.20","        973.76","        136","              132431.22","          8","        136","        100.00"
"ERFLNCDI","N6","19-Sep-2018","       1003.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","       1000.00","         55","               55000.00","          1","         55","        100.00"
"ERFLNCDI","N3","21-Sep-2018","        965.00","        968.00","        968.00","        965.00","        965.00","        965.00","        966.93","         28","               27074.00","          2","         28","        100.00"
"ERFLNCDI","N4","21-Sep-2018","        990.00","        990.00","        990.00","        980.00","        980.00","        980.00","        986.78","         81","               79929.05","          5","         81","        100.00"
"ERFLNCDI","N5","21-Sep-2018","        975.20","        974.25","        974.25","        936.00","        936.00","        946.73","        952.66","        197","              187674.75","          8","        197","        100.00"
"ERFLNCDI","N6","21-Sep-2018","       1000.00","        992.00","        992.00","        962.22","        963.05","        963.05","        976.58","        155","              151370.25","          8","        130","         83.87"
"ERFLNCDI","N2","24-Sep-2018","        989.05","        945.10","        945.10","        945.05","        945.05","        945.05","        945.09","        113","              106795.65","          3","        113","        100.00"
"ERFLNCDI","N4","24-Sep-2018","        980.00","        961.00","        961.00","        961.00","        961.00","        961.00","        961.00","          8","                7688.00","          1","          8","        100.00"
"ERFLNCDI","N5","24-Sep-2018","        946.73","        969.00","        969.99","        925.00","        925.00","        925.00","        947.51","         93","               88118.86","          5","         79","         84.95"
"ERFLNCDI","N6","24-Sep-2018","        963.05","        935.35","        935.35","        935.35","        935.35","        935.35","        935.35","         49","               45832.15","          1","         49","        100.00"
"ERFLNCDI","N5","25-Sep-2018","        925.00","        954.00","        954.00","        954.00","        954.00","        954.00","        954.00","      10000","             9540000.00","          2","      10000","        100.00"
"ERFLNCDI","N3","26-Sep-2018","        965.00","        980.00","        980.00","        975.00","        975.00","        975.00","        977.50","         10","                9775.00","          2","         10","        100.00"
"ERFLNCDI","N5","26-Sep-2018","        954.00","        949.90","        949.90","        940.00","        940.00","        940.00","        948.91","        100","               94891.00","          6","        100","        100.00"
"ERFLNCDI","N4","27-Sep-2018","        961.00","        990.00","        990.00","        910.00","        925.00","        925.00","        916.40","       1120","             1026366.75","         23","       1010","         90.18"
"ERFLNCDI","N5","27-Sep-2018","        940.00","        914.00","        950.00","        913.00","        950.00","        950.00","        919.42","         60","               55165.00","          3","         60","        100.00"
"ERFLNCDI","N6","27-Sep-2018","        935.35","        984.20","        984.20","        984.20","        984.20","        984.20","        984.20","         10","                9842.00","          1","         10","        100.00"
"ERFLNCDI","N2","28-Sep-2018","        945.05","        945.05","        945.05","        942.00","        942.00","        942.00","        944.17","         69","               65147.45","          3","         69","        100.00"
"ERFLNCDI","N3","28-Sep-2018","        975.00","        980.00","        980.00","        980.00","        980.00","        980.00","        980.00","         84","               82320.00","          1","         84","        100.00"
"ERFLNCDI","N4","28-Sep-2018","        925.00","        913.00","        913.00","        824.00","        899.00","        899.00","        893.11","        512","              457274.40","         22","        500","         97.66"
"ERFLNCDI","N5","28-Sep-2018","        950.00","        939.80","        939.80","        939.80","        939.80","        939.80","        939.80","         51","               47929.80","          3","         51","        100.00"
"ERFLNCDI","N6","28-Sep-2018","        984.20","        925.00","        925.00","        923.05","        923.05","        923.05","        923.44","         50","               46172.00","          5","         50","        100.00"
"ERFLNCDI","N2","01-Oct-2018","        942.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","         20","               20400.00","          1","         20","        100.00"
"ERFLNCDI","N3","01-Oct-2018","        980.00","        960.00","        968.50","        960.00","        960.00","        960.00","        961.12","        227","              218175.00","          5","        227","        100.00"
"ERFLNCDI","N5","01-Oct-2018","        939.80","        939.95","        940.00","        939.95","        940.00","        939.97","        939.98","         28","               26319.40","          5","         28","        100.00"
"ERFLNCDI","N1","03-Oct-2018","        988.00","        988.00","        988.00","        988.00","        988.00","        988.00","        988.00","         10","                9880.00","          1","         10","        100.00"
"ERFLNCDI","N2","03-Oct-2018","       1020.00","        990.00","        990.00","        990.00","        990.00","        990.00","        990.00","         10","                9900.00","          1","         10","        100.00"
"ERFLNCDI","N4","03-Oct-2018","        899.00","        940.44","        954.80","        940.00","        949.00","        949.00","        942.97","        220","              207454.08","          8","        178","         80.91"
"ERFLNCDI","N5","03-Oct-2018","        939.97","        915.55","        925.90","        915.55","        925.70","        925.70","        924.76","        146","              135014.95","          6","        146","        100.00"
"ERFLNCDI","N6","03-Oct-2018","        923.05","        945.50","        945.55","        945.50","        945.55","        945.55","        945.52","         75","               70913.75","          4","         75","        100.00"
"ERFLNCDI","N4","04-Oct-2018","        949.00","        945.00","        945.00","        945.00","        945.00","        945.00","        945.00","         42","               39690.00","          1","         42","        100.00"
"ERFLNCDI","N5","04-Oct-2018","        925.70","        920.00","        920.00","        915.00","        915.00","        915.00","        916.37","        174","              159449.00","          5","        174","        100.00"
"ERFLNCDI","N1","05-Oct-2018","        988.00","        979.90","        979.90","        979.90","        979.90","        979.90","        979.90","         10","                9799.00","          1","         10","        100.00"
"ERFLNCDI","N2","05-Oct-2018","        990.00","        970.00","        970.00","        970.00","        970.00","        970.00","        970.00","         28","               27160.00","          4","         25","         89.29"
"ERFLNCDI","N4","05-Oct-2018","        945.00","        945.00","        945.00","        945.00","        945.00","        945.00","        945.00","         10","                9450.00","          1","         10","        100.00"
"ERFLNCDI","N5","05-Oct-2018","        915.00","        940.00","        940.00","        938.00","        938.00","        938.00","        938.57","         35","               32850.00","          2","         35","        100.00"
"ERFLNCDI","N6","05-Oct-2018","        945.55","        968.00","        968.00","        968.00","        968.00","        968.00","        968.00","         20","               19360.00","          1","         20","        100.00"
