"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FIEMIND","EQ","30-Aug-2018","        741.60","        743.05","        749.45","        736.00","        738.65","        738.35","        739.92","       8594","             6358833.30","        600","       7447","         86.65"
"FIEMIND","EQ","31-Aug-2018","        738.35","        738.65","        742.75","        729.00","        735.00","        732.90","        734.46","       8286","             6085738.30","        585","       6320","         76.27"
"FIEMIND","EQ","03-Sep-2018","        732.90","        735.00","        740.95","        731.00","        735.00","        738.45","        736.67","       6333","             4665355.65","        357","       5427","         85.69"
"FIEMIND","EQ","04-Sep-2018","        738.45","        735.00","        740.00","        730.95","        731.40","        731.65","        736.65","       2726","             2008108.65","        263","       2082","         76.38"
"FIEMIND","EQ","05-Sep-2018","        731.65","        724.00","        740.00","        724.00","        727.00","        729.95","        730.23","      71231","            52014949.35","        345","      69971","         98.23"
"FIEMIND","EQ","06-Sep-2018","        729.95","        738.00","        738.00","        724.95","        729.85","        728.80","        730.05","       4881","             3563358.30","        237","       4290","         87.89"
"FIEMIND","EQ","07-Sep-2018","        728.80","        724.05","        730.80","        722.10","        726.60","        728.45","        727.76","       2550","             1855799.15","        264","       2136","         83.76"
"FIEMIND","EQ","10-Sep-2018","        728.45","        727.00","        735.25","        718.00","        720.00","        719.65","        727.87","       8653","             6298233.95","        299","       8091","         93.51"
"FIEMIND","EQ","11-Sep-2018","        719.65","        720.00","        726.25","        713.00","        716.00","        714.95","        718.67","      14420","            10363149.80","        742","      10099","         70.03"
"FIEMIND","EQ","12-Sep-2018","        714.95","        715.00","        715.45","        699.25","        701.95","        704.70","        709.01","      13173","             9339735.85","        509","      11913","         90.43"
"FIEMIND","EQ","14-Sep-2018","        704.70","        716.65","        729.85","        708.95","        725.00","        724.05","        721.19","       3857","             2781627.25","        314","       2782","         72.13"
"FIEMIND","EQ","17-Sep-2018","        724.05","        725.10","        726.00","        720.00","        723.00","        723.15","        724.36","       4617","             3344390.10","        226","       4292","         92.96"
"FIEMIND","EQ","18-Sep-2018","        723.15","        730.85","        730.85","        715.00","        715.00","        716.60","        718.20","       2641","             1896776.00","        173","       2324","         88.00"
"FIEMIND","EQ","19-Sep-2018","        716.60","        724.40","        724.40","        699.00","        699.00","        700.80","        705.30","       4903","             3458062.55","        414","       4100","         83.62"
"FIEMIND","EQ","21-Sep-2018","        700.80","        693.00","        707.40","        675.00","        685.90","        688.10","        691.84","       9387","             6494289.25","        545","       7411","         78.95"
"FIEMIND","EQ","24-Sep-2018","        688.10","        688.10","        688.15","        669.15","        674.00","        673.15","        673.90","       4646","             3130936.65","        343","       3935","         84.70"
"FIEMIND","EQ","25-Sep-2018","        673.15","        674.00","        674.00","        664.45","        670.95","        669.25","        669.44","       2987","             1999631.95","        191","       2468","         82.62"
"FIEMIND","EQ","26-Sep-2018","        669.25","        668.00","        681.95","        641.00","        645.00","        653.65","        662.49","       5652","             3744396.65","        760","       3971","         70.26"
"FIEMIND","EQ","27-Sep-2018","        653.65","        655.00","        684.00","        635.15","        638.00","        637.65","        653.60","       6205","             4055618.10","        642","       4631","         74.63"
"FIEMIND","EQ","28-Sep-2018","        637.65","        638.10","        638.10","        560.00","        578.80","        573.15","        589.80","      19607","            11564213.60","       1769","      11585","         59.09"
"FIEMIND","EQ","01-Oct-2018","        573.15","        578.80","        599.40","        561.00","        582.00","        581.75","        578.94","      18387","            10645024.10","        586","      14876","         80.90"
"FIEMIND","EQ","03-Oct-2018","        581.75","        594.00","        594.00","        570.15","        570.15","        571.95","        575.39","       4633","             2665796.50","        371","       3920","         84.61"
"FIEMIND","EQ","04-Oct-2018","        571.95","        570.15","        570.15","        552.00","        558.00","        555.55","        560.69","       4090","             2293236.30","        360","       3178","         77.70"
"FIEMIND","EQ","05-Oct-2018","        555.55","        555.55","        559.90","        476.00","        523.50","        524.20","        517.47","      41645","            21550162.50","       2923","      18114","         43.50"
"FIEMIND","EQ","08-Oct-2018","        524.20","        533.00","        533.00","        508.00","        515.00","        512.30","        518.39","       8064","             4180313.25","        719","       6098","         75.62"
"FIEMIND","EQ","09-Oct-2018","        512.30","        507.15","        531.95","        507.15","        519.90","        520.60","        519.94","       3899","             2027262.55","        320","       2674","         68.58"
"FIEMIND","EQ","10-Oct-2018","        520.60","        513.10","        568.90","        513.10","        568.90","        558.55","        552.60","       4593","             2538114.70","        517","       2777","         60.46"
"FIEMIND","EQ","11-Oct-2018","        558.55","        539.00","        568.90","        525.00","        568.90","        563.15","        551.84","       3950","             2179757.80","        446","       2669","         67.57"
"FIEMIND","EQ","12-Oct-2018","        563.15","        577.15","        599.00","        570.15","        580.00","        579.50","        581.41","       3053","             1775055.80","        861","       1679","         55.00"
"FIEMIND","EQ","15-Oct-2018","        579.50","        579.00","        610.35","        575.00","        603.50","        600.55","        595.21","       3661","             2179071.15","        594","       2171","         59.30"
"FIEMIND","EQ","16-Oct-2018","        600.55","        610.00","        612.50","        585.00","        598.00","        589.55","        596.70","       8473","             5055835.40","        614","       7343","         86.66"
"FIEMIND","EQ","17-Oct-2018","        589.55","        590.00","        599.90","        588.00","        599.90","        598.70","        593.43","      10871","             6451203.95","        741","       8730","         80.31"
"FIEMIND","EQ","19-Oct-2018","        598.70","        599.00","        599.00","        590.00","        594.95","        593.65","        594.18","      13007","             7728464.20","        776","       4964","         38.16"
"FIEMIND","EQ","22-Oct-2018","        593.65","        592.95","        624.00","        592.95","        624.00","        618.15","        610.30","      13576","             8285373.60","        653","       6801","         50.10"
"FIEMIND","EQ","23-Oct-2018","        618.15","        620.00","        659.80","        620.00","        644.30","        645.25","        641.90","      29529","            18954633.20","       1641","      14163","         47.96"
"FIEMIND","EQ","24-Oct-2018","        645.25","        661.35","        661.45","        640.00","        642.75","        642.70","        647.11","      16114","            10427492.85","        661","       4106","         25.48"
"FIEMIND","EQ","25-Oct-2018","        642.70","        642.75","        642.75","        632.00","        635.50","        637.65","        635.64","      15381","             9776750.10","        488","       2513","         16.34"
"FIEMIND","EQ","26-Oct-2018","        637.65","        633.15","        637.05","        619.00","        619.00","        623.80","        630.67","      11990","             7561758.20","        491","       2167","         18.07"
"FIEMIND","EQ","29-Oct-2018","        623.80","        620.00","        623.95","        619.95","        622.00","        621.05","        621.93","      16578","            10310280.95","        525","       7436","         44.85"
"FIEMIND","EQ","30-Oct-2018","        621.05","        623.55","        623.55","        615.00","        616.60","        617.40","        619.12","      13297","             8232494.55","        524","       3782","         28.44"
"FIEMIND","EQ","31-Oct-2018","        617.40","        618.00","        619.95","        610.00","        610.00","        612.40","        617.57","      10313","             6368965.95","        516","       1327","         12.87"
"FIEMIND","EQ","01-Nov-2018","        612.40","        613.00","        613.00","        604.55","        609.00","        609.45","        608.66","      15460","             9409840.35","        542","       5214","         33.73"
"FIEMIND","EQ","02-Nov-2018","        609.45","        608.25","        612.00","        607.95","        609.00","        608.85","        609.63","      16228","             9893039.65","        578","       7329","         45.16"
"FIEMIND","EQ","05-Nov-2018","        608.85","        608.50","        610.00","        608.00","        609.90","        609.90","        609.48","      14549","             8867299.60","        308","       5904","         40.58"
"FIEMIND","EQ","06-Nov-2018","        609.90","        609.75","        609.95","        595.00","        598.50","        598.70","        603.32","      11644","             7025068.55","        296","       2204","         18.93"
"FIEMIND","EQ","07-Nov-2018","        598.70","        599.00","        625.00","        599.00","        625.00","        617.70","        613.56","       9650","             5920872.05","        346","       2876","         29.80"
"FIEMIND","EQ","09-Nov-2018","        617.70","        624.00","        624.00","        608.00","        609.00","        609.25","        610.89","      14214","             8683132.10","        443","       2186","         15.38"
"FIEMIND","EQ","12-Nov-2018","        609.25","        610.00","        612.00","        598.05","        598.70","        603.80","        608.00","      13134","             7985515.70","        489","       1548","         11.79"
"FIEMIND","EQ","13-Nov-2018","        603.80","        605.00","        610.00","        602.00","        607.50","        607.95","        608.12","      15725","             9562720.45","        407","       3783","         24.06"
"FIEMIND","EQ","14-Nov-2018","        607.95","        607.55","        633.80","        602.00","        607.00","        608.60","        611.24","      14151","             8649597.40","        625","       1520","         10.74"
"FIEMIND","EQ","15-Nov-2018","        608.60","        608.95","        610.00","        590.00","        603.00","        604.20","        604.94","      10667","             6452895.80","        580","       4192","         39.30"
"FIEMIND","EQ","16-Nov-2018","        604.20","        604.95","        609.00","        600.00","        600.00","        600.70","        605.76","      21786","            13197083.05","        818","      13278","         60.95"
"FIEMIND","EQ","19-Nov-2018","        600.70","        612.40","        612.40","        602.00","        605.00","        605.60","        607.05","      10269","             6233819.75","        402","       3249","         31.64"
"FIEMIND","EQ","20-Nov-2018","        605.60","        606.00","        609.95","        604.00","        604.00","        604.55","        606.74","       8540","             5181588.90","        280","       2064","         24.17"
"FIEMIND","EQ","21-Nov-2018","        604.55","        604.05","        607.50","        587.30","        590.00","        597.60","        603.81","      11748","             7093523.40","        597","       5154","         43.87"
"FIEMIND","EQ","22-Nov-2018","        597.60","        600.00","        600.00","        585.10","        585.10","        587.70","        589.69","       8958","             5282434.75","        544","       5145","         57.43"
"FIEMIND","EQ","26-Nov-2018","        587.70","        587.55","        591.80","        585.00","        588.55","        586.45","        588.72","      11179","             6581342.05","        842","       5105","         45.67"
"FIEMIND","EQ","27-Nov-2018","        586.45","        584.25","        588.95","        580.00","        581.05","        583.95","        584.51","       6691","             3910951.80","        302","       3066","         45.82"
"FIEMIND","EQ","28-Nov-2018","        583.95","        583.35","        585.95","        574.05","        575.10","        578.05","        580.57","      36547","            21217938.70","        410","      32452","         88.80"
"FIEMIND","EQ","29-Nov-2018","        578.05","        578.05","        579.00","        575.00","        575.00","        575.65","        576.48","       6806","             3923506.55","        297","       3342","         49.10"
"FIEMIND","EQ","30-Nov-2018","        575.65","        575.00","        578.05","        570.00","        571.00","        573.20","        575.01","      10426","             5995036.75","        467","       1943","         18.64"
"FIEMIND","EQ","03-Dec-2018","        573.20","        576.95","        578.05","        570.00","        573.25","        574.10","        573.63","       9412","             5398982.25","        234","       3145","         33.41"
"FIEMIND","EQ","04-Dec-2018","        574.10","        574.95","        577.00","        573.00","        576.90","        574.95","        574.39","       9509","             5461912.50","        263","       3299","         34.69"
"FIEMIND","EQ","05-Dec-2018","        574.95","        575.00","        577.00","        573.00","        576.50","        575.65","        574.39","       8168","             4691593.55","        295","       1654","         20.25"
"FIEMIND","EQ","06-Dec-2018","        575.65","        575.65","        580.00","        567.70","        571.85","        576.95","        576.07","      24560","            14148273.55","        854","      10278","         41.85"
"FIEMIND","EQ","07-Dec-2018","        576.95","        576.90","        577.95","        570.00","        572.00","        572.55","        575.44","      11538","             6639468.00","        292","       3240","         28.08"
"FIEMIND","EQ","10-Dec-2018","        572.55","        573.50","        573.50","        565.00","        567.95","        565.45","        568.85","       6701","             3811832.80","        300","       2377","         35.47"
"FIEMIND","EQ","11-Dec-2018","        565.45","        566.55","        566.55","        560.00","        561.00","        560.80","        561.30","      12056","             6767007.60","        335","       3461","         28.71"
"FIEMIND","EQ","12-Dec-2018","        560.80","        561.00","        578.50","        559.15","        575.00","        574.65","        569.00","      23136","            13164376.55","        889","      11845","         51.20"
"FIEMIND","EQ","13-Dec-2018","        574.65","        574.25","        575.00","        568.30","        574.95","        574.80","        573.79","      11786","             6762678.00","        481","       6313","         53.56"
"FIEMIND","EQ","14-Dec-2018","        574.80","        574.50","        576.50","        571.00","        573.60","        575.00","        574.99","      12317","             7082098.65","        269","       7699","         62.51"
"FIEMIND","EQ","17-Dec-2018","        575.00","        576.00","        577.00","        572.00","        572.50","        575.30","        574.54","      19879","            11421370.25","        475","       7604","         38.25"
"FIEMIND","EQ","18-Dec-2018","        575.30","        575.00","        575.45","        560.15","        575.00","        573.10","        571.33","      18398","            10511263.40","       1230","       6641","         36.10"
"FIEMIND","EQ","19-Dec-2018","        573.10","        573.55","        587.40","        569.00","        583.00","        579.55","        576.01","      15303","             8814727.25","        841","       6535","         42.70"
"FIEMIND","EQ","20-Dec-2018","        579.55","        576.00","        593.00","        575.50","        583.15","        584.95","        585.64","      12798","             7495063.25","        771","       5652","         44.16"
"FIEMIND","EQ","21-Dec-2018","        584.95","        585.85","        586.60","        556.00","        562.00","        561.70","        560.99","     196147","           110036427.50","       1359","     174307","         88.87"
"FIEMIND","EQ","24-Dec-2018","        561.70","        567.00","        567.00","        556.00","        560.00","        563.90","        563.48","      13212","             7444661.40","       1109","       5721","         43.30"
"FIEMIND","EQ","26-Dec-2018","        563.90","        569.00","        569.00","        555.00","        555.00","        557.35","        559.65","       9646","             5398378.85","        412","       3627","         37.60"
"FIEMIND","EQ","27-Dec-2018","        557.35","        558.95","        561.50","        527.00","        533.00","        532.65","        542.89","      24262","            13171654.15","       1359","      15984","         65.88"
"FIEMIND","EQ","28-Dec-2018","        532.65","        536.00","        542.70","        510.00","        511.00","        515.15","        524.65","      30597","            16052684.50","       3607","      21231","         69.39"
"FIEMIND","EQ","31-Dec-2018","        515.15","        515.00","        531.65","        483.00","        486.75","        488.30","        499.39","      56592","            28261636.90","       3878","      43542","         76.94"
"FIEMIND","EQ","01-Jan-2019","        488.30","        488.45","        502.90","        488.45","        496.00","        496.80","        495.78","      19222","             9529967.25","        963","      12076","         62.82"
"FIEMIND","EQ","02-Jan-2019","        496.80","        491.00","        508.90","        491.00","        503.00","        504.10","        504.01","      16390","             8260759.15","        925","      10578","         64.54"
"FIEMIND","EQ","03-Jan-2019","        504.10","        504.10","        510.00","        497.00","        502.90","        501.75","        502.00","       4675","             2346836.90","        419","       3098","         66.27"
"FIEMIND","EQ","04-Jan-2019","        501.75","        507.40","        507.40","        495.55","        500.90","        502.20","        501.18","       3176","             1591756.80","        286","       1946","         61.27"
"FIEMIND","EQ","07-Jan-2019","        502.20","        512.00","        515.90","        503.00","        510.00","        511.20","        507.74","      12997","             6599051.45","        790","       6187","         47.60"
"FIEMIND","EQ","08-Jan-2019","        511.20","        514.00","        519.00","        510.55","        517.00","        517.60","        515.21","       7144","             3680692.55","        243","       6247","         87.44"
"FIEMIND","EQ","09-Jan-2019","        517.60","        516.95","        523.85","        515.05","        518.10","        518.90","        517.78","       6568","             3400782.30","        304","       4990","         75.97"
"FIEMIND","EQ","10-Jan-2019","        518.90","        518.95","        529.20","        518.20","        529.00","        528.40","        525.06","      16070","             8437771.05","        352","      10053","         62.56"
"FIEMIND","EQ","11-Jan-2019","        528.40","        530.25","        530.25","        520.00","        521.60","        525.60","        525.64","       2583","             1357721.55","        242","       1505","         58.27"
"FIEMIND","EQ","14-Jan-2019","        525.60","        525.60","        530.00","        525.60","        526.55","        528.50","        528.12","       3177","             1677838.85","        163","       2181","         68.65"
"FIEMIND","EQ","15-Jan-2019","        528.50","        525.60","        526.90","        525.10","        525.10","        525.80","        525.91","       1976","             1039203.55","        145","        848","         42.91"
