"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAMMNINFRA","EQ","30-Aug-2018","          0.90","          0.95","          0.95","          0.90","          0.95","          0.90","          0.92","    2639969","             2425777.55","        654","    1603526","         60.74"
"GAMMNINFRA","EQ","31-Aug-2018","          0.90","          0.90","          0.95","          0.90","          0.95","          0.95","          0.94","    1813278","             1712268.85","        500","    1288511","         71.06"
"GAMMNINFRA","EQ","03-Sep-2018","          0.95","          0.95","          1.00","          0.90","          1.00","          1.00","          0.99","    2997135","             2955462.95","        797","    1568684","         52.34"
"GAMMNINFRA","EQ","04-Sep-2018","          1.00","          1.05","          1.05","          1.00","          1.05","          1.05","          1.04","    3998533","             4170584.45","        634","    1431262","         35.79"
"GAMMNINFRA","EQ","05-Sep-2018","          1.05","          1.05","          1.05","          1.00","          1.05","          1.00","          1.01","    4422683","             4457946.85","        584","    1584309","         35.82"
"GAMMNINFRA","EQ","06-Sep-2018","          1.00","          1.00","          1.05","          0.95","          1.05","          1.00","          0.99","    1336876","             1330191.20","        380","    1070601","         80.08"
"GAMMNINFRA","EQ","07-Sep-2018","          1.00","          1.05","          1.05","          0.95","          1.00","          1.00","          1.01","    1330444","             1338759.75","        428","     762341","         57.30"
"GAMMNINFRA","EQ","10-Sep-2018","          1.00","          1.05","          1.05","          0.95","          1.00","          0.95","          0.99","    1711257","             1691740.90","        419","    1367268","         79.90"
"GAMMNINFRA","EQ","11-Sep-2018","          0.95","          0.95","          0.95","          0.90","          0.90","          0.90","          0.92","    2143547","             1982383.65","        616","    1220163","         56.92"
"GAMMNINFRA","EQ","12-Sep-2018","          0.90","          0.85","          0.95","          0.85","          0.90","          0.90","          0.90","    1554051","             1393805.55","        418","    1002993","         64.54"
"GAMMNINFRA","EQ","14-Sep-2018","          0.90","          0.90","          0.95","          0.85","          0.90","          0.90","          0.91","     796976","              726813.05","        338","     660673","         82.90"
"GAMMNINFRA","EQ","17-Sep-2018","          0.90","          0.95","          0.95","          0.90","          0.95","          0.90","          0.93","    3405881","             3173570.80","        479","    1637533","         48.08"
"GAMMNINFRA","EQ","18-Sep-2018","          0.90","          0.95","          0.95","          0.85","          0.90","          0.90","          0.89","    2237471","             1998679.20","        330","    1448682","         64.75"
"GAMMNINFRA","EQ","19-Sep-2018","          0.90","          0.90","          0.90","          0.85","          0.90","          0.85","          0.88","    1303414","             1143892.90","        285","     698947","         53.62"
"GAMMNINFRA","EQ","21-Sep-2018","          0.85","          0.90","          0.90","          0.80","          0.80","          0.80","          0.83","    5617506","             4655991.20","        863","    3092535","         55.05"
"GAMMNINFRA","EQ","24-Sep-2018","          0.80","          0.80","          0.80","          0.75","          0.80","          0.75","          0.75","    4724798","             3559743.40","        880","    3294729","         69.73"
"GAMMNINFRA","EQ","25-Sep-2018","          0.75","          0.75","          0.75","          0.70","          0.70","          0.70","          0.71","    3841300","             2720871.30","        646","    2312388","         60.20"
"GAMMNINFRA","EQ","26-Sep-2018","          0.70","          0.70","          0.75","          0.65","          0.70","          0.70","          0.69","    2770288","             1921145.80","        491","     990725","         35.76"
"GAMMNINFRA","EQ","27-Sep-2018","          0.70","          0.70","          0.70","          0.65","          0.65","          0.65","          0.65","    3691782","             2408566.65","        744","    2123011","         57.51"
"GAMMNINFRA","EQ","28-Sep-2018","          0.65","          0.65","          0.65","          0.60","          0.60","          0.60","          0.62","    2118928","             1304540.80","        485","    1310696","         61.86"
"GAMMNINFRA","EQ","01-Oct-2018","          0.60","          0.60","          0.60","          0.55","          0.60","          0.60","          0.57","    4019690","             2305449.70","        855","    2097049","         52.17"
"GAMMNINFRA","EQ","03-Oct-2018","          0.60","          0.60","          0.65","          0.55","          0.65","          0.65","          0.63","    1600670","             1010576.75","        231","    1043346","         65.18"
"GAMMNINFRA","EQ","04-Oct-2018","          0.65","          0.65","          0.70","          0.65","          0.70","          0.70","          0.69","    2111950","             1465545.90","        491","    1257957","         59.56"
"GAMMNINFRA","EQ","05-Oct-2018","          0.70","          0.75","          0.75","          0.70","          0.75","          0.75","          0.75","    1325438","              993509.75","        329","     700374","         52.84"
"GAMMNINFRA","EQ","08-Oct-2018","          0.75","          0.80","          0.80","          0.75","          0.80","          0.80","          0.80","    3161310","             2520108.35","        681","    1634202","         51.69"
"GAMMNINFRA","EQ","09-Oct-2018","          0.80","          0.80","          0.85","          0.75","          0.85","          0.80","          0.82","    3806191","             3118263.65","        613","    2262488","         59.44"
"GAMMNINFRA","EQ","10-Oct-2018","          0.80","          0.85","          0.85","          0.75","          0.85","          0.85","          0.81","    4168754","             3390319.95","        478","    2315409","         55.54"
"GAMMNINFRA","EQ","11-Oct-2018","          0.85","          0.85","          0.85","          0.80","          0.80","          0.85","          0.83","    1438835","             1195216.10","        739","     833275","         57.91"
"GAMMNINFRA","EQ","12-Oct-2018","          0.85","          0.80","          0.85","          0.80","          0.80","          0.80","          0.80","    1143707","              917465.85","        332","    1093103","         95.58"
"GAMMNINFRA","EQ","15-Oct-2018","          0.80","          0.75","          0.80","          0.75","          0.75","          0.75","          0.75","    2180740","             1638240.45","        380","    1334304","         61.19"
"GAMMNINFRA","EQ","16-Oct-2018","          0.75","          0.75","          0.75","          0.70","          0.75","          0.75","          0.72","    1120672","              810703.90","        276","     595963","         53.18"
"GAMMNINFRA","EQ","17-Oct-2018","          0.75","          0.75","          0.80","          0.70","          0.75","          0.75","          0.75","     924220","              689552.80","        293","     606149","         65.58"
"GAMMNINFRA","EQ","19-Oct-2018","          0.75","          0.75","          0.75","          0.70","          0.70","          0.75","          0.73","     785836","              570431.00","        198","     412604","         52.51"
"GAMMNINFRA","EQ","22-Oct-2018","          0.75","          0.70","          0.80","          0.70","          0.70","          0.70","          0.75","    5419417","             4068670.10","        330","    1731668","         31.95"
"GAMMNINFRA","EQ","23-Oct-2018","          0.70","          0.65","          0.70","          0.65","          0.65","          0.65","          0.65","    2911469","             1895455.80","        443","    2078268","         71.38"
"GAMMNINFRA","EQ","24-Oct-2018","          0.65","          0.65","          0.65","          0.60","          0.60","          0.60","          0.61","    5398337","             3271930.40","        635","    4610229","         85.40"
"GAMMNINFRA","EQ","25-Oct-2018","          0.60","          0.60","          0.60","          0.55","          0.55","          0.55","          0.55","    6776593","             3757366.80","        930","    4887198","         72.12"
"GAMMNINFRA","EQ","26-Oct-2018","          0.55","          0.50","          0.60","          0.50","          0.55","          0.55","          0.54","    2307827","             1254714.15","        457","    1589323","         68.87"
"GAMMNINFRA","EQ","29-Oct-2018","          0.55","          0.55","          0.60","          0.50","          0.55","          0.55","          0.55","    3794293","             2085651.80","        647","    2254521","         59.42"
"GAMMNINFRA","EQ","30-Oct-2018","          0.55","          0.60","          0.60","          0.55","          0.60","          0.60","          0.58","    2164347","             1248675.45","        468","    1450945","         67.04"
"GAMMNINFRA","EQ","31-Oct-2018","          0.60","          0.60","          0.65","          0.55","          0.60","          0.60","          0.60","    2354080","             1411877.00","        355","    1385576","         58.86"
"GAMMNINFRA","EQ","01-Nov-2018","          0.60","          0.60","          0.65","          0.55","          0.60","          0.60","          0.60","    3163677","             1910071.10","        462","    2419584","         76.48"
"GAMMNINFRA","EQ","02-Nov-2018","          0.60","          0.60","          0.60","          0.55","          0.60","          0.60","          0.60","    3060113","             1823140.00","        473","    1538554","         50.28"
"GAMMNINFRA","EQ","05-Nov-2018","          0.60","          0.60","          0.60","          0.55","          0.55","          0.55","          0.55","    6270902","             3460123.55","        782","    4903667","         78.20"
"GAMMNINFRA","EQ","06-Nov-2018","          0.55","          0.55","          0.60","          0.50","          0.60","          0.60","          0.58","    2447277","             1413805.85","        555","    1928621","         78.81"
"GAMMNINFRA","EQ","07-Nov-2018","          0.60","          0.60","          0.65","          0.60","          0.65","          0.65","          0.64","    1863912","             1194779.40","        345","    1027053","         55.10"
"GAMMNINFRA","EQ","09-Nov-2018","          0.65","          0.65","          0.70","          0.60","          0.70","          0.65","          0.64","    1762296","             1124573.80","        461","    1255843","         71.26"
"GAMMNINFRA","EQ","12-Nov-2018","          0.65","          0.65","          0.70","          0.60","          0.65","          0.65","          0.64","    2121281","             1349997.00","        338","    1046718","         49.34"
"GAMMNINFRA","EQ","13-Nov-2018","          0.65","          0.65","          0.65","          0.60","          0.65","          0.60","          0.60","    5107566","             3085837.85","        635","    4305121","         84.29"
"GAMMNINFRA","EQ","14-Nov-2018","          0.60","          0.60","          0.60","          0.55","          0.60","          0.60","          0.59","     893686","              531507.75","        309","     803104","         89.86"
"GAMMNINFRA","EQ","15-Nov-2018","          0.60","          0.60","          0.60","          0.55","          0.60","          0.60","          0.58","     600372","              349674.55","        266","     340014","         56.63"
"GAMMNINFRA","EQ","16-Nov-2018","          0.60","          0.60","          0.65","          0.55","          0.65","          0.65","          0.63","    4225781","             2643069.25","        430","    3189424","         75.48"
"GAMMNINFRA","EQ","19-Nov-2018","          0.65","          0.70","          0.70","          0.65","          0.70","          0.70","          0.70","    3215507","             2250854.35","        352","    2335379","         72.63"
"GAMMNINFRA","EQ","20-Nov-2018","          0.70","          0.75","          0.75","          0.70","          0.75","          0.75","          0.74","    3568197","             2657311.25","        700","    2007990","         56.27"
"GAMMNINFRA","EQ","21-Nov-2018","          0.75","          0.75","          0.80","          0.75","          0.80","          0.80","          0.78","    1495517","             1170524.20","        575","    1021731","         68.32"
"GAMMNINFRA","EQ","22-Nov-2018","          0.80","          0.80","          0.85","          0.80","          0.85","          0.80","          0.83","    3590093","             2967770.05","        789","    2362343","         65.80"
"GAMMNINFRA","EQ","26-Nov-2018","          0.80","          0.85","          0.85","          0.80","          0.85","          0.85","          0.84","    2031322","             1709168.50","        527","    1033307","         50.87"
