"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MIL","BE","07-Jun-2019","          2.35","          2.35","          2.45","          2.35","          2.45","          2.45","          2.45","        178","                 435.90","         12","-","-"
"MIL","BE","10-Jun-2019","          2.45","          2.55","          2.55","          2.55","          2.55","          2.55","          2.55","        856","                2182.80","         14","-","-"
"MIL","BE","11-Jun-2019","          2.55","          2.65","          2.65","          2.65","          2.65","          2.65","          2.65","         93","                 246.45","          8","-","-"
"MIL","BE","12-Jun-2019","          2.65","          2.75","          2.75","          2.75","          2.75","          2.75","          2.75","         93","                 255.75","          4","-","-"
"MIL","BE","13-Jun-2019","          2.75","          2.85","          2.85","          2.85","          2.85","          2.85","          2.85","        445","                1268.25","          4","-","-"
"MIL","BE","14-Jun-2019","          2.85","          2.95","          2.95","          2.95","          2.95","          2.95","          2.95","        328","                 967.60","          6","-","-"
"MIL","BE","17-Jun-2019","          2.95","          3.05","          3.05","          3.05","          3.05","          3.05","          3.05","       1526","                4654.30","         11","-","-"
"MIL","BE","18-Jun-2019","          3.05","          3.20","          3.20","          3.20","          3.20","          3.20","          3.20","        617","                1974.40","         11","-","-"
"MIL","BE","19-Jun-2019","          3.20","          3.35","          3.35","          3.35","          3.35","          3.35","          3.35","        222","                 743.70","          6","-","-"
"MIL","BE","20-Jun-2019","          3.35","          3.50","          3.50","          3.50","          3.50","          3.50","          3.50","        126","                 441.00","          6","-","-"
"MIL","EQ","21-Jun-2019","          3.50","          4.20","          4.20","          4.20","          4.20","          4.20","          4.20","        294","                1234.80","          9","        294","        100.00"
"MIL","EQ","24-Jun-2019","          4.20","          5.00","          5.00","          5.00","          5.00","          5.00","          5.00","        965","                4825.00","         12","        965","        100.00"
"MIL","EQ","25-Jun-2019","          5.00","          5.50","          5.50","          5.50","          5.50","          5.50","          5.50","       1644","                9042.00","          9","       1639","         99.70"
"MIL","EQ","26-Jun-2019","          5.50","          6.05","          6.05","          6.05","          6.05","          6.05","          6.05","        520","                3146.00","         10","        520","        100.00"
"MIL","EQ","27-Jun-2019","          6.05","          6.65","          6.65","          6.65","          6.65","          6.65","          6.65","        318","                2114.70","          8","        318","        100.00"
"MIL","EQ","28-Jun-2019","          6.65","          6.95","          6.95","          6.95","          6.95","          6.95","          6.95","       3222","               22392.90","         11","       3222","        100.00"
"MIL","BE","01-Jul-2019","          6.95","          7.25","          7.25","          7.25","          7.25","          7.25","          7.25","        813","                5894.25","          7","-","-"
"MIL","BE","02-Jul-2019","          7.25","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       1065","                8094.00","         13","-","-"
