"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GILLANDERS","EQ","30-Aug-2018","         59.50","         59.60","         61.00","         59.50","         60.00","         60.10","         59.56","        756","               45024.80","          9","        698","         92.33"
"GILLANDERS","EQ","31-Aug-2018","         60.10","         59.50","         59.95","         58.20","         58.30","         59.15","         59.29","        932","               55257.40","         26","        920","         98.71"
"GILLANDERS","EQ","03-Sep-2018","         59.15","         58.45","         61.95","         58.45","         60.40","         60.40","         60.18","        691","               41582.45","         28","        386","         55.86"
"GILLANDERS","EQ","04-Sep-2018","         60.40","         59.05","         60.00","         57.50","         58.80","         58.80","         58.29","       1145","               66743.95","         32","        884","         77.21"
"GILLANDERS","EQ","05-Sep-2018","         58.80","         59.05","         59.05","         57.00","         57.55","         57.30","         58.61","       2187","              128173.55","         13","       2111","         96.52"
"GILLANDERS","EQ","06-Sep-2018","         57.30","         59.35","         60.15","         59.35","         60.15","         60.15","         60.00","       1577","               94624.55","         11","       1470","         93.21"
"GILLANDERS","EQ","07-Sep-2018","         60.15","         60.10","         62.30","         60.00","         62.00","         62.00","         60.63","       3572","              216565.85","         23","       2430","         68.03"
"GILLANDERS","EQ","10-Sep-2018","         62.00","         65.00","         65.00","         60.60","         60.60","         60.75","         62.31","       1181","               73591.50","         25","       1000","         84.67"
"GILLANDERS","EQ","11-Sep-2018","         60.75","         58.80","         61.00","         58.80","         59.75","         59.75","         59.57","        416","               24782.10","          7","        213","         51.20"
"GILLANDERS","EQ","12-Sep-2018","         59.75","         59.75","         62.00","         59.00","         60.10","         60.40","         60.09","        950","               57084.35","         19","        725","         76.32"
"GILLANDERS","EQ","14-Sep-2018","         60.40","         58.70","         62.00","         58.70","         59.50","         60.80","         60.71","       3130","              190033.65","         23","       2710","         86.58"
"GILLANDERS","EQ","17-Sep-2018","         60.80","         59.50","         62.00","         59.00","         59.00","         59.90","         59.99","       2119","              127128.95","         23","       1830","         86.36"
"GILLANDERS","EQ","18-Sep-2018","         59.90","         59.90","         62.50","         59.10","         59.25","         59.35","         60.02","       1897","              113848.65","         43","       1117","         58.88"
"GILLANDERS","EQ","19-Sep-2018","         59.35","         58.80","         61.60","         58.80","         59.50","         59.45","         59.75","        945","               56467.00","         15","        795","         84.13"
"GILLANDERS","EQ","21-Sep-2018","         59.45","         61.80","         62.00","         56.50","         57.50","         57.50","         60.18","      10622","              639259.05","         53","       6903","         64.99"
"GILLANDERS","EQ","24-Sep-2018","         57.50","         59.50","         59.50","         56.30","         57.95","         56.60","         57.11","       1814","              103593.05","         12","       1621","         89.36"
"GILLANDERS","EQ","25-Sep-2018","         56.60","         55.20","         58.40","         55.10","         57.95","         57.95","         57.12","        475","               27131.30","          8","        425","         89.47"
"GILLANDERS","EQ","26-Sep-2018","         57.95","         55.90","         60.60","         55.90","         58.95","         57.00","         56.79","       2696","              153110.15","         26","       1639","         60.79"
"GILLANDERS","EQ","27-Sep-2018","         57.00","         59.75","         59.75","         54.55","         54.60","         55.00","         56.12","       1892","              106182.60","         30","       1783","         94.24"
"GILLANDERS","EQ","28-Sep-2018","         55.00","         54.65","         56.60","         52.50","         53.00","         54.35","         54.61","       4389","              239680.70","         27","       4358","         99.29"
"GILLANDERS","EQ","01-Oct-2018","         54.35","         52.80","         57.00","         52.80","         57.00","         53.90","         53.39","       3303","              176350.70","         40","       2837","         85.89"
"GILLANDERS","EQ","03-Oct-2018","         53.90","         56.40","         56.55","         56.40","         56.50","         56.50","         56.51","       3791","              214220.80","         28","       3026","         79.82"
"GILLANDERS","EQ","04-Oct-2018","         56.50","         59.10","         59.10","         54.05","         55.00","         56.35","         55.26","       1640","               90620.25","         19","        700","         42.68"
"GILLANDERS","EQ","05-Oct-2018","         56.35","         54.80","         55.85","         53.70","         54.00","         54.15","         54.35","        698","               37935.85","         20","        396","         56.73"
"GILLANDERS","EQ","08-Oct-2018","         54.15","         53.00","         55.00","         53.00","         55.00","         55.00","         53.71","       1000","               53710.00","          4","       1000","        100.00"
"GILLANDERS","EQ","09-Oct-2018","         55.00","         52.70","         56.60","         52.70","         52.90","         52.95","         53.16","       3438","              182777.45","         21","       3135","         91.19"
"GILLANDERS","EQ","10-Oct-2018","         52.95","         55.00","         55.70","         52.00","         54.30","         54.30","         53.13","       1958","              104033.50","         24","       1891","         96.58"
"GILLANDERS","EQ","11-Oct-2018","         54.30","         53.40","         55.20","         53.40","         55.20","         55.20","         53.87","        153","                8242.20","          3","        153","        100.00"
"GILLANDERS","EQ","12-Oct-2018","         55.20","         56.20","         56.20","         53.55","         55.40","         54.35","         54.80","        172","                9425.15","          6","         96","         55.81"
"GILLANDERS","EQ","15-Oct-2018","         54.35","         56.95","         57.70","         52.50","         56.80","         57.55","         55.62","       4646","              258398.90","         53","       3300","         71.03"
"GILLANDERS","EQ","16-Oct-2018","         57.55","         55.70","         57.50","         55.70","         57.50","         57.50","         57.03","         12","                 684.40","          3","         10","         83.33"
"GILLANDERS","EQ","17-Oct-2018","         57.50","         56.10","         57.00","         56.00","         56.00","         56.00","         56.36","        419","               23616.70","         11","        349","         83.29"
"GILLANDERS","EQ","19-Oct-2018","         56.00","         59.90","         59.90","         54.05","         57.25","         57.35","         55.52","       2761","              153286.15","         16","        596","         21.59"
"GILLANDERS","EQ","22-Oct-2018","         57.35","         57.25","         57.25","         54.00","         55.50","         55.50","         56.01","        172","                9633.10","         10","        152","         88.37"
"GILLANDERS","EQ","23-Oct-2018","         55.50","         52.60","         56.10","         52.60","         54.00","         54.00","         54.40","       3707","              201675.75","         18","       1433","         38.66"
"GILLANDERS","EQ","24-Oct-2018","         54.00","         53.00","         53.00","         53.00","         53.00","         53.00","         53.00","         21","                1113.00","          1","         21","        100.00"
"GILLANDERS","EQ","25-Oct-2018","         53.00","         53.60","         56.40","         52.25","         55.00","         54.50","         53.34","       3558","              189792.50","         13","       1904","         53.51"
"GILLANDERS","EQ","26-Oct-2018","         54.50","         55.80","         55.80","         51.50","         52.25","         52.25","         52.59","       2920","              153554.30","         35","       2289","         78.39"
"GILLANDERS","EQ","29-Oct-2018","         52.25","         52.00","         53.35","         52.00","         52.75","         52.90","         52.29","       1308","               68394.00","          9","       1198","         91.59"
"GILLANDERS","EQ","30-Oct-2018","         52.90","         56.00","         56.00","         52.40","         52.60","         52.55","         52.85","        296","               15644.10","          8","        271","         91.55"
"GILLANDERS","EQ","31-Oct-2018","         52.55","         54.85","         54.85","         52.00","         52.00","         52.05","         52.45","       1638","               85907.60","         16","       1520","         92.80"
"GILLANDERS","EQ","01-Nov-2018","         52.05","         53.95","         53.95","         50.75","         53.60","         53.60","         51.83","       2823","              146320.45","         17","       2728","         96.63"
"GILLANDERS","EQ","02-Nov-2018","         53.60","         53.95","         54.00","         52.30","         52.90","         53.80","         53.61","        951","               50986.05","         18","        695","         73.08"
"GILLANDERS","EQ","05-Nov-2018","         53.80","         52.90","         54.00","         52.90","         53.15","         53.15","         53.56","        989","               52972.35","         25","        789","         79.78"
"GILLANDERS","EQ","06-Nov-2018","         53.15","         54.00","         54.10","         52.50","         53.60","         53.60","         53.37","       2358","              125837.60","         19","       2158","         91.52"
"GILLANDERS","EQ","07-Nov-2018","         53.60","         52.05","         52.05","         52.05","         52.05","         52.05","         52.05","         50","                2602.50","          1","         50","        100.00"
"GILLANDERS","EQ","09-Nov-2018","         52.05","         52.80","         55.50","         52.70","         55.45","         55.45","         53.89","        530","               28559.75","          5","        330","         62.26"
"GILLANDERS","EQ","12-Nov-2018","         55.45","         55.45","         55.90","         53.00","         53.50","         54.20","         54.30","       2427","              131796.90","         27","        765","         31.52"
"GILLANDERS","EQ","13-Nov-2018","         54.20","         56.95","         56.95","         53.40","         53.75","         53.85","         55.38","       5306","              293849.30","         23","       3591","         67.68"
"GILLANDERS","EQ","14-Nov-2018","         53.85","         53.80","         56.20","         53.80","         56.20","         55.00","         53.86","        735","               39584.50","          5","        705","         95.92"
"GILLANDERS","EQ","15-Nov-2018","         55.00","         60.35","         60.50","         58.00","         59.25","         59.25","         59.85","       6668","              399097.70","         89","       4768","         71.51"
"GILLANDERS","EQ","16-Nov-2018","         59.25","         59.00","         60.90","         57.85","         58.70","         59.40","         59.43","       3068","              182316.40","         32","       2623","         85.50"
"GILLANDERS","EQ","19-Nov-2018","         59.40","         59.40","         59.70","         57.10","         59.70","         59.70","         57.61","        340","               19586.80","         11","        315","         92.65"
"GILLANDERS","EQ","20-Nov-2018","         59.70","         59.70","         59.70","         57.25","         59.45","         59.45","         58.25","        201","               11708.85","          6","        200","         99.50"
"GILLANDERS","EQ","21-Nov-2018","         59.45","         56.60","         59.50","         56.45","         59.50","         58.35","         57.89","        174","               10072.70","         16","        144","         82.76"
"GILLANDERS","EQ","22-Nov-2018","         58.35","         57.05","         59.00","         57.05","         57.20","         57.20","         58.28","        400","               23313.00","         26","        353","         88.25"
"GILLANDERS","EQ","26-Nov-2018","         57.20","         57.05","         58.95","         57.05","         58.90","         58.90","         58.46","         75","                4384.50","          6","         75","        100.00"
"GILLANDERS","EQ","27-Nov-2018","         58.90","         57.10","         57.25","         57.00","         57.00","         57.00","         57.21","        987","               56466.45","         45","        987","        100.00"
"GILLANDERS","EQ","28-Nov-2018","         57.00","         57.20","         61.95","         57.20","         59.70","         59.70","         59.62","       1833","              109286.30","         31","        685","         37.37"
"GILLANDERS","EQ","29-Nov-2018","         59.70","         62.95","         65.60","         61.00","         65.00","         63.90","         63.71","      19176","             1221694.45","        206","      14964","         78.04"
"GILLANDERS","EQ","30-Nov-2018","         63.90","         65.95","         65.95","         62.15","         63.45","         63.45","         64.23","        768","               49329.85","         27","        563","         73.31"
"GILLANDERS","EQ","03-Dec-2018","         63.45","         59.10","         64.80","         59.05","         59.05","         59.45","         60.55","       2626","              159013.00","         42","       2166","         82.48"
"GILLANDERS","EQ","04-Dec-2018","         59.45","         62.50","         62.55","         58.20","         58.25","         58.90","         60.00","       2775","              166512.40","         34","        777","         28.00"
"GILLANDERS","EQ","05-Dec-2018","         58.90","         57.80","         58.45","         54.65","         55.05","         55.20","         55.42","      16399","              908786.65","        282","      11106","         67.72"
"GILLANDERS","EQ","06-Dec-2018","         55.20","         55.50","         56.40","         54.10","         55.80","         55.50","         55.44","       1830","              101453.85","         59","       1677","         91.64"
"GILLANDERS","EQ","07-Dec-2018","         55.50","         54.75","         57.45","         54.70","         55.80","         55.95","         55.43","       1157","               64134.50","         22","       1152","         99.57"
"GILLANDERS","EQ","10-Dec-2018","         55.95","         54.00","         55.00","         54.00","         55.00","         55.00","         54.87","        822","               45103.60","         11","        710","         86.37"
"GILLANDERS","EQ","11-Dec-2018","         55.00","         54.00","         59.25","         53.95","         57.40","         56.30","         56.08","       2857","              160225.40","         33","       1189","         41.62"
"GILLANDERS","EQ","12-Dec-2018","         56.30","         58.70","         58.70","         55.65","         57.80","         57.80","         57.18","       2345","              134082.00","         11","        125","          5.33"
"GILLANDERS","EQ","13-Dec-2018","         57.80","         59.95","         59.95","         56.10","         56.30","         56.30","         57.56","       1439","               82823.10","          9","        418","         29.05"
"GILLANDERS","EQ","14-Dec-2018","         56.30","         55.60","         56.95","         55.60","         55.75","         55.80","         55.66","         65","                3618.20","          8","         45","         69.23"
"GILLANDERS","EQ","17-Dec-2018","         55.80","         56.05","         57.50","         56.05","         56.40","         57.00","         57.07","        584","               33329.70","         16","        534","         91.44"
"GILLANDERS","EQ","18-Dec-2018","         57.00","         56.30","         59.00","         56.05","         56.60","         56.70","         57.28","       1008","               57734.40","         26","        898","         89.09"
"GILLANDERS","EQ","19-Dec-2018","         56.70","         56.10","         57.50","         56.10","         57.50","         56.75","         56.62","       3436","              194536.25","         69","       2741","         79.77"
"GILLANDERS","EQ","20-Dec-2018","         56.75","         55.20","         56.90","         55.20","         56.85","         56.15","         55.99","       3116","              174472.80","         20","       3000","         96.28"
"GILLANDERS","EQ","21-Dec-2018","         56.15","         56.00","         56.00","         55.50","         55.50","         55.50","         55.78","       1060","               59130.00","          5","        810","         76.42"
"GILLANDERS","EQ","24-Dec-2018","         55.50","         54.80","         59.50","         54.20","         54.30","         54.95","         55.50","        759","               42124.40","         16","        628","         82.74"
"GILLANDERS","EQ","26-Dec-2018","         54.95","         54.00","         58.00","         54.00","         57.00","         57.00","         57.53","       2803","              161249.80","         29","       2000","         71.35"
"GILLANDERS","EQ","27-Dec-2018","         57.00","         56.10","         57.00","         56.10","         57.00","         57.00","         56.81","         93","                5283.00","          2","         93","        100.00"
"GILLANDERS","EQ","28-Dec-2018","         57.00","         56.00","         56.00","         55.50","         55.80","         55.80","         55.71","        662","               36877.20","         12","        655","         98.94"
"GILLANDERS","EQ","31-Dec-2018","         55.80","         55.90","         57.55","         55.90","         57.50","         56.80","         56.49","       3444","              194555.85","         23","       1584","         45.99"
"GILLANDERS","EQ","01-Jan-2019","         56.80","         59.00","         59.00","         55.70","         56.00","         56.00","         56.25","        835","               46966.20","         16","        725","         86.83"
"GILLANDERS","EQ","02-Jan-2019","         56.00","         55.50","         57.95","         55.50","         57.00","         57.25","         57.12","        813","               46435.35","          9","        222","         27.31"
"GILLANDERS","EQ","03-Jan-2019","         57.25","         57.00","         57.00","         56.25","         56.50","         56.50","         56.75","       1545","               87681.25","          4","       1545","        100.00"
"GILLANDERS","EQ","04-Jan-2019","         56.50","         57.70","         57.70","         56.10","         56.10","         56.10","         56.11","        638","               35795.00","          6","        438","         68.65"
"GILLANDERS","EQ","07-Jan-2019","         56.10","         55.20","         57.75","         55.15","         55.15","         55.65","         56.47","       1171","               66122.90","         25","        936","         79.93"
"GILLANDERS","EQ","08-Jan-2019","         55.65","         56.00","         57.50","         56.00","         57.45","         57.40","         56.90","       1575","               89620.60","         21","       1343","         85.27"
"GILLANDERS","EQ","09-Jan-2019","         57.40","         56.00","         57.40","         56.00","         56.55","         56.40","         56.60","       1115","               63111.55","         31","        763","         68.43"
"GILLANDERS","EQ","10-Jan-2019","         56.40","         56.10","         57.65","         56.10","         56.20","         56.20","         56.96","       2418","              137721.20","          6","       1618","         66.91"
"GILLANDERS","EQ","11-Jan-2019","         56.20","         56.20","         58.00","         56.20","         57.95","         57.95","         57.40","       1074","               61649.20","         10","        274","         25.51"
"GILLANDERS","EQ","14-Jan-2019","         57.95","         57.00","         57.00","         56.00","         56.00","         56.45","         56.59","        592","               33503.15","         16","        440","         74.32"
"GILLANDERS","EQ","15-Jan-2019","         56.45","         57.00","         57.75","         56.45","         57.75","         57.60","         56.88","       2210","              125704.05","         24","       2172","         98.28"
"GILLANDERS","EQ","16-Jan-2019","         57.60","         58.25","         58.70","         56.35","         58.55","         58.30","         57.73","       1852","              106914.65","         21","        342","         18.47"
"GILLANDERS","EQ","17-Jan-2019","         58.30","         57.00","         57.00","         55.35","         56.00","         56.00","         56.26","       1047","               58900.85","         25","        527","         50.33"
"GILLANDERS","EQ","18-Jan-2019","         56.00","         56.50","         58.45","         56.50","         56.80","         57.65","         57.58","       1014","               58383.10","          6","          7","          0.69"
"GILLANDERS","EQ","21-Jan-2019","         57.65","         57.00","         57.50","         56.05","         57.50","         57.50","         56.77","        263","               14931.10","          5","        253","         96.20"
"GILLANDERS","EQ","22-Jan-2019","         57.50","         56.00","         58.40","         55.60","         57.00","         57.00","         56.96","       1378","               78492.00","         16","       1323","         96.01"
"GILLANDERS","EQ","23-Jan-2019","         57.00","         57.00","         58.20","         56.75","         56.75","         56.75","         57.16","       2345","              134042.75","         19","       2320","         98.93"
"GILLANDERS","EQ","24-Jan-2019","         56.75","         57.20","         57.50","         57.20","         57.50","         57.50","         57.38","        100","                5738.30","          3","        100","        100.00"
"GILLANDERS","EQ","25-Jan-2019","         57.50","         56.25","         56.30","         51.05","         54.80","         54.80","         53.31","       1374","               73250.60","         33","       1338","         97.38"
"GILLANDERS","EQ","28-Jan-2019","         54.80","         54.10","         55.80","         53.25","         55.75","         55.05","         54.42","       3333","              181390.25","         56","       2301","         69.04"
"GILLANDERS","EQ","29-Jan-2019","         55.05","         54.05","         55.65","         53.50","         53.65","         53.65","         53.70","       2687","              144302.05","         28","       1887","         70.23"
"GILLANDERS","EQ","30-Jan-2019","         53.65","         53.40","         53.45","         53.40","         53.40","         53.40","         53.40","        250","               13350.50","          4","        250","        100.00"
"GILLANDERS","EQ","31-Jan-2019","         53.40","         54.00","         54.20","         53.25","         54.20","         54.20","         53.76","        742","               39887.10","         18","        417","         56.20"
"GILLANDERS","EQ","01-Feb-2019","         54.20","         54.05","         54.05","         54.00","         54.00","         54.00","         54.02","        259","               13991.00","          5","        259","        100.00"
"GILLANDERS","EQ","04-Feb-2019","         54.00","         54.50","         55.70","         53.70","         54.00","         54.00","         54.23","        863","               46799.40","         10","        853","         98.84"
"GILLANDERS","EQ","05-Feb-2019","         54.00","         55.40","         55.50","         54.00","         54.00","         54.00","         55.12","        130","                7165.00","          3","        130","        100.00"
"GILLANDERS","EQ","06-Feb-2019","         54.00","         53.50","         53.90","         52.50","         52.50","         52.50","         53.29","       1591","               84778.00","         19","       1588","         99.81"
"GILLANDERS","EQ","07-Feb-2019","         52.50","         52.50","         58.05","         52.50","         58.05","         58.00","         54.95","        426","               23410.55","         11","        227","         53.29"
"GILLANDERS","EQ","08-Feb-2019","         58.00","         56.00","         56.00","         54.00","         54.00","         54.00","         54.55","       3017","              164577.40","         31","       2931","         97.15"
"GILLANDERS","EQ","11-Feb-2019","         54.00","         54.00","         54.00","         53.50","         53.50","         53.50","         53.76","       2044","              109876.00","          4","       2044","        100.00"
"GILLANDERS","EQ","12-Feb-2019","         53.50","         52.00","         54.85","         51.20","         53.00","         53.00","         52.76","       1099","               57978.70","         20","        728","         66.24"
"GILLANDERS","EQ","13-Feb-2019","         53.00","         52.20","         53.15","         51.00","         51.95","         51.95","         51.98","       1421","               73861.50","         17","       1159","         81.56"
"GILLANDERS","EQ","14-Feb-2019","         51.95","         51.00","         51.00","         48.00","         50.00","         49.90","         49.41","       6105","              301661.95","        173","       4656","         76.27"
"GILLANDERS","EQ","15-Feb-2019","         49.90","         50.05","         51.70","         49.50","         49.60","         49.90","         49.86","       1812","               90337.50","         15","       1612","         88.96"
"GILLANDERS","EQ","18-Feb-2019","         49.90","         49.00","         49.50","         47.20","         47.20","         47.60","         47.95","       1901","               91152.35","         53","       1558","         81.96"
"GILLANDERS","EQ","19-Feb-2019","         47.60","         51.80","         51.80","         47.00","         49.00","         49.65","         48.87","       1753","               85676.70","         30","       1303","         74.33"
"GILLANDERS","EQ","20-Feb-2019","         49.65","         48.00","         49.00","         47.00","         48.50","         48.25","         47.80","       1044","               49899.65","         33","        694","         66.48"
"GILLANDERS","EQ","21-Feb-2019","         48.25","         52.00","         52.95","         47.50","         49.50","         49.50","         49.05","       2156","              105743.50","         20","       1855","         86.04"
"GILLANDERS","EQ","22-Feb-2019","         49.50","         50.00","         50.90","         48.70","         49.10","         49.10","         50.01","        533","               26654.90","          6","        533","        100.00"
"GILLANDERS","EQ","25-Feb-2019","         49.10","         49.10","         49.90","         48.20","         48.20","         49.00","         48.89","       1740","               85071.85","         19","       1490","         85.63"
"GILLANDERS","EQ","26-Feb-2019","         49.00","         51.20","         51.25","         48.50","         50.75","         50.55","         50.38","        889","               44789.00","         12","        716","         80.54"
"GILLANDERS","EQ","27-Feb-2019","         50.55","         52.00","         52.00","         48.00","         50.45","         49.30","         49.41","       1800","               88946.70","         35","       1605","         89.17"
"GILLANDERS","EQ","28-Feb-2019","         49.30","         53.00","         53.00","         48.00","         49.00","         49.05","         48.71","       5246","              255520.35","         61","       3739","         71.27"
"GILLANDERS","EQ","01-Mar-2019","         49.05","         50.45","         50.45","         48.70","         48.70","         48.70","         49.34","       5983","              295198.15","         23","       4917","         82.18"
"GILLANDERS","EQ","05-Mar-2019","         48.70","         48.70","         53.80","         48.50","         52.60","         52.45","         51.75","      19727","             1020894.70","         53","      10294","         52.18"
"GILLANDERS","EQ","06-Mar-2019","         52.45","         53.50","         53.50","         51.05","         52.00","         52.00","         52.54","       1566","               82275.20","         27","       1220","         77.91"
"GILLANDERS","EQ","07-Mar-2019","         52.00","         51.50","         52.40","         50.25","         52.40","         52.40","         51.00","        993","               50641.70","         39","        508","         51.16"
"GILLANDERS","EQ","08-Mar-2019","         52.40","         51.50","         53.00","         51.20","         51.60","         51.60","         51.70","        389","               20112.30","          9","        358","         92.03"
"GILLANDERS","EQ","11-Mar-2019","         51.60","         50.50","         51.80","         49.00","         50.85","         50.20","         50.74","       3375","              171251.55","         85","       2800","         82.96"
"GILLANDERS","EQ","12-Mar-2019","         50.20","         50.20","         50.20","         49.15","         49.95","         49.95","         50.00","       4412","              220582.05","         37","       4403","         99.80"
"GILLANDERS","EQ","13-Mar-2019","         49.95","         49.55","         50.80","         49.50","         49.50","         49.50","         49.54","        705","               34923.40","         15","        672","         95.32"
"GILLANDERS","EQ","14-Mar-2019","         49.50","         49.50","         49.55","         48.00","         48.20","         48.65","         48.71","       1853","               90256.35","         46","        898","         48.46"
"GILLANDERS","EQ","15-Mar-2019","         48.65","         49.90","         49.90","         48.55","         48.55","         49.00","         49.18","        245","               12049.75","          7","        235","         95.92"
"GILLANDERS","EQ","18-Mar-2019","         49.00","         48.55","         49.00","         48.30","         48.75","         48.95","         48.94","      13973","              683883.55","         40","      11099","         79.43"
"GILLANDERS","EQ","19-Mar-2019","         48.95","         49.95","         49.95","         48.50","         48.80","         48.80","         49.12","       1467","               72052.80","         16","       1416","         96.52"
"GILLANDERS","EQ","20-Mar-2019","         48.80","         48.10","         49.00","         48.05","         48.10","         48.10","         48.45","       1240","               60083.10","         32","       1029","         82.98"
"GILLANDERS","EQ","22-Mar-2019","         48.10","         46.55","         48.80","         46.55","         48.80","         48.55","         48.31","       3842","              185612.80","         25","       3560","         92.66"
"GILLANDERS","EQ","25-Mar-2019","         48.55","         50.50","         50.50","         46.60","         48.00","         48.00","         47.95","       1984","               95133.10","         25","       1886","         95.06"
"GILLANDERS","EQ","26-Mar-2019","         48.00","         49.70","         49.70","         46.60","         47.75","         47.80","         47.57","        865","               41147.00","         24","        586","         67.75"
"GILLANDERS","EQ","27-Mar-2019","         47.80","         49.00","         49.00","         46.75","         47.00","         47.15","         47.86","       3117","              149169.30","         21","       3000","         96.25"
"GILLANDERS","EQ","28-Mar-2019","         47.15","         47.70","         48.85","         47.00","         47.80","         47.80","         47.86","       2271","              108679.05","         29","       1921","         84.59"
"GILLANDERS","EQ","29-Mar-2019","         47.80","         47.00","         48.30","         46.25","         47.70","         47.80","         47.44","       5925","              281056.30","         68","       3778","         63.76"
"GILLANDERS","EQ","01-Apr-2019","         47.80","         47.80","         48.00","         45.60","         47.65","         47.95","         47.14","       2428","              114467.75","         35","       2041","         84.06"
"GILLANDERS","EQ","02-Apr-2019","         47.95","         47.00","         48.60","         47.00","         48.35","         48.35","         48.09","        761","               36594.30","         29","        588","         77.27"
"GILLANDERS","EQ","03-Apr-2019","         48.35","         48.90","         49.35","         47.60","         48.20","         48.20","         48.84","        645","               31501.55","         21","        467","         72.40"
"GILLANDERS","EQ","04-Apr-2019","         48.20","         48.00","         48.20","         48.00","         48.05","         48.05","         48.06","        932","               44796.25","         10","        931","         99.89"
"GILLANDERS","EQ","05-Apr-2019","         48.05","         47.05","         49.00","         47.00","         48.15","         48.10","         47.90","       2652","              127019.30","         90","       2055","         77.49"
"GILLANDERS","EQ","08-Apr-2019","         48.10","         49.40","         49.40","         47.10","         47.35","         47.35","         47.33","        606","               28681.45","         21","        501","         82.67"
"GILLANDERS","EQ","09-Apr-2019","         47.35","         48.20","         49.55","         47.10","         49.55","         48.35","         47.88","       2244","              107432.90","         83","       1761","         78.48"
"GILLANDERS","EQ","10-Apr-2019","         48.35","         47.70","         48.00","         47.55","         47.60","         47.60","         47.77","        834","               39841.60","         20","        627","         75.18"
"GILLANDERS","EQ","11-Apr-2019","         47.60","         47.95","         48.05","         47.70","         48.05","         48.05","         47.86","       1237","               59199.20","         32","       1237","        100.00"
"GILLANDERS","EQ","12-Apr-2019","         48.05","         48.00","         48.05","         48.00","         48.05","         48.05","         48.01","       1421","               68229.05","         28","       1421","        100.00"
"GILLANDERS","EQ","15-Apr-2019","         48.05","         49.00","         49.40","         48.00","         48.05","         48.30","         48.44","       1390","               67336.45","         12","       1327","         95.47"
"GILLANDERS","EQ","16-Apr-2019","         48.30","         48.00","         50.00","         47.20","         49.00","         49.00","         48.77","       1884","               91891.40","         42","       1619","         85.93"
"GILLANDERS","EQ","18-Apr-2019","         49.00","         50.45","         51.00","         48.60","         49.00","         48.80","         49.87","       2165","              107977.50","         19","        501","         23.14"
"GILLANDERS","EQ","22-Apr-2019","         48.80","         48.00","         48.80","         47.35","         48.00","         48.20","         47.99","        723","               34695.75","         23","        469","         64.87"
"GILLANDERS","EQ","23-Apr-2019","         48.20","         48.20","         48.50","         48.15","         48.50","         48.50","         48.30","        301","               14538.15","          4","        301","        100.00"
"GILLANDERS","EQ","24-Apr-2019","         48.50","         50.00","         50.00","         47.80","         49.95","         49.95","         49.02","       5144","              252180.40","         21","        690","         13.41"
"GILLANDERS","EQ","25-Apr-2019","         49.95","         48.60","         48.60","         47.65","         48.15","         48.15","         48.08","        101","                4856.30","         10","         50","         49.50"
"GILLANDERS","EQ","26-Apr-2019","         48.15","         48.55","         49.55","         48.00","         49.00","         49.25","         48.08","       1530","               73561.25","          7","       1485","         97.06"
"GILLANDERS","EQ","30-Apr-2019","         49.25","         50.70","         50.70","         47.80","         47.80","         47.85","         48.22","        284","               13694.40","         11","        119","         41.90"
"GILLANDERS","EQ","02-May-2019","         47.85","         47.85","         48.55","         47.00","         47.00","         47.05","         48.36","        326","               15765.55","         13","        313","         96.01"
"GILLANDERS","EQ","03-May-2019","         47.05","         48.45","         48.45","         47.20","         47.20","         47.20","         48.43","         74","                3584.00","          7","         73","         98.65"
"GILLANDERS","EQ","06-May-2019","         47.20","         46.05","         50.00","         46.00","         50.00","         48.40","         47.18","        876","               41325.95","         14","        871","         99.43"
"GILLANDERS","EQ","07-May-2019","         48.40","         49.50","         49.50","         47.10","         47.95","         47.80","         47.59","       2175","              103498.85","         18","        800","         36.78"
"GILLANDERS","EQ","08-May-2019","         47.80","         47.90","         47.90","         46.50","         47.25","         47.25","         46.91","        363","               17029.25","         20","        305","         84.02"
"GILLANDERS","EQ","09-May-2019","         47.25","         46.65","         46.65","         46.65","         46.65","         46.65","         46.65","         39","                1819.35","          1","         39","        100.00"
"GILLANDERS","EQ","10-May-2019","         46.65","         46.00","         46.50","         46.00","         46.50","         46.50","         46.05","        337","               15520.00","          5","        336","         99.70"
"GILLANDERS","EQ","13-May-2019","         46.50","         46.50","         47.40","         45.00","         45.80","         45.80","         46.23","       4475","              206872.75","         51","       1682","         37.59"
"GILLANDERS","EQ","14-May-2019","         45.80","         45.60","         47.15","         45.60","         47.15","         47.15","         47.01","         55","                2585.50","          2","         55","        100.00"
"GILLANDERS","EQ","15-May-2019","         47.15","         45.75","         47.30","         45.70","         46.15","         46.15","         45.94","       1470","               67527.35","         18","        725","         49.32"
"GILLANDERS","EQ","16-May-2019","         46.15","         47.45","         49.60","         46.25","         48.95","         48.95","         47.33","       3607","              170708.65","         24","       1286","         35.65"
"GILLANDERS","EQ","17-May-2019","         48.95","         47.60","         48.50","         47.55","         48.50","         48.00","         48.39","        578","               27971.60","         13","        557","         96.37"
"GILLANDERS","EQ","20-May-2019","         48.00","         47.55","         48.00","         47.55","         48.00","         48.00","         47.70","        345","               16457.75","         14","        345","        100.00"
"GILLANDERS","EQ","21-May-2019","         48.00","         50.90","         50.90","         47.25","         47.25","         47.25","         47.32","        103","                4874.15","          5","        101","         98.06"
