"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GIPCL","EQ","30-Aug-2018","         91.80","         92.50","         92.60","         91.50","         92.25","         92.20","         92.09","      68156","             6276559.25","       1136","      47757","         70.07"
"GIPCL","EQ","31-Aug-2018","         92.20","         92.00","         94.25","         91.70","         92.90","         92.95","         92.96","      99650","             9263785.50","       2115","      64762","         64.99"
"GIPCL","EQ","03-Sep-2018","         92.95","         93.00","         94.70","         91.70","         92.20","         92.00","         93.00","     273714","            25454896.65","       2296","     181325","         66.25"
"GIPCL","EQ","04-Sep-2018","         92.00","         92.65","         93.00","         90.00","         91.80","         91.70","         91.72","     135422","            12421572.10","       1367","      84384","         62.31"
"GIPCL","EQ","05-Sep-2018","         91.70","         88.05","         89.40","         88.05","         89.00","         88.95","         88.56","      92970","             8233461.90","        738","      47376","         50.96"
"GIPCL","EQ","06-Sep-2018","         88.95","         89.25","         89.90","         88.60","         89.85","         89.55","         89.10","      38370","             3418737.85","        403","      28089","         73.21"
"GIPCL","EQ","07-Sep-2018","         89.55","         89.50","         89.50","         88.55","         88.60","         88.80","         88.90","      32187","             2861333.00","        447","      19753","         61.37"
"GIPCL","EQ","10-Sep-2018","         88.80","         88.80","         89.00","         87.00","         87.20","         87.15","         87.66","      66488","             5828098.80","        605","      53814","         80.94"
"GIPCL","EQ","11-Sep-2018","         87.15","         87.30","         87.85","         84.85","         84.95","         84.95","         85.82","     102536","             8799280.80","        786","      81184","         79.18"
"GIPCL","EQ","12-Sep-2018","         84.95","         84.85","         85.45","         82.00","         82.25","         82.35","         82.62","     191142","            15791999.35","        991","     121583","         63.61"
"GIPCL","EQ","14-Sep-2018","         82.35","         82.50","         85.25","         82.50","         85.00","         84.90","         84.52","      97341","             8227007.20","        696","      64121","         65.87"
"GIPCL","EQ","17-Sep-2018","         84.90","         84.90","         85.45","         83.70","         84.40","         84.50","         84.59","      66998","             5667567.55","        515","      44163","         65.92"
"GIPCL","EQ","18-Sep-2018","         84.50","         85.75","         85.75","         82.50","         83.20","         83.05","         83.28","      62666","             5218623.85","        544","      47224","         75.36"
"GIPCL","EQ","19-Sep-2018","         83.05","         84.05","         84.05","         81.50","         83.00","         82.10","         82.37","      68594","             5649808.95","        378","      59402","         86.60"
"GIPCL","EQ","21-Sep-2018","         82.10","         82.00","         83.00","         79.25","         81.20","         80.90","         80.77","      80483","             6500531.10","        723","      60800","         75.54"
"GIPCL","EQ","24-Sep-2018","         80.90","         81.00","         81.15","         77.10","         79.10","         79.05","         79.13","      44113","             3490520.55","        589","      30608","         69.39"
"GIPCL","EQ","25-Sep-2018","         79.05","         79.25","         79.80","         76.00","         79.50","         77.80","         77.31","      66408","             5134135.00","        671","      40646","         61.21"
"GIPCL","EQ","26-Sep-2018","         77.80","         79.50","         79.50","         77.90","         77.90","         78.10","         78.51","      23451","             1841134.45","        388","      15661","         66.78"
"GIPCL","EQ","27-Sep-2018","         78.10","         78.15","         78.70","         76.75","         77.60","         77.05","         77.58","      30679","             2379990.95","        398","      20112","         65.56"
"GIPCL","EQ","28-Sep-2018","         77.05","         77.95","         77.95","         74.60","         74.60","         75.20","         75.60","      62069","             4692162.75","        568","      51821","         83.49"
