"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GNA","EQ","30-Aug-2018","        374.80","        377.60","        382.10","        372.20","        378.00","        379.05","        378.94","      32865","            12453820.70","       1174","      17624","         53.63"
"GNA","EQ","31-Aug-2018","        379.05","        381.75","        384.00","        375.00","        379.00","        378.65","        379.21","      40700","            15433664.65","       1824","      24105","         59.23"
"GNA","EQ","03-Sep-2018","        378.65","        381.60","        382.60","        375.10","        376.45","        376.15","        378.01","      36896","            13947225.05","       1164","      18370","         49.79"
"GNA","EQ","04-Sep-2018","        376.15","        375.25","        376.45","        363.00","        366.50","        365.70","        369.41","      28114","            10385493.00","        915","      20767","         73.87"
"GNA","EQ","05-Sep-2018","        365.70","        365.05","        373.50","        358.05","        369.00","        371.20","        365.83","      28594","            10460626.65","       1045","      15736","         55.03"
"GNA","EQ","06-Sep-2018","        371.20","        376.00","        379.90","        368.10","        370.50","        371.25","        373.08","      23911","             8920617.15","        823","      11223","         46.94"
"GNA","EQ","07-Sep-2018","        371.25","        372.05","        374.35","        367.05","        370.15","        369.70","        370.26","      19621","             7264784.60","        915","      10097","         51.46"
"GNA","EQ","10-Sep-2018","        369.70","        369.35","        397.75","        369.00","        390.90","        390.05","        388.48","     273134","           106105963.95","       7511","      79412","         29.07"
"GNA","EQ","11-Sep-2018","        390.05","        413.00","        423.70","        402.15","        407.25","        406.05","        412.80","     639491","           263983885.90","      14667","     104818","         16.39"
"GNA","EQ","12-Sep-2018","        406.05","        406.00","        412.25","        392.30","        410.50","        408.50","        404.10","     149340","            60348065.60","       5135","      39003","         26.12"
"GNA","EQ","14-Sep-2018","        408.50","        411.20","        415.05","        408.00","        409.90","        409.80","        411.90","      64859","            26715687.75","       2671","      27245","         42.01"
"GNA","EQ","17-Sep-2018","        409.80","        409.80","        420.80","        402.25","        415.65","        415.90","        415.25","     104600","            43435600.15","       3218","      50063","         47.86"
"GNA","EQ","18-Sep-2018","        415.90","        417.65","        417.70","        407.00","        407.75","        408.25","        412.65","      33826","            13958258.90","       1211","      15984","         47.25"
"GNA","EQ","19-Sep-2018","        408.25","        409.15","        411.75","        400.00","        400.90","        401.40","        405.38","      44882","            18194045.50","       2005","      20350","         45.34"
"GNA","EQ","21-Sep-2018","        401.40","        404.95","        406.85","        356.25","        384.00","        385.95","        385.58","      87899","            33891730.55","       2798","      38868","         44.22"
"GNA","EQ","24-Sep-2018","        385.95","        388.50","        388.70","        365.15","        366.90","        367.90","        370.65","      44840","            16620153.45","       1561","      22339","         49.82"
"GNA","EQ","25-Sep-2018","        367.90","        365.05","        377.95","        352.95","        362.15","        359.40","        360.04","      71380","            25699665.25","       2435","      34556","         48.41"
"GNA","EQ","26-Sep-2018","        359.40","        363.00","        367.70","        358.60","        364.25","        363.70","        363.18","      35934","            13050561.00","        990","      15819","         44.02"
"GNA","EQ","27-Sep-2018","        363.70","        363.00","        363.65","        354.10","        357.00","        355.60","        357.60","      19251","             6884251.50","       1010","      10960","         56.93"
"GNA","EQ","28-Sep-2018","        355.60","        359.00","        359.00","        316.05","        324.00","        326.90","        334.96","      70782","            23709191.75","       2511","      43927","         62.06"
"GNA","EQ","01-Oct-2018","        326.90","        329.90","        336.00","        310.10","        333.00","        329.30","        318.92","      46693","            14891328.00","       1945","      23211","         49.71"
"GNA","EQ","03-Oct-2018","        329.30","        329.30","        349.25","        320.05","        343.70","        342.75","        340.11","      42575","            14480076.95","       1867","      21345","         50.14"
"GNA","EQ","04-Oct-2018","        342.75","        335.00","        342.70","        330.55","        334.90","        334.05","        334.07","      24744","             8266281.95","       1384","      13533","         54.69"
"GNA","EQ","05-Oct-2018","        334.05","        334.90","        335.65","        320.00","        320.00","        324.70","        326.88","      36019","            11773980.00","       1624","      21820","         60.58"
"GNA","EQ","08-Oct-2018","        324.70","        322.00","        322.00","        308.55","        311.00","        313.35","        314.82","      25382","             7990884.45","       1429","      13628","         53.69"
"GNA","EQ","09-Oct-2018","        313.35","        313.00","        320.00","        306.25","        311.00","        309.55","        311.52","      19941","             6212112.30","       1094","      10987","         55.10"
"GNA","EQ","10-Oct-2018","        309.55","        312.00","        337.40","        312.00","        332.50","        332.00","        327.45","      38035","            12454460.30","       1910","      15733","         41.36"
"GNA","EQ","11-Oct-2018","        332.00","        324.90","        332.05","        319.10","        326.00","        326.05","        325.39","      13624","             4433124.75","        647","       5427","         39.83"
"GNA","EQ","12-Oct-2018","        326.05","        334.00","        338.50","        327.35","        334.15","        335.55","        335.65","      17932","             6018883.70","        785","       9622","         53.66"
"GNA","EQ","15-Oct-2018","        335.55","        344.00","        349.90","        337.70","        349.90","        347.90","        344.73","      19170","             6608568.70","       1188","       9915","         51.72"
"GNA","EQ","16-Oct-2018","        347.90","        359.00","        369.00","        353.00","        367.00","        364.25","        361.95","      36169","            13091282.20","       1804","      20338","         56.23"
"GNA","EQ","17-Oct-2018","        364.25","        371.00","        377.70","        359.00","        360.00","        359.70","        366.26","      37881","            13874219.05","       1957","      18505","         48.85"
"GNA","EQ","19-Oct-2018","        359.70","        364.00","        373.00","        345.00","        363.00","        360.00","        359.15","      28020","            10063388.65","       1734","      12754","         45.52"
"GNA","EQ","22-Oct-2018","        360.00","        372.00","        372.70","        360.50","        365.00","        365.00","        366.12","      31265","            11446729.95","       1461","      13058","         41.77"
"GNA","EQ","23-Oct-2018","        365.00","        361.70","        382.00","        350.15","        355.00","        354.55","        365.76","     286995","           104971392.90","       8544","      54589","         19.02"
"GNA","EQ","24-Oct-2018","        354.55","        359.90","        366.70","        359.90","        362.50","        363.90","        363.49","      85172","            30958964.40","       3031","      43461","         51.03"
"GNA","EQ","25-Oct-2018","        363.90","        358.00","        362.00","        354.55","        355.00","        356.25","        357.74","      17008","             6084381.10","        913","       9315","         54.77"
"GNA","EQ","26-Oct-2018","        356.25","        350.00","        361.95","        350.00","        355.00","        353.75","        356.15","      27127","             9661326.15","       1080","      15882","         58.55"
"GNA","EQ","29-Oct-2018","        353.75","        363.00","        364.90","        355.55","        361.00","        360.85","        361.05","      16240","             5863426.55","        743","       9012","         55.49"
"GNA","EQ","30-Oct-2018","        360.85","        364.85","        368.00","        359.10","        362.00","        360.70","        363.41","      11845","             4304641.70","        782","       5935","         50.11"
"GNA","EQ","31-Oct-2018","        360.70","        363.95","        367.35","        359.95","        365.55","        365.80","        364.10","      23444","             8535866.85","       1542","      13722","         58.53"
