"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GOKEX","EQ","30-Aug-2018","         82.10","         83.60","         84.00","         81.85","         82.00","         82.35","         82.85","      24338","             2016386.35","        364","      13786","         56.64"
"GOKEX","EQ","31-Aug-2018","         82.35","         82.00","         86.80","         81.90","         85.55","         85.45","         85.36","     122741","            10477363.45","        998","      91939","         74.90"
"GOKEX","EQ","03-Sep-2018","         85.45","         86.50","         86.50","         83.80","         84.05","         84.15","         84.78","      13119","             1112192.95","        205","       8986","         68.50"
"GOKEX","EQ","04-Sep-2018","         84.15","         83.30","         85.80","         81.65","         82.85","         82.10","         83.09","      38493","             3198376.55","        333","      29579","         76.84"
"GOKEX","EQ","05-Sep-2018","         82.10","         82.25","         83.45","         80.50","         83.00","         81.90","         81.68","      16725","             1366108.65","        252","      11429","         68.33"
"GOKEX","EQ","06-Sep-2018","         81.90","         82.95","         85.70","         81.30","         85.60","         85.10","         84.76","      69165","             5862437.55","        753","      47528","         68.72"
"GOKEX","EQ","07-Sep-2018","         85.10","         85.10","         90.45","         85.10","         89.70","         89.45","         88.14","     215403","            18986082.50","       2225","     103054","         47.84"
"GOKEX","EQ","10-Sep-2018","         89.45","         91.95","         93.00","         89.55","         90.20","         90.05","         91.48","     173058","            15830596.25","       2264","     100830","         58.26"
"GOKEX","EQ","11-Sep-2018","         90.05","         90.90","         92.20","         88.10","         90.40","         89.55","         90.73","      65337","             5928214.65","        736","      46337","         70.92"
"GOKEX","EQ","12-Sep-2018","         89.55","         89.55","         93.30","         88.25","         92.50","         91.65","         91.83","     157702","            14481696.95","       1399","      95100","         60.30"
"GOKEX","EQ","14-Sep-2018","         91.65","         90.75","         93.80","         90.00","         92.05","         92.10","         92.35","      60776","             5612607.20","        805","      40710","         66.98"
"GOKEX","EQ","17-Sep-2018","         92.10","         91.00","         95.05","         91.00","         93.70","         93.85","         93.98","     120845","            11356421.45","       1084","      88481","         73.22"
"GOKEX","EQ","18-Sep-2018","         93.85","         93.00","         94.85","         90.00","         91.00","         90.95","         92.51","      44886","             4152412.65","        584","      29250","         65.17"
"GOKEX","EQ","19-Sep-2018","         90.95","         92.30","         92.95","         88.55","         89.40","         89.15","         90.28","      54359","             4907627.15","        639","      39381","         72.45"
"GOKEX","EQ","21-Sep-2018","         89.15","         89.95","         90.90","         76.80","         83.50","         83.40","         85.42","     103271","             8821784.30","       1008","      65152","         63.09"
"GOKEX","EQ","24-Sep-2018","         83.40","         85.45","         86.90","         78.40","         79.00","         81.40","         82.19","     204212","            16785171.85","       1229","     158519","         77.62"
"GOKEX","EQ","25-Sep-2018","         81.40","         79.35","         80.00","         76.05","         79.90","         78.35","         78.46","     146065","            11459857.30","       1359","      80473","         55.09"
"GOKEX","EQ","26-Sep-2018","         78.35","         79.10","         82.60","         79.10","         80.00","         80.65","         80.66","      42356","             3416354.00","        533","      28633","         67.60"
"GOKEX","EQ","27-Sep-2018","         80.65","         81.80","         81.80","         78.05","         78.05","         78.40","         78.90","      56219","             4435484.10","        347","      46885","         83.40"
"GOKEX","EQ","28-Sep-2018","         78.40","         78.00","         79.00","         71.70","         73.00","         72.85","         75.91","     148823","            11297877.45","        890","     117013","         78.63"
"GOKEX","EQ","01-Oct-2018","         72.85","         73.20","         75.50","         71.00","         74.50","         74.75","         73.01","      64427","             4703649.35","        674","      38842","         60.29"
"GOKEX","EQ","03-Oct-2018","         74.75","         74.10","         76.45","         73.35","         74.95","         74.50","         75.06","      31685","             2378407.35","        339","      19533","         61.65"
"GOKEX","EQ","04-Oct-2018","         74.50","         74.00","         74.20","         71.00","         72.00","         71.80","         72.03","      66542","             4792946.95","        616","      50027","         75.18"
"GOKEX","EQ","05-Oct-2018","         71.80","         73.40","         73.40","         69.40","         69.55","         69.90","         70.54","      36807","             2596452.30","        401","      29675","         80.62"
"GOKEX","EQ","08-Oct-2018","         69.90","         68.85","         71.55","         65.35","         67.35","         66.70","         67.63","      63849","             4318375.20","        506","      51793","         81.12"
"GOKEX","EQ","09-Oct-2018","         66.70","         66.50","         71.00","         66.20","         70.60","         70.30","         69.50","      94896","             6595115.50","        861","      78887","         83.13"
