"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GSCLCEMENT","EQ","30-Aug-2018","         28.25","         28.55","         29.40","         28.30","         28.80","         28.95","         28.91","      50120","             1449100.85","        254","      30628","         61.11"
"GSCLCEMENT","EQ","31-Aug-2018","         28.95","         29.00","         29.40","         28.30","         28.30","         28.40","         28.60","      25702","              734968.95","        137","      20036","         77.96"
"GSCLCEMENT","EQ","03-Sep-2018","         28.40","         28.50","         28.90","         28.25","         28.30","         28.30","         28.48","      26367","              750971.75","        112","      18962","         71.92"
"GSCLCEMENT","EQ","04-Sep-2018","         28.30","         28.15","         28.65","         27.60","         27.80","         27.75","         28.07","      27037","              758855.50","        154","      17815","         65.89"
"GSCLCEMENT","EQ","05-Sep-2018","         27.75","         27.25","         28.45","         27.00","         27.75","         27.55","         27.20","      20410","              555064.35","        179","      17784","         87.13"
"GSCLCEMENT","EQ","06-Sep-2018","         27.55","         28.40","         28.40","         27.60","         27.65","         27.75","         27.94","      22472","              627764.45","        119","      15734","         70.02"
"GSCLCEMENT","EQ","07-Sep-2018","         27.75","         28.30","         28.40","         27.55","         28.20","         28.25","         28.14","      28722","              808245.80","        120","      23248","         80.94"
"GSCLCEMENT","EQ","10-Sep-2018","         28.25","         28.90","         28.90","         27.80","         28.25","         28.05","         28.03","      12666","              355014.30","         88","       8525","         67.31"
"GSCLCEMENT","EQ","11-Sep-2018","         28.05","         28.35","         28.90","         27.25","         27.90","         27.70","         27.83","      21829","              607417.70","        142","      10622","         48.66"
"GSCLCEMENT","EQ","12-Sep-2018","         27.70","         27.90","         27.90","         27.05","         27.60","         27.45","         27.41","      18930","              518843.85","         92","      13569","         71.68"
"GSCLCEMENT","EQ","14-Sep-2018","         27.45","         27.50","         28.30","         27.50","         27.80","         28.00","         27.79","      10071","              279899.10","        100","       7080","         70.30"
"GSCLCEMENT","EQ","17-Sep-2018","         28.00","         27.40","         27.95","         27.35","         27.60","         27.65","         27.68","      16163","              447375.10","         94","      10487","         64.88"
"GSCLCEMENT","EQ","18-Sep-2018","         27.65","         27.80","         28.30","         27.50","         27.60","         27.60","         27.82","      12396","              344832.95","         77","       6920","         55.82"
"GSCLCEMENT","EQ","19-Sep-2018","         27.60","         28.20","         28.25","         27.05","         27.30","         27.20","         27.44","      11553","              317058.95","         86","       8540","         73.92"
"GSCLCEMENT","EQ","21-Sep-2018","         27.20","         26.70","         27.75","         25.60","         25.70","         25.90","         26.32","      50211","             1321475.80","        268","      28425","         56.61"
"GSCLCEMENT","EQ","24-Sep-2018","         25.90","         26.95","         26.95","         24.80","         25.20","         25.10","         25.35","      38591","              978141.85","        174","      32226","         83.51"
"GSCLCEMENT","EQ","25-Sep-2018","         25.10","         25.55","         25.55","         22.45","         25.00","         24.90","         24.67","      30369","              749217.05","        182","      18431","         60.69"
"GSCLCEMENT","EQ","26-Sep-2018","         24.90","         25.10","         26.70","         25.10","         25.40","         25.85","         25.75","      21027","              541422.10","        138","      12624","         60.04"
"GSCLCEMENT","EQ","27-Sep-2018","         25.85","         26.85","         26.85","         25.50","         26.15","         25.85","         25.97","      27617","              717305.15","        170","      15916","         57.63"
"GSCLCEMENT","EQ","28-Sep-2018","         25.85","         25.65","         25.90","         23.80","         24.60","         24.30","         24.65","      30485","              751602.70","        220","      19947","         65.43"
"GSCLCEMENT","EQ","01-Oct-2018","         24.30","         23.65","         25.70","         23.05","         24.40","         23.95","         23.64","      26808","              633632.30","        166","      18875","         70.41"
"GSCLCEMENT","EQ","03-Oct-2018","         23.95","         25.00","         25.00","         24.10","         24.50","         24.65","         24.70","      26022","              642758.65","        134","      20243","         77.79"
"GSCLCEMENT","EQ","04-Oct-2018","         24.65","         24.65","         24.95","         24.15","         24.40","         24.50","         24.51","      63210","             1549367.05","        149","      59434","         94.03"
"GSCLCEMENT","EQ","05-Oct-2018","         24.50","         24.70","         24.70","         23.50","         23.50","         23.70","         24.10","      23514","              566680.75","        128","      17951","         76.34"
"GSCLCEMENT","EQ","08-Oct-2018","         23.70","         23.55","         24.50","         22.60","         23.50","         23.25","         23.62","      34479","              814360.60","        170","      21611","         62.68"
"GSCLCEMENT","EQ","09-Oct-2018","         23.25","         22.80","         23.95","         22.80","         23.45","         23.40","         23.51","      23695","              557088.25","         96","      19835","         83.71"
"GSCLCEMENT","EQ","10-Oct-2018","         23.40","         24.00","         24.60","         23.35","         24.50","         24.40","         24.20","      18902","              457378.60","        110","      15672","         82.91"
"GSCLCEMENT","EQ","11-Oct-2018","         24.40","         24.00","         24.50","         23.20","         23.95","         23.70","         23.90","      35670","              852345.45","        181","      21482","         60.22"
"GSCLCEMENT","EQ","12-Oct-2018","         23.70","         23.20","         24.25","         23.20","         24.00","         23.95","         23.85","      49613","             1183251.40","        212","      29745","         59.95"
"GSCLCEMENT","EQ","15-Oct-2018","         23.95","         24.90","         24.90","         23.50","         24.00","         24.00","         23.96","      31058","              744050.75","        118","      25285","         81.41"
"GSCLCEMENT","EQ","16-Oct-2018","         24.00","         24.15","         24.95","         23.90","         24.80","         24.75","         24.69","      21135","              521756.15","        137","      14987","         70.91"
"GSCLCEMENT","EQ","17-Oct-2018","         24.75","         25.00","         25.15","         24.10","         24.50","         24.40","         24.62","      15144","              372821.15","        100","      11136","         73.53"
"GSCLCEMENT","EQ","19-Oct-2018","         24.40","         24.00","         24.20","         23.10","         23.45","         23.45","         23.49","      46837","             1100406.50","        184","      27300","         58.29"
"GSCLCEMENT","EQ","22-Oct-2018","         23.45","         23.30","         24.35","         23.30","         24.00","         23.95","         23.92","      19366","              463299.25","         76","      16298","         84.16"
"GSCLCEMENT","EQ","23-Oct-2018","         23.95","         23.30","         23.85","         23.20","         23.55","         23.35","         23.46","       6744","              158185.30","         73","       4645","         68.88"
"GSCLCEMENT","EQ","24-Oct-2018","         23.35","         23.55","         24.00","         23.10","         23.50","         23.45","         23.75","      15226","              361680.10","         67","      11808","         77.55"
"GSCLCEMENT","EQ","25-Oct-2018","         23.45","         23.20","         23.50","         23.10","         23.50","         23.40","         23.34","       6748","              157473.65","         56","       3944","         58.45"
"GSCLCEMENT","EQ","26-Oct-2018","         23.40","         23.20","         23.90","         23.20","         23.65","         23.65","         23.61","      29732","              701939.65","        117","      25078","         84.35"
"GSCLCEMENT","EQ","29-Oct-2018","         23.65","         24.40","         24.40","         23.50","         24.00","         23.75","         23.82","       9152","              217975.75","         56","       8515","         93.04"
"GSCLCEMENT","EQ","30-Oct-2018","         23.75","         25.85","         25.85","         24.15","         24.20","         24.35","         24.37","      14382","              350439.95","         80","       8525","         59.28"
"GSCLCEMENT","EQ","31-Oct-2018","         24.35","         24.00","         24.70","         23.80","         24.50","         24.55","         24.40","      12795","              312171.80","         77","       8470","         66.20"
"GSCLCEMENT","EQ","01-Nov-2018","         24.55","         24.95","         25.65","         24.40","         25.40","         25.35","         25.17","      12881","              324244.85","         94","       9386","         72.87"
"GSCLCEMENT","EQ","02-Nov-2018","         25.35","         26.00","         26.40","         24.85","         25.60","         25.55","         25.66","      51129","             1312043.85","        278","      22842","         44.68"
"GSCLCEMENT","EQ","05-Nov-2018","         25.55","         25.60","         25.60","         24.10","         24.45","         24.35","         24.39","      32693","              797322.75","        198","      27405","         83.83"
"GSCLCEMENT","EQ","06-Nov-2018","         24.35","         24.50","         24.70","         23.65","         23.65","         23.75","         23.86","      27028","              644896.05","        132","      21245","         78.60"
"GSCLCEMENT","EQ","07-Nov-2018","         23.75","         24.75","         24.75","         23.40","         23.75","         23.85","         24.02","       4008","               96257.40","         45","       3739","         93.29"
"GSCLCEMENT","EQ","09-Nov-2018","         23.85","         24.25","         24.40","         23.40","         24.25","         24.30","         24.14","       7229","              174522.85","         69","       6488","         89.75"
"GSCLCEMENT","EQ","12-Nov-2018","         24.30","         24.05","         24.55","         23.75","         24.10","         23.85","         23.99","       5452","              130810.65","         47","       3616","         66.32"
"GSCLCEMENT","EQ","13-Nov-2018","         23.85","         24.25","         24.25","         23.50","         23.70","         23.65","         23.63","      12647","              298883.25","        110","       9705","         76.74"
"GSCLCEMENT","EQ","14-Nov-2018","         23.65","         24.00","         24.00","         23.55","         23.60","         23.60","         23.72","      13584","              322235.80","         91","       6729","         49.54"
"GSCLCEMENT","EQ","15-Nov-2018","         23.60","         23.65","         23.85","         23.55","         23.55","         23.60","         23.62","      13892","              328122.50","        103","       8764","         63.09"
"GSCLCEMENT","EQ","16-Nov-2018","         23.60","         23.45","         23.85","         23.35","         23.40","         23.45","         23.56","       5889","              138734.45","         75","       4416","         74.99"
"GSCLCEMENT","EQ","19-Nov-2018","         23.45","         24.15","         24.15","         23.60","         23.90","         23.80","         23.78","      11030","              262261.20","         56","       7988","         72.42"
"GSCLCEMENT","EQ","20-Nov-2018","         23.80","         23.80","         23.90","         23.45","         23.45","         23.50","         23.64","       5624","              132957.85","         49","       4150","         73.79"
"GSCLCEMENT","EQ","21-Nov-2018","         23.50","         23.30","         23.80","         23.25","         23.35","         23.40","         23.49","       5597","              131466.70","         60","       2902","         51.85"
"GSCLCEMENT","EQ","22-Nov-2018","         23.40","         23.50","         23.85","         23.25","         23.25","         23.35","         23.60","      13962","              329514.10","         98","       8687","         62.22"
"GSCLCEMENT","EQ","26-Nov-2018","         23.35","         23.20","         23.90","         23.10","         23.55","         23.35","         23.35","      12265","              286341.80","         97","       8390","         68.41"
"GSCLCEMENT","EQ","27-Nov-2018","         23.35","         23.15","         23.50","         22.20","         23.15","         23.15","         23.07","      10338","              238474.10","         93","       6573","         63.58"
"GSCLCEMENT","EQ","28-Nov-2018","         23.15","         23.30","         23.60","         23.10","         23.15","         23.25","         23.33","       6578","              153461.05","         46","       5532","         84.10"
"GSCLCEMENT","EQ","29-Nov-2018","         23.25","         23.00","         23.60","         22.70","         23.10","         23.10","         23.15","      10315","              238752.20","         82","       5817","         56.39"
"GSCLCEMENT","EQ","30-Nov-2018","         23.10","         23.10","         23.20","         22.60","         22.95","         22.85","         22.80","      35433","              807958.60","        193","      25743","         72.65"
"GSCLCEMENT","EQ","03-Dec-2018","         22.85","         23.00","         23.20","         22.65","         22.65","         22.75","         22.81","      11829","              269800.70","         79","       8685","         73.42"
"GSCLCEMENT","EQ","04-Dec-2018","         22.75","         22.80","         23.00","         22.10","         22.55","         22.60","         22.71","      15890","              360818.50","         83","      12293","         77.36"
"GSCLCEMENT","EQ","05-Dec-2018","         22.60","         22.50","         22.85","         22.20","         22.85","         22.75","         22.70","       3638","               82565.20","         51","       3576","         98.30"
"GSCLCEMENT","EQ","06-Dec-2018","         22.75","         23.00","         23.40","         22.25","         22.50","         22.55","         22.62","      11285","              255218.55","         62","       9832","         87.12"
"GSCLCEMENT","EQ","07-Dec-2018","         22.55","         22.60","         22.65","         22.30","         22.40","         22.30","         22.42","       4446","               99696.05","         40","       3264","         73.41"
"GSCLCEMENT","EQ","10-Dec-2018","         22.30","         22.40","         22.50","         21.05","         21.40","         21.50","         21.61","      10778","              232918.45","         90","       7168","         66.51"
"GSCLCEMENT","EQ","11-Dec-2018","         21.50","         22.45","         22.45","         21.25","         21.90","         22.00","         21.91","      13563","              297164.90","         74","      10492","         77.36"
"GSCLCEMENT","EQ","12-Dec-2018","         22.00","         22.70","         23.30","         22.40","         22.50","         22.65","         22.67","      10580","              239885.60","         91","       7277","         68.78"
"GSCLCEMENT","EQ","13-Dec-2018","         22.65","         22.60","         23.20","         22.60","         22.70","         22.90","         22.90","       7503","              171818.50","         90","       5249","         69.96"
"GSCLCEMENT","EQ","14-Dec-2018","         22.90","         23.85","         24.45","         23.60","         24.35","         24.20","         24.12","      40347","              973129.05","        264","      29046","         71.99"
"GSCLCEMENT","EQ","17-Dec-2018","         24.20","         24.40","         24.50","         23.55","         23.90","         23.85","         23.96","       8934","              214066.05","         63","       4391","         49.15"
"GSCLCEMENT","EQ","18-Dec-2018","         23.85","         23.85","         24.50","         23.55","         24.45","         24.45","         24.27","      25271","              613267.35","        110","      20319","         80.40"
"GSCLCEMENT","EQ","19-Dec-2018","         24.45","         25.00","         27.00","         24.60","         26.00","         25.85","         26.12","     104107","             2718865.35","        638","      51965","         49.91"
"GSCLCEMENT","EQ","20-Dec-2018","         25.85","         25.85","         26.50","         25.20","         25.55","         25.65","         25.80","      29331","              756762.70","        230","      19977","         68.11"
"GSCLCEMENT","EQ","21-Dec-2018","         25.65","         25.65","         25.80","         24.65","         24.65","         24.75","         24.93","      21304","              531199.75","        149","      17028","         79.93"
"GSCLCEMENT","EQ","24-Dec-2018","         24.75","         24.00","         24.50","         23.50","         24.00","         23.85","         23.90","      24860","              594199.20","        176","      18021","         72.49"
"GSCLCEMENT","EQ","26-Dec-2018","         23.85","         23.75","         24.20","         23.40","         24.00","         24.10","         23.83","       8750","              208508.05","        104","       5150","         58.86"
"GSCLCEMENT","EQ","27-Dec-2018","         24.10","         24.10","         24.40","         23.65","         23.65","         23.70","         23.93","      11834","              283241.95","        105","       8233","         69.57"
"GSCLCEMENT","EQ","28-Dec-2018","         23.70","         23.75","         24.30","         23.75","         23.80","         23.80","         23.96","       6974","              167120.60","         82","       5911","         84.76"
"GSCLCEMENT","EQ","31-Dec-2018","         23.80","         24.80","         24.80","         23.65","         24.60","         24.40","         24.00","      19711","              473085.40","        104","      14096","         71.51"
"GSCLCEMENT","EQ","01-Jan-2019","         24.40","         24.00","         24.55","         23.80","         24.45","         24.25","         24.21","       8966","              217077.20","         95","       5326","         59.40"
"GSCLCEMENT","EQ","02-Jan-2019","         24.25","         24.05","         24.90","         23.60","         23.75","         23.75","         23.91","      14224","              340096.20","        116","      11182","         78.61"
"GSCLCEMENT","EQ","03-Jan-2019","         23.75","         23.70","         24.15","         23.60","         23.70","         23.95","         23.95","      13322","              319001.65","         90","       9730","         73.04"
"GSCLCEMENT","EQ","04-Jan-2019","         23.95","         23.50","         24.50","         23.50","         24.05","         24.10","         24.07","      19439","              467931.75","        105","      16415","         84.44"
"GSCLCEMENT","EQ","07-Jan-2019","         24.10","         24.45","         25.40","         24.00","         24.50","         24.50","         24.74","      72546","             1794715.85","        140","      64782","         89.30"
"GSCLCEMENT","EQ","08-Jan-2019","         24.50","         24.95","         25.25","         24.60","         25.00","         25.05","         24.98","      15409","              384992.80","         94","      11713","         76.01"
"GSCLCEMENT","EQ","09-Jan-2019","         25.05","         24.35","         25.85","         24.35","         24.50","         24.65","         24.86","      10766","              267626.80","         99","       8595","         79.83"
"GSCLCEMENT","EQ","10-Jan-2019","         24.65","         24.50","         25.05","         24.00","         25.00","         24.80","         24.59","      25862","              635912.75","        165","      17209","         66.54"
"GSCLCEMENT","EQ","11-Jan-2019","         24.80","         25.00","         25.00","         24.45","         24.45","         24.50","         24.60","       4241","              104335.60","         53","       3447","         81.28"
"GSCLCEMENT","EQ","14-Jan-2019","         24.50","         24.35","         24.70","         23.90","         24.50","         24.25","         24.18","      18159","              439084.30","        120","      10100","         55.62"
"GSCLCEMENT","EQ","15-Jan-2019","         24.25","         24.50","         24.80","         24.15","         24.35","         24.35","         24.39","       7002","              170764.05","         48","       5453","         77.88"
"GSCLCEMENT","EQ","16-Jan-2019","         24.35","         24.35","         24.75","         24.05","         24.30","         24.30","         24.25","      19946","              483682.15","         61","      17680","         88.64"
"GSCLCEMENT","EQ","17-Jan-2019","         24.30","         24.25","         24.70","         24.05","         24.10","         24.10","         24.17","      56968","             1376914.90","        129","      50544","         88.72"
"GSCLCEMENT","EQ","18-Jan-2019","         24.10","         24.25","         24.45","         23.90","         23.90","         23.90","         24.00","      55393","             1329480.70","         75","      50660","         91.46"
"GSCLCEMENT","EQ","21-Jan-2019","         23.90","         23.80","         24.20","         23.30","         24.00","         24.05","         23.71","      18225","              432171.20","        123","      11998","         65.83"
