"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GSFC","EQ","30-Aug-2018","        119.10","        119.95","        121.00","        118.70","        120.85","        120.55","        120.11","    1846956","           221841012.10","      12572","     434493","         23.52"
"GSFC","EQ","31-Aug-2018","        120.55","        120.40","        121.80","        119.00","        120.05","        120.15","        120.23","    1007115","           121089178.15","       7543","     281896","         27.99"
"GSFC","EQ","03-Sep-2018","        120.15","        120.15","        124.80","        119.85","        120.70","        121.30","        122.83","    3530889","           433685296.20","      21358","     876245","         24.82"
"GSFC","EQ","04-Sep-2018","        121.30","        120.90","        121.30","        115.75","        116.10","        116.40","        118.80","    1799585","           213789607.90","      11595","     593266","         32.97"
"GSFC","EQ","05-Sep-2018","        116.40","        115.40","        117.70","        114.55","        116.95","        117.15","        115.96","    2162023","           250701010.25","       7415","    1153332","         53.35"
"GSFC","EQ","06-Sep-2018","        117.15","        117.45","        118.40","        116.15","        118.00","        117.75","        117.40","     612489","            71903490.85","       4383","     133769","         21.84"
"GSFC","EQ","07-Sep-2018","        117.75","        117.85","        119.40","        116.65","        118.80","        118.45","        118.18","     851550","           100637903.15","       6202","     188151","         22.10"
"GSFC","EQ","10-Sep-2018","        118.45","        117.95","        119.30","        116.05","        116.50","        116.50","        117.17","     779897","            91383586.50","       6182","     230394","         29.54"
"GSFC","EQ","11-Sep-2018","        116.50","        115.00","        116.05","        110.40","        110.60","        111.15","        113.50","    1396514","           158503455.90","      11159","     409055","         29.29"
"GSFC","EQ","12-Sep-2018","        111.15","        111.75","        112.25","        108.35","        110.45","        110.35","        109.77","    1187646","           130367188.80","       9069","     206471","         17.38"
"GSFC","EQ","14-Sep-2018","        110.35","        111.80","        114.50","        111.50","        114.00","        113.60","        113.08","    1263982","           142934701.70","       7963","     337062","         26.67"
