"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GSPL","EQ","30-Aug-2018","        184.30","        184.30","        194.90","        184.30","        194.90","        192.70","        189.16","     438471","            82943062.90","       5767","     343590","         78.36"
"GSPL","EQ","31-Aug-2018","        192.70","        194.90","        196.25","        188.50","        192.00","        192.50","        191.24","     258376","            49411083.25","       5811","     137440","         53.19"
"GSPL","EQ","03-Sep-2018","        192.50","        190.20","        194.80","        189.10","        194.70","        191.80","        191.06","     917925","           175376177.80","      13635","     744073","         81.06"
"GSPL","EQ","04-Sep-2018","        191.80","        193.50","        193.50","        182.10","        188.90","        186.00","        189.34","    1369477","           259292644.80","       6482","    1251115","         91.36"
"GSPL","EQ","05-Sep-2018","        186.00","        186.20","        189.05","        182.50","        185.05","        185.35","        183.89","     458166","            84250302.75","      14154","     368502","         80.43"
"GSPL","EQ","06-Sep-2018","        185.35","        184.50","        198.30","        184.50","        193.70","        195.40","        193.63","     434540","            84141322.95","       6789","     320280","         73.71"
"GSPL","EQ","07-Sep-2018","        195.40","        194.35","        194.35","        189.40","        192.00","        191.10","        191.16","      77650","            14843608.00","       2197","      34041","         43.84"
"GSPL","EQ","10-Sep-2018","        191.10","        191.00","        194.30","        185.30","        186.10","        186.05","        189.03","     184458","            34867240.90","       6346","     112332","         60.90"
"GSPL","EQ","11-Sep-2018","        186.05","        185.20","        189.00","        183.00","        183.80","        183.45","        187.21","     474319","            88796549.35","       4403","     435329","         91.78"
"GSPL","EQ","12-Sep-2018","        183.45","        183.45","        184.30","        176.60","        179.85","        179.30","        178.63","     251233","            44877237.15","       6699","     168539","         67.08"
"GSPL","EQ","14-Sep-2018","        179.30","        179.00","        185.05","        179.00","        183.25","        184.05","        183.33","     111134","            20374290.10","       5657","      78063","         70.24"
"GSPL","EQ","17-Sep-2018","        184.05","        183.20","        183.20","        178.00","        180.00","        179.65","        179.19","     932361","           167074414.95","       4474","     827858","         88.79"
"GSPL","EQ","18-Sep-2018","        179.65","        179.65","        182.95","        178.90","        180.30","        180.00","        180.59","     237361","            42865500.90","       2464","     189444","         79.81"
"GSPL","EQ","19-Sep-2018","        180.00","        179.85","        179.85","        175.20","        178.70","        178.90","        178.60","     289553","            51714597.35","       6114","     220326","         76.09"
"GSPL","EQ","21-Sep-2018","        178.90","        178.15","        184.00","        172.70","        181.00","        179.60","        179.42","     455553","            81733740.10","       7020","     316844","         69.55"
"GSPL","EQ","24-Sep-2018","        179.60","        180.00","        181.60","        173.90","        177.00","        178.45","        178.50","     461576","            82391288.05","       6721","     341179","         73.92"
"GSPL","EQ","25-Sep-2018","        178.45","        177.00","        184.00","        174.30","        181.60","        181.85","        178.68","    1180079","           210854837.60","       7638","    1086162","         92.04"
"GSPL","EQ","26-Sep-2018","        181.85","        181.85","        185.80","        180.15","        183.90","        184.45","        182.62","     181159","            33082661.80","      10016","     109018","         60.18"
"GSPL","EQ","27-Sep-2018","        184.45","        184.00","        185.00","        178.50","        181.05","        181.20","        181.65","    1047442","           190268276.10","      11761","     923160","         88.13"
"GSPL","EQ","28-Sep-2018","        181.20","        190.50","        192.70","        156.45","        174.50","        174.45","        180.76","    7143359","          1291217888.00","      99903","    4031959","         56.44"
"GSPL","EQ","01-Oct-2018","        174.45","        175.85","        182.70","        172.10","        182.00","        181.75","        178.05","     460606","            82012133.25","       8888","     245647","         53.33"
"GSPL","EQ","03-Oct-2018","        181.75","        180.10","        182.90","        178.10","        181.80","        181.95","        180.98","     536607","            97113436.60","       5499","     417687","         77.84"
"GSPL","EQ","04-Oct-2018","        181.95","        180.00","        183.75","        175.50","        180.60","        181.30","        181.85","     872725","           158707081.45","      15536","     658873","         75.50"
"GSPL","EQ","05-Oct-2018","        181.30","        181.60","        181.60","        173.20","        175.75","        176.30","        178.49","     373732","            66708804.55","       6433","     251825","         67.38"
"GSPL","EQ","08-Oct-2018","        176.30","        175.90","        178.25","        168.70","        173.50","        173.15","        173.01","     762682","           131953491.30","      17804","     637875","         83.64"
"GSPL","EQ","09-Oct-2018","        173.15","        173.20","        174.50","        170.10","        173.00","        173.00","        172.72","     817293","           141161416.30","      12686","     726611","         88.90"
"GSPL","EQ","10-Oct-2018","        173.00","        171.25","        174.20","        171.25","        173.05","        173.55","        172.98","    1744758","           301815344.85","      40356","    1504681","         86.24"
"GSPL","EQ","11-Oct-2018","        173.55","        169.75","        173.00","        168.15","        170.80","        170.55","        171.54","     343636","            58947657.05","       6535","     253464","         73.76"
"GSPL","EQ","12-Oct-2018","        170.55","        171.90","        173.75","        169.75","        170.40","        171.00","        171.59","     191078","            32786900.35","       6229","     129115","         67.57"
"GSPL","EQ","15-Oct-2018","        171.00","        171.00","        174.00","        170.25","        170.85","        171.15","        170.99","     211710","            36199368.30","      11730","     151390","         71.51"
"GSPL","EQ","16-Oct-2018","        171.15","        171.40","        172.20","        165.20","        167.75","        167.95","        168.29","     720849","           121313812.05","      21174","     519384","         72.05"
"GSPL","EQ","17-Oct-2018","        167.95","        169.00","        171.80","        164.45","        165.00","        167.55","        168.28","     826512","           139089308.90","      18867","     671719","         81.27"
"GSPL","EQ","19-Oct-2018","        167.55","        166.00","        168.35","        164.30","        168.25","        167.65","        166.08","     334042","            55478053.40","      20975","     231386","         69.27"
"GSPL","EQ","22-Oct-2018","        167.65","        165.50","        169.65","        165.50","        168.50","        168.05","        167.65","      86554","            14510644.45","       3587","      42615","         49.24"
"GSPL","EQ","23-Oct-2018","        168.05","        168.00","        169.70","        163.00","        166.50","        167.00","        166.20","     360772","            59961105.85","      12627","     224538","         62.24"
"GSPL","EQ","24-Oct-2018","        167.00","        166.70","        169.00","        162.00","        167.25","        167.50","        166.93","     484918","            80948683.15","       9410","     399202","         82.32"
"GSPL","EQ","25-Oct-2018","        167.50","        165.05","        170.30","        161.20","        167.50","        167.10","        164.37","     280520","            46109802.05","       9114","     174035","         62.04"
"GSPL","EQ","26-Oct-2018","        167.10","        167.10","        170.30","        163.35","        167.40","        167.45","        165.96","     275741","            45762566.95","       9247","     167394","         60.71"
"GSPL","EQ","29-Oct-2018","        167.45","        169.00","        172.80","        163.90","        170.80","        171.15","        167.73","     405392","            67995474.85","      11637","     275377","         67.93"
"GSPL","EQ","30-Oct-2018","        171.15","        171.20","        176.20","        169.10","        175.00","        175.50","        173.12","     124955","            21631792.80","       6177","      72869","         58.32"
"GSPL","EQ","31-Oct-2018","        175.50","        177.00","        181.00","        172.80","        179.00","        179.00","        177.94","     167518","            29808217.70","       6766","      93344","         55.72"
"GSPL","EQ","01-Nov-2018","        179.00","        178.10","        182.60","        177.70","        182.60","        180.00","        180.07","     747524","           134608497.30","      13744","     586713","         78.49"
"GSPL","EQ","02-Nov-2018","        180.00","        182.60","        183.60","        180.55","        182.00","        181.95","        182.01","     286311","            52112122.40","       4196","     244352","         85.34"
"GSPL","EQ","05-Nov-2018","        181.95","        187.00","        187.95","        180.50","        181.00","        182.05","        183.14","     779582","           142768889.00","      14672","     625212","         80.20"
"GSPL","EQ","06-Nov-2018","        182.05","        183.50","        185.30","        182.10","        184.20","        184.30","        183.17","     289593","            53043857.15","      15616","     217915","         75.25"
"GSPL","EQ","07-Nov-2018","        184.30","        184.95","        186.00","        184.50","        184.95","        184.90","        184.98","      18855","             3487859.25","        375","      15940","         84.54"
"GSPL","EQ","09-Nov-2018","        184.90","        185.00","        190.95","        184.25","        187.65","        188.75","        187.99","     651700","           122515610.55","      30981","     442252","         67.86"
"GSPL","EQ","12-Nov-2018","        188.75","        189.70","        189.70","        183.50","        184.10","        185.25","        185.42","     288056","            53410397.00","       7410","     213622","         74.16"
"GSPL","EQ","13-Nov-2018","        185.25","        185.30","        185.55","        179.70","        180.40","        180.85","        181.45","     149336","            27096429.25","       8774","      92586","         62.00"
"GSPL","EQ","14-Nov-2018","        180.85","        181.70","        187.70","        177.65","        185.90","        182.00","        180.50","     781852","           141125039.95","      17101","     591977","         75.71"
"GSPL","EQ","15-Nov-2018","        182.00","        184.95","        185.80","        180.15","        180.60","        181.55","        182.08","     112412","            20468020.10","       6284","      50461","         44.89"
