"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GUFICBIO","EQ","30-Aug-2018","        124.20","        123.85","        125.85","        123.85","        124.20","        124.75","        124.62","      60976","             7598635.10","       1354","      34798","         57.07"
"GUFICBIO","EQ","31-Aug-2018","        124.75","        124.30","        129.00","        123.60","        125.70","        125.65","        125.18","     201080","            25171919.35","       3466","     102054","         50.75"
"GUFICBIO","EQ","03-Sep-2018","        125.65","        126.80","        127.90","        123.30","        123.60","        124.30","        124.94","      83488","            10431358.40","       1667","      46630","         55.85"
"GUFICBIO","EQ","04-Sep-2018","        124.30","        124.05","        126.40","        123.20","        124.50","        124.25","        124.45","     272851","            33956580.65","       1830","     192977","         70.73"
"GUFICBIO","EQ","05-Sep-2018","        124.25","        123.45","        133.75","        123.45","        133.00","        131.55","        126.88","     423284","            53704996.55","       4437","     183256","         43.29"
"GUFICBIO","EQ","06-Sep-2018","        131.55","        135.00","        138.85","        131.20","        132.00","        132.20","        136.19","     499398","            68015087.90","       4972","     270529","         54.17"
"GUFICBIO","EQ","07-Sep-2018","        132.20","        133.20","        133.65","        129.05","        129.85","        130.35","        131.19","     157860","            20709419.60","       2561","      86893","         55.04"
"GUFICBIO","EQ","10-Sep-2018","        130.35","        130.00","        131.80","        126.00","        127.00","        127.40","        128.35","      45838","             5883236.75","        846","      28720","         62.66"
"GUFICBIO","EQ","11-Sep-2018","        127.40","        127.55","        128.70","        122.40","        122.50","        123.10","        124.91","      53162","             6640591.15","        915","      35026","         65.89"
"GUFICBIO","EQ","12-Sep-2018","        123.10","        122.00","        123.90","        120.50","        121.90","        121.75","        122.09","      41477","             5063845.00","        793","      26875","         64.79"
"GUFICBIO","EQ","14-Sep-2018","        121.75","        122.75","        127.50","        122.75","        125.55","        125.50","        125.81","      56200","             7070667.30","       1478","      36634","         65.19"
"GUFICBIO","EQ","17-Sep-2018","        125.50","        124.95","        127.20","        124.00","        125.50","        126.00","        126.27","      69553","             8782345.95","       1201","      41222","         59.27"
"GUFICBIO","EQ","18-Sep-2018","        126.00","        125.40","        127.00","        121.10","        123.00","        122.95","        125.69","      74628","             9379817.00","       1146","      40576","         54.37"
"GUFICBIO","EQ","19-Sep-2018","        122.95","        124.20","        129.40","        123.50","        126.45","        125.60","        126.46","      84920","            10738645.10","       2848","      42295","         49.81"
"GUFICBIO","EQ","21-Sep-2018","        125.60","        126.30","        126.80","        110.55","        120.00","        120.25","        122.47","     172171","            21086390.00","       2081","     127801","         74.23"
"GUFICBIO","EQ","24-Sep-2018","        120.25","        118.05","        123.55","        118.00","        122.00","        120.95","        122.08","     137922","            16837370.00","       1962","      70541","         51.15"
"GUFICBIO","EQ","25-Sep-2018","        120.95","        118.00","        124.50","        118.00","        124.00","        122.30","        123.08","     111489","            13721993.45","       1896","      49149","         44.08"
"GUFICBIO","EQ","26-Sep-2018","        122.30","        122.30","        125.80","        122.00","        124.20","        124.20","        124.29","      41824","             5198353.30","       1243","      22694","         54.26"
"GUFICBIO","EQ","27-Sep-2018","        124.20","        125.40","        127.35","        122.20","        124.00","        124.55","        125.73","      83314","            10475442.90","       1570","      46082","         55.31"
"GUFICBIO","EQ","28-Sep-2018","        124.55","        122.40","        125.45","        111.00","        115.00","        113.80","        118.70","     111901","            13283177.75","       1975","      83038","         74.21"
"GUFICBIO","EQ","01-Oct-2018","        113.80","        113.00","        114.75","        100.55","        112.00","        112.10","        106.34","     232608","            24736513.20","       1782","     130739","         56.21"
"GUFICBIO","EQ","03-Oct-2018","        112.10","        110.35","        112.70","        107.60","        108.00","        108.80","        110.63","      42674","             4721032.05","       1121","      20636","         48.36"
